,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Victória Lira,https://play-lh.googleusercontent.com/a-/AOh14GhUoLedUnCOnOm9CN2ptlyePr_GWGbpWrtjCFTLQg,O jogo é fantástico mas não é justo ter direito a tão poucos diamantes e depois não poder tomar as decisões que quero ou mudar de roupa por falta deles ! Quando a minha personagem principal marca pontos nas relações sociais devia dar direito a ganhar no mínimo 5 diamantes! Em relação à roupa devia ser mais barata e haver uma opção mais simples e mais barata e outra melhor é mais cara. A minha personagem anda de top e calças de ganga desde o início.,2,30,2.7.7,2020-11-04 19:20:35
1,Lina Andrade,https://play-lh.googleusercontent.com/a-/AOh14Ghkj1bHOJBv9BkRvrSkvOyfXKo8rZJgyyfHHEcE,"As histórias são bem legais e os gráficos são muito bons! A única coisa que vc não tem é ESCOLHA. Tudo é caro e TODAS as decisões que vão te fazer viver a história da forma certa são pagas. Queria continuar jogando, mas não tenho paciência pra jogar um jogo onde só posso fazer o que eu não quero.",1,125,2.7.7,2020-10-22 08:54:05
2,Gabriel De Lima,https://play-lh.googleusercontent.com/a-/AOh14Ggce3wCvs8mzgz-m_kjQ3N9zg-ieNy5-okvES6Fnyo,"As histórias são muito boas e os gráficos são incríveis, mas acho que além de muitas opções importantes precisarem de diamantes, poderia ter em todas as histórias a possibilidade de jogar com personagens masculinos, algo que não tem acontecido nas últimas lançadas...",4,44,2.7.7,2020-10-30 10:17:13
3,Bárbara Christine,https://play-lh.googleusercontent.com/-lRY5rU86cxs/AAAAAAAAAAI/AAAAAAAATNM/AMZuucmkC1TwobJuuJAvbKV-6LzKSztRxA/photo.jpg,"O jogo em si é ótimo e as histórias são muito viciantes. Mas os diamantes realmente são um problema. Assinei o VIP por um mês e mesmo assim mal conseguia jogar dois capítulos por dia porque a quantidade diária é muito pequena. (10 diamantes). E sem o VIP é pior ainda (2 diamantes por capítulo completado e cinco que você ganha com anúncios). Enfim, quem pode ficar gastando dinheiro com jogos deve achar o máximo mas infelizmente eu não.",3,204,2.7.4,2020-09-03 18:54:40
4,Thaina Maria,https://play-lh.googleusercontent.com/a-/AOh14GhMZpQm0vuQMCUdB9LjFPN4HGkArDz1zGgdYPomtw,"Então, vou deixar minha experiência com o jogo. Primeiramente não tem para português, mas isso eu relevei. eu a traduzi pelo Google translate. Segundo: as coisas mais legais da história, é preciso ter uma quantidade absurda de diamantes em relação a quantidade ganhada a cada capítulo. Simplesmente você não consegue viver a história. Não e todo mundo que tem dinheiro para gastar em jogo. Por isso desinstalei. Amigos, instalem o Decisions, eles investem na propaganda e você consegue jogar",2,116,2.7.4,2020-09-04 21:05:02
5,Caroline Lisboa,https://play-lh.googleusercontent.com/a-/AOh14Gix6pdMEi-pEY4vgqUwylb1LkBHLZNBS7vC64lk9Q,"O jogo é bom e envolvente. As historias sao interessantes. Entendo que cenas ""extras"" tenham que ser pagas com moedas mas certas respostas acredito que nao ha a necessidade disso. As moedas voce pode comprar ou a cada capitulo jogado vc ganha 2 + 1 se assistir ao anuncio. Poderia ter opçao de voce ficar vendo anuncio e ganhar mais moedas para desbloquear as cenas. As cenas sao caras, nas historias que joguei é entre 16 a 20 moedas.",4,81,2.7.4,2020-09-21 09:21:58
6,Tatiana Dias,https://play-lh.googleusercontent.com/a-/AOh14GjpvXkhTrFXovHySqVQaHa7y56TYnbup6Gq0X47AA,"Estou só esperando a história que estou acompanhando ser concluída pra desinstalar o aplicativo. Por mais que as histórias sejam boas, o custo de diamantes pra decisões, roupas é ABSURDO. 22 diamantes pra um vestido... 26 diamantes pra uma decisão interessante. Se não usar diamantes a história fica morna e é difícil ganhar diamantes. Fora que a demora de três horas pra conseguir uma chave pra ler um capítulo. Estou usando o CHAPTERS, pelo menos lá tem várias formas de ganhar diamantes... ☹️😓",2,34,2.7.4,2020-09-11 11:09:00
7,Luiza Curtes,https://play-lh.googleusercontent.com/a-/AOh14GjbuhSltyEWeylnwNbB2DZgwGK4lODzDw5A_xBuFg,"Pra vc que já joga faz tempo, ou acabou de baixar, e quer diamante pra jogar as histórias direito, aqui vai minha dica: primeiro que não, não é imediato, vai demorar. Então, vc precisa fazer um combo de >jogar a história ""My Two First Loves< e >coletar os diamantes diários< de preferência TODOS os dias, pra ser mais rápido. Assim vc vai conseguir uns 10/15 diamantes por dia (diamantes diários: 5 por dia + a história: 10 minutos no máximo cada capítulo e são 2 diamantes + 1 diam. de propaganda)",4,117,2.7.5,2020-09-28 15:58:58
8,Eduarda Carvalho,https://play-lh.googleusercontent.com/-nd-g0mnzSVM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYbHJs0xJgrvKUmUWNe8brM_1OyQ/photo.jpg,"Adoro o jogo, apesar de situação com os diamantes, mas agora cada atualização eu tenho que apagar um app, na próxima já não tenho mais o que apagar e infelizmente vou ter que apagar o jogo.",4,19,2.7.6,2020-10-23 21:36:25
9,sara prates,https://play-lh.googleusercontent.com/-rfscmci2np0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucns7MdZ9PgJIFnqN-5jTSysD_Zljg/photo.jpg,"o jogo e realmente e incrivel mais queria muit q estivesse em portugues ,as pessoas irriam valorizar mais o trabalho de voces, e so isso q eu queria q muasse por que o resto e maravilhoso, queria ter jogado mais esse jogo mais nao sei ingles ,, mais e isso.",5,70,2.7.5,2020-09-29 18:39:14
