,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Bruno Garcia,https://play-lh.googleusercontent.com/-LyIBtzo1HUE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBAujIHJZxRkaYsOfKX88oKauCSA/photo.jpg,"Gostava muito desse jogo até essa última atualização 20/10. Se você não pagar, seus robôs são lentos e não possuem armas competitivas. Antes não era assim. Os gráficos ficaram um lixo, a jogabilidade acabou, o poder das armas atrapalha a visibilidade do jogo, trava toda hora. Uma pena, tive que excluir o jogo que me distraiu por 3 anos. Parabéns pixonic, vocês conseguiram destruir o jogo e ainda apagam os comentários negativos nas redes sociais. Uma pena!",1,77,6.4.7,2020-11-07 02:19:34
1,Flávio Aratani,https://play-lh.googleusercontent.com/-qVlsVi08jBM/AAAAAAAAAAI/AAAAAAAAA70/AMZuucnsl89K5qrfUfrc04Bt-3hVMKgvcg/photo.jpg,"O jogador deve ter ciência de que há constantes ""rebalanceamentos"" de armas e robôs (nerf de produtos antigos). São lançados novos equipamentos mais fortes para estimular a venda (comprando fichas ou pagando preços que chegam a mais de R$500,00, com índice baixíssimo de obtenção). Ou seja, já tivemos períodos melhores, mas ganha quem gasta no jogo. Se o player for puro free to play, mesmo com habilidade no jogo, é bem complicado, vai se desanimar.",2,179,6.6.0,2020-11-05 15:40:21
2,Marcelo Francisco,https://play-lh.googleusercontent.com/-QyQG9slyhxg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnk_jdAzE7mBjYdLTTRC7X1O_WPtg/photo.jpg,"O jogo ficou bem péssimo, as partidas estão muito injustas por causa desses robôs novos, sou baixo nível e mesmo assim aparece robôs nível mk2 armas mk2 e avançado, e eu não consigo ter robôs avançados no nível baixo de liga, (só seu eu tivesse dinheiro de verdade pra gastar), mas como eu não tenho dinheiro então só consigo ter robôs antigos e sempre nas partidas tem que ter um cara com escorpion mk2 com armas de leiser mk2, isso e chato pra caramba, está muito injusto isso. Não tem nem graça.",1,48,6.6.1,2020-11-05 16:26:44
3,Thiago Gadelha,https://play-lh.googleusercontent.com/-oUXApmyEnZo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmeS1gon5mdjbMQK-2MnsQsfBc5qw/photo.jpg,"Esse jogo está ruim. ele não travava tanto. Quando era 5x5 era melhor. Essa atualização mesmo com baixa qualidae ainda trava muito. Eu acho que está na hora de dizer adeus. Vou proucurar outro jogo. Me lembro quando joguei esse jogo pela primeira vez, há quatro anos, era incrivel. Eu jogava 10 h sem parar. Não travava nem um pouco, tinha uma boa. Não era tão difícil. Impossível jogar com essas armas novas e robos novos. Vocés só querem dinheiro 1000 é o que eu ganho no mês.",1,220,6.4.7,2020-10-20 15:22:06
4,Josy Mark,https://play-lh.googleusercontent.com/a-/AOh14Gh9Gvj4fMf_zpWuuiWQ730tvtsFYCMYzqntrTPLPA4,"Depois da atualização de hoje, até agora não consegui entrar numa sala para jogar. Alguém mais não consegue entrar numa sala para jogar depois da atualização mais recente? 20/10/20 - Há 5 minutos esperando e não entrou. Porque fazer atualização para deixar o jogo lento Geenteee. O que vocês estão fazendo com o jogo, a cada atualização fica mais pesado. A gente quase n joga esperando rodar. PALHAÇADA COM SEUS JOGADORES.",1,239,6.4.7,2020-10-20 17:25:55
5,Claudinei Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GikiFRCo8_Jm3AjqAwbIclIbcd0NJt0FmhPEkMA8g,"Vamos para o Robot Warfare, pois é menos pior que isso. Acabaram com o jogo, pelo menos por enquanto. Não tem como jogar. Agora os gráficos ficaram péssimos mesmo no modo de alta resolução, ainda tá com lentidão nas batalhas. Impossível continuar jogando. Meu celular não é antigo. O jogo já era péssimo no sentido de favorecer jogadores que gastam dinheiro de verdade, agora é péssimo em gráficos também. Desinstalado dia 30/10/2020.",1,170,6.6.0,2020-10-30 19:37:12
6,Danilo Silva,https://play-lh.googleusercontent.com/a-/AOh14Gi7Hw3vIW-qALCQdL9V5Vtw6aWVcj6-ALcAoJEM,"Vocês deveriam facilitar mais a forma de consegui bons robôs e boas armas para os jogadores antigos , eu jogo a bastante tempo, já gastei um dinheiro razoável para minha realidade financeira e mesmo assim não consigo passar da patente especialista, isso porque já jogo a quase 2 anos. Chega a ser injusto a facilidade que meus personagens morrem em batalha. é muito caro para evoluir robôs e armas, melhorando isso o jogo era ótimo. Só que infelizmente vocês acabaram com o jogo nessa atualização.",3,139,6.4.8,2020-10-23 09:25:42
7,Much War,https://play-lh.googleusercontent.com/a-/AOh14GhTDLjqAwDorgpwzr4IbVGhXVav71hJwC6XU2v8fg,"Amava esse jogo e hoje só tenho raiva dele. Jogo a 5 anos e antigamente os robôs eram justos. Os rápidos e ageis eram menos duráveis e os pesados e lentos mais forte e isso é o certo. Mas hoje um robô do tamanho de uma formiga com habilidades é mais forte que a velho raijin. Eu só tenho robô antigos como Leo,o pulga e a raijin mk2,mas sempre fico em último pq esses robôs com armas e habilidades de outro mundo simplesmente são indestrutíveis. O jogo tbm não era tão pesado e tinha um gráfico bom",1,89,6.4.8,2020-10-29 15:59:25
8,Simikão _OMG,https://play-lh.googleusercontent.com/a-/AOh14GhwUQKlcVQRMZFH3Rs8pFjVB0EKNoCSqRIqTFWa,"O jogo e muito bom principalmente na condições gráficas e jogabilidade e controles, mas ele está com muitos bugs, eu estava jogando e a tela ficou preta e não dava para ver nada mas dava para ouvir a partida, e após esse ocorrido o jogo crachou e o céu do jogo para mim não está aparecendo a cor, ou seja após essa atualização ele ficou mais pesado e com bugs de caso sério",3,83,6.6.0,2020-11-03 03:15:04
9,Eliseu Roco Gobi,https://play-lh.googleusercontent.com/a-/AOh14GhljRnOmT4jyVnaEAVxAK_25vORFdj3ynGTJv-l,"Alô Pikæsonic comédia! Agora vcs acabaram com o jogo de vez... lançando uma m... de robô que aparece do nada, some e tem a vantagem de poder aparecer só depois de se consertar! Pronto, criaram a b... de robô mais apelão que eu já vi, bem pior do que os havana com Storm ou os Ao Jun com Redeemer! Pracaba hein? Cada dia vão só perdendo jogadores pra outros jogos por tornarem os outros robôs obsoletos e partidas cada x mais, desequilibradas e sem graça! Nem vou comentar sobre a qtde de mapas!",5,8,6.6.1,2020-11-05 13:54:32
