,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Edson Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhJK0FZJdOY-Fdfui7Vq9rywkG-5cGQKmrlP6nixQ,"Mecânica do jogo é boa. Mas é um jogo pay to Win. Logo depois disso, vem a questão do drop que sincerente deixa a desejar. É pra finalizar a mecânica para troca de equipamentos é muito ruim, pois para trocar um equi mais fraco por outro mais forte tem que gastar. Horrível. Fora que pra ter um jogo ruim desses no Android são mais de 2 Gb de espaço. Desinstalando...",1,36,2.30.0,2020-11-02 10:52:17
1,filipe leite,https://play-lh.googleusercontent.com/-Y8rVBvEPwHU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucncy10QGgG5c0UdAppGM37rnFwglw/photo.jpg,"O que já era pay to win (sim você precisa gastar para jogar se não vc não sai do lugar no jogo. Agora ficou pior do nada a Plarium aumentou o valor de tudo em 40%. Tem uma promoção lá de 50% de desconto pelo preço de R$500,00. Isso eh uma afronta ao brasileiro que, assim como todos, estão passando por um momento difícil.",1,25,2.30.0,2020-10-31 09:11:13
2,Paulo Henrique,https://play-lh.googleusercontent.com/-BNxr7kb_cHg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnK8o8GqqFiDA8XRZgQtITaxROGGw/photo.jpg,"É um jogo bom, com defeitos, ainda sim bom! Precisam arrumar a questão que os personagens são muito desequilibrados se compararmos dentro do mesmo nível raridade, tem raros melhores que épicos, épicos melhores que lendários e até incomuns melhores épicos, o que é frustrante pois a dificuldade de tirar um épico ou lendária é absurdamente maior, e vem um campeao ""inútil"" .. é bem frustrante. Tbm acho que tudo no jogo é caro, se fossem valores simbólicos eu e 98% da comunidade faria uso do mercad",3,29,2.30.0,2020-10-29 10:24:26
3,Otavino Xavier sa Silva Júnior,https://play-lh.googleusercontent.com/-ni3gm5zQpF0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckf2Gl7dD-rgObxTvv14EaLQAivxg/photo.jpg,"Essa última atualização estragou o jogo, a maioria dos personagens ficam com os braços abertos e armas flutuando, as 30 repetições automáticas ficam intermináveis porque o jogo trava e os personagens não andam, alguns personagens perderam até o próprio cenário, o jogo está horrível, nessa atualização vocês mexeram sem querer em algum código de programação e bagunçou tudo, joguem o jogo e vejam como ficou ruim.",3,8,2.30.0,2020-10-31 09:56:19
4,Paulo Henrique,https://play-lh.googleusercontent.com/a-/AOh14GjpwVIZsSLW4X-W_DGPkPhaXczlS65Oa5ae9t6dzg,"A mecânica do jogo é incrível, porém tenho 2 reclamações a fazer... Não tem sentido gastar dinheiro pra simplesmente desequipar um equipamento, removam isso 👍 E no fosso de lutas, porque não deixar o herói lá evoluindo sozinho, sem precisar a gente ter que ir lá e autorizar a passagem pro próximo nível. Melhorem essas coisas e o jogo fica perfeito",3,8,2.30.0,2020-10-29 14:06:22
5,Yan Souza da Cruz,https://play-lh.googleusercontent.com/a-/AOh14GiQxw9MIqw2gH7GfOI9E9L9c8SPlbE_ZWZ8GCjkSQ,"Já tem umas semanas que tô jogando, nunca me viciei tanto em um RPG desse tipo. Tem bastante módulos de jogo que faz passar bastante tempo. Só um pequeno detalhe: acho que o consumo de energia que seja um fator que limita um pouco o jogo. Fora isso, de resto está muito bom.",5,1,2.30.0,2020-10-29 06:34:43
6,Vítor Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhATsFtyxkvJ-rz5lJefyYyRkzBFMTtLo-gKZYDJw,"Bacana. Jogo de progressão lenta mas se não por uma grana nele você fica limitado. Champions lendários e Épicos são definitamente o seu foco mas, tem bastante raros bons também que valem a pena evoluir no talo. Acho que o drop de itens no modo difícil e em diante deveria ser melhorado, não faz sentido cair itens 1 estrela e comum por que neste ponto já nem são usáveis, raro 3 estrela no mínimo no drop mínimo seria melhor e aumentar a prata também. Arena fica bugada se você tem power level alto.",5,15,2.30.0,2020-10-28 16:18:07
7,Marcos Climaco,https://play-lh.googleusercontent.com/a-/AOh14GgdiPf_NAaNYceFSVtJ48FFoWhYpEUvHkLZVaQNDA,"Gosto bastante do jogo e nem sei quanto dinheiro já gastei nele, mas depois dessa última atualização os valores subiram demais e sinceramente não compro mais nada, pois agora não vale mais a pena, teve alguns itens que subiram 60% ou mais e nada de melhor foi adicionado a eles",2,2,2.30.0,2020-10-30 21:52:32
8,eduardo sobreiro,https://play-lh.googleusercontent.com/-zXnYZ1FU90Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknrzTA6R33mCywu4mTUSCHRzBKpQ/photo.jpg,"To jogando de graça e ta sendo divertido,claro que colocando dinheiro você irá ficar forte mais rápido mas de graça ta legal também,só não sei se nos níveis mais altos de gameplay realmente seja necessário gastar dinheiro pra vencer,por enquanto ganhei todas na arena sem gastar 1 real,to com 4 champ lvl 40 ascendido ao máximo da patente.",5,8,2.30.0,2020-10-31 21:30:52
9,marcos martins,https://play-lh.googleusercontent.com/-IIQZCdIy4-Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucksHu18I0sHdmNzQqauVuAbLY1HTw/photo.jpg,"Este aumento nos precos desta última atualização impacta muito o desenvolvimento do jogo. Entendemos que o real esta desvalorizado frente ao dólar, mas a empresa deveria propor uma estratégia de preço mais atrativas pros jogadores brasileiros.",3,3,2.30.0,2020-10-30 16:12:20
10,Marcelo Augusto,https://play-lh.googleusercontent.com/a-/AOh14GjrRq6DPKXG8ljZO3kDiDCNZ-2LdWEJTX1roTpUUw,"Jogo Horrível,Um RPG pay to Win absurdo nem com os personagens que você ganha de graça dá pra crescer no jogo nas missões,pois você enfrenta inimigos com habilidades absurdas de fortes e ganha itens muito fracos nas missões que mesmo melhorando não servem de nada pros campeões,só servem de enfeite,muito chato isso,o jogo tem potencial e seria melhor aproveitado se não visassem só o dinheiro em vez de uma jogabilidade decente.",4,2,2.30.0,2020-11-03 00:14:47
11,evolved monkey,https://play-lh.googleusercontent.com/a-/AOh14GikTY3_0VH-3ZAyw13Qn_cEqJrdxLKty5S7azcA1A,"Um jogo agradável, com um grinding constante, com muitas combinações e variáveis para ter em conta, com bons bônus e uma progressão constante, a teoria por trás da evolução dos heróis está bem pensada e implementada.",5,0,2.30.0,2020-11-06 00:43:27
12,Bruno Rodrigo Jerônimo Santos,https://play-lh.googleusercontent.com/a-/AOh14GiXNBdpCP1yeu5EXZ1I8lHapAbVjYHLeSOMMIxb6g,Não gostei! Jogo muito limitado no multplayer e sem um sistema de lista de amigos e missões para você jogar com os amigos que já possuem o jogo instalado. Achei isso uma falha grave! Baixei para jogar com a minha namorada e não consegui.,2,2,2.30.0,2020-10-28 15:16:05
13,Janne Mello,https://play-lh.googleusercontent.com/-igJ1xdVieEs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnuCOPoOQQwRWiUZNOihPO9cQ8W_Q/photo.jpg,"Os personagens deviam ter o aspecto mais humano. As gemas e os personagens lendários poderiam ser mais acessíveis, já q para adiquirir tem de chegar no nível 60, por conta disso, o jogo se torna chato e difícil. E depois de atualizar o jogo começa a travar, tendo q desinstalar e reinstalar tendo q começar tudo de novo.",3,0,2.30.0,2020-10-29 11:43:37
14,Joaquim Pacheco,https://play-lh.googleusercontent.com/a-/AOh14GgcnrBsgDRUO2FboKVmrEjlZN1O5C8uZumo5a73dw,"O jogo é divertido, bem produzido, e oferece um início promissor. Porém as transações são realmente muito caras, o que desencoraja um pouco a compra. Recomendo revisar esses preços para o mercado brasileiro.",4,0,2.30.0,2020-11-08 18:03:21
