,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Caio Nicizima,https://play-lh.googleusercontent.com/-2iwthpepuRM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVnIfVvMfzj7iLINzYXpqFn6JNUQ/photo.jpg,"Ainda estou com problemas de conexão! Há seis meses venho problemas com o servidor (Network Error: Request timeout) e não recebo uma resposta do suporte. O erro ocorre tanto na rede wifi quanto na rede móvel e em qualquer dispositivo. É frustrante jogar durante anos, ter gasto bastante dinheiro com o jogo e suas reclamações não valerem de nada.",1,11,5.000.200922.1,2020-10-04 02:52:17
1,Caio Nicizima,https://play-lh.googleusercontent.com/-QMgZ-nc7sB0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclpmy9fOasN5ZljEFo0FWiQU6-VsQ/photo.jpg,"Problemas de conexão ainda não foram resolvidos! Quase seis meses enfrentando problemas sem sequer uma resposta do suporte. É frustrante jogar durante anos, ter gasto bastante dinheiro com o jogo e suas reclamações não valerem de nada.",1,12,5.000.200922.1,2020-10-04 01:14:30
2,KIKUCHI,https://play-lh.googleusercontent.com/a-/AOh14GiZxotFYR93OnmLB-Sz0j-R2C6sQhjbSyrQAO_hbg,"Gosto muito desse game, só que quando você está em um nível mais elevado começa a ter poucas coisas para se fazer.",5,4,5.000.200922.1,2020-10-17 17:12:31
3,cicero Diego,https://play-lh.googleusercontent.com/-xG2Of6HvDw4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2ts7nT4jVUw-3Y7EqtXmf64g_8A/photo.jpg,"Tava achando o jogo irado demais, mas infelizmente o meu jogo não passa mais da tela de loading! Se não fosse isso com certeza seria 5 estrelas!!! Artes bem legais o que deixa os npcs carismáticos, ótimo sistema de level de money e equipamento!!!!",2,7,4.000.200619.1,2020-07-09 10:48:44
4,Rafael Ervilha,https://play-lh.googleusercontent.com/a-/AOh14Gh1orbHIFEnmVyc6oCHAw61gZgMoFHbcMBAJcEndg,"O jogo muito bom, porem falta muita informação, você infelizmente joga ao acaso pois ele não explica adequadamente o que cada elemento do jogo faz, principalmente nas áreas de construcao.. Fora que o servidor vive dando problema.",5,40,4.000.200619.1,2020-07-13 19:22:32
5,Álvaro Lopes,https://play-lh.googleusercontent.com/-T3ioT-9k1oo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm92lTJ5FhekeEPDcVmZV0_gslc8w/photo.jpg,"Comecei a jogar, faço a compra do pacote inicial o dinheiro foi retirado, depois de comprado não recebi nada! Contactei support e tou a 5 dias para que me resolvam, quando já enviei tudo que me pediram por umas 5x, depois disso acabase a vontade de jogar um jogo com falhas.",4,17,3.048.200520.2,2020-05-27 17:39:41
6,edgar fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gh2bnQBQH2dTBgU8Fzo-QpPqf9ogoq1XT-Vz6Iv,"O jogo e bom e divertido até mas ele e bem demorado a energia vai embora em uma velocidade incrível além de tudo lá as coisas são caras,pontos de atributos equipamentos e montarias tudo caro infelizmente. Mas se você joga casualmente da pra passar o tempo.",4,20,3.048.200520.2,2020-06-02 00:28:54
7,Braulio Ibiapina,https://play-lh.googleusercontent.com/a-/AOh14Gikj2g4ClaaHZmcrcsJGxGsWAmvZ2gQIJkB6FfeCcY,"Jogo simples, bom para quem não têm muito tempo, só fazer as missões e descer pra luta em tempo de turno. Não tem dificuldades, simples e prático.",5,1,3.048.200520.2,2020-06-02 20:22:56
8,Aldo Miguel,https://play-lh.googleusercontent.com/-0OTwXBBO0DA/AAAAAAAAAAI/AAAAAAAAAJk/AMZuucllZFTIiadaboA2VvEFXArwjpaNAA/photo.jpg,"Podia ter interface mais otimizada para telemóveis. O jogo é bom, peca por ser excessivamente pay-to-win",4,1,3.048.200520.2,2020-05-30 21:31:39
9,João Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gi536HtwqsBmkNpZemRSuXencAddkGRncRFiXj4,"Otimo ter saido para o telemovel, bastante bom, podiam era comecar a lançar novos itens e armas, e tambem atualizar o design das personagens",5,1,3.048.200520.2,2020-05-26 15:40:45
