,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Pedro Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GhYvn_YxzVRcoPUcQljRErm8kN5L_v2Z1ZA1AbvHw,"Nova atualização não me permite ver para onde vou tacar. Gráficos completamente desconfigurados. Hoje perdi um jogo e as respetivas moedas devido a um suposto problema de conexão, quando a conexão do meu telemóvel estava perfeitamente normal. Ultimamente tem acontecido frequentemente... Não demora e faço ""uninstal"" Qual é o email de contacto?",1,20,2.39.0,2020-11-05 10:25:04
1,carlos lima,https://play-lh.googleusercontent.com/-Xhlojs2xMzs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck7wjVI8KlEZoffuUpEds54160jpg/photo.jpg,"Mudei a classificação deste jogo de 5 para 1 estrela, antes da ultima atualização era otimo jogar, está ultima atualização deixou o jogo horrivel, sem dizer uma merd.....! Vou desativar até a proxima atualização, melhore volto ou simplismente desinsta-lo!",1,1,2.39.0,2020-11-08 10:44:23
2,Lucio Peçanha,https://play-lh.googleusercontent.com/a-/AOh14GgM321F09chPLAJYGPF9hfvQp_az2P3gckkwgIflAg,"O jogo é excelente. Jogabilidade muito boa, gráficos excelentes. Depois da última atualização em que tiraram taxas de torneio e permitiram práticas ficou ainda melhor!!",5,3,2.39.0,2020-11-05 14:22:38
3,Mauricio Nascimento,https://play-lh.googleusercontent.com/a-/AOh14Ggv51aXJsY8Emc5-coJikMnee9RON1K8z2Eqd59dw,"Muito divertido, mas depois da última atualização o jogo bugou no meu LG K8+, ele fica todo em pixel e também não gosto do bate-papo ser tão limitado isso deixa o jogo um pouco sem graça.",2,4,2.39.0,2020-11-05 20:48:32
4,KKO-RS,https://play-lh.googleusercontent.com/a-/AOh14GgfKn-_4nnlVRhmfuabIK_uGu6K9Pmki3dwyXIe,Adoro jogar mas desde a última atualização não consigo nem abrir fica travado em 80% ou no máximo 95% do carregamento e não abre o jogo,1,1,2.39.0,2020-11-07 19:31:11
5,Jorge peirot Peirot,https://play-lh.googleusercontent.com/-8_B3y8HBclw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckU5UBAyABxuaFUVDjYf8rzc1sotQ/photo.jpg,"Esse jogo é uma roubalheira só você chega a um determinado ponto do jogo você só perde jogadas que você faz certas eles dão a Vitória ao adversário que fez uma jogada pior que a sua , em matéria de jogar certo a bola nunca vai como você apontou de forma que se você ver a direção do vento ela simplesmente sai da rota . Um verdadeiro LIXO!!! LIXO!!!",1,1,2.39.0,2020-11-06 23:26:57
6,Misael Resendes,https://play-lh.googleusercontent.com/-89sA_GJ03Zs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclE4ZVh0c9tvREj4Zv4y8lT75oWYA/photo.jpg,"Muito bom, só falha quando aparece adversários com equipamentos melhores, devia ser mais equilibrado",4,1,2.39.0,2020-11-05 10:37:54
7,JOSE PINTO,https://play-lh.googleusercontent.com/-gkwR3hRJu60/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclH529qEU7QN09ZZQRBRvRnKo6ezg/photo.jpg,"Gosto como entretenimento e lazer. Ok Haviam de dar mais facilidade, para os principiantes, tornava se mais atraente!...aguardo !!!😂",4,1,2.39.0,2020-11-06 13:52:12
8,Daniel Toledo,https://play-lh.googleusercontent.com/a-/AOh14GiRH9eVnOS7ao9hlJMs9asS8_EpXwBkJ7eJN85_6w,"O jogo faz vc ir falência muitas vezes, com isso perde a vontade de jogar. A impressão que dá é que se não comprar não ganha!",1,1,2.39.0,2020-11-05 10:29:06
9,Renato Laranjeiras,https://play-lh.googleusercontent.com/-QRsCwC13FTs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckluGSFYZjhyW4-PbiK0TRgQ9D2BQ/photo.jpg,Gostei! Este jogo é bastante realista! Valeu as 5 estrelas!!!,5,0,2.39.0,2020-11-06 15:46:37
10,Alexandre Macedo,https://play-lh.googleusercontent.com/-laksXSe5Iyg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSmvECtNO4ZlVJu4oOlm4mV8Aa5Q/photo.jpg,"Jogo e divertido. Pra ficar bom de verdade, deveria ter um sistema de anéis de vento único, onde independente do taco, a referência de distância do vento seja a mesma. Quanto mais evoluímos no jogo, mais difícil fica a distância dos ventos. Ficar vendo onde será a distância de cada taco se torna chato. Há app concorrente que e assim ( a distância dos anéis de vento e a mesma pra qualquer taco ).",2,14,2.38.1,2020-11-03 02:06:59
11,Yuri Faraco,https://play-lh.googleusercontent.com/-Hl6x29vbq6E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckquzPjRI5sO5yFnf6sHuieEjEKJw/photo.jpg,"É possível jogar de forma equilibrada por um período, o que te anima a continuar. Depois, você começa a enfrentar somente adversários que jogaram 100x mais partidas que você com tacos já nos últimos leveis, mesmo jogando nos primeiros tours. O jogo também tende a colocar você como o primeiro nas tacadas de desempate. Acho que em certo ponto do jogo, só pagando para ""jogar bem"".",1,30,2.38.1,2020-10-14 12:59:11
12,marcelo eduardo Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiZoz3UXpNYw0tPTIbSM7EPzcM2Z43CC9yoYDo,Se vc tem dinheiro é um bom jogo se não não chega a lugar nenhum,1,0,2.39.0,2020-11-08 14:15:41
13,Jose Paulo Reis,https://play-lh.googleusercontent.com/a-/AOh14GiFbAyPNv5_cg0bffUglD7cPjDxSveaS9Ywqven,"Já tem 2 anos que jogo... o jogo é configurado para você não evoluir em moedas.... quando você começa alguma evolução em moedas, automaticamente o jogo de direciona para jogadores mais difíceis ou para campos onde você tem mais dificuldade...",2,0,2.38.1,2020-11-05 09:16:21
14,Enio Garcia,https://play-lh.googleusercontent.com/a-/AOh14GidySgvHDXAutFThOMLAutToI-poJJa4NULEKhpJw,"Jogo só vem declinando !!! Jogadores de level Especialista e Mestre jogando em partidas de iniciante e Novato1 e 2 , isso desanima qualquer pessoa que esta jogando pela 1° vez!! , a pessoa nao tem a minima chance , atravessam a pista com 1 tacada , injusto é pouco pra descrever este jogo !!! Vale ressaltar tambem que todos perdem ..nao á vencedor nunca , vc nao vai chegar a lugar algum , só gasto e nada mais , a maior prova disso é jogador com $200 bilhoes obtidos jogando partidas de 1600 moedas",1,70,2.38.1,2020-09-12 16:26:45
15,Paulo Lemos Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GjJZVGlXXv7HAInqJ4-B3GsSWHqbs3R3pNVIvCoNCE,"O jogo é divertido mas tem um grande problema: estás sempre a jogar com jogadores com material muito superior, quanto mais material comprares maior a dificuldade, se tiveres o material em nível 4 por exemplo jogas muitas vezes contra jogadores com material de nível 9. Farta! Gantar dinheiro e não ter vantagem.... Para mim chega",2,35,2.38.1,2020-09-02 11:14:14
16,Gustavo Marques,https://play-lh.googleusercontent.com/a-/AOh14GjoG2_NGr2tywtSIigrJaBm9u6Z_3C2ovWVSz2roQ,"Não baixem. O jogo é bem feito e é bacana. E esse é justamente o perigo. É um jogo ""caça níquel"". Você mais cedo ou mais tarde terá que pagar pra jogar. Falo por experiência própria. Gastei quase 100 reais e estou sem dinheiro novamente. Eles decidem quem vence e quem perde. Se você começar a ganhar muito, eles darão um jeito de você começar a perder. Tudo você tem que pagar, até pra jogar os torneios.... Furada. Não baixem.",1,71,2.38.1,2020-09-13 09:40:09
17,Paulo Sérgio de São Thiago,https://play-lh.googleusercontent.com/a-/AOh14GiHPhUip63wG9iX4K-0Q_2qKj66SSBB-jtLVCX-,"Quando estamos no princípio do jogo, é legal, mas depois que você chega no 4o percurso, se você tiver pouco dinheiro, moedas, você é obrigado a jogar no primeiro percurso (50 moedas) o que é correto, visto que você tem poucas moedas mas os jogadores que jogam a muito tempo ou que pagam para comprar melhores tacos, quando no primeiro percurso, porque gastaram em tacos excelentes, e tem poucas moedas o jogo fica muito desbalanceado O taco de desempate para eles permite dar back spin BIG VANTAGEM",1,14,2.38.1,2020-09-23 18:39:48
18,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jogo que apesar de ser gratuito, só tendo dinheiro, o jogo pune jogadores free x os que investem $, difícil se divertir, monótono e desonesto.",1,3,2.38.1,2020-11-05 07:32:18
