,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mizael Gomes Pereira,https://play-lh.googleusercontent.com/a-/AOh14GjaMqK6j2Z58_MTMNksCUrswkCD8te-Dvkwvcsw,"Gostei muito do jogo mas tenho umas 2 críticas construtivas.Sobre os móveis eu não sei por que tem que pagar alguns móveis, e a outra é por conta dos itens, no sobrevivência quando a gente morre nossos itens Somen e eu queria que desse para dar manter inventario. A e mais uma coisa sobre as moedas, vocêis poderiam dar mais moedas ou fazer a gente abrir presentes e essas coisa.Mas tirando isso o jogo é muito bom muito legal, para quem não pode pagar o mine é perfeito.Um abraço!",4,63,0.48.11,2020-11-08 16:16:11
1,-_ZBoxH60_- YT,https://play-lh.googleusercontent.com/a-/AOh14Gjbt-1tHLPXJcr8g_tFok2HwqvlpL9M08hmrhxE3w,"O problema e que as atualizações deixam o jogo cada vez mais pesado e só cabe 1 gravador pra eu Stremar (Mobizen Sansung) o PC Simulator e o Hill Climb Racing 2, somente deixam o jogo menos pesado, se não como meu canal do YT vai ficar com o jogo pesado sem espaço pro gravador de tela??? o jogo é legal mais isso e sério, posso perder meu canal do YT e perder muito espaço do meu Tablet Galaxy Tab E T113NU Branco, E perder um dos seus maiores fãs desse incrível game de 2015",5,2143,0.48.6,2020-10-17 13:28:02
2,Meu Mundo,https://play-lh.googleusercontent.com/a-/AOh14GjR86w5TjiSdJ2T1Yuob-7-nIkiFHibw7blnAwTMw,"O jogo é incrível!!!! Queria uma atualização nos barcos,podeira fazer um barco de 2 lugares, ou,uma corda para puxar o barco ou animais. É muito chato ter que ir cada um em cada barco,e levar animais pela comida também é chato. Queria que pudessem resolver isso.",2,986,0.48.10,2020-10-26 21:00:48
3,Thauanny e Tamires,https://play-lh.googleusercontent.com/a-/AOh14GjmRI87hqQnGtoEiLHgsid3JKqERuoAEgyAevpsbQ,Esse jogo é ótimo continuem assim mini Word mas para os novatos crianças pra eles pedi pra os pais dinheiro para comprar moedas e muito ruim pois as vezes eles não querem comprar e o novatos(crianças) fiquem sem skin e e muito ruim eles deviam ganhar nas bolas mas fora isso o jogo é ótimo (5 estrelas) mas espero que arrumem!!!!,5,559,0.48.11,2020-10-30 18:19:58
4,Guilherme Lourenço,https://play-lh.googleusercontent.com/a-/AOh14GiYvjMPvQ9GzptcBPzYS6e3ceFCi3nlneMP9kfD6Wc,"Os desenvolvedores: Galera, nas fotos a gente coloca umas fotos maneiras, para as pessoas acharem legal, aí quando eles entrarem no jogo terem que pagar as moedas e skin. O nosso jogo vai ser um belo sucesso O povo: esse jogo é muito bom. Nunca trava blá blá blá blá blá blá Eu: Na minha opinião esse jogo é muito ruim, é ainda é CÓPIA DE MINECRAFT Se vcs quiserem jogar copia de MINECRAFT Paga o jogo para celular se vc não tem dinheiro Joga em PC CARAMBA",2,247,0.48.10,2020-10-24 14:06:35
5,Eliza Molina,https://play-lh.googleusercontent.com/a-/AOh14GgZk5pIrljBP9u-dKs5c9N4vmdpMjPu1k99G-DuWQ,"Muito bom o jogo! Eu adorei!! A única coisa que eu não gostei, foi que ele trava de mais e buga de mais também. Mas tirando isso o App é ótimo ,os gráficos são ótimos e a jogabilidade também, o único problema é a questão dos bugs mesmo!",5,627,0.48.6,2020-10-17 01:02:50
6,Ivonette Rocha,https://play-lh.googleusercontent.com/-F5RFAVdTVQg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6_IUtVzgTC0k5YU-WCg-e47P5HA/photo.jpg,"Gosto dele tudo é bonito só ó poblema é que dis que contém anúncio mas não contém mas não tem nada não gostei muito do mini world. Mas nunca disistalo o mini Ward ele da pra cria mapas,da pra ter é conanda a sala da pra expulsa os jogadores tem Roblox,PK XD,tem Minicraft e mini Ward esses jogo são os mais jogados de todo mundo.",5,9,0.48.11,2020-11-06 22:40:55
7,Davi Levita Games,https://play-lh.googleusercontent.com/a-/AOh14GjASRQBiKZmu6izi1wRq5XPReqmotgv7sCjzOjq_g,"Muito bom,mais poderia jogar Multiplayer,pq precisa ter mais de 10 dias ou era 7 sei lá,para postar mapa ou jogar online n aqueles mapas,tipo jogar com alguém,pegar madeira fazer sua casa sabe mais tirando isso tá maravilhoso,mais poderia ter como fazer miniatura mais fácil e NPC tb mais tirando esses pontos ruins ta otimo😃☺",5,816,0.48.6,2020-10-22 13:31:20
8,EL Piuzinho,https://play-lh.googleusercontent.com/-rrQYXI3LK8o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfE5Fb8cqB_MaX-SzeA9O5oo6aTQ/photo.jpg,"Excelente jogo, (GRÁFICO INCRÍVEL muito melhor que MINECRAFT).. Bem è necessário 7 dias para criar salas Multiplayer mas iso não é problema... Belas skin (Claro necessário pagar como todo JOGOS)até que é barato comparado com FREE FIRE ou MOBILE LEGEND que são um absurdo 50$ a 100$ UMA SKIM na roleta da sorte q e AZAR......é possível ganhar mine moedas no jardim pra comprar skin essas ai pagas ↑↑ ÓTIMO........e eles sempre dão skin em eventos ou diários já tenho 8 permanentes.",5,163,0.48.11,2020-11-06 17:33:06
9,docinho play play,https://play-lh.googleusercontent.com/a-/AOh14GhnudqFmNYRCf9dea3_Eo_wd5FrrLMtn7lhJsOk,"Eh mt boom esse jogo de minicraft Pra vc que gosta de jogos que deem pra escolher entre sobrevivencia e criação esse eh o melhor Da pra criar sua sala de jogo publico Escolher se quer criar uma ilha ou outra coisa Vc tem um jardim que vai regando sua plantinha e vai desbloqueando itens Por exenplo : moveis , blocos etc Como bloco de luz que ja tenho 3 Moveis como cama e etc To pegando aos poucos eh mt bom super recomendo",5,59,0.48.6,2020-10-19 18:04:33
10,Pedro Lucas Silva,https://play-lh.googleusercontent.com/a-/AOh14GhNhWj8LCCFjjnixpSMfPokkSnGyfhyWK6--L89,"Incrível! Além da Miniwan ser teimosa, faz com que rega a plantinha e que não sobe por cento nenhum! Fica paralisado que nem a doença chamada ""paralisia"", mas, tirando isso, o jogo é muito bom (ou excelente, na verdade). Corrigido Erros uma pinóia, era pra corrigir os erros da plantinha para eu conseguir publicar um mapa de Plantas vs Zumbis (Plants vs Zombies, na verdade), então foi isso, desenvolvedores, beijos pra todos vocês 😁.",1,130,0.48.10,2020-10-28 21:02:10
11,Davi Moreno,https://play-lh.googleusercontent.com/a-/AOh14Gj5q4ADiXiB87HwgygEPtGT6PFogrlID99ETOf9LA,"O jogo é muito bom e eu tinha um monte de coisas mas do nada minhas coisas sumiram minhas conquistas, mapas, skins tudo sumiu e eu não desinstalei o jogo e tudo que eu tinha sumiu mas tirando isso o jogo é bom tem ótimos gráficos mais o injusto também é que para você fazer sua skin você precisa pagar",4,417,0.48.6,2020-10-14 16:01:56
12,Madson Cantanheide,https://play-lh.googleusercontent.com/-TFTuRnz1VZQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclG7hL8wmILk2t0NvQhXsR1iSYeqw/photo.jpg,"O jogo e muito legal mas e um daqueles jogos que eu não suporto, do tipo chantagista, eu queria personalizar meu personagem mas nãoooo, tem que gasta dinheiro real pra compra moedas, so pra compra roupas essas moedas diviam ser ganhadas de graça de algum jeito por exemplo no jardim, e umilhante ver pessoas com o melhor e agente com o pior quando mudarem essa injustisa eu volto a jogar e dou 5 estrelas",1,209,0.48.10,2020-10-22 14:57:22
