,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Karinne Valente Pequenas Soluções,https://play-lh.googleusercontent.com/a-/AOh14GjP3t0EL_UrbKoXssCVXVAVmrc1IY3cS5SyFTOt-Q,"Estou muito insatisfeita com o jogo. Jogo bastante, compro passes e já gastei dinheiro comprando diamantes mas nem sempre eu posso comprar, daí fico dias presa no mesmo nível. Como a maioria eu gosto de jogar pra desestressar e acabo ficando irritada. A jogabilidade também está muito ruim, atualizo achando que vai melhorar e piora! Agora quando não faz um movimento sozinho o jogo tá congelando. Eu sou ativa, participo de todos os torneios mas estou realmente pensando em desinstalar o jogo.",1,33,5.23.0,2020-11-07 23:08:16
1,Conceição Mendes,https://play-lh.googleusercontent.com/-CaIX47zrm_w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmu7-XKuy5nLTeshw5XxhRAdOzs1A/photo.jpg,"Estava gostando muito do jogo ,estou no nível 537, mas fazem 2 dias que ele não carrega vidas pra eu voltar a jogar , já fiz de tudo , já desisntalei e instalei de novo e nada de carregar , realmente é como todos as pessoas comentaram , tem nível que fico estressada porque não anda , fica oferecendo coisas pra comprar , eu procuro jogos pra ativar o cérebro ou me ajudar a ocupar a mente com coisas divertidas , não pra gastar dinheiro . Estou pensando seriamente em desinstalar .",3,284,5.23.0,2020-11-05 07:53:06
2,Denise Araujo dos Santos Camargo,https://play-lh.googleusercontent.com/-jLsEMmsYQ3k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvF-v0uW4eh2uvQV1z-jgveWPpHg/photo.jpg,"O jogo começou muito legal foi tendo mudanças e eu prefiro jogos mais explícitos que mostram suas vantagens estão no dinheiro que vai gastar, o jogo no começo foi muito legal, foi atualizando, atualizando e cada atualização aos poucos foram mostrando se não gastar dinheiro já cheguei a ficar graças a em uma fase 15 dias e nenhum diamante ficou cansativo e chato",2,74,5.23.0,2020-11-06 14:03:01
3,Erica Richulino,https://play-lh.googleusercontent.com/a-/AOh14Gjyc-YwVzbN7nK0AFCFS3Yzh_IOsLcNPRNUUNeoVg,"Adoro esse jogo, tem um visual lindo e os peixes são uma graça, porém eles estão dificultando muito os níveis. Os desafios estão com tempo muito curto e não não há nenhuma ajuda. Os campeonatos de equipe oferecem um prêmio muito pequeno. Deveria ser no mínimo 5000 diamantes para o primeiro lugar como outros jogos. Se deixarem a ganância de lado e oferecerem mais atrativos vão ganhar 5 estrelas",4,7,5.23.0,2020-11-06 13:37:26
4,Loren Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhCrBiZwExnrbQP-nSzrNwow8hdhbGbeQ-IowCn,Eu gosto do jogo. Realmente tem os desafios que nos distraem. Mas também acho que podia ter mais bônus grátis. Pq tem fase que só aguardando outro dia para tentar as conchas. Eu não compro bônus. Podia acumular caso ganhasse e não precisasse usar em uma fase e usar na próxima. Mas o jogo é bem legal.,4,3,5.23.0,2020-11-06 13:13:49
5,Fernanda Oliveira,https://play-lh.googleusercontent.com/--ynLHlb3ED8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOAhhW0GAeRUvwHU-TxNRddjLYHw/photo.jpg,"A cada atualização o jogo trava mais, para eu poder jogar a próxima partida, preciso fechar o app e voltar. Não consigo mudar meu aquário, ele fica voltando sozinho para um específico e trava também.",3,1,5.23.0,2020-11-08 07:43:01
6,Giz Paz,https://play-lh.googleusercontent.com/a-/AOh14Gg2dRAkIes07t-mj_-rnLbXFAhUQs4rGRe5jQp8AQ,"O jogo tinha que dar mais brindes,gosto do jogo,mas tudo deles é vendido,as esmeralda tem que ficar vendo aqueles comerciais chatos e longos,jogo a muito tempo mas penso em parar pois as fases tem umas que são muito difíceis e não temos ajudas,nem do martelo ,nem da luva e nem nada,gosto do jogo mas nao dão ajuda nenhuma😔😔😔😔😔",1,72,5.23.0,2020-11-06 13:15:15
7,sergio martins,https://play-lh.googleusercontent.com/a-/AOh14GjmvTkkE8GVw39_5BDQNPhxISCk7m2wIPLiVV6d,"Joguinho bacana, pena não dar melhores opções pra aqueles que jogam usando somente os itens gratuitos. E o tempo de recarga também e longo demais, mas dá pro gasto kkkkk",5,1,5.23.0,2020-11-06 14:24:01
8,Salvador Valadares,https://play-lh.googleusercontent.com/a-/AOh14GiI7eiXy7Vw6RS_VCJ7CwHzrS_z76DrGVHkyLsf,"Eu acho o jogo um ótimo passatempo. Eu não gastei um centavo e já passei da fase 600. Sem pagar, demora mais para passar de fase, mas faz parte...",5,3,5.23.0,2020-11-06 13:03:02
9,Almir Jesus,https://play-lh.googleusercontent.com/a-/AOh14GiHAYtjJuRCshRydSYor_Mn0bHWveWg59Hs50vL_Q,"O jogo é bom,mas cada vez fica mais difícil..outra coisa se eu posso mandar vida pra outros membros da minha equipe,Eu também deveria poder mandar reforços como bomba,raio e outros pra ajudar os membros da equipe",1,1,5.23.0,2020-11-06 15:57:37
