,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Amanda Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GgNMxxpqxESJT__EHcI7uQk5eZ2AJND0Hu40QRlLg,"Eu sou completamente viciada nesse jogo, porém algumas coisas deixam a desejar. Sugiro que diminuam o tempo de recarga das vidas, que deixem que a gente termine a reforma dos cômodos (mesmo após o término do tempo -o quê é mto curto por sinal); disponibilize mais explosivos pra auxiliar na passagem dos níveis, entre outras coisas. Apesar de tudo isso, é um bom jogo! Um dos melhores para se passar tempo e estimular a memória e cognição!!",4,1662,4.8.0,2020-10-30 01:00:25
1,Nathalia Matos,https://play-lh.googleusercontent.com/-9tpUEhAdDy4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl2rlueWcg9gy8xu_Z4GN8WruhhNw/photo.jpg,"O jogo é muito legal, com uma proposta bem desafiante. Gostei da atualização que disponibilizou as áreas que não foram concluídas, mas queria sugerir a chance de continuar a restauração dos cômodos que não foram finalizados para todos aqueles que não conseguiram e a partir de onde parou, pois nem todos conseguem jogar todos os dias e isso faz perder prazos e outros prêmios.",4,1670,4.8.0,2020-10-28 18:34:02
2,luiz eduardo rodrigues silva,https://play-lh.googleusercontent.com/a-/AOh14GhlQzdneDxzuUXatCqT32_aAx2gzbzCtHDRtmJp,"Primeiro: quando se vê o anuncio, mostrando que o objetivo é ajudar em escapadas com desafios, temos uma propagando enganosa, pois isso praticamente não acontece no jogo...mas tudo bem. Segundo: quando você percebe, depois de ter sido enganado com a propaganda enganosa, que as combinações de peças para passar de nível tem objetivos que as vezes são quase impossíveis de conseguir, sem ter algum reforço, o que te leva a gastar, isso desanima bastante. Terceiro, a recarga das vidas demoram muito.",1,1622,4.8.0,2020-10-30 21:08:02
3,Italo Zen,https://play-lh.googleusercontent.com/a-/AOh14GgX2o6DQHQeUfDXUZ4DNXfCq99PIZituGPnkCm1gQ,"O jogo é muito viciante, é ótimo, pelos detalhes do jardim, as animações, são muito bonitos os gráficos e da vontade de decorar e tal. Mas é pay to win, ou seja, ele te força a gastar dinheiro pra não perder bônus etc., o que incomoda demais. Sinceramente não recomendo kkkk",4,10,4.8.0,2020-11-07 14:23:20
4,Laíssa Pollyana Carmo,https://play-lh.googleusercontent.com/-4DQXlc3CQps/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7SIPDhFjXWtJb5OVAUZrh_3jK2Q/photo.jpg,"O jogo é bom, mas extremamente manipulador. Tem algumas fases que são impossíveis de passar. Chego a ficar 5 dias tentando e o jogo não deixa passar. De repente, do nada, deixam passar com a maior facilidade. O pior é que me rebaixam de liga e abaixam a pontuação da minha equipe. Sinceramente, estou desanimando de jogar!",2,253,4.8.0,2020-11-02 14:56:54
5,João Paulo,https://play-lh.googleusercontent.com/-kIepez8WpMw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_S9B03JC_yusBc-HmNXPaIGmvMA/photo.jpg,"O jogo é legal, mas tem níveis impossíveis. Não tem cabimento você perder 2, 3 dias no mesmo nível gastando recursos que são difíceis de conseguir. Sem contar que a propaganda do jogo tem uma proposta totalmente diferente, eu pensei que seria um jogo de lógica e na verdade é um candy crush de fruta. Já estou no nível 3000 e até hoje não vi o jogo da propaganda.",3,341,4.8.0,2020-11-03 10:33:55
6,Arlei do Banjo,https://play-lh.googleusercontent.com/a-/AOh14GgCa8xrEp3mDfI8F96scjAINfFA-NVMpqUZEHWw6fk,"O jogo é bom, porém para concluir algumas fases tem que se gastar muito, eu por exemplo já investi quase Mil reais comprando moedas, não satisfeito com isso, os criadores aumentaram os valores referentes compras de moedas... Esculacho isso!😒😒😒😒 E cada fase só lhe dá uma estrela que é ridículo. Em algumas o tempo é muito curto para concluir fazendo vc gastar moedas para dar continuidade, senão, não se consegue concluir. Os criadores deveriam ter mais um pouco de bom senso... Só acho!😒😒😒",2,476,4.8.0,2020-11-05 19:17:59
7,Elisabete Dias,https://play-lh.googleusercontent.com/-hz1OzyLb7dU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckePHbul3vpQI3tTu9R5bATW_vHNg/photo.jpg,"MUITO bom 💕💗💗gostei do jogo, só que em algumas fases o jogo dificulta muito para o jogador passar de fase, acho que também deveria ter a opção de continuar a restauração dos cômodos da casa. A quantidade de estrelas que ganhamos no jogo são poucas. Gostei de vcs terem aberto a área da reforma que não completamos, agora só falta poder completar a restauração, eu iria gostar muito de poder terminar as reformas.",5,149,4.8.0,2020-11-02 00:52:42
8,michelle heijnen,https://play-lh.googleusercontent.com/a-/AOh14GhdpteqBFWUclFqrDUJRqEapXSjpNhQ5o1_nIk,"O jogo é bom ,mas se vc não tiver dinheiro para paga vc nunca passa dos níveis comprei um pacote com 30 etapas ,estou no nível 1414 já gastei tudo que tinha e não passo desse nível, e um absurdo isso. Acho propaganda enganosa apenas para vc gastar. Quando o jogo ajuda da sempre vontade e prazer de paga para joga mas, mas assim da e raiva, falta menos de 8 horas para acabar meu tempo e eu não consegui passa do nível 25. Não gasto mas 1 centavo com isso. Falta de respeito com o consumidor.",3,167,4.8.0,2020-11-07 00:13:26
9,Gleicyane Olliver,https://play-lh.googleusercontent.com/-N9yK2bzuHT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckNOSvsrFpgc6vATbXo38ftE_hbkw/photo.jpg,"Esse jogo só é horrivel porcausa que na hora do jogo no qual ganha-se estrela tem o número maior de objetos a serem retirados do que as chances de jogar por isso esse jogo é horrivel,Aqui vai um exemplo:No jogo a pessoa tem que retirar 30 bonecos brancos e com 29 chances,Isso é um absurdo deveria ter mais chances do que 29,Então essa é a minha reclamação.Eu espero que esse jogo melhore nisso,Porque assim desse jeito eu não vou conseguir jogar nada e nem ganhar ao menos o que me resta é perder😭",4,207,4.8.0,2020-10-29 22:55:13
10,Liana Faria,https://play-lh.googleusercontent.com/a-/AOh14GjvX8OHhuPTWSK2Ga_iFcv94Qy3NbMaSRCPsJtR,"Está muito bugado, fecha do nada, não se ganha os prêmios. Tento falar com o suporte e só vem resposta pronta e não importa quantos dias a resposta é sempre a mesma kkkk Está ficando bem desanimador jogar, porque trava tanto, dá tantos erros que jogar para passar nervoso não vale a pena e ainda não receber nenhum retorno de ajuda é terrível. E me perdoe quem disse que o jogo é gratuito, pois eu gasto horrores com ele...mas mesmo se não gastasse, a qualidade está muito ruim.",4,32,4.8.0,2020-10-30 15:46:09
11,Tereza Cristina,https://play-lh.googleusercontent.com/-BmFkdb428J4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTEkB6zTJt7J0s8twxQ-fNZ6lTtA/photo.jpg,"Muito bom! Jogo todos os dias e estou adorando!! Excelente, um jogo viciante e inteligente. Não tenho mais o que dizer, não faço mais nem ideia de quanto tempo já estou jogando, acho que quase 2 anos. A cá fase que passa me apaixono mais. Adoro fazer as reformas e ver como fica lindo. Fantástico!",5,18,4.8.0,2020-11-03 20:01:35
12,Adelmo Maciel,https://play-lh.googleusercontent.com/a-/AOh14Gh_qk21uaCY9-IoEPhF4KZ0MnSCRZFpuP73Btub,"Jogo bem legal, ajuda no raciocínio, pode parecer fácil, mas não é, existe estratégia de jogo, porém sinto falta das escapadas, nome do jogo garden scape, cadê as fugas? Deixaram a desejar, espero na próxima atualização vocês add mais escapadas, ficar só reformando os jardins, uma vai cansar, e ficará muito chato, já abandonei outros jogos por conta disso.",5,133,4.8.0,2020-10-31 08:45:15
13,Jany Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gj5rWjOFqhkQ1NL4JTEIMdtDZz-22EwJ6_VHQdsOw,"Sinceramente eu gosto de jogar. Porém, chega uns níveis que simplesmente não há forma de passar. Acabam as tarefas e não conseguimos passar. Baixei o jogo pq parecia de um jeito, agora é de outro. Fazem a gente comentar no intagran e não aparece resposta e nem prêmios. Enfim... jogo pq me distrai.",3,5,4.8.0,2020-11-04 00:36:27
14,Raiane Silveira,https://play-lh.googleusercontent.com/a-/AOh14GhfKZfEpQcqU9M6CKrCLzEN3J4xxTfw7cVEN0aDuw,"O jogo é muito bom, passo bastante tempo jogando ele. Só que poderiam facilitar mais as fases após o nível 1000 para a gente conseguir estrelas. Pois acabamos gastando vários dias e muitas vidas em apenas uma fase, e ainda por cima não conseguimos fazer a tarefa designada pois são muitas estrelas necessárias para isso.",5,21,4.8.0,2020-10-30 14:28:10
15,Rayanne Lima,https://play-lh.googleusercontent.com/-rn_xrJzEjRA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclExTCYxmhBYEeQQX67lVcrceG2KQ/photo.jpg,"Após a atualização, os explosivos não tem o mesmo desempenho, cheguei a usar duas dinamites e um TNT e não carregou o arco colorido, já estou a mais de 4 dias tentando passar de um nível. Já tive dificuldade de passar, mas os explosivos tinham um desempenho melhor, cheguei a usar os meu explosivos toda e não consegui passar .",3,4,4.8.0,2020-11-05 20:58:27
16,Marisse Barreto,https://play-lh.googleusercontent.com/a-/AOh14GiSxNuoRSGGoJanO8JYklrWaYhmhpskv3rdodXzpA,"O jogo é muito bom,mas testa com muitas coisas para melhorar...tem níveis difíceis e super difíceis se muitas vezes se consegui passar de primeira e tem níveis fáceis que se demora as vezes até 3 a 4 dias para conseguir passar,parece que só deixam a gente passar de certas fazes quando o jogo quer....acho que tem muitas coisas para melhorar",2,12,4.8.0,2020-11-02 17:15:06
17,Maria da Penha de Souza,https://play-lh.googleusercontent.com/a-/AOh14GjJtFUGe77Uv01ML3rrk1Vw9T6noyfRFhSdt7J3JA,"Às vezes é difícil mudar de nível pra quem está iniciando. Também o fato de se esgotarem as vidas e os poderes conquistados quando não estamos jogando. Tem níveis extremamente difíceis e antes, bastava detonar dois ou três poderes pra ganhar o raio colorido. Agora a gente fica horas tentando, as vidas vão acabando e temos que reiniciar...",3,28,4.8.0,2020-10-30 12:23:58
18,Regina Silva,https://play-lh.googleusercontent.com/a-/AOh14GjuqK_UBqT8vr3wDwiQHGuFEfcjsaNbYhMRiLxrVKw,"O jogo é legal, mas deixa muito a desejar. Por exemplo o tempo para recarregar ss vidas e demorando, o tempo para mondar os cômodos e péssimo, fora que tem umas coisas tão sem noção que leva estrelas, acho o mordomo um chato. Fora que já perdi algumas bombas e horas de vida que sumiram do nada.",1,13,4.8.0,2020-10-31 19:06:04
