,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gustavo Galvão Hussar,https://play-lh.googleusercontent.com/a-/AOh14GhUFUc-Aj6jAoggTFI1YGBxLruNKuSvN6LIFsZVAw,Não é possível usar a lógica para solucionar as fases. A mecânica do jogo tem uma tecnologia que somente te faz gastar dinheiro comprando os busters... já estou há mais de uma semana tentando passar do nível 234 que teoricamente seria de nível difícil. Na verdade o nível é impossível sem os busters e compras de movimentos extras!!! Desistalando o jogo... desisto. O Gardenscapes é muito mais fácil...,1,318,4.0.2,2020-10-30 16:04:21
1,Gabriela Santos,https://play-lh.googleusercontent.com/a-/AOh14GjXe3OLMPDcWFvaRxfUQvF6kN11m-Z4G4LqJ5E5Zw,"Acho desnecessário usar tantas estrelas para reformar a casa, sendo que no começo cada etapa custava 1, agora usam 3/4. Fora que os níveis depois do 1000 ficaram impossíveis, principalmente sem os busters, é uma fase superdificil atrás da outra, o jogo está deixando de ser bom por incompetência de vocês. Aliás, colocar em português seria ótimo!",1,191,4.0.2,2020-11-03 11:09:23
2,Daniela Machado,https://play-lh.googleusercontent.com/a-/AOh14GhpY1mfoIYesvm4EgM0p4jRHM39OsAbJIyN-QbhRfU,"O jogo serve para passarmos o tempo , nos distrair , quando não conseguimos passar de fase por falta de bosters isso só nos deixa com vontade de desinstalar o jogo . Então , seria interessante as fases não serem difíceis a ponto de ficarmos uma semana tentado passar , pq isso dá raiva e perde a principal atração do jogo , que é passar o tempo e não passar raiva .",1,374,4.0.2,2020-10-21 13:30:03
3,Arnaldo Conte Mundim,https://play-lh.googleusercontent.com/-3pxUdF-2hN8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_e6Cj8TrIWYihN9GHS6R7xG1Izg/photo.jpg,"O jogo é muito bom, mas tem fases que fazem você pensar em largar o jogo!!! Estou numa fase classificada com difícil ( Fases fácil, difícil e super dificil), que estou nela a 10 dias e não consigo passar, já usei todos os benefícios e coins e não passa!!! Além do que são apenas 18 movimentos e lotado de objetos que te atrapalham. Começando a pensar em desinstalar!!!",3,706,4.0.2,2020-10-21 18:15:08
4,Eliene Rodrigues Dos Santos,https://play-lh.googleusercontent.com/a-/AOh14GjNPs3ekvGUH_6etiooLxqyLVSyhRVEhEZk9CTC2w,"Eu gosto muito desse jogo sou xonada, mais Eu já estou quase 2 semanas em um nível que eu não consigo passar,e tem mais 900 moedas por 5 chances e demais, eu estou quase desistindo. Vocês têm que colocar niveis mais fácil porque os eventos começam a gente nem consegui acabar porque não conseguimos passar os níveis",1,12,4.0.2,2020-10-30 16:42:05
5,Natii 4ndadre,https://play-lh.googleusercontent.com/a-/AOh14GjXcSubEPdfTV-zpwpRAAY0O-HQHi5SAyoha-hJCA,"O jogo ta complicado, com nível super difícil ficamos presos por dias, acho q não tem pra que ter esse tipo de dificuldade no jogo, isso acaba estragando os nossos objetivos. Sem contar que precisa urgentemente da linguagem português(Brasil). Vamos colaborar né desenvolvedores.",3,4,4.0.2,2020-11-08 12:27:33
6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,E um jogo espetacular mas podia ter mais dinheiro e estrelas!Alguns níveis são difíceis demais para ganhar só uma estrela e a cada jogo não acumular dinheiro para comprar ajudas!!!e agora esta sempre a travar!!!passo 2 a 3 semanas para passar um nivel!ja a 3 anos que jogop pq adoro o jogo!nenhuma melhoria!e obrigado pela resposta,1,87,4.0.2,2020-11-05 06:32:08
7,Samanta Alves,https://play-lh.googleusercontent.com/-YvueT0K6X5I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDqqe6TJXe-D8VWaB6J7NSwDppzQ/photo.jpg,"O jogo é maravilhoso e muito viciante... porém existe um detalhe que precisa ser revisado e arrumando... Quando agente inicia o joguinho pra ganhar estrelas, temos as opções de escolher um item para ajudar (bombinhas, globinho colorido ou aviãozinho) mas quando agente escolhe o aviãozinho, este já aparece voando quando o jogo inicia isso faz com que ele seja inútil pra escolher no começo do jogo.Ele tem que funcionar igual aos outros itens, aparece no jogo quando for escolhido, e agente aciona.",4,46,4.0.2,2020-10-30 12:41:51
8,Nathalie Kokumai,https://play-lh.googleusercontent.com/-XCtKa4KNh28/AAAAAAAAAAI/AAAAAAAAAMc/AMZuucniOu2Iu9v5THzAkQQIbk9OynBqmA/photo.jpg,"Nao sei se está sendo somente comigo, mas essa semana estava jogando e simplesmente travou todo o meu celular, a tela do jogo parou e nada funcionava no meu celular, dei um ""but"" e meu celular não deu mais sinal de vida. Peguei o celular da minha filha, instalei o jogo e acontece de travar tudo tbm (sorte que esse celular sai a bateria), abro o jogo e acontece a mesma coisa, trava tudo e não consigo fazer nada, só tirando a bateria. Adoro o jogo, mas sou obrigada a desinstalar!",1,171,4.0.2,2020-10-15 00:19:11
9,Ana Luiza Santana,https://play-lh.googleusercontent.com/a-/AOh14GgR6De-DSLtrPTGagWefaNbs06sbtp782gY-dZL8dA,"O segredo é não jogar sempre. Eu gosto do jogo, é uma ótima distração, mas o lance de ficar dias na mesma fase é real. Portanto, eu tenho uma estratégia: entro todos os dias de manhã pra receber recompensas, mas não jogo todos os dias. Só uso os boosters nos níveis difíceis. Não participo daquele lance de juntar tal item por jogada pra trocar a decoração do quintal por alguns dias. Sempre peço vida à equipe, e vice versa. Participo apenas dos desafios em equipe e tenho ajudar meus amigos.",4,109,4.0.2,2020-10-16 09:06:24
