,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Carla Ramos,https://play-lh.googleusercontent.com/a-/AOh14GgEeGSsC8kNdo0Ay1Lk7KYP-7_Q4NutB0pWNAhM,A última atualização não tava perfeita mas dava p jogar. Agora com essa última atualização trava tanto que a tela congela e é preciso tirar a bateria do celular e ligar de novo ou seja esta prejudicando meu aparelho. Vou esperar essa regata acabar amanhã pra desinstalar de vez esse jogo. E acredita vou fazer isso com meu coração sangrando. Vocês são uns irresponsáveis por fazerem isso com um jogo que foi bom por 4 anos.,1,82,7.9.0,2020-11-07 11:55:08
1,christina costa,https://play-lh.googleusercontent.com/a-/AOh14GhGHHfyq4aRHpq30ksM3Vx7cusYerOPotURBQSmmw,"Ultimamente o jogo está travando muito. Eventos q aparecem e de repente somem ou não abrem. O jogo em si é maravilhoso. Mas com o passar de níveis fica mais difícil. O celeiro exige muitos materiais sem falar nas expansões. O experimento do professor tão bacana ficou com prêmios desanimadores. A regata da temporada então, q tarefas são essas, acho q é pra não conquistar os prêmios.",4,123,7.9.0,2020-11-07 10:43:36
2,Anderson Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg7vamSrI6QHtWEWaJ3FlguyQNois27WzDr4E8oubs,"O que vocês tem na cabeça? 4 expensoēs que só tem 3, e o tempo das expensoēs só estão aumentando, 4 dias e 3 horas? Não colocaram mais prédios públicos, casas e só querem ganhar dinheiro e não fazem por merecer! Será que vocês sabem que tem milhares de pessoas desistindo desse jogo, por causa dos problemas aparentes? Ou já esqueceram?",1,330,7.9.0,2020-11-06 11:26:46
3,CidaLCosta Lima da Costa,https://play-lh.googleusercontent.com/a-/AOh14GjNNfw7j94KS3j61DSzRbCzxXhqX_3W2nyHqVdmFA,"O jogo e maravilhoso. So o celeiro que náo aumenta rapido temos q vender produtos e fazer depois . E tem produtos que demoram 6 hs pra colher e mais 3, ha 4 hs pra ficar pronto . Podem melhorar isso. O jogo ficara muito melhor. Dou 4 estrelas. Aguardo celeiro mais rapido. Menos material.Nada funciona depois q fiz a nova versão. Agora atualizando de novo. Me ajuda meu neto altista e este jogo é a única coisa q o deixa calmo. O celeiro não abre e as fabricas lotadas. Ele tem crise. Ajude por favor",4,113,7.8.6,2020-11-05 23:31:05
4,rosana toledo de assis,https://play-lh.googleusercontent.com/-JvzqcBgX-gk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckm0Qm9gQP7sjLAxyXATz8hXD9Cew/photo.jpg,"A competição hora da mina já acabou para todos os jogadores da minha cooperativa e pra mim ainda esta rolando não começou a competição magnata dos transportes que tava aparecendo pra mim que ia começar até sumiu, esses bugs que esse jogo anda apresentando esta desmotivando nós jogadores, e parece que os desenvolvedores do jogo pouco se importa. Ainda envia uma mensagem pronta.",2,3,7.8.6,2020-11-07 01:14:44
5,Rosimere Aparecida Soares Batista,https://play-lh.googleusercontent.com/a-/AOh14GiON_eRNOtZ4Iy5XdZbg9A4gD69QaP8-_B5UhUs,"Desde a atualização o jogo está péssimo... Não consigo ter acesso a regata para receber os prêmios, simplesmente a tela fica preta e o jogo fecha. O jogo está super lento, o progresso no jogo nem sempre é salvo, enfim, está frustrante. Já tenho mais de 2 anos de jogo e nunca havia tido vontade de desinstalar e desistir dele como agora... Por favor, tomem alguma atitude ou irei desinstalar... Sem paciência alguma",1,309,7.8.6,2020-10-27 11:35:13
6,Alexandre Nardini,https://play-lh.googleusercontent.com/a-/AOh14GiLAnYz7ptOppADkYRropDSM6mtrWQ6DB5PwZy1Lw,"Minha esposa desistalou por causa dos buggs do jogo. E quando intslou nao existia mais a cidade dela. E a playrix nao tomou providencia. Agora perdi no meu celular não entra minha cidade. E esse playrix novamente não abandona. Não consigo falar com ninguém, somente com uma máquina que me faz perguntas que não tem nada haver com a situação. Não resolve meu problema. Que raio de suporte que não atende um cliente. Isso tá ficando um lixo.",1,7,7.8.6,2020-11-08 07:08:52
7,Luzia Siano,https://play-lh.googleusercontent.com/a-/AOh14Ggp8eexlWeiuSViHQfCtL-WGb9ODBNzpu3DyS9_cQ,"Depois de muitos perrengues e frustrações o jogo voltou ao normal. Problemas como os que aconteceram devem ser resolvidos rapidamente. Este jogo é excelente. Adoro os detalhes e as situações inusitadas que acontecem com os moradores da minha cidade. Me divirto muito. As missões da regata é que estão ficando muito repetitivas, poderiam diversificar um pouco mais. Abraços à equipe Township.😊",5,356,7.8.6,2020-10-28 13:44:02
8,Danilo Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Ghr7kBmbhFDZDtQhg5eDvYZRCHjcFr3SaurMNFW,"O jogo é bacana, interativo e bem organizado. Só como oportunidade de melhoria e não critica, mas os acessos as ferramentas e aos materiais de construção deveriam ter + opções os tornando mais fáceis a sua obtenção, as vezes chegamos a ficar meses para concluir uma construção na cidade e no zoo, devido às altas quantidades pedidas e as dificuldades em conseguir. As tarefas do prof. verne e o desafio do cômodo do dia das bruxas está impossível de terminar no prazo, muito difícil fechar....",5,179,7.8.6,2020-10-27 18:53:25
9,Breshopp Borboletynha,https://play-lh.googleusercontent.com/a-/AOh14GiphM9sSWMR1Xo2cnTmeBXB2FxhwOZ3R41tGqym,"O jogo está horrível desde as últimas atualizações! Milhares de membros com problema de acessar regatas, jogo trava, tarefas de regata difíceis e demoradas. E para agravar os desenvolvedores escolheram um número X de pessoas para receber o bônus duplo do professor Vernie! Tremenda falta de respeito com os demais membros! Eu amava o jogo, mas está cada vez mais difícil continuar!",1,152,7.8.6,2020-10-29 14:30:26
10,Eugenia Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Gh46cYF-dn2Zh4Tdfs4emny3gUDSBTOgWarETyrsg,"Em termos gráficos está muito bom. Treina a capacidade de gestão, é certo, e incentiva a partilha. No entanto peca pelo facto de ter os cómodos imposssíveis de serem concluídos, o aumento da capacidade do celeiro não se coadunar com o aumento dos materiais exigidos. Jogar exige investimento monetário, por vezes excessivo.",5,128,7.8.6,2020-11-03 21:49:58
11,Michele Mor,https://play-lh.googleusercontent.com/-0WXBVVJa4_Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhXUw5tKnwgEgxhEG4mMzujrNv1w/photo.jpg,"O que está acontecendo com essa última atualização, no meu celular não abre mais o jogo. Sempre travando, não tem condições de jogar mais. Faz dois dias que o jogo não abre, e ninguém faz nada e muito menos responder pelo que vejo aqui não é só eu que estou com problemas. Vamos resolver isso pessoal, por favor resolvam isso. Na verdade acho que não adianta comentar aqui pois ninguém lê. Triste isso, muito triste",4,222,7.8.6,2020-10-22 10:59:27
12,Jefferson Lucio Discacciati,https://play-lh.googleusercontent.com/a-/AOh14GiTtebo1mALOyuOZyg_vUhcfvLfDnboHhWHd5e0,"Pq o jogo está travando tanto??? ... outra situação que deveria ser revista... é a quantidade de material necessário para se construir os prédios e fábricas, casas...etc.... são absurdamente incompatível com o tanto de material que se ganha!!! Isso deveria ser mais justo...pra que se possa evoluir no jogo com maior frequencia!!!",5,141,7.8.6,2020-10-31 08:59:10
