,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Walisson Coutinho,https://play-lh.googleusercontent.com/a-/AOh14Gh-jq-rrnNvSJnZOvIFMNinVq2a-WrG9rlK5mebrg,"Não baixem o aplicativo é muito lento e demora 30min pra entrar, eu nem cheguei a jogar porque o aplicativo não abriu.Amenos que vc queira deixar seu celular com a memória travando...É liixxooooo!!",1,47,3.5.0,2020-08-31 21:40:35
1,Leonardo Fantini,https://play-lh.googleusercontent.com/-C5cm3Wmdz-k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRUOXzgxBB5FuW6PsEUrv9yly3Gg/photo.jpg,"Ja tentei varios jogos diferentes na plataforma, todos com roleta viciada, o xp rate abaixa depois do lvl 50 e você vê tudo que ganhou até o lvl 50 ir para o ralo, fiz 8kkk até o 50, perdi tudo em 10 minutos. Desinstalando",1,27,3.5.0,2020-08-21 10:22:12
2,DANIEL CARLOS,https://play-lh.googleusercontent.com/a-/AOh14GgS0no2FC94jYWSaVvcMabPNTS44t8EhWaRs3AHRg,"Num conheço ninguém que ganhou dinheiro de verdade nesse jogo,vou ganha nele pq tenho um aplicativo que mim paga se jogar esse jogo mais o dinheiro que recebi nao tem nada a ve com ele e sim com o aplicativo de renda que uso",1,31,3.5.0,2020-08-20 14:14:45
3,Neviens Yuki,https://play-lh.googleusercontent.com/a-/AOh14GiTZrqfpJjwGblsWRdBdqZ27bZs39d4SQTrPzXr,Meu celular tem 3GB de memória RAM e mesmo assim esse jogo trava pra krl. Incrível isso.,1,1,3.5.0,2020-09-13 21:30:22
4,jose mauricio de medeiros,https://play-lh.googleusercontent.com/a-/AOh14Gg5hnj8hJC8goZSRHa7Xi_K5V6xca_lABBJC8LVYO8,não testei ainda para avaliar mas assim que possível vou avaliar sim mais espero ganhar algo pois sou ruim de jogo,5,18,3.5.0,2020-08-11 03:20:32
5,Ester Santos,https://play-lh.googleusercontent.com/-3TjrSkC0xwY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRJfsPG8ibc0P569LqmJEDre6vVA/photo.jpg,"O jogo é bom. Pra subir de nível tem que ter estratégia, não jogar com fichas muito alta e ir aumentando conforme for ganhando mais, caso começar a perder, diminuir de novo o valor das apostas, e outra leva dias para conseguir chegar ao nível pedido pelos outros apps, então tem que ter paciência que eles cumprem o combinado assim que vc completa o nível",3,1,,2020-09-10 05:49:54
6,Ju Lopes de Jesus,https://play-lh.googleusercontent.com/a-/AOh14Gj6rYtH6VeKQEknJZJEk6x6TslZ2BURM3rdgiBr,"Trava o tempo todo, precisam arrumar isso. Não é legal, é irritante.",1,12,3.5.0,2020-08-10 22:58:35
7,Mariana Rizzo,https://play-lh.googleusercontent.com/a-/AOh14GhXqb2mvKKEXtJTPpkFi-Dx7WwxrXyOEAaH3TPruA,"Muito legal, e o mais legal de tudo é que vale recompensas de verdade!",5,16,3.2.6,2020-05-25 18:45:23
8,Dark BoySombrio,https://play-lh.googleusercontent.com/a-/AOh14GgdlXytq180ojVK9L0WmT65TsByhV08z05QDsiLmA,"Muito ruim, acabei de instalar e perdi todas as fichas em uma rodada e não ganhei prêmio algum",1,1,,2020-08-14 11:20:31
9,Denis Silva,https://play-lh.googleusercontent.com/a-/AOh14GiBpyu4xElGH-oNNzTbLpNqSHq2Mb_YUuMfM0inUg,"17/03/2020 Está bugado, vai para abrir, pede para atualizar, não atualiza, mas tambem não abre, desinstalei e instalei e nada, agora desinstalei de novo, e nada.",2,20,3.0.10,2020-03-17 08:46:52
10,rogerio Caetano,https://play-lh.googleusercontent.com/a-/AOh14GgHlEDeOIMEl233nWlIXQNFqc6CSVTqmJhGqLYmyzI,Deveria melhorar.. pra dar mais créditos.. Por q jogamos nas apostas máximas perdermos muito rápido... e outra melhorem pra poder pagar.. e não só roubarrrrr😡😡,5,9,2.23.2,2019-09-03 16:35:23
11,Demétrio Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GhwzPr1wKxJLBV435PT-xOpVfsF-2ZnYUr5_p7GiQ,O jogo seria bom se tivesse a opção de jogar off-line. Nem todos os jogadores tem acesso a Internet o tempo todo.,1,8,2.26.1,2020-02-18 20:41:36
12,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,desculpe mais ninguém merece boto crédito direito nesse my Vegas uma roleta que não paga nada pra aumentar então só come meus créditos gosto de jogar mais não está valendo a pena,3,26,2.20.0,2019-04-18 10:47:17
13,Agnaldo Barbosa,https://play-lh.googleusercontent.com/-XGiqgwMJ-1c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmdVvheMJiYTdF6CBJcgKDMimmCGA/photo.jpg,liberdade leudade monitorando mas pro tudo ótimo guina bolsonarinho enquanto vivemo na terra querido monitora para entra no buraco é 2 palito fácil ou quer é bom de Deus segui total não consiguemo por quer samo imperfeito a vedade liberta pedimo força á Deus poderoso ? Obrigado querido presidente ótimo guina bolsonarinho monito abraço bora obrigado Vitória monito tamo junto mim ajuda ora por mim tentações todo lado nu vi volto nu ou melhor é ou coração no senhor Jesus Cristo amo voceis nossa fam,5,2,2.26.1,2019-12-17 22:14:01
14,Julio Sakamoto,https://play-lh.googleusercontent.com/a-/AOh14Gh6rFhZyz4C_ALTWOwilm-NIeXv6afkh3GDmLqVsQ,Não recomendo. Jogo rouba demais. Difícil de dar bônus. Quando te dá bônus você não ganha mais nada. Te faz perder todo seu dinheiro só para você comprar mais. Jogo ruim,1,24,3.0.10,2020-03-17 07:21:15
15,Andréa Carvalho Rosa,https://play-lh.googleusercontent.com/a-/AOh14GgDnaSnZH_DRr5aqxKZG6PbQ4CFTenfAArb5h8i,"Muito bom, vc passa horas jogando, uma terapia para todos. O jogo se desenvolve com muita presteza.",5,7,3.0.10,2020-03-17 08:52:29
16,Jurandir Filho,https://play-lh.googleusercontent.com/-kb6CVev_JaM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck4g4-Kv4l6jb8Ab78uEdkhGmAlWQ/photo.jpg,"bom, mas pode melhorar. jogo está lento, dando erro",4,4,2.23.1,2019-08-16 13:46:52
17,ramon santos santos,https://play-lh.googleusercontent.com/a-/AOh14GhMOpkWLm0yJAxoMn098NzP5Pn9nOApCOxLP_hn,Muito bom precisa melhorar o pop slots porque as moedas Chips são poucas poderia colocar mais moedas,5,7,,2019-12-28 11:49:34
18,Leart Jardimdecor,https://play-lh.googleusercontent.com/a-/AOh14GinOPELW9s2GnNK9mdkB3ERj5yuIjBxNFQ36HF-,Fica atualizando direto e demora um século pra atualizar.,4,5,2.26.1,2020-01-09 17:51:47
19,Sidney Andrade De Oliveira,https://play-lh.googleusercontent.com/-s_2Dv3oU2ew/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjhiqadlDJtIDcIFFzMUqI9xulug/photo.jpg,Quero saber se eu ganhar vocês pagam?,5,0,3.7.0,2020-10-24 16:54:24
20,Cecilia Santos,https://play-lh.googleusercontent.com/-AprY8p7h5yE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPxf1egSmmdo5DlojSIVD1hUra6g/photo.jpg,Oi Bom dia. O jogo é bom mas comtempo ele para trava . Só vou jogar no outro dia,5,0,3.5.0,2020-09-08 02:01:14
21,Alexandre Henrique Guedes da Silva,https://play-lh.googleusercontent.com/a-/AOh14Gi1SUYl2rWWG4fKRbrbsoQd65gTCKfaUCqJaf7Xsw,Ô que adianta eu instalar o jogo e o jogo não entrar para eu jogar.,1,2,,2020-08-10 13:49:29
22,MATHEUS FF GAMER,https://play-lh.googleusercontent.com/a-/AOh14Gj3SryQetzFmR98fxMb29t44mQYLrYaYSBPJqpt,não gostei de APK mais jogem pra ver se vcs quiserem,4,0,3.5.0,2020-09-04 13:39:52
