,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vania Marcolino,https://play-lh.googleusercontent.com/a-/AOh14Gj87Py2DVfJU0y3BXEa8a8Mr41c9QqX9DsHig-u,"Não instalem e não comprem moedas desse aplicativo.jogos travados, combinações não paga nada. Tentam de todas as formas te arrancar dinheiro. Vigaristas bandidos! Pior lixo da história dos jogos online. Vermes do inferno!",1,140,3.76.2,2020-10-15 16:01:43
1,Luiz Antônio de Pádua Braga Braga,https://play-lh.googleusercontent.com/-YXBUvdARan0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJVEW_vSH0lLaP6CtIehobDE90Mg/photo.jpg,"Hoje esta dando muito erro ao tentar creditar o premio e reinicia o jogo. Depois foi corrigido, esta funcionando agora.",3,32,3.76.2,2020-10-15 18:19:01
2,Elias Moreira Moreira,https://play-lh.googleusercontent.com/a-/AOh14GjG4kvgf-92Vesy3Jnmn-y_HSF2s2HGgkQlm6pz,Jogo muito bom recomendo mais so falta opção de idioma para poder jogar no idioma que deseje se colocarem essa opção o jogo ficara ainda melhor.,5,1,3.80.1,2020-11-09 00:25:55
3,José Suezo Matumoto,https://play-lh.googleusercontent.com/-_ZpeJ9i737w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckOGYAhCQvyYjuLABbqEOVz0ut7ow/photo.jpg,"05/09 Saio de um jogo e prá entrar em outro começa tudo outro vez, já vi, já sei e enche o saco ficar saindo disso tudo prá começar outro jogo, parece que isso é intensional. Se o jogo tá ruim, ou vc continua perder ou aguenta essas propagandas prá mudar de novo. Que abuso!!!!!!!!! Margem de ganho mto pequena, perdi tudo e a probabilidade de ganho foi inferior a 10%...👎👎👎",1,75,3.71,2020-09-09 20:16:36
4,Ronaldo Messias,https://play-lh.googleusercontent.com/-B_bHLFb8ngY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5WNM7mJFfO3VKtyOIw9rYPC3iEQ/photo.jpg,"Olá boa noite Recebi um email de notificação da Google comentando que estão fornecendo meus dados pois existe uma ação judicial coletiva que está em andamento : intimação para obter informações relacionadas à sua conta do Google. A intimação foi emitida pelos Requerentes em uma ação coletiva intitulada SEAN WILSON, individualmente e em nome de todos os outros em situação semelhante v. PLAYITKA LTD, uma Sociedade Limitada Israelita, e CAESAR'S INTERACTIVE ENTERTAINMENT, LLC, Podem me ajudar?",4,53,3.74.2,2020-10-01 22:22:23
5,Rui Miguel Correia Neves,https://play-lh.googleusercontent.com/-Ssiq8xEkRMo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5Mpc3F_-6M670WEl1ELjTEsaj9w/photo.jpg,Espetáculo...agora parou de oferecer vídeos...poderiam explicar se posso fazer alguma coisa,5,0,3.79.2,2020-11-03 05:46:28
6,Rosa Caxias,https://play-lh.googleusercontent.com/a-/AOh14Gitk0WaI7-uo7LfSwFjc3jUpAejRzp6SD1BSw40AA,Quero meu creditos volta eu estava com muito dinheiro no meu jogo do nada somiu tudo por favor me devova por favor isso e uma grande sacansgem de vxs,1,0,3.79.1,2020-11-05 03:54:45
7,Lucimara de Lima Toledo,https://play-lh.googleusercontent.com/-khhW11Wf708/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclbR1ZPVt4Rs1lVjuTLH5U-0dy-wA/photo.jpg,"O jogo está muito ruim e está muito difícil,mandou uma missão de 500 spin Chase no imperial elephant más cadê o jogo?? Não tem!",1,92,3.73.3,2020-09-24 18:30:07
8,Monica Grani Toledo,https://play-lh.googleusercontent.com/-dPkyQ1YhJIc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclWFuCaX73sXQOC-U-4kDpNH1G6vQ/photo.jpg,Preciso que coloquem minha conta caso eu ganhe jackpot Conta poupança da Caixa econômica federal 00028540-9 Agência 4004 013 Tankiul como receber ganhos ? Ou isto é golpe ??? Espero respostas ????????????????????????????????????,5,11,3.71,2020-09-12 21:08:11
9,Miriam Marinho,https://play-lh.googleusercontent.com/a-/AOh14Gij4mYYPNztmSd1KPtifmpM_EIGti3PDmJIu6MWyw,"Já fiz mais.de.dois milhões mas diz q era grátis como ganho o dinheiro q já untei no cofre e legal o jogo mas quero saber oq faço pra abri o cofre e saber se e meu o dinhey q ganhei.como funciona,?",5,12,3.70,2020-09-03 01:49:45
10,Sildomar Barroso,https://play-lh.googleusercontent.com/-WiFyyo7Z2zI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8qShgdVub9LJt4tri6aecS1MFvg/photo.jpg,"Olá boa noite é muito bom o app, mais eu gostaria de saber como que eu vou saber que ganhei o prêmio e como se joga nos cassinos, se tem que pegar pra jogar ou o cassino e de graça ok. Aguardo respostas muito em breve por gentileza me respondam em português Brasil ok.",5,7,3.71,2020-09-10 18:09:53
11,Denilson,https://play-lh.googleusercontent.com/-10RPetWJ9s8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4y3vh-jb230kvBIOtOD3buKe5dg/photo.jpg,Maus um jogo onde só sobe de nível quem gasta dinheiro de verdade. Em 30 minutos vc vai querer desinstalar.,1,14,3.75.1,2020-10-08 12:04:42
12,Manuela Maria Santos,https://play-lh.googleusercontent.com/a-/AOh14Gh9hbL5gXTo5kHfc8lNbAWXNlyoF9JPLdbQulXwSSY,"Mau jogo ,actualizações péssimas , jogo lento , rouba dinheiro, um horror mesmo",3,3,3.69.6,2020-08-30 14:21:18
13,Marcio Vargas,https://play-lh.googleusercontent.com/-nSWJtIOp_Og/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclVFTSnL7BbHH472iRvyFiODKjY4w/photo.jpg,Faz um tempo que não da pra atualizar manda reclamação eles não resolvem porque não querem ...,2,2,3.69.5,2020-10-05 12:31:44
14,Antonio Marques,https://play-lh.googleusercontent.com/a-/AOh14GgFy10YpfqoSR5D4SSYUtXNIMafrfvGmHdqm_nC4A,Pouca vergonha cada vez os prémios são piores. Ganhamos os mesmos e não recebemos.,1,5,3.70,2020-08-28 18:06:32
