,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,G4P GAMEPLAY,https://play-lh.googleusercontent.com/a-/AOh14GhiNzXKaoAV_N9iMizqJfW_fw119eTblLHwvFeUBA,"Muito divertido, principalmente pra jogar contra os amigos. Bem elaborado e competitivo o jogo.",4,13,1.50.12,2020-10-24 11:42:21
1,Diego Azevedo,https://play-lh.googleusercontent.com/-fZYvf0tiZb0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUeAKcpvcnSyX8d41gAh4T3AzFXA/photo.jpg,Está com bug! Muitas vezes a bola trava e não muda de percurso com o movimento do celular! Arrumem isso e mudo a qualificação,1,26,1.50.12,2020-09-24 21:23:33
2,RAFA FF,https://play-lh.googleusercontent.com/a-/AOh14GgGp62WHlu6WN3MovOQhvV6INHBHO9sE-xD7UMaOQ,muito bom melhor jogo do mundo sempre gostei de jogo parabéns os gráficos são muito bom jogabilidade é incrível,5,20,1.50.12,2020-10-19 13:01:34
3,Alefe San,https://play-lh.googleusercontent.com/-SygRxcWMnMc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclx8tVJIhuxlCn51YIvtLeZ0MS_jQ/photo.jpg,Ótimo jogo só acho que deveria ter uma forma de consigui diamante mais fácil. Recomendo muito,5,23,1.50.12,2020-09-25 18:47:21
4,LUKAS GAMES,https://play-lh.googleusercontent.com/a-/AOh14GgWoGa1jEcReq4L1xZQ4WdmsKlw63JYNIy6qJTliQ,A Miniclip está realmente incrível lançando jogos MT mais MT bom por exemplo o 8 bal pool parabéns para TDS da Miniclip a lança jogo de drift pfv😜,5,9,1.50.12,2020-09-22 16:43:48
5,Nicolas Alves,https://play-lh.googleusercontent.com/-DDiyC7mrZes/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbC1-oHMxVoPCdn83b15wOk9IhYA/photo.jpg,O jogo e muito bom mais a vezes eu viro meu celular para o lado e não vai mais tirando isso o jogo e muito bom,5,1,1.50.12,2020-10-09 18:47:24
6,Bernard Chaves,https://play-lh.googleusercontent.com/-RKXhFcl_5jk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckEU_Yt8LuyzSONiQb_vxeIXqJtyg/photo.jpg,"jogo bom mas muitos hackers atrapalhando seu crescimento, ridículo um jogo de tal estrutura com essas falhas.",1,1,1.50.12,2020-09-24 16:14:17
7,Joao gabriel Guimaraes Da Silva,https://play-lh.googleusercontent.com/a-/AOh14GhUQq-2HQGRT6q226AgItkZk58mG-V5-fPqPSat,Gostei muito ta muito divertido e um bom jogo para me diverti na quarentena e um super jogo amei parabens para o criador do bowling king parabens amei,5,0,1.50.12,2020-10-30 14:14:13
8,max dos santos Mourão,https://play-lh.googleusercontent.com/a-/AOh14GjcOKK14LDQu6WTG3zl-nOZpz6qkQIQjm-5pBORKw,Perfeito em todos os aspectos! Sem palavras! Simplesmente the best!😘,5,0,1.50.12,2020-10-18 17:53:40
9,Leandro Oliveira Freitas,https://play-lh.googleusercontent.com/a-/AOh14GhpZ6-UbfZuYNOJ32ZgplSbeAAHhH_47lPOQ3lC,Muito legal divertido e fácil de jogar,5,0,1.50.12,2020-11-04 01:02:48
10,Creuza Rodrigues,https://play-lh.googleusercontent.com/-63VbL-opLQs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-iJw_-sld6yKlL23fBEuzI6Qy9A/photo.jpg,Esse jogo é muito legal eu estou me divertindo O bom do aplicativo também é que ele não trava,5,0,1.50.12,2020-11-01 17:50:36
11,Dante yamattos,https://play-lh.googleusercontent.com/-TMfkTRzKLWA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9l6nR12JP0QWEirB5G1oYVcc3ug/photo.jpg,"o jogo e bom mas a pontuaçao na corrida do boliche so e marcada quando uso dinheiro comprado no game,diz que uma trapaça foi registrada,jogar bem e trapaça? na proxima vez vou filmar meu game play e mostrar que nao ha nenhum aplicativo de trapaça em meu celular se nao marcar minha pontuaçao vou provar que esse jogo e uma fralde e que so e jogavel se pagar,os usuarios que jogam gratuitamente sao induzidos a fazer compras no jogo pra poderem usar recursos que dizem ser de graça",1,5,1.50.12,2020-09-15 12:48:57
12,Mayara Borges,https://play-lh.googleusercontent.com/-ftr5dGOmhKA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_MtlzpGr2K8jJzB41P4f66t-BmA/photo.jpg,"O jogo é bom mais eu não consigo altera a bandeira, pra por no meu perfil a bandeira do Brasil, parece que não tem no jogo, no meu perfil está a bandeira da china e eu não consigo mudar, quando vcs atualizarem o jogo poe opcão pra ter todas as bandeira de todos os paises.",5,2,1.50.12,2020-09-18 22:47:32
13,Mari,https://play-lh.googleusercontent.com/a-/AOh14GgwbqrcI_KFpVXIhCBkVrmNkLwX_Vx0ANSahgQNrw,Estou dando essas estrelas por causa que quando eu começo a jogar a bola não mira para onde eu quero 😑,3,0,1.50.12,2020-10-02 19:00:22
14,Cleuton Siqueira,https://play-lh.googleusercontent.com/-SaihTeH3gtE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkMS9nj7p8PNLccTM1OrZKpLVw4w/photo.jpg,"O jogo é muito gostoso de se jogar competitivo mais na hora do jogo não tem como forma amigos, tem pessoas que hakeiam o jogo com aquelas bolas flutuantes sul real e com aquelas bolas flutuantes não importa se eles aceitam ou não e a maioria das vezes que jogamos com eles , eles jogam para fora ou jogam na canaleta e pontuam assim mesmo vocês tinham que melhorar mais o jogo para que isso não aconteça. ......",3,43,1.50.9,2020-08-01 02:27:10
15,Braz Pereira,https://play-lh.googleusercontent.com/-HkjjMD0xUJA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2vb2yT4ySfXrZC7hhhCXsf3qpLw/photo.jpg,"Esse jogo precisa de uma atualização urgente, muito bug jogo fecha do nada , fora os trapaceiros que está estragando o jogo cada dia que passa.",2,0,1.50.12,2020-08-12 17:00:39
16,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo já foi bom mas está tendo algumas coisas ruins nesse jogo,nas últimas atualizações as pistas apareciam mas agora nessa atualização algumas pistas não estão aparecendo, isso é muito ruim porque a gente compra e não aparece. Outro ponto negativo que na atualização quando nós jogava a bola virava mas ela não vira as vezes, mais outro ponto negativo e que na última atualização quando a gente jogava a bola ne um lugar acertava mas agora não. Ponto positivo nenhum espero que vejam e atualize.",2,6,1.50.12,2020-07-26 09:54:13
17,Érica Alberguine,https://play-lh.googleusercontent.com/-YE2suUEbfjA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmau3y-s0-Okys8nFkwtJZkO-s3oQ/photo.jpg,"Jogo já foi bom, depois dessa última atualização está horrível, algumas pistas aparecem pretas, jogamos para fazer strike e não conseguimos, os pinos não caem com a mesma técnica de antes, antes era ruim apenas pelos hackers mas agora está ruim por ele próprio, se eu soubesse que ia estar assim nem tinha atualizado.",2,8,1.50.12,2020-07-26 18:51:57
18,Derick Silva,https://play-lh.googleusercontent.com/-o7YAlJ_qZgk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlN7t0BbiJYvrXXbmlWVeZGrR0DA/photo.jpg,O jogo e muito já joguei no telefone da minha mãe nunca mais joguei o jogo de novo mas agora tô jogando,5,0,1.50.12,2020-10-09 14:26:32
19,luiz alves,https://play-lh.googleusercontent.com/-nniq4apB7HY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnELPuNFLP0r2mTKH3S-bVlGRmaCg/photo.jpg,"A propaganda de 30 segundosbno término de cada partida irrita, o jogo é muito bom lamentável",4,1,1.50.12,2020-09-09 11:24:55
20,Guilherme Milhomem,https://play-lh.googleusercontent.com/a-/AOh14Gi002EMBEjZKGCIvVDTCbLjYi6ULRP2GsFCkb1DsgY,O único problema são as propagandas que aparecem today vez a cada fim de jogo.,4,0,1.50.12,2020-09-11 10:59:28
21,Wemerson ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhWo9KQ4DDUb3z994SedVYI2Kqe1WYdwF09ge5jyQ,O jogo é muito bom. Só precisa melhorar o o diálogo com a outra pessoa,5,0,1.50.12,2020-10-20 12:47:22
22,Arielly Pires,https://play-lh.googleusercontent.com/-HIxNp3ruBdM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmoVkXa3yoD-PwNubEM52xSG_7kpQ/photo.jpg,"Colocar outro modo de jogar,por que é muito ficar balançando o celular então coloca algo melhor mano.",3,0,,2020-10-18 03:13:12
23,Diego Silva,https://play-lh.googleusercontent.com/a-/AOh14Ghv8XlazKEI0Y44cnBCND16WYpqFkZ1MF7yvgmmtQ,"Há muito tempo esse jogo sobre com um bug bem chato. No meio da partida do nada aparece a mensagem ""Você foi desconectado inesperavelmente, verifique sua conexão."" sendo que de acordo com o próprio jogo a conexão está boa. Devido a esse problema desinstalei e voltei agora mas pelo visto terei que deixar de lado novamente caso não resolvam. Fora isso nada a reclamar.",3,3,,2018-12-26 09:10:04
24,Erik Pereira pizzaiolo Doctor da pizza,https://play-lh.googleusercontent.com/a-/AOh14Ghbr3FtA7StrP0nFGhBH6at2ePTmXCRXozBHD5yNQ,Ofavorecido é sempre o adversário sempre rouba nas jogadas ñ obedece kkkkkk,3,0,1.50.12,2020-10-10 02:16:26
25,Norika Aga,https://play-lh.googleusercontent.com/-0OvYVgBqda4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmR_qnmY_IIhFgxAhI7HasBWtmGnw/photo.jpg,"Depois da última atualização o jogo ficou totalmente ruim para jogar, jogo a bola reta e do nada ela vai pra canaleta ou então fala que bateu em algum obstáculo sendo que nem bati. Precisam arrumar esses erros... senão não dou 5 estrelas!",3,0,1.50.12,2020-08-10 10:07:50
26,Fábio Santos,https://play-lh.googleusercontent.com/a-/AOh14GhvuZEO2PPE5lPAMPbbG1xXigLzUvKvy4ddxx0KJg,"melhorou bastante, mas deveria ter mais opções de diálogo. Eu Pensava que o jogo estava fechando muito, mas está tendo um bom equilíbrio de conexão me desculpem. Como nada é perfeito não da pra criticar só fazer sugestões. Como eu disse precisa acrescentar mais frases pra dialogar. De resto está bom.",5,212,1.50.6,2018-12-11 10:57:57
27,Sandro Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgEAbOXfebbMgLNH6woIrDVUY6MDl14oUIs2vKIg5o,"Muito bom o jogo, competitivo, com gráficos muito interessantes. Realmente uma pena não poder se inscrever no perfil que não tem Facebook, por isso as três estrelas.",3,7,1.50.9,2020-05-17 15:19:04
28,•Flaake Kun•ツ,https://play-lh.googleusercontent.com/a-/AOh14GjC-1vhQc3W-jFooQY7DEIz7XW06A84LqljovJD,"Muito bom, eu jogava desde de pequenininho, e o jogo ainda esta muito legal de se jogar, é uma experiência incrivel, se eu pudesse dar mais estrelas eu daria: 10000000000000000000000000000000000000000000000000000 etc",5,0,1.50.12,2020-07-28 13:52:23
29,Silviene Agostinho,https://play-lh.googleusercontent.com/-w49IzMKIGN8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7aSJ5ClQetuqOZU5AhxroGQVH5Q/photo.jpg,"E um koko não da mano vc ta no nivel 10 eles botão gente do nivel 99 , 40 , 50 pra jogar com agente nunca alguém do mesmo nivel não baixe a não ser que resolva esse problema",1,0,1.50.12,2020-08-06 14:32:00
30,Gustavo Tonin,https://play-lh.googleusercontent.com/-s-6BwIRSGGE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXtipFDhcd7QW2VncwSLDqGGCnbQ/photo.jpg,"Poderiam melhorar a interface do jogo, dá impressão de ser jogo mal feito, menus muito pobres, colocar sistema de baús também para ganhar itens e progressão de nível, pq pra jogar em qualquer fase, basta ter moedas, não tem sequer nível de jogadores. O gameplay é bom, mas falta essas coisas que citei pra motivar mais a jogar, como em outros jogos PVP que existem",3,20,1.50.8,2019-12-12 10:21:21
31,Sempre Que Você Ler Os Comentários Eu Estarei Lá,https://play-lh.googleusercontent.com/a-/AOh14GhQU5_KQP1D7rA9SOB0CIQ30CJIp9ehHcPykxEmxg,"Esse jogo e muito bom, vou dizer algumas características como: primeiramente ele é online, tem uma boa jogabilidade, agente consegue fichas rápido, e além de tudo ele e gratuito e você pode conseguir bolas de boliches bem legal sem precisar pagar, e e por isso que eu gostei do jogo.",5,93,1.50.8,2019-09-14 22:03:52
32,Sombra 3kG,https://play-lh.googleusercontent.com/a-/AOh14GgVRybUMz2ggcaVWDqnACQLuEEPejCEdRSeGs4l,O jogo é ótimo mas precisa melhorar isso de ter conta só pelo face podia ser pelo Google ou pelo play games e também isso de adicionar o amigo pelo número também vê se arruman isso ais tirando esses dois o jogo é ótimo,4,0,,2020-05-24 22:45:46
33,Sarah Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgTYBYCX0NXVrHrwfVFEKq_uqb1nfMfuSXu1qrJ,"Esse jogo é muito bom, viciante e é ótimo pra passar o tempo, mais seria melhor se ele tbm fosse offline e os desafios fosse mais estigantes.",5,6,1.50.9,2020-05-14 13:24:07
34,Amosse Zefanias,https://play-lh.googleusercontent.com/-RWR1I5ljW7U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucne3oaD71-8GLrueNAWmro3WiwFoQ/photo.jpg,"Deveria ser mais clara nas opções dos jogos, apesar de ser um bom aplicativo/jogo mas tem de melhorar porque fica um casino que exige muito para ser entendido",4,1,1.50.9,2020-05-16 03:13:58
35,Maria Jesus Aires Cerqueira,https://play-lh.googleusercontent.com/a-/AOh14GjUajeJAdHNmphHGOu5LFiQDRG3gpafdQ9vbya2nw,Não posso da nada agora tem rak Eduarda do Brasil tem rak em las vegas me roubou agora ela ta com 12B 678m607mil estrela 170 e bandida tem rak presta atenção ok obrigada hei devolve meu dinheirinho q vcs roubaram adiministradores 2 vezes ja ok ja foi bom este jogo presta atenção ok,5,17,1.50.12,2020-11-07 09:14:23
36,Amanda&Denilson Santana,https://play-lh.googleusercontent.com/-FX2r3UfHahc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9SA7FuhX8aRp-CRXOQAZXBzhLzw/photo.jpg,"Jogo ótimo, porém não estou conseguindo vincular com minha conta da playstore( play games).",3,0,,2020-11-03 23:36:31
