,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mariane Braz,https://play-lh.googleusercontent.com/-XrqnyaxRMiA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnP1u2glRpvNSUGeg1eOu1Uc2VenQ/photo.jpg,Eu gosto muito de jogar porém estou com um problema para continuar jogando... Eu jogava no Facebook e pelo PC... Qndo baixei para o celular ele logou todo meu jogo salvo... Amei... Só que para desbloquear o próximo caso eu preciso de 3 amigos para continuar porém não conheço ngm q joga... Vou ter q desinstalar?? Ou tem alguma outra forma de abrir o próximo caso?,3,162,2.35,2020-10-28 20:05:36
1,Daniela Dias,https://play-lh.googleusercontent.com/-g2STMyrK5xQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckiTwuN1MGLjx09HWeSFhQTiLIfaA/photo.jpg,"O jogo é ótimo, muito bom. Só não dou 5 estrelas pelo fato de que, quando acabo um caso e vou para outro, eles pedem para conectar com Facebook e não tenho Facebook. Sou obrigada a esperar 24 horas para jogar num caso novo ou pagar para desbloquear e isso desanima, desanima esperar 24 HORAS para jogar. Os desenvolvedores poderiam diminuir o tempo de espera. Está tendo um recurso grátis e ele durará 23 horas e eu não poderei usar porque sou OBRIGADA A ESPERAR 24 HORAS OU PAGAR para jogar",4,494,2.35,2020-10-09 13:20:54
2,angela gabi,https://play-lh.googleusercontent.com/a-/AOh14GjwNgkIupnZZKyKcJjX3Vo25TizdD8UNBGs-7dj,"Gosto bastante do jogo, a história envolvendo crimes etc também são muito boas. Mas oq me deixa triste é o absurdo de propaganda, quando acaba uma investigação já vem propaganda, e isso deixa o jogo chato e estressante. Sem contar as análises de """"amostras"""" que demoram muito tempo para acabar.",4,79,2.35,2020-10-10 23:55:17
3,Eliih Costa,https://play-lh.googleusercontent.com/a-/AOh14Gi1p2-APWYLOvQ-58m326kLJYeFY-gSvjCaEpoMoQ,"Decepcionada pela terceira vez que assisto um anúncio pra ganhar energia e não tenho o retorno das energias , vocês deveriam averiguar esse erro no suporte do jogo de vocês , está causando descontentamento, de resto é bom ,mas deveriam melhorar nesse requisito de energia.",4,15,2.35,2020-10-24 01:40:03
4,Amadeu Martins,https://play-lh.googleusercontent.com/a-/AOh14GhvG03We3f9uNedOqCIwiPj5svh6lC9pqX4kmDepg,"Bom o que me decepciona é a quantidade de propaganda no jogo simplesmente já tive de reiniciar o jogo por causa de algumas propagandas acabar bugando o jogo eu sei que propagandas ajuda no rendimento mas poderia diminuir um pouco,mas curto a possibilidade de conseguir energia assistindo uma propaganda tirando isso o jogo na minha opinião o jogo está ok",4,362,2.35,2020-10-06 03:21:03
5,Noferin Poder,https://play-lh.googleusercontent.com/a-/AOh14GjNmc5uQwc4nm_vgQIiRw5gIBdSHl1Csl1WJk3LcA,"Todo jogo que aparece anúncio aleatório sem te dar nenhum benefício no jogo por ver o anúncio, merece a pior avaliação possível. Anúncio sem ser solicitado em troca de benefício é apelativo e irritante, acaba com a credibilidade do jogo.",1,0,2.35,2020-11-08 13:56:24
6,Laura Mutola,https://play-lh.googleusercontent.com/-werM9V1GbfU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9u5fhXbF8LXCrKEaqkYvi-Uw1Gw/photo.jpg,No início achei k fosse bom. Mas agora pra ganhar estrela é muito dificil enquanto a energia leva horas e horas pra encher e agora k tou no nível 3 diz que tenho k recrutar amigos ou pagar pra poder jogar . Quando baixei o aplicativo a expectativa era de ser um jogo offline e bom mas não é o que parece,2,1,2.35,2020-11-05 18:01:41
7,GSC,https://play-lh.googleusercontent.com/a-/AOh14GgWFliWqLOwlxvLqKRwRzShCRnSpPj7Lxg4s0Um,"O jogo está cada vez mais detestável, entope de anúncio inútil, mas anúncio que beneficia o jogador não tem nenhum. Não adianta nada conversar com a desenvolvedora. Fica difícil platinar e divertir-se desse jeito!",1,660,2.35,2020-11-08 03:29:09
8,stephany kelly,https://play-lh.googleusercontent.com/a-/AOh14Ghg7j2tjZKtGFs8FHapocdU7ozsalZbMn3qAoK1,"Olha eu gosto muito desse jogo, já joguei desistalei ele é agora oi eu de novo jogando. Pois bem eu só dou as 4 estrelas porque ele e super legal mais deveria nós jogadores poder trocar o dinheiro do jogo pela energia, porque muitas vezes vc não precisa daquele dinheiro pra comprar roupas ou assessórios e sim vidas, energias pra continuar, então fasam isso por favor. É MUITO OBRIGADO PELA ATENÇÃO FAÇA ISSO É TERÁ ÀS 5 ESTRELAS",4,30,2.35,2020-11-05 18:09:11
9,Virgínia Cavalcante,https://play-lh.googleusercontent.com/a-/AOh14GimtWk6NprdscxKpzvOpUIH_mkDgIVzKo7do3ZN0Q,"""Era"" meu jogo de investigação preferido, mas foi com tristeza que ao baixar novamente, notei que todos os meus amigos do face sumiram, e que tem propaganda em excesso. Desinstalando agora, com muita dor no coração.",1,3,2.35,2020-10-31 18:48:41
10,Ketlen Lorraine Silva Nogueira,https://play-lh.googleusercontent.com/a-/AOh14Gj_9vhJs0jdtO6boREaBJ7jsXN9hGehijrrisYd,"Um dos melhores jogos dessa categoria que eu já baixei. Gostei muito; mas algo que me encomodou foi o fato de a energia acabar muito rápido, e de as análises demorarem muito. Se vcs arrumarem isso, nós que jogamos agradecemos.",4,349,2.35,2020-10-03 00:26:04
11,Aline Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjeFJ45YmQEn-HZO36BCW9O2A7PiuvpYHRPr7YH,Eu adoro esse jogo. Mas desinstalei do meu celular sem querer e eu tive que instalar novamente. Agora voltei 3 casos atrás e o jogo travou. Não consigo abrir nem um caso mais. Me ajudem com isso aí.,5,2,2.35,2020-10-29 09:36:46
12,Alice Rezende Montané Vila,https://play-lh.googleusercontent.com/a-/AOh14GjvTi4305SxdWvm3-p4W_tbUqwjwCKQ622YnsQN0A,"Incrível,muito bom o jogo,não é tão viciante pois tem que carregar as energias para continuar a jogar,é muito bom recomendo.",5,0,2.35,2020-11-07 21:13:28
13,Jéssica Machado,https://play-lh.googleusercontent.com/a-/AOh14Gjtq0T1kK5nFChTFzyCgSkrOfzvc45a3Xmmozi_jw,"Além de muita propaganda, são muitas etapas para concluir o caso e quando completa todas as estrelas, eles abrem tudo novamente. Ficou muito chato!",3,3,2.35,2020-10-28 14:28:01
14,Winner Games,https://play-lh.googleusercontent.com/a-/AOh14GjghAQgX6VBtCXSMYf94ubsKAZkaBv6Zw3innc4kA,Jogo muito legal mas não vou dar cinco estrelas porque eu acho que poderia tirar a energia porque ele limita muito e demora pra recuperar e também acho que deveria abaixar o tempo de análise porque eu já fiquei 3 horas só pra descobrir uma digital mas tirando isso o jogo é muito bom e eu recomendo,4,90,2.35,2020-10-03 18:18:14
15,sofia francisco thuma,https://play-lh.googleusercontent.com/-2uVzp8FUTQ0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnfqAB9bBFxsECUKcy8-dJhol-Eeg/photo.jpg,Instalei hoje e comecei a jogar hoje é bom o jogo. O problema é só os vídeos que tem que assistir toda hora para obter a energias tirando so isso o jogo é bom.,3,5,2.35,2020-10-11 18:25:36
16,Henrique Goon,https://play-lh.googleusercontent.com/a-/AOh14Ghh1J3eYPh8smRO7egz7EOV3DAZJHthEM3NU5cb-A,"Assistir o anúncio quando se ganha 20 de energia, ainda vai, tudo bem. Mas é chato toda vez que analisamos uma cena ter que ver anúncio sem motivo algum. Muito anúncio..... Chato!!",3,3,2.35,2020-10-15 18:20:54
17,Vitória Aparecida,https://play-lh.googleusercontent.com/a-/AOh14GimTQuyrBhHAE19bhZi-sQx3IYegTaGvCdzEfFS,um jogo que gosto muito então algumas coisas pressica mudar mas nn vou citar as coisas um jogo tbm serve pra quem quer ser detetive e descobre muitos casos o jogo é legal parabéns pelo jogo!!! i👏🏽♡,5,1,2.35,2020-11-05 09:46:04
18,Diego Duarte,https://play-lh.googleusercontent.com/-_W4ihaakcvk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnutAYXaiNlTQWutpc1a_oA8qYcaw/photo.jpg,Jogo muito bom porém tem que esperar 24h pra poder entrar em outro caso é tem a questão da energia que acaba muito rápido fora isso o jogo é perfeito.,3,2,2.35,2020-10-26 22:07:56
19,elizete maria do nascimento,https://play-lh.googleusercontent.com/a-/AOh14GiHPdgjJT6yo803MH-9bTRjtP4KICm58iL5CCAX,Muito anuncio enche o saco e é demorado os anuncio vai terminar eu para de jogar a pessoa é obrigada assistir cada jogada um anuncio um saco,4,1,2.35,2020-10-30 19:19:31
20,Wendel Nunes,https://play-lh.googleusercontent.com/-zEM01773Ous/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclVfdZkkOZ8GCpmihOo-MG_YkXH0w/photo.jpg,Esse jogo é muito chato tem que gastar todas as estrelas tem que gastar todas as energias e para ganhar uma estrela tu tem que resolver mais ou menos mais cinco vezes o mesmo caso uma estrela ainda é muito não era para dar nenhuma,1,30,2.35,2020-10-03 16:29:48
21,Luã Luis,https://play-lh.googleusercontent.com/-38ud1FeNRmw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnS4wA3gbRT8xNlrRmm5lk6BbsVwQ/photo.jpg,"O jogo é bom, porém na última atualização eles reduziram o tamanho da tela. Estou retirando duas estrelas por esse motivo, consertem isso.",3,15,2.35,2020-10-03 08:17:44
22,Gilmar Pereira do Nascimento,https://play-lh.googleusercontent.com/-Qr6zSEsxqJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckFbWW03rZeholaUFclGymZXHusDQ/photo.jpg,Gosto muito do jogo. O chato que perdemos muito tempo conseguindo estrelas pra resolver o caso. Fora isso o jogo é ótimo 😃.,5,1,2.35,2020-10-28 07:37:36
23,João Gabriel Vieira Santos,https://play-lh.googleusercontent.com/-rv_ODW6k6ng/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnReA2f5aPHep9AW6rwa-b04GW7yg/photo.jpg,O jogo e ótimo de mais.alem de ser um jogo se vc quiser ser um detetive da polícia ele já e uma dica pra isso.gostei está de parabéns esse jogo e a empresa 👏,5,0,2.35,2020-11-07 14:06:56
24,Marcos 230,https://play-lh.googleusercontent.com/-QCuaNgzth-o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNtirjo0m0xmdIxryZPi9Ofk8OwQ/photo.jpg,Jogo muito. Antigamente hoje em dia toda hora tem anuncio! Acabaram com o jogo! Ate desistalei de novo!,2,1,2.35,2020-10-27 02:32:38
25,Igor Leal,https://play-lh.googleusercontent.com/a-/AOh14GjjiYN3tnX9Q64uZQgu6Pa05VSkEvV9pmaQYq49vw,O jogo é ótimo! Mas vou excluir. Pois não quero ter que pedir relatórios a amigos para poder passar para a próxima fase.,3,1,2.35,2020-11-02 10:01:26
