,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mateus Auditore,https://play-lh.googleusercontent.com/a-/AOh14Ggvoa1j8snL5SOpj-5YwQT-NmdcIwBP-lemxTfdfw,"O jogo é bom, porém poderia melhorar. Ter a opção de mudar escadas de lugares ou recolher as escadas que mal se se usam elas seria uma boa. Já era pra existir a 2ª verção desse jogo.",5,9,1.6.6,2020-09-24 16:44:26
1,Eudes Nascimento Silva,https://play-lh.googleusercontent.com/-3aXEqRWMcJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJhYptKkFs-9sseajf1nGrOc-tcg/photo.jpg,É um jogo legal gostaria de um novo jogo com mais dificuldade colocar novos itens e missões de encontrar itens raros usuar dinamite para quebrar pedra mais difícil e colocar novos maquinarios fora colocar mais personagens para jogar e um modo de Minas mais complexas com mais risco com oxigênio do personagem cansaso seria mais legal,5,15,1.6.2,2020-06-09 17:18:02
2,Cassio Almeida,https://play-lh.googleusercontent.com/a-/AOh14Gh0CLsH2kq0XLRGks4ghmiJCnSKyFlrGIyAgIdsjw,"Muito divertido, mas devia ter outros mundos, uns 5 mundos ou mais",5,2,1.6.6,2020-10-28 07:13:12
3,Anderson Karnopp,https://play-lh.googleusercontent.com/-AD1aeqTfTx8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVmrnbKYbkPpEVE_4ajDxeffgHWg/photo.jpg,"Gostaria que pudéssemos remover ou mudar escadas de lugar e que existisse algo para perfurar as pedras. Outra coisa legal seria poder dar upgrade no boneco mineirador, para que ele ficasse mais rápido ou aguentasse mais tempo sem os kits de primeiro socorros. Poderia ter mais opções de pedras e itens valiosos no jogo, depois de um tempo fica chato sempre as mesmas coisas.",4,14,,2020-05-05 22:07:49
4,lucas ale,https://play-lh.googleusercontent.com/a-/AOh14Ghpu1rpV4Vxx7NLWafR10wW5rrNByMrjrTLKb0Gjg,"O jogo é bem legal, adicionem mais tipos de minérios, ferramentas, entre outras coisas pra serem melhoradas ou compradas pois com o passar do tempo não há mais o porque jogar ja que comprei e melhorei tudo do jogo, assim o jogo fica chato com o tempo sem nenhum objetivo, por esse motivo vou desinstalar, quem sabe se houver atualizações com mais objetivos eu volte a instalar o jogo!",5,26,1.6.2,2020-03-30 20:49:47
5,Lucas Yuri,https://play-lh.googleusercontent.com/a-/AOh14GjDQYZmKp13amMhQnUPuzV426-JrziVKnu-QjRuvA,"Sinceramente, esse app deixou muito a desejar. Poderia ter uma jogabilidade melhor, recursos, um sistema de jogo mais esquematizado e um salvamento automático. O personagem poderia pular, em vez de só usar escadas o tempo todo.",2,0,,2019-11-18 11:40:12
6,Eduarda Veloso,https://play-lh.googleusercontent.com/-80nNKe5vCrM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWUjI6tpZ4m_OT-JQWAzbQ4WpVCw/photo.jpg,"Quando vou jogar, aperto no botão de continuar, mas não da certo aí tenho que começar um novo jogo, perdendo meu progresso. Por favor melhorem isso. É um truque para ganhar dinheiro. Não percam seu tempo jogando isso.quando voltarem, perderão todo o seu progresso. Não baixem",1,2,,2019-12-21 13:09:12
7,Luan 4749,https://play-lh.googleusercontent.com/a-/AOh14Gi3OBmtdl902bJI4SoSnT3b5l8FotzDGQqKRwkDJw,"O jogo e bom mas tem o que melhorar Exemplo:Colocar NPCs Interativos,Ter Algum Objeyivo no jogo tipo o jogador ter como comprar uma casa e ter como comprar coisas para decorar ela,ter como comprar um pet,etc o jogo e bom mas tem muito para melhorar",3,17,1.5.32,2018-10-07 21:37:14
8,Thiago Golfetto,https://play-lh.googleusercontent.com/a-/AOh14GhdsB4DdRXzonwk7vgjknbWACOCtC1j6_2jArhe,"Tem potencial pra ser um bom jogo , porem tem alguns bugs e poderia ter mais itens e mineraveveis bem como não faria mal ter mais obstaculos!",3,1,,2020-06-27 13:12:54
9,Lucio Almeida,https://play-lh.googleusercontent.com/-ZsbfWBX6Uzg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRJjT70j6AC5P-20Odp9mzsuFAvQ/photo.jpg,Muinto bom ums dos poucos jogos que tem como termina sem precisar comprar com dinheiro de verdade.,5,0,1.6.6,2020-09-17 19:00:39
