,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rosana Leite de Andrade ferraz,https://play-lh.googleusercontent.com/-UTiKsQm15xo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn5aQrQPKt56avMONbgx_dYBnsHzw/photo.jpg,"Gosto bastante de jogá-lo, só poderia ter mais opções de temas (palavras ). Gosto de bater o meu próprio recorde quando tenho tempo. É relaxante, me dá mais concentração e me distrai.",4,25,2.3c,2019-07-16 05:13:22
1,Ivanalda Lucia,https://play-lh.googleusercontent.com/-Fl7hc2nAW7U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldxmbDPhZ337iuEP1qtdCNh4eWYg/photo.jpg,Nesses tempos de pandemia tem sido um passatempo instrutivo e maravilhoso. Obrigada.,5,23,2.3g,2020-05-28 17:24:12
2,Krisna Marques,https://play-lh.googleusercontent.com/-R96bvkIgVeQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmGZbqUFpuQsOktTuLHwUEqsEDXsQ/photo.jpg,"Eu gosto. Apesar das palavras muito repetidas. Desenvolve a velocidade mental. Não fica melhor porque fica mais decorado , mas tem muitas opções. Obrigada",4,8,2.3c,2019-07-18 01:04:19
3,Beatriz Mota,https://play-lh.googleusercontent.com/-yW0h0Trx4f8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclz5cIv9vL_WiKG5V_j4pc1Doh6xg/photo.jpg,"Um bom jogo. Pode ser melhorado através de divisões de temas mais precisas. Por exemplo, quando escolhemos Brasil, que é bastante amplo.",4,6,2.3b,2018-09-30 22:19:12
4,Alda Gomes,https://play-lh.googleusercontent.com/-qxqDpgY6FQ8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl6-tYCGpbsM5JpeODngX3qr8go3g/photo.jpg,"Maravilhoso, principalmente que trabalha nossa mente e se estivermos em algum lugar, que não possamos usar i face, insta, temos na frente da tela um joguinho ótimo.",5,18,2.3b,2018-09-19 23:29:46
5,Maria Das Graças Pena Campos,https://play-lh.googleusercontent.com/-n0waZg1yftQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckujIjxYvk7U4ZpSpSHeMWAazOF8Q/photo.jpg,"Adoro esse app,jogo quase todos os dias.Acho legal que tem cronômetro,e com isto tento bater meu próprio recorde ...",5,8,2.3g,2020-07-16 20:00:29
6,Crescendo com Elizabeth,https://play-lh.googleusercontent.com/a-/AOh14Gg-oIE9XtXkzTvSjHTHUew4TVP7fWdAgNyzuOuG7g,"O aplicativo e muito bom, inclusive para os pequenos treinarem concentracao, paciencia e leitura!",5,48,2.3c,2019-03-09 09:02:42
7,Silvana Lira,https://play-lh.googleusercontent.com/a-/AOh14GiPBYll0EV_YfyQtQIkj26QDXFp2Asd5llF3S63dlE,"Excelente jogo. Meus filhos, com 6 e 8 anos, brincam diariamente comigo. Muito bom para reforçar a memória.",5,3,2.3b,2019-01-05 18:03:25
8,Giovana Gih,https://play-lh.googleusercontent.com/-mYgmwWEJPAc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclbbQOOw0Um4aAXvCO8tvj5XKUSDA/photo.jpg,Gente nao abaixa esse jogo .... Pra quem tem problema de visão esse jogo não e pra vc . Quando agente põe no 6 vezes menos .. ele não vai aí quando vc termina tudo ele fala que o jogo parou só porque vc fez um tempo piqueno péssimo este jogo,1,25,2.3g,2020-03-27 18:35:55
9,Yvone Malebo Malebo,https://play-lh.googleusercontent.com/a-/AOh14GinWNeOH2j-VcpO9d_rOsq_oW_UdpxYs9d11fkA,"É um jogo muito bom p a memória,ajuda na concentração,posso dizer q tb alevia o estresse e ajuda na paciência,sem contar q a pessoa aprende novas coisas. Muito obrigado e parabens",4,92,2.3c,2019-05-13 14:53:55
10,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,excente para memoria. principalmente quando você quarda as coisas e depois não lembra a onde colocou.,5,2,2.3c,2019-03-22 14:37:18
11,Lúcia Helena dos santos,https://play-lh.googleusercontent.com/a-/AOh14GgepLuM2jaAHxtv4dMFOSrIlMVz6m3xOsyfv1VyIQ,"Poderia variar mais as palavras , gosto de jogar o modo fácil, pois as letras são grandes",5,44,2.3e,2019-10-24 12:35:08
12,Angela Azevedo,https://play-lh.googleusercontent.com/-dWhCzz-cNVY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfScRovBYSVyHChLz3iZFyNNNt5g/photo.jpg,esse jogo está na minha lista de jogos instalados (quer dizer que já tinha esse )mais fui conhecendo outros jogos e escolhi o que pode mais é bacana,4,2,2.2f,2019-05-10 20:25:27
13,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gosto muito de caça palavras e outros jogos que são bons principalmente para exercitar a mente dos idosos obrigado por esses passa tempos,5,11,2.3c,2019-02-10 00:28:01
14,Gisele Sabino,https://play-lh.googleusercontent.com/a-/AOh14Gisg-pRacRa8YhNLu6tCYxw9XgiYX3AGx_J4o7B,"O jogo é importante exercita a memória, treina construção de vocabulario e otografia.",5,4,2.3b,2018-10-05 02:53:34
15,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"E um bom jogo, porem tem vezes que se torna monotono e o quadro ja feito nao sai ds tela tendo q sair varias vezes",4,45,2.3c,2019-02-02 08:18:11
16,Jesus Ferreira da Cruz,https://play-lh.googleusercontent.com/a-/AOh14GgzQitO_LDqsozTV5HlNucWYo4t30aUJosGV31I,o jogo é prámim e um passa tempo devertido gosto muito o caça palavra e tudo para mim obrigada.,5,3,2.3c,2019-05-16 17:30:23
17,Tilson Sousa,https://play-lh.googleusercontent.com/-kSec_WsoGwQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucliGCiiM_kcskhnW_5eBWaAVhYopw/photo.jpg,um ótimo passa tempo principalmente pra pesdoas de idade avançada.,5,2,2.3c,2019-05-17 11:09:32
18,João Sampaio,https://play-lh.googleusercontent.com/-PcVyQzkBrLg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNa8ip6xZgo2zStWYVkDy4XyoS7w/photo.jpg,"gosto muito deste jogo, me trás conhecimento e al mesmo tempo exercita o meu cérebro. Não esquecendo que eu não ganho nem uma partida da minha mulher.",5,16,2.3c,2019-05-20 19:46:40
19,Teresa Navega,https://play-lh.googleusercontent.com/-NHqCWT0fyGU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnAqSTDuroQ9DiW83loEBHNdmrImw/photo.jpg,"É o caça palavra normal, por isso gostei. Não tem o que falar se você joga o de rev ista é simplismente o original por isso dou 5 estrelas",5,40,2.3g,2020-02-02 19:58:08
20,frança oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhVAClj0F270f_KqUHHA1Yhm5drdym-c0icpGY,"vivia se oreocupabdo atoa o caça palavra exige atenção e paciencia, então relaxa a cabeça pra se preparar para atenção",5,2,,2019-06-02 00:08:08
21,Ana Carolina Cardoso Porto,https://play-lh.googleusercontent.com/-08tL0R_kkMY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnFNWo6O1to0NacBAayj_wHFl7_EQ/photo.jpg,Ñ consigo entrar no jogo mas consegui instalar mas deve ser legal igual uma pessoa falou deve ser ruim para quem tam problema de visão!!!,1,14,2.3g,2020-04-26 21:12:51
22,Hilda Sabio,https://play-lh.googleusercontent.com/-mpbdkdfxIuw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSWn6HWp4FOdyNqVzbBPSsQqwvaw/photo.jpg,"me divirto muito ,enquanto uso a visão ,memoria e principalmente atenção",5,1,2.3c,2019-05-27 20:14:16
23,Emilia Gouveia,https://play-lh.googleusercontent.com/-zdL14SsD7EU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4zyLLjpsQy8Vs2e3Ecg-buxzFmA/photo.jpg,"estou gostando bastante, apesar de ser mto lenta. 🤣",5,4,2.3c,2019-04-22 13:40:36
24,Joana Bezerra,https://play-lh.googleusercontent.com/a-/AOh14GjgVHR3WHIh_28-G-wWlyz1rVQUmwBW3umIKFF9kg,"Muito bom! Mais já votei e sempre que abro o app ele pedi para eu votar novamente! Isso tá chato, pensando em desinstalar.",4,4,2.3e,2019-10-23 18:14:17
25,Dilza Bazeth,https://play-lh.googleusercontent.com/a-/AOh14GiTQOcpXyUoreHYIq1QxN9VxJpmZ37iELs_YL0x,"MUITO BOM...Perfeito para distrair, aprimorar e exercitar a mente !",5,4,2.3e,2019-12-08 12:59:53
26,Dani Trindade,https://play-lh.googleusercontent.com/a-/AOh14GgZjz3RTaEW2qQIf05JZp5fYPwNFbd5S09LnEswgg,"Excelente passa tempo muito bem elaborado,e o melhor de tudo,É de graça !!",5,12,2.3g,2020-04-28 10:25:34
27,Cristina Gil,https://play-lh.googleusercontent.com/-gjufBnimRNE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHuUMjDse16tsbj96z9HtMIy4k0g/photo.jpg,O app tem que ter mais facilidades para manuseio,1,1,,2018-09-26 10:28:43
28,Sarah Felicio,https://play-lh.googleusercontent.com/-NjhWzmyJ8SM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrST16Y40opS2OLh_Vnk8Y4ujpGw/photo.jpg,"É um ótimo passatempo, gosto muito desse app",5,0,2.3g,2020-10-12 00:36:21
29,Lucicle Augustin,https://play-lh.googleusercontent.com/-Mn2lB9Zkf0o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfCtrZAEQOGKtO9x6eSC63Fobw3A/photo.jpg,Mantém a mente ágil Um excelente passa tempo Não gosto de jogos que estressa Jogos não foram feito para gerar estresse,5,7,2.3g,2020-03-29 23:01:00
30,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Eu gostei muito desse app; mas nos animais, quando acha a última palavra, voltam 3 palavras.",5,1,2.3b,2018-12-22 14:43:16
31,Fátima Rodrigues,https://play-lh.googleusercontent.com/-koSp_EfEX-I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJXGSzjzvpq3zmHACRge14x1bbCA/photo.jpg,"Muito boa, é uma forma de passar o tempo e cultura geral.",4,19,2.3f,2020-01-13 14:35:10
32,Sueli Ileus,https://play-lh.googleusercontent.com/-tMWoI7Lixsg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckSPugMmXu69ET_CN7jCgp8-9TWRQ/photo.jpg,bom para aprender o necessário usando palavras e encontá -las até de traz pra frente....,5,1,2.3b,2019-01-17 22:21:49
