,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Eric Marcelino,https://play-lh.googleusercontent.com/a-/AOh14GhD_rls0f73LiIEiGjoXMOSVP0kW9Q3qm2BKQxFGg,"Esse jogo já foi ótimo, mas agora tá com muito anúncio a todo momento, não tem nem um pouco de necessidade de ter tudo isso! Estraga a experiência demais... Horrível, acabaram com o jogo!",1,17,4.1.4,2020-10-28 09:38:05
1,Carla Oliveira,https://play-lh.googleusercontent.com/-F9BmCiC-m34/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnODMnUEeOAT-tI-459DpBjD7KMPQ/photo.jpg,Eu uso o App há muitos anos e adoro. É o melhor nessa categoria. Porém ñ vejo mais temas diferentes. Antigamente era sempre atualizado todo mês com temas novos. A única coisa q tem de diferente são esses torneios q pra mim ñ tem graça. Eu queria que atualizassem os temas que parecem estar abandonados!,3,46,4.1.4,2020-09-23 19:10:09
2,Stoiker Kalei,https://play-lh.googleusercontent.com/-IC5ZPkdsNMg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_6hwGw3Yhbdui-flDDP0UTBtsmA/photo.jpg,"Gostaria q desse pra ver o nível de pessoas acima de nível 2000,pois aparece 1999 E tbm um modo sobrevivência,q seriam 10 participantes na rodada,seriam 10 perguntas,se alguém errasse a pergunta estaria eliminado,e os únicos q responderem todas corretamente dividem o prêmio",4,17,4.1.4,2020-10-12 00:30:25
3,alexandre marques,https://play-lh.googleusercontent.com/-XY576Tow4dM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmn2FVSfC-kHq1zCpts_9zK4RxIkg/photo.jpg,"Deixei 3 estrelas, pois uma coisa que me incomoda bastante é aparecer outros temas ""surpresas"" no meio de temas que eu domino, na maioria das vezes temas quais eu nem faço idéia do que são, e acabo perdendo não por errar o assunto escolhido, mas por errar uma questão aleatória qualquer da qual eu não faço idéia do que se trata, acho isso bem chato.",3,51,4.1.4,2020-08-25 14:05:11
4,Nathalia Nathalia,https://play-lh.googleusercontent.com/-kiMvU3TRXrI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnau9JhC1gbXJsv-97ycDI5iThWKg/photo.jpg,"Depois que formatei o celular e instalei o quiz up de novo, ele não foi mais o mesmo. Sempre da erro de conexão ou algo do tipo e não é a minha internet. Estou decepcionada porque esse é meu jogo preferido.",1,0,4.1.4,2020-11-07 14:55:32
5,antonio almeida,https://play-lh.googleusercontent.com/a-/AOh14GgK-lwXAA3T9S-Hu1HezHRMzKYvdzVZynG6Imt6,"Jogo com layout muito confuso, não sei pq, não consigo ver as imagens nas perguntas.",2,0,4.1.4,2020-11-03 10:12:31
6,Hionara Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gh9IgZH58TjrwaiOS9i2lOdfNGmkdZQU6ZKXRGz-nA,"Eu até daria 5 estrelas, mas não dá pra remover as fotos que você posta. Tenho uma conta desde 2016. Quatro anos é bastante tempo, as pessoas mudam. Já postei várias coisas, quero apagar mas não consigo. Mudem isso, por favor.",4,148,4.1.4,2020-07-15 18:40:58
7,Rikel Garcia,https://play-lh.googleusercontent.com/a-/AOh14GiV1ycp5Jhd1PmRrFwJTG9AvVeGJRLc14sw8xXzNA,"Um jogo bem legal, mas deveria ter mais plataformas de jogo como (Seres Mitológicos).",5,4,4.1.4,2020-08-29 12:15:53
8,Ikra Macamo,https://play-lh.googleusercontent.com/-rv6nZyahYRE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8OAdHAYJ_oPJ6pyq54gp-6LQAKg/photo.jpg,"Baixei a app no meu tablet, joguei pela primeira vez e gostei muito. Mas quando eu quis jogar horas depois, aparece *Um momento...* e a processar. NÃO sei a que se deve e gostaria de saber a solução.",3,33,4.1.4,2020-07-25 15:27:35
9,Henrique Viola,https://play-lh.googleusercontent.com/a-/AOh14GgVnVi09MFwBn99MrHKgPuIyxKd6Hco8CwK2YVI,"Ideia boa, jogo bom. Só estou dando esta classificação pois os anúncios nos desestimulam a continuar jogando!",1,2,4.1.4,2020-09-21 16:58:08
10,Rita Virgínia de Aguiar Virgínia de Aguiar,https://play-lh.googleusercontent.com/-XFgjRDw6JeQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmmwqy1CrvApUseEn4SNEfY-xizw/photo.jpg,"Antes era bem melhor mas não está ruim poderia voltar a imagem da fita em 1 2 3 , lugar aparecendo na tela daria mais emoção o jogo ficou triste. 👍💐",4,38,4.1.4,2020-08-06 05:54:31
11,Paulo Rodrigues,https://play-lh.googleusercontent.com/-t35gbBYQbSo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnMKRBmVwSbCH3kpc6fgpMJKNeq7g/photo.jpg,"Era um dos melhores em suas primeiras versões,porém a atual é tão ruim que desinstalei o App.",1,4,4.1.4,2020-11-08 15:55:31
12,Daniela Hilda,https://play-lh.googleusercontent.com/a-/AOh14GjN9EwYm-Z8Q61hwbFSce0ZtV2QAj4JUWvtcGgr-w,Jogo muitíssimo interessante. Uma pena que as propagandas atrapalham boa parte da experiência.,4,1,4.1.4,2020-08-29 12:29:10
13,Neny Andrade,https://play-lh.googleusercontent.com/a-/AOh14GhSYIHs27sLom7C4xlPICr9libORaxgJ0TMKOviXA,"O jogo é muitíssimo bom, se aprende enquanto se joga porém não dou mais estrelas porque quando se está a jogar com os outros jogadores se ganharmos recebemos pouco pergaminho e se no caso perdemos o jogo, perdemos imenso pergaminhos",3,19,4.1.4,2020-07-19 21:57:12
