,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Revocable,https://play-lh.googleusercontent.com/a-/AOh14GiiPLBMeTw7xpiuFDp4fxwoWhvUoKiWtIuIj-jY2A,"Adorei o jogo, viciante e muito divertido, realmente tem uma dificuldade pra passar dos níveis no hard, única coisa chata é que toda vez que troca de música tem que esperar 30 segundos e ver um anuncio",5,1,10.0.13,2020-11-04 19:06:55
1,André Henrique,https://play-lh.googleusercontent.com/a-/AOh14GjPJUCgNz68JKwU4a1Uh1l4X5ZXbC0nfsrG_qJy,"O jogo é excelente, tem a parte chata de esperar 30 segundos pra tocar cada música, más ainda assim não deixa de ser um ótimo jogo",5,12,10.0.13,2020-10-19 15:13:17
2,Juno Blue,https://play-lh.googleusercontent.com/a-/AOh14Gi4bHoqINSZD4FKlno4gdf2MJKpga6maEwa7hmFTQ,"Jogo esse jogo há anos e é meu jogo de ritmo preferido. A mecânica é divertida, as músicas são boas, e não é um daqueles jogos que vai engolindo sua memória inteira com downloads secundários. Minha única reclamação é que às vezes quando abro o jogo com o celular no fone bluetooth a tela dá umas travadas que acabam atrapalhando de jogar. Achei que fosse pouca ram do meu celular mas agora comprei um melhor e continua dando esse bug. Mas é só usar fone de fio que tá de boa.",5,91,10.0.13,2020-06-23 00:45:00
3,pyscho_2.0,https://play-lh.googleusercontent.com/a-/AOh14GgIGvxFSjj94-RHWEiJntiCenjOr6H5_VOGmxAH6w,"Além de viciante é uma experiência muito boa , a única coisa q atrapalha é os anúncio mas obviamente é relevante até por que porquê é assim q o jogo se mantém . Tirando isso é um dos melhores jogos de Ritmo q já joguei no mobile 10/10",5,0,10.0.13,2020-09-08 23:41:59
4,Katrina Lins,https://play-lh.googleusercontent.com/a-/AOh14GhHAJMP_P70yn9XEXxYq30o3xUuBPA4vOixNET3,"Eu gosto bastante, é bem difícil e desafiador e eu gosto disso porém não tem um seguimento perfeito tipo, como se não tivesse fases e nem leveis e nem um progresso certo sabe, e isso deixa o jogo um pouco desnexo do objetivo, e poderia ter mais canções e ter a dificuldade média.",4,37,10.0.13,2020-07-20 10:54:31
5,CatFlying - Osu!,https://play-lh.googleusercontent.com/a-/AOh14GijvXEJqZ0GeODnlP8F3F8LH1sqdglxHDEgNDbeRQ,"Jogo de ritmo interessante, mecânica muiito boa e original, músicas únicas e incríveis. Garantia de diversão e desafio. Contras: 30 segundos de espera a cada música mas se decidir pagar o jogo você não precisa se preocupar com isso",5,42,10.0.13,2020-07-13 14:25:50
6,Evan Kanway,https://play-lh.googleusercontent.com/a-/AOh14Gjn2HaX17wEn6rKSlNNTcyFrormoAW9gE26CqNA3lg,"Olha, eu não joguei muito mas só nesse meio tempo eu já me apaixonei, há músicas com ritmos frenéticos e ritmos calmos, sem contar que pra quem gosta de uma boa dificuldade tem o modo hard para jogar, o único ruim que eu não curti do jogo é que tem de esperar para poder jogar uma música, é um tempo de trinta segundo mas isso ainda me incomoda um pouco, tirando isso, o jogo é sensacional",4,37,10.0.13,2020-08-10 03:14:11
7,Jefferson Silva,https://play-lh.googleusercontent.com/a-/AOh14GheyQc3fLB-NKcwjXx_UOazS6OiciPH4AVR_VJNnw,Por favor adicione a opção de escolher a velocidade das músicas. Não é legal jogar as lentas.,4,0,10.0.13,2020-09-03 23:19:27
8,daylight girl br uwu,https://play-lh.googleusercontent.com/a-/AOh14GjV-inZJDoceZc8G2cds7CGDVr-JWGSg1NszSdbeQ,Jogo incrível! Só não gostei da parte em que tem que comprar pra pular os 30 segundos,5,1,10.0.13,2020-10-15 23:02:06
9,Arthur Lebourg,https://play-lh.googleusercontent.com/-YeaGncq6FOo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck93tF-JJLmF68lLmFmiHN4VyLG3g/photo.jpg,"Muito bom o jogo mecânica impecável, não trava e é muito fácil de aprender a jogar. Recomendo bastante",5,0,10.0.13,2020-10-18 15:17:46
10,Lucas Tavares,https://play-lh.googleusercontent.com/a-/AOh14Gh043cIT3Gt9OVGe9a_veKQWU0rVHRwt1ZXCwf7,"Jogo muito bom, porém só n gostei de ter q esperar 30 segundo pra jogar a música. mas no resto ótimo jog.",5,0,10.0.13,2020-09-04 23:29:08
11,Yosasuke Uchiha,https://play-lh.googleusercontent.com/a-/AOh14Gioz0HCzhLvh5GigAjG1hVIWKidmD_d5yJIkE8Lww,O jogo é grande mas vale a pena. Funciona Offline podem baixar,5,0,10.0.13,2020-09-03 15:03:06
12,Breninao,https://play-lh.googleusercontent.com/a-/AOh14Gg6G_OVqa5lLkZBFSFid4D7zBBvUs4BxBBteC7FCGw,"Comprei o Cytus 2 e dps de zerar vim ver como é o 1 bom o jogo é muito bom realmente um excelente jogo apesar de ser ""grátis"" A sua versão paga é muito mais recomendada ms se for pra comprar recomendo comprar o 2 por causa da história 👌",4,1,10.0.13,2020-07-14 22:15:34
13,Toki,https://play-lh.googleusercontent.com/a-/AOh14Gj81XFFY8lXy2j20lGDNOHLvGwvDXoqIg40PJ6LqA,"Muito bom! Mas eu acho que poderiam fazer uma versão para windows do Cytus 2, pq por exemplo, eu tenho um notebook com touch screen",5,0,10.0.13,2020-10-03 16:26:51
14,matheus mtw2,https://play-lh.googleusercontent.com/-bWzhxM142Ks/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuX4EYLesbMoC3JH58WV6RbJ6GUA/photo.jpg,Muito bom além de que tem uma curva de aprendizado ótima minha crítica vem em relação ao cooldown antes de jogar e os cenários que são só fotinhas tirando isso muito bom,4,12,10.0.13,2020-06-09 13:27:40
15,Blade dos Santos Cruz,https://play-lh.googleusercontent.com/a-/AOh14GgznOAKbjCV6x81Um-nKfDneiOQgZUYrT_XmmIE,"O jogo é muito bom mas, o fato de ter que esperar 15 seg é chato, a versão full só aceita cartão de crédito.Deveria aceitar também débito!",4,0,10.0.13,2020-07-20 19:38:00
16,Andi Carmo,https://play-lh.googleusercontent.com/a-/AOh14Gh7-dQFcrbuv2j-nrOdLaDsTWwVliqQld-0amLzow,"Depois desta última atualização, o jogo não entra mais, fica em uma tela branca após o aviso sobre (headfones).",1,2,10.0.13,2020-07-16 05:28:23
17,Teciana Mechora,https://play-lh.googleusercontent.com/a-/AOh14GgGYr2ksP8Bluvb1StOk1QXs4FaPNl3PthRd-jH0j8,"Por algum motivo o jogo não quer abrir no meu celular, é um ótimo jogo eu gosto muito mas isso de não abrir me inrrita",2,0,10.0.13,2020-10-01 17:32:34
18,gabriel magal,https://play-lh.googleusercontent.com/a-/AOh14GiLOkwdnu3gKBvu3VNwnArrA1q7O4H8h-4SvtqgoA,"Um dos melhores jogos de música que conheço, simplesmente incrível.",5,0,10.0.13,2020-09-18 18:23:38
19,Charles Brandão,https://play-lh.googleusercontent.com/a-/AOh14GhlR-djwUYQYnk1beH9niXyLv8wv9q6vncHpIE02Q,"Jogo a anos e nunca achei chato, melhor jogo de ritmo musical já feito pra celular, além de ser bem desafiador é perfeita a jogabilidade",5,0,10.0.13,2020-08-07 20:22:00
