,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,kashineカシネ,https://play-lh.googleusercontent.com/a-/AOh14GjAN6jJE5uSOO20IdcNKSxJ4ZPUpcxGxxl5BfwM9A,"O jogo é bom, mais as notas estão um pouco atrasadas, isso tira minha vontade de jogar por um tempo, e não me faz querer rushar no jogo, e tbm entendo o jogo ter muita memória porque os gráficos são maravilhosos, muito detalhe e efeitos espetaculares, mas ainda sim n acho que seja um jogo que custe 1 GB.",4,37,3.8.0,2020-10-16 08:39:38
1,Vinicius Faria,https://play-lh.googleusercontent.com/a-/AOh14Giv4T_EURKxWA7L91pAG7ih5OvYEe0g6HptjhAT9w,"Muito bom o jogo, só tem que pensar em um jeito de arrumar esse falta de sincronia, com a calibração ele fica certinho, mas o som da nota sai, ficando apenas a música (continua dando pra aproveitar muito bem o jogo)",5,3,3.8.0,2020-11-05 10:02:25
2,Terry Lee,https://play-lh.googleusercontent.com/a-/AOh14GjTm5pmX6IEK8unJeQLHvl04_poHqvf6P59FnYVQ_M,"Lindo... Emocionante... Surpreendente! Complexo, mas gratificante, te faz querer tentar mais e mais apenas para conseguir pontos satisfatórios! É de dar água na boca, com belíssima animação e interação adorável!! Fez o meu gosto e não tive problemas que me causasse insatisfação... Há alguns pontos perceptível na sincronia, mas é tolerável, por enquanto! Obrigada e parabéns!💞",5,85,3.8.0,2020-09-20 11:47:41
3,Mario Filho,https://play-lh.googleusercontent.com/a-/AOh14Gj7o07SiRaJWCNPU1gE-Nw0-LNmjF4ZqKWTKO6EXw,"Estou com um problema de sincronia das músicas o som vem atrasado depois das notas, reinstalei e o problema persiste. Ótimo jogo ótimas músicas gosto muito do Deemo, porém a falta de sincronia no toque infelizmente desconcentra e chega a entristecer. Estou com um Mi 9s.",2,123,3.8.0,2020-08-23 07:47:56
4,vitória reis de Souza Amorim,https://play-lh.googleusercontent.com/a-/AOh14GiazoL0cjTY3QSNtcGR4QjP0glXkadYo8k-e76gpfE,Amigo a jogabilidade está um pouco nas notas corretas e ele não acerta as notas. Esse problema por favor o jogo parece tão bom.,3,0,3.8.0,2020-10-17 10:43:16
5,um aleatório top,https://play-lh.googleusercontent.com/a-/AOh14GjviwrD8zGR8SiwViFdxlOlojF4VTdUSaHCf2JrDQ,"Até na primeira fase dá para perceber o quão bom o jogo é, as músicas são incríveis com otima jogabilidade, mas ainda acho que há uma certa falta de sincronia entre as notas e a música",4,54,3.8.0,2020-09-06 00:36:43
6,Carolis-san,https://play-lh.googleusercontent.com/a-/AOh14GiQjcE94puFw2zVwFXoFffzl_PTPDc5WU5JDKkRkw,"Provavelmente um dos jogos mais profundos que eu já joguei, a arte é incrível, as músicas são profundas e a junção de tudo isso de torna em uma perfeição, eu adorei",5,19,3.8.0,2020-09-06 18:00:23
7,Sr. otakão 2000 comedor de biscoitos,https://play-lh.googleusercontent.com/a-/AOh14GjKQgWp5kZpjZEk6hqP6mo0ldBCvfEEUbUNb6jagA,Eu baixei o jogo só porque ele era quase 2Gb de memória mas.....nossa! cara que jogo incrível com notas músicais e melodia muito incrível e calmas fiquei quase viciado.,5,5,3.8.0,2020-09-12 00:05:42
8,Valber Coutinho,https://play-lh.googleusercontent.com/a-/AOh14GjIWbcaCOflFNQrn-jqGURC3FN74uIyTRWdgCKBMQ,"O jogo é excelente cara, muito bom, só tem uma música ou outra que fica fora do tempo vocal, mas fora isso perfeito!!!",5,2,3.8.0,2020-09-14 14:56:25
9,Alison Lima Duarte,https://play-lh.googleusercontent.com/a-/AOh14Gibv-NFrIniTJR8UBu8PrcZF8__QI1UEOrfMdWATq0,"Sou Br. E achei esse jogo incrível meu Deus, eu nunca me surpreendi tanto com um jogo como eu me surpreendi com esse, um jogo simples com uma temática dark, mas com uma jogabilidade incrível, um jogo super bem feito, amei.",5,0,3.8.0,2020-10-29 04:39:07
10,Gustavo Henrique,https://play-lh.googleusercontent.com/a-/AOh14GgNfjKh6zbLz1pHtOMPF2pGO0ceBqkoInOvfjTZzQ,"Um jogo legal, não tem muitas músicas, mas em compensação todas são legais de jogar.",5,0,3.8.0,2020-10-31 11:27:49
11,Gustavo Sena,https://play-lh.googleusercontent.com/a-/AOh14GjA4aVTNE4EaRqFKKHUl_A7a55EyajzlERwGqopFw,"Excelente jogo. Trilha sonora bem top, artes muito bonitas e uma história incrível! Algo que vale a pena baixar na play store",5,12,3.8.0,2020-08-21 02:57:09
12,Victor H,https://play-lh.googleusercontent.com/a-/AOh14Gh5tuEEXSTFC2GWMb3l7TgsfUCIJkMvH1OnXPcE5Q,"O jogo é muito bom, o melhor jogo de música que já joguei, uma melhoria boa seria se até o capítulo IV não tivesse que pagar para desbloquear as fases de músicas.",5,36,3.8.0,2020-08-05 18:17:47
13,João Carlos Selymes,https://play-lh.googleusercontent.com/-Ac9ERvczd2k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlFbyLP-beMiS-Jx7mmkhtzq2jgw/photo.jpg,Incrível essa é a única palavra q me veio mas expressa muito bem a história os gráficos as músicas q são muito boas a jogabilidade tudo perfeito,5,5,3.8.0,2020-08-16 14:46:11
