,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Quero Pão,https://play-lh.googleusercontent.com/a-/AOh14Gg5TYbRTQTCrWoS-j2bjgTJqtbfKyxCRIFmn-ZU,"Esse jogo é incrivel. Os únicos problemas são ""Hackers"" e ""Não poder construir"". Eu vou explicar. Sobre os Hackers: Esse problema acontece mais em contas do que em jogos. Os Hackers hackeiam sua conta e você perde robux, você perde roupas de robux bem caras e você perde um monte de coisas por culpa dos hackers. Sobre não poder construir: Você simplismente não consegue construir no celular! Eles poderiam fazer uma mecanica especial pra quem joga no celular poder construir. Jogo Maravilhoso!!!",4,509,2.455.413788,2020-11-08 11:06:19
1,FRIENDS [ZONE],https://play-lh.googleusercontent.com/a-/AOh14Gh3uIXxU5K0tMA1KSy4rjLXU7_pZ0hPddAlI7edQw,"O jogo e incrivel ,e muito viciante ,e da pra jogar varios jogos divertidos em 1 app só. Mas tem um problema, eu ja comprei robux no jogo, e os preços sao simplesmente absurdos! 120 reais em um jogo! O valor do dolar esta muito alto, voces poderiam colocar os valores de robux em reais tbm, ajudaria muitas pessoas que nao tem condiçoes de comprar. Mas tirando isso, o jogo e perfeito , parabens ✨🐸",4,50,2.455.413788,2020-11-08 21:12:56
2,Jung Iludida,https://play-lh.googleusercontent.com/a-/AOh14GiKcvDWH1ICqMLOCYmQTr0TEeS1zTUu10URCQWWvQ,"Amo este jogo! Gráficos, jogabilidade e os controles são ótimos. Dentro do jogo você encontra vários outros minigames, cada um com um contexto diferente: moda, RPG, urbano... Desde a primeira vez que joguei (2015), nunca mais parei! Uma crítica construtiva: acho que poderia ter algum ""jogo"" que dê pra jogar offline, nada muito importante.",5,17563,2.455.413788,2020-11-07 15:32:39
3,Humana Bugada,https://play-lh.googleusercontent.com/a-/AOh14GinZFcYbuyM7_CwBosPrOhg5QxIXF9X0TvUSwh9Mg,"Eu dei 5 mas daria 10, esse app é ótimo, óbvio, tem os preços ""absurdos"" de Robux, mas tem como jogar sem robux, os hackers, tem como proteger sua conta, eu jogo no pc, e amo jogos com Shift, no roblox tem, só isso é pouco no Roblox, é muito bom, tem todos os genêros de jogos, chat com pessoas de outro país, etc, aconselho baixar :)",5,5,2.455.413788,2020-11-09 01:41:27
4,Planeta Sofia game e vídeos,https://play-lh.googleusercontent.com/a-/AOh14GgsWry-wmfehk-AtgaIwIi1tglJWzvTRnKoZSOLML4,O jogo é muito bom muito bom mesmo!! Mas o problema é q eu e minha irmã perdemos a conta todo mês hoje q eu soube como resolve Mas os jogos e os gráficos são perfeitos!! Se pudesse dava nota 999!🤗Mas o rostinho hapyy face poderia ser mais barato..Tirando isso é muito bom!! Obrigada pela atenção 😊,4,415,2.455.413788,2020-11-07 23:14:12
5,XIMXILA FF,https://play-lh.googleusercontent.com/a-/AOh14Gj5w9xsh4gZVmvEM0SsG54BbmU53lw5Xic8uaDYMA,"O jogo e ótimo vc pode fazer oq quiser tem uma grande variedade de gemes mais....meu robox não abre mais não tem nada q eu possa fazer só fica carregando,carregando,carregando mais nunca entra e eu passo por favor conserta esse erro pq muitos jogados tbm estão com esse poblema e podem nunca mais jogar nas suas contas novamente,obrigado por ler",4,45,2.455.413788,2020-11-08 05:44:04
6,Mundo da Maria Clara,https://play-lh.googleusercontent.com/-Ax8EX6Q0j0Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkl7LSh5mXXe2PWGRo2NRjo_qkFA/photo.jpg,O app é muito bom mais iria ser muito legal se o jogo brokehaven quando lançarem novas casas de Premium desbloqueaçem às casas de Premium para os que não são! Iria ser muito legal! Gostaram da ideia Até porque nem todos tem dinheiro para se tornar Premium por favor deem curtida para isso se realizar e que eu sempre quis ter casas de Premium porque eu não tenho dinheiro pra ser Premium então dêem curtidas pra isso se realizar,5,13,2.455.413788,2020-11-07 23:47:26
7,Maria Angélica,https://play-lh.googleusercontent.com/-IX_dOqV2lOI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHN9WoBu-xjyDTdXuKv8x1zlyGPA/photo.jpg,"O jogo é simplesmente otimo com vários jogos, com opissao de de fazer seu avatar, etc mas tem um problema quando tem algum item legal (maneiro) precisa de roboks soque para ter eles tem que pagar com dinheiro real mas os roboks são caros dimais mas eu espero qui na nova atualização os roboks não precisam ter que paga com dinheiro real mas tirando isso o jogo é um macimo",5,12,2.455.413788,2020-11-08 11:47:21
8,FMaster TV,https://play-lh.googleusercontent.com/a-/AOh14Gg_BqWEHXQwPW1M_r-7hcGi7LqKwYqLguNkvZBW,"Olha e um otimo jogo com varios minigames de arrazar,mais as vezes os jogos bugam loucamente e tals mais e bom varios minigames e tals achei bom tem jogabilidade simples e etc... Recomendo muito mesmo e o preço dos robux esta muito caro mais os cara tem que fatura kk;-; e se puder abaixar so 1 real ficaria muito bom o preço das robux so isso recomendo e isso",3,1,2.455.413788,2020-11-08 20:44:01
9,M̷T̷H̷,https://play-lh.googleusercontent.com/a-/AOh14GiYnCd2-SQqh76Qmrm_igDzGxTrZiuUpCmh1pVmIw,"o jogo ta gastando muito espaço ja são quase 2Gb vocês precisam concertar isso na epoca que eu joga o Max de espaço que gastava era 200Mb, vcs precisam melhorar isso eu vo falar a verdade existe muitos jogos boms que gastam menos espaço no telefone, vocês precisam optimizar o roblox não precisa de tantas atualizações daqui a pouco vai tar gastando tanto espaço que nem um samsung j3 vai aguentar, espero que melhorem o roblox e optimize ele cada vez mais ^_^",3,12,2.455.413788,2020-11-08 16:16:58
10,Kevizin 2,https://play-lh.googleusercontent.com/a-/AOh14GjqyPdqKY0XIzvumdOH3GFTwU27KkpDu4medKyw1g,"O jogo em si é muito bom mas ainda tem que corrigir alguns erros exemplos: bugs, diminuir o preço de robux pq é muito caro mesmo e por último corrigir uma coisa que eu não sei direito se da mais eu vou falar,corrijam os promocodes pq pelo celular não da pra pegar pq a gente usa o aplicativo não o site e gente como eu não pode jogar pelo computador, e é por isso que eu dei 4 estrelas mas o jogo contínua sendo muito bom, parabéns criadores recomendo para todo mundo 👍😃",4,43,2.455.413788,2020-11-08 14:30:52
11,Caio Games,https://play-lh.googleusercontent.com/a-/AOh14GgZbnFx-PST1VHDIDW9zpN3HTo4OmlQUMWUggANOw,"Eu já joguei a muito tempo e ele melhorou demais, mas só uma coisa, para de censurar os números, eu to cansado disso, nem o ss funciona mais, por favor tira as censuras dos números 🥺, e deixa os robux mais baratos como o de 400 que custa 18RS , podia custar o valor do de 80 (3RS) por favor...",5,19,2.455.413788,2020-11-07 14:20:20
12,Simone Soares,https://play-lh.googleusercontent.com/-UB3wtuU-f90/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKhjp-xGrRr5PGKyMNTIowoxk4iQ/photo.jpg,"Jogo maravilhoso!, Sério e ums dos jogos mais legais que já joguei ( tirando o free fire).. os controles , os controles são ótimos muito perfeito sério não temho oque dizer e os gráficos tbm e lindo e sério maravilhoso não temho palavras ! Pena que precisa de Rubux para compra as coisas mais legais .. SE VC VER ESSE COMENTARIO CLIQUE EM ""SIM"" ) voltando eeeh... vcs poderiam fazer um evento tipo 24hrs tudo liberado na loja tipo compra oque quiser pra quando sai os 24h ppde já ter tudo!Que quiser",5,75,2.455.413788,2020-11-06 21:25:35
