,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jerfson Ramo,https://play-lh.googleusercontent.com/a-/AOh14GjWtdX_iCQrGdpfFpgCCQtP2ZT3hCI2ZAEVP8l1Kos,"Acho o jogo muito bom, sempre joguei, mas as fases a partir da Surf and Surt têm telas que são praticamente impossíveis de se atingir as três estrelas. Às vezes, dependem de sorte, aparentemente, ou uma precisão matemática, o que acaba tornando-o chato forçando a desistência ou pouco aproveitamento...",3,120,8.0.3,2020-05-19 12:51:09
1,FireKnight BR,https://play-lh.googleusercontent.com/a-/AOh14GhAgwDDM_lJjcGV3-ztWw698KWW81sddAHW6GMMvg,"Desde 2015, eu gostava tanto de jogar o jogo, praticamente descobria os ovos dourados, vencia um monte de fases, agora ta um lixo. Agora vc é obrigado a concluir um nível para depois desbloquear o próximo nível, mas antes era tudo liberado, além de que as fases precisam de estrelas para desbloquear, e isso torna o jogo extremamente chato e ingrato de jogar, a rovio ta ficando gananciosa agr, e o bad piggies msm, já é mt melhor do que esse angry birds ae. Deveria pelo menos libera os níveis tudo.",2,77,,2020-07-07 19:42:40
2,Darci Caetano Soares,https://play-lh.googleusercontent.com/-wsvJE_gs9wQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSUl-AslybI9S7j-K4mNup3WbiYw/photo.jpg,"Adorooo esse jogo ... só não entendi porque não tem conta, aparece um opção de add estrela penas etc. Na conta mas não consegui acessar ainda, mesmo assim continuo jogando...",5,0,8.0.3,2020-10-28 16:00:39
3,Aladio Maria Torres Filho,https://play-lh.googleusercontent.com/a-/AOh14Ghc6xsLZlPcCZ89b4UBUrlClsuOrwpgIacGosbBjA,Esse jogo virou uma lenda muito bom! Simples divertido e usa a inteligência da pessoa muito legal! simplesmente incrível!,5,1,8.0.3,2020-10-29 23:10:39
4,Enzo Sant'Anna Cesário,https://play-lh.googleusercontent.com/-UM_KExGfwe8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2sTACbxo-8Yhw5cr9eMi0VwaqEg/photo.jpg,"Jogo incrível,joguei esse jogo em 2015,era demais,mais nessa última atualização ficou bem pior.Agora vc tem que concluir um nivel pra desbloquear outro,e vc tem que jogar todos os niveis de um ""capitulo"" pra desbloquear outro,isso me deixa com muita raiva,espero que conserte isso,Rovio,obrigada.",3,68,,2020-08-11 13:22:16
5,Davi Pita,https://play-lh.googleusercontent.com/a-/AOh14GhFPJWeAOKBw2OKsTKUf4iNY8JJDHN5mtaWFGKyfQ,"Jogo é muito bom, no entanto a entrada de propaganda a todo instante é irritante e me faz parar de jogar. Se tivesse uma versão paga, eu compraria para não ter essas propagandas.",3,21,8.0.3,2020-10-09 15:40:45
6,gisele souza,https://play-lh.googleusercontent.com/a-/AOh14GilN_HIJ3uMxnl6ivBclKNNeJTLGc2lo9i-qFu5ig,Esse jogo é muito legal mas não costei que antigamente eu jogava esse jogo e depois fiquei muito muito tempo sem jogar esse jogo agora instalai de novo antes as fases esdavan todas liberados agora tem que assistir vídeos de propagandas. Tirando isso o jogo é muito legal.,4,57,8.0.3,2020-06-14 22:22:41
7,Ada Santos,https://play-lh.googleusercontent.com/-hiFCn5v1q5U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckg3QWyjthzMXiFOIaHCOL9-qOwng/photo.jpg,Jogo interessante. De vez em quando a gente demora a completar a fase. Emocionante.,5,3,8.0.3,2020-08-18 16:46:50
8,gabriel macedo,https://play-lh.googleusercontent.com/-Mo-GOtzefv8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrSyufnKDjZgCKLvkkQgHEiYXELg/photo.jpg,"Sempre achei muito bom esse jogo, eu joguei entre 2013 e 2016 mas as ultimas atualizações aumentaram o espaço usado pelo aplicativo, se instalar consome toda memória",3,2,,2020-09-27 13:36:38
9,Mary Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GigRU3a6CgNM3Kbkpv809PkRf9S6SFwPeTaoUsNcw,"O jogo é massa!! Envolvente, criativo, desafiador. Entretanto, os desafios Mighty League (liga de ouro ou de prata), não estão funcionando corretamente há +/- uma semana. Toda vsz q clico (ainda na página inicial), inicia o carregamento, mas nem chega a abrir as fases. Já fecha o jogo automaticamente! É a parte q mais gosto no Angry Birds Classic, e estou impedida de jogar. Já apelei até para atualização manual, e nada. u.u Espero que consigam corrigir rapidamente.",3,51,8.0.0,2019-01-27 17:48:46
