,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Fabiano Aguiar,https://play-lh.googleusercontent.com/-98YINZTJ-BY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn3cwclAfckmsJnTvgNTUCdUCCgMQ/photo.jpg,"Muito bom eu recomendo nota 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 , Só que o jogo às vezes ele buga e é muito chato e não dá para tua tirar com o Galvatron porque ele demora muito para atirar nos inimigos então se a rovil melhorasse isso o jogo seria muito melhor o jogo",5,100,2.7.1,2020-11-02 20:02:34
1,DTA ROBERTO,https://play-lh.googleusercontent.com/a-/AOh14GiJkt1OZfzVy30K8KiZmH5C4uJcGyXQWDkd-rEYHQ,"O jogo era bom, mas limitaram a corrida da fagulha bloqueando ela durante um tempão. Está quase impossível de jogar sem ter que gastar com compras no app.",2,2,2.7.1,2020-11-08 10:10:37
2,Wanessa Gomes,https://play-lh.googleusercontent.com/-4N2yit2CBrk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKLqe5iZ0HHfLnn8ZT6DEjB1uLgQ/photo.jpg,O jogo tem gráficos muito bonitos a jogabilidade é muito boao jeito como é você tem as escolhas também é muito legal você pode agradecer quem te ajudou ou não agradecer isso fez com que eu acho esse jogo um dos melhores criados,5,140,2.7.1,2020-10-27 12:13:45
3,Miguel rocha,https://play-lh.googleusercontent.com/a-/AOh14GiGLuty4Wiwi4ypw0CmUWzMkIdMGWrB6rk1x9uFHg,Muito bom matar a saudade de jogar esses tipos de jogos e é incrível como até agora atualiza realmente é um bom jogo com gráficos bons até hoje jogava isso em 2015 e na época a gente se divertia muito pena que hoje em dia n se encontram muitos jogos bons,5,28,2.7.1,2020-11-06 09:42:46
4,Victor Machado,https://play-lh.googleusercontent.com/--lGx3qu3qDg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmZYDC1M8kFhdcvrWJKomuO1FXsw/photo.jpg,O jogo é muito bom os gráficos também Só que tem um problema quando as melhorias estão muito avançadas demora 4 horas e isso é muito ruim porque daí não pode jogar com o personagem,5,30,2.7.1,2020-11-03 14:54:20
5,Jessica Barcelos,https://play-lh.googleusercontent.com/-iF8-oRxU94M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDpwTF56mkxPY36GYxtfpeXFg8gg/photo.jpg,"O jogo otimo, grafico bom, a jogabilidade e otima tambem e os controles são otimos mas eu queria que o jogo tivesse mais coisas, tipo missões diarias e ate semanal tambem , e ate uma missão que so pode fazer ela em algum dia marcado ia ser legal e fazer um grande evento por mês pra comemorar mais um mês no Angry Birds Transformers. Esse é o meu pedido por favor realizem esse meu desejo. Mesmo so jogando por algumas horas esse jogo mais por favor realizem meu desejo pra esse jogo maravilhoso",5,162,2.6.0,2020-10-15 21:40:38
6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"É um jogo incrível! Gostei muito da última atualização. Aumentar a dificuldade foi genial, isso deixa o jogo mais desafiante, diferente de antes que de 20 partidas no máximo 1 você perdia. Fora alguns bugs, está bem melhor agora. A única coisa que não achei muito legal foi a quantidade de temporadas de guerra. Acho que ficou muito repetitivo e por mim poderia parar na terceira.",5,283,2.6.0,2020-09-29 14:01:27
7,Elisangela Cesário,https://play-lh.googleusercontent.com/a-/AOh14GgWTMUvIddei7bzvYjZg4ZPFNClm8tHd26Ww9ZtTg,"O jogo é ótimo... tem gráficos bons, e o que ajuda é que eu gosto dos Angry Birds e dos Tranfomers mas... como o Felipe MM 2238 disse, podia ter um ID próprio da Rovio igual a Supercell (um Rovio ID kkkkkk) mas o resto é tudo de bom (principalmente e especialmente aquelas pessoas que gostam de Angry Birds [menos] ou transformers [mais] ou ambos)",5,31,2.6.0,2020-10-12 12:03:42
8,Canal Alcateia,https://play-lh.googleusercontent.com/a-/AOh14Ghi1K3k7juS-93mKBNLw-A0SJgU7PzSbdRLYkRV6Q,"O mundo precisa de jogos parecidos com esse,os jogos de hoje em dia tem a qualidade HORRIVEL,SEM MUSICA,SEM DIVERSAO,mas esse jogo tem a qualidade INCRIVEL,MUSICAS VICIANTES,E UMA JOGABILIDADE DE VICIAR,MEUS PARABENS",5,9,2.7.1,2020-11-04 14:20:03
9,Hugo Ferreira Galvao,https://play-lh.googleusercontent.com/a-/AOh14Gi9H00rsl5esaXDvslIySVm8Q0imAU3CQzaXXQgig,"É um jogo legal, gráficos, estrutura do jogo bacana. Mas tem coisas que é sem lógica, um upgrade demora 3hs, ou 6hs..os acessórios quase impossível pq são altos pra troca em moedas, desanima quando tem que trocar 1400 porco pra libertar outro Angrybirds ... Acho que deveriam rever algumas coisas. Eu mesmo estou desinstalando pq chega uma hora não tem mais nada pra fazer.",3,109,2.6.0,2020-10-09 14:22:36
10,Erica Costa,https://play-lh.googleusercontent.com/-2w16TJ2Oo0g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckQoUA7uPDfLNF28wMVqBG0YhZ0Kw/photo.jpg,"Ótimo jogo melhor jogo que já joguei muito bom. Mas queria que fosse menos porcos Para resgatar os outros transformens, menos tempo nos upgrade, que fosse mais barato o upgrade e a questão da memoria é quase um giga. Mas tirando isso o jogo é perfeito",4,15,2.6.0,2020-10-17 13:23:56
11,Sr Spring Bonnie OFC,https://play-lh.googleusercontent.com/a-/AOh14GikhBtr8bsU4XpmorUmkTK1GnBagZ9n2vTA-OKFhA,"O jogo em si e perfeito , gráficos bons , personagens carismáticos , jogatina excelente ,etc . Só um pequeno detalhe que eu gostaria muito dentro do jogo , poder salvar sua conta por exemplo um ID próprio da ROVIO , pq eu já perdi a minha conta Full sem querer e tive que reiniciar uma , pfv ROVIO se estiver lendo isso , adicione alguma coisa que de a opção aos jogadores a salvar suas contas",4,292,2.6.0,2020-09-30 15:23:08
12,Valmir Henrique,https://play-lh.googleusercontent.com/a-/AOh14GgUGNmz_J08Ks1NtA2u4_yvJDjbCD1KQtw0CRvEFFM,"um jogo muito bom so que eles deverião fazer mais personagens no jogo e outros modos de jogo como um multiplayer, mas o jogo em si esta otimo",5,3,2.7.1,2020-10-29 13:02:48
13,Saulo Sarraff Fonseca,https://play-lh.googleusercontent.com/-Iyw1PTNgKwo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnsWGHM_bIhb68ybXDvMxHvy2jrsg/photo.jpg,Essa foi uma grande ideia de misturar duas coisas q eu gosto muito Angry birds e Transformers super divertindo jogar com os robôs passarinhos eu gostei de ficar resgatando amigos de equipe Angri birds transformers é o melhor.,5,1,2.7.1,2020-11-05 16:04:34
14,thalitha acioli,https://play-lh.googleusercontent.com/-JW-T9LfmY-4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-U0RCwA9byVEmrzq0ooOXdZUQzA/photo.jpg,"Ele é um bom jogo, más devia saber um pouco mais sobre os personagens de transformers e é só isso mesmo",4,0,2.7.1,2020-11-08 22:44:40
15,Heitor Marques,https://play-lh.googleusercontent.com/-DpPExvzviDc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmag138JT331B2l86_Q5bnLyxEVFg/photo.jpg,O jogo é muito legal e é perfeito mas qual é o codigo para liberar o modo jenga! Pq eu quero muito jogar o modo jenga,4,7,2.7.1,2020-10-29 18:51:32
