,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,かねきケン,https://play-lh.googleusercontent.com/a-/AOh14GjLpPyPODEbRkORwZT188yLSh8ludX0JkSAx97b,"Não passa de angry birds 1 com um punhado de sistemas de micro-transações. No antigo você podia falhar quantas vezes fossem necessárias em uma fase. Agora tem um sistema de energia que te impede de jogar caso exceda o limite, aí tem que esperar a energia voltar ou comprar energia infinita com dinheiro real. Os mesmos personagens com as mesmas fases de antes. E como tiraram o angry birds 1 da play store agora só temos esse lixo de má qualidade pra jogar. isso é uma desonra ao primeiro jogo!",1,357,2.46.0,2020-10-30 15:57:52
1,André Nícolas,https://play-lh.googleusercontent.com/a-/AOh14Gg8OL1Q5icUiDiPyYnj4KZ8Eb4R_qj_KaBjdSGnUg,"Muito bom, o jogo traz aquele esquema de que se você fizer um movimento eerrado ou deslize, você pode acabar perdendo, prescisa de muita estratégia para conseguir acertar em um ponto que consiga fazer você derrubar uma torre e matando os porcos que tem nela, pois só derrubar a torre não basta, tem que matar todos os porcos para ganhar o jogo.",5,215,2.45.0,2020-10-26 18:58:44
2,Denise Otoboni,https://play-lh.googleusercontent.com/-9KDKi4JAcAw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBC-Gc-4z-8hE7JdPetD2iF9_5zw/photo.jpg,"Olá, eu curti demais o jogo, os gráficos são melhores que o clássico, os pássaros agora tem seus próprios poderes e agora temos o Leonardo, que no filme se junta ao bando. Mas eu não dei 5⭐ pq sempre alguma hora o jogo fica sem som e eu tenho que fechar o jogo e abrir novamente, foi por isso que dei 2 estrelas então eu quero que arrumem isso. Mas o resto é muito divertido e nostálgico.",2,249,2.45.0,2020-10-27 13:32:42
3,Guilherme Araujo,https://play-lh.googleusercontent.com/a-/AOh14GjOdVk0ma1lT4wQM_JQLpWxV_1g0zbkH_eUCjjG,Isso não é uma reclamação é um pedido depois da ultima atualiização toda vez que eu acelero uma fase ou entro em uma tela de carregamento o jogo da uma leve travada e musica de fundo some não sei se é o meu celular por que é um dos mais atuais embora isso não atrapalhe na gameplay espero que vocês resolvam isso na próxima atualização,5,269,2.45.0,2020-10-16 12:06:38
4,Loly Lapa,https://play-lh.googleusercontent.com/-2YvK4jp23Kg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmEvLiAXQo-RbVoOsP8Srdn8Yn4xQ/photo.jpg,"AMEI ESSA VERSSAO!É como se eu estivesse em um filme que eu mesma controlo, e tem mais motovos para 5 estrelas como... Os graficos são excelentes tem muita ação e coisas pra faser ,eu senpre quis um jogo assim e nunca NUNCA achei e agora eu nao vou ficar mais intediada então muito obrigada por nos pressentiar com esse jogo incrivel",5,4,2.46.0,2020-11-07 03:44:53
5,Sandra Cristina,https://play-lh.googleusercontent.com/a-/AOh14Gg0MwWxm6G5sX0lOeQ-pCFhx51asSoz2DQ06bL4RQ,"Ele é muito bom gráficos perfeitos e também quando voçe ganha uma chave voçe pode escolher qualquer PASSARO porém só dei 4 estrelas porque não tem muitos pássaros só tem o, red o bomba o terençio é mais e mais 4. E não tem tantos chefões assim começa a ficar chato porque só tem 7 pássaros e 3 chefões para enfrentar, se adicionaram mais dou 5 estrelas, fora isso ele e perfeito :)",4,50,2.46.0,2020-10-31 14:53:21
6,HCN Luiz,https://play-lh.googleusercontent.com/-msVckWT_0PE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmyDQf-4N9g0BbsBxvqK2X5xxxHng/photo.jpg,Não tem como não tem como eu desinstalar esse jogo ele é muito bom até parece que a gente vai falar porque ele é muito muito muito bom até que eu fiquei a viciado aí minha irmã ficou jogando junto comigo junto assim eu e a minha irmã ficou jogando toda hora antes de dormir outro de tomar banho e comer cordão tudo isso mas tudo isso mesmo tudo tudo,5,14,2.45.0,2020-10-26 19:33:23
7,Ulisses Ribeiro,https://play-lh.googleusercontent.com/-pBSMIqgeKmg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnP7rLXdBvnUK2fDn6hrqb9hE3XNw/photo.jpg,Fico impressionado como o jogo nos proporciona farias e farias experiências diferentes em uma sala apenas chega a ser irritante às vezes kkkk o jogo em si é bem simples mas muito complexo cada jogada varia de acordo com a força ou jeito de se usar o pássaro.,5,11,2.45.0,2020-10-25 20:14:34
8,Ailton Borges,https://play-lh.googleusercontent.com/a-/AOh14GjIquNoILPYKdb6YY0SzXq4BH5NJ8vZpXy0OnnA6w,"Banido por trapaça Mas até agora não sei em que está essa trapaça pois nem deu tempo de jogar fiz login pelo Facebook meu nome deu como inválido tive que trocar o nome coloquei meu apelido e após confirmar quando fui dra um nome para o ovo simplesmente apareceu a mensagem que tinha sido banido permanentemente por trapaça, entrei pra ler os termos de serviço e não consegui identificar o que fiz de errado... Quero saber o que é alguém me responde?",1,12,2.45.0,2020-10-25 09:56:36
9,Gustavo Santos,https://play-lh.googleusercontent.com/-CS6RpoU10S8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJzr1e1HpKQqb0xJi6o3NNMVpS8g/photo.jpg,"Jogabilidade muito boa e condiz com a física, porém, o som some depois de 10 minutos jogando e trava logo após o término dessa fase sem som. É muito chato ficar saindo e voltando toda hora. Desinstalei por esse motivo.",3,6,2.45.0,2020-10-22 11:23:50
