,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,sarah chaves peradelles,https://play-lh.googleusercontent.com/a-/AOh14GgrtNjLG86_VveP6HTwRGPv3VnHmsMTi4bEcMVGpQ,Ótimo porém poderiam remover a animação dos pássaros indo de um local a outro laga muito. O jogo não está deixando conectar ao Facebook. Os eventos craxao o jogo o fechando na hora. Se possível jogar off-line seria bom. Poderia ter um ícone para acessar o local onde você melhora suas poções. Poderia na masmorras ter fases para jogar com todos os pássaros. adoro batalhas assim. Porém só as tem nos eventos. poderia dar para por sua conta e voltar de onde parou.,5,27,3.0.27463.4821,2020-10-13 20:44:49
1,SUPER ENZO BR,https://play-lh.googleusercontent.com/a-/AOh14Gig2-11KsM8NHlJtsJcnlDeQ6lbhQ9Ft2ZCSf2DXQ,"O jogo é bom,MAS...os porcos são apelões demais,o jogo é desbalanciado,e ele devia ser off-line, pq nn faz sentido ele ser on-line, e tbm ele nn tem mais altalização,a Rovio nn liga mais prós jogos antigos eles eram muito bons,mas agora estão cheios de bugs :(",3,19,,2020-10-16 21:58:20
2,Pedro Manoel,https://play-lh.googleusercontent.com/a-/AOh14GiogMmfxt_TsN52VvRCwWtEQZxyjPw0GbugKBmDfrQ,"Jogo bugado da desgraça! No modo online o jogo é bugado ao extremo! Eu uso um atributo da Matilda que rouba cura inimiga ,porém, quando rouba ela vai pro aliado morto ! Qual sentido disso????? Outra é que nas partidas online tem vezes que a contagem zera pra vc reviver ,eu fico com ódio pq passa 6 partidas e eu não volto a vida ! Outra é que nos eventos fica saindo direto ! Jogo LIXO !",1,14,3.0.27463.4821,2020-10-02 20:03:53
3,Pro ɮʊɢǟɖօ,https://play-lh.googleusercontent.com/a-/AOh14GgygYQqsEIDrBQqKFDt_4nmyyxrGu-DwL0ZVfKerA,"Bem, o jogo é muito bom, complexo e divertido para você passar o tempo. Eu sei que tem gente que está com problemas para jogar(bugs, botões fora da tela, etc...) Lembrem-se que este jogo (infelizmente) não tem sido atualizado desde 2018! Então, muito provavelmente suas reclamações não serão resolvidas",5,158,3.0.27463.4821,2020-06-16 14:48:08
4,BRASIL,https://play-lh.googleusercontent.com/a-/AOh14GjyunqiN6eORgteNDxMEbE3x05ZviBDifShET-uUOw,"Otimooo,esse jogo e bom mais,e que quando baixei esse jogo vem esse negócio tapando o dinheiro e moedas de ouro ,e não dá saber quantos deu,algum dia arrumar,pq eu tava outro celular,e não tinha isso tampando ,mais e só isso mais esse jogo e muito bom não precisa atualizar e ser diferente,mais só arrumar esse erro",5,2,,2020-08-25 07:56:25
5,Boruto Uzumaki,https://play-lh.googleusercontent.com/-0LxqrRe0YQ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2tCaLXQ2UxDxtYhI6rtvnTsMEPw/photo.jpg,"Top porém, dependendo do dispositivo lá no final quando vc vai enfrentar o red (outro red no caso) na cutcene os pássaros não aparecião pra pegar a espada deixei meu Cell 1 hora lá,e advinha nada :) perdi meu progresso inteiro,mas eu não vou desistir vou chegar lá de novo,mas agora em menos de 18 horas um desafio q eu fiz pra mim mesmo :)",4,52,3.0.27463.4821,2020-06-05 14:01:31
6,Helio Palma,https://play-lh.googleusercontent.com/a-/AOh14GjCAbR0EbeZHFzBTKtDuMViQuCmkZZb1zC4kAgKSw,"O jogo é muito bom, mais tem várias falhas. Uma delas é que a Arena é injusta às vezes. Você provavelmente vai lutar com alguém muito mais forte que você. Além disso, o jogo trava muito, especialmente em eventos. Eu gasto 5 energias para jogar, o jogo fecha sozinho, eu perco as energias e não consigo jogar o tal nível. E a maior das falhas é que o jogo não preenche a tela inteira, ocultando status (moedas, níveis, etc.). Mas o jogo é bom, tem várias armas, inimigos, e muitas fases. ★★★",3,86,3.0.27463.4821,2020-07-09 16:05:12
7,HASSAN_MRA,https://play-lh.googleusercontent.com/a-/AOh14GgNmuHA8TBsxH3H2WeLQA0yQn7-87AkVvvR4jMfBw,"Muito bom e ótimo! Só tem um probleminha aqui, no Barco(Arena) Eu tento por meu nome e aparece: ""Esse nome não é permitido"". E tipo, meu nome é NORMAL e não consigo colocar? O que é isso? Por favor desenvolvedores arrumem isso! E desculpa por postar esse comentário em 2020, porque acho que quase mais NINGUÉM joga esse jogo. ou não né? ;-;",4,47,,2020-07-15 15:43:47
8,TLSArthur,https://play-lh.googleusercontent.com/a-/AOh14Giz9-Sb-Guud5--cWwwdfI5QpCTeobjDZjJwaQttQ,"É um exelente jogo de rpg, um dos melhores mobile que eu achei, graficos bons, exelente jogabilidade, batalhas emocionantes e itens incriveis são oque compoem esse jogo, pelo menos antes, bugs,falta de atualização e um certo pay-to-win, é sério, esse jogo tinha tudo pra dar certo, já ta virando TF2",2,11,,2020-07-10 11:50:18
9,Rômulo Saraiva,https://play-lh.googleusercontent.com/-8ucqSD86Q8g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmujBcRWp5fTs22RSMn0WcYKtQJNg/photo.jpg,"O jogo é um dos melhores que ja joguei, jogei em celulares passados mas quando comprei o meu novo ( A30) quando abro-o a tela do jogo expande muito e não fica possivel ver quantas moedas e etc vc tem e o mesmo com os ícones da barra mais acima, o jogo é muito bom e queria voltar a jogar e n sei oq faço 😪😪",1,86,,2020-06-26 21:43:06
10,Murilo Honestão,https://play-lh.googleusercontent.com/a-/AOh14GgRd9zaDlxrMKalkBwLswEOxlyATm77rA-hJHOyNA,"Por acaso é dificil fazer uma tela que seja do tamanho certo pra qualquer celular? PORQUE EU NÃO CONSIGO FAZER AS AÇÕES BASICAS DO JOGO,PORQUE OS BOTÕES BÁSICOS BASICOS DO JOGO FICAM PRA FORA DA TELA Ou seja,não dá pra jogar se eu não consigo Ver: meu dinheiro,configurações,Dificilmente eu consigo apertar o botão da ilha Eu só queria jogar um pouco......(Só dêem um zoom out na tela base)",1,83,3.0.27463.4821,2020-05-17 00:17:43
11,ADRIANO Paranhos,https://play-lh.googleusercontent.com/a-/AOh14GgqaQ2rEXe6JbIq9tGcYP44vJXGwEqEZGF47ain,"O jogo é ótimo mais tem um único problema celular novo como um Galaxy A10 ñ vai a tela toda como tivesse cortado tudo, arruma isso quero muito jogar :(",3,0,,2020-10-24 18:48:16
12,Pedro Schuchter,https://play-lh.googleusercontent.com/-073ro9v-X1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxXxnwfn2uNzgStpFUd7OFK3xtsg/photo.jpg,"Jogo muito bom que jogo incrivel, sim tem algumas falhas, mas so desta vez vamos ignoralas porque saber que o jogo vai sair de play store e não vai mais ter atualizaçoes é de quebrar o coração",5,0,1.2.11,2020-09-23 01:38:55
13,CLAUDIA TECKEMEIER,https://play-lh.googleusercontent.com/-hLLJY6W5m6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_YlP317k-usgRvg9q_Lx8aFKMuA/photo.jpg,Este jogo e bem completo.mas ele podia ter atualização de mais personagens.e mais espadas e escudos e também mais roupas etc e também ter a opção de chamar amigos no seu time na arena.mas fora a isso o JOGO esta muito legal PARABÉNS realmente.e também dar mais comandos para ataques e defesas mas fora isso o jogo ficou muito legal PARABÉNS realmente muito legal...,5,20,3.0.27463.4821,2020-07-01 17:36:05
14,Glitch Chara,https://play-lh.googleusercontent.com/a-/AOh14Ghtb-dD5Yqf9jQHef38ZxzJoxUdeHso3YL7dpVl,"Eu gostaria muito de longa ao facebook, mas por alguma razão esta dizendo que preciso ir ao beta ou pedir permisão ao desenvolvedor.",1,14,3.0.27463.4821,2020-09-30 00:14:53
15,Arthur Games,https://play-lh.googleusercontent.com/a-/AOh14GhTxsoAkMKI0bGF9iojuORWk_F_Lgtr286m1kF4uQ,"Jogabilidade ótima, mas minha tela fica curta, eu não consigo mais avançar na fase, pq está pedindo para eu clicar em uma coisa, só que a tela é cortada, aí não dá para eu pegar, arrumem isso pf",4,5,,2020-05-16 14:31:27
