,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Maria Clara,https://play-lh.googleusercontent.com/a-/AOh14GjQysWukqyzeul64vUuIvKuPHAaidl54Lm_ojg75A,"O jogo é muito legal, consegui conhecer várias pessoas legais. Mas o que me incomoda é o fato de ter muitos scammers e hackers, isso atrapalha muito. Bom eu sei q n deve dar seus itens pra qualquer um, mas quem é novo no jogo não vai saber isso. Então como eu vi em outro comentário aí seria legal dar ban permanente ou por um longo tempo pra quem faz isso.",4,4,3.47,2020-11-03 08:12:14
1,CANAL_DO_AIRTON YT,https://play-lh.googleusercontent.com/a-/AOh14GiprvzrGJyvId0dBYk26efsxJARAvH9bHWEiedBsw,Oque me Desagrada é numero de hackers presente no jogo e scammers tambem podia da ban permamente nessas pessoas que quer roubar os outros. Mais o jogo tem potencial so que devia diminuir os valores são um absurdo aqui no brasil o dolar fica alto eu comprei umas gemas no jogo tem medo de perder minha conta do nada como fizeram comigo no começo do ano.,4,30,3.45,2020-10-12 10:43:39
2,Biscoito Bolacha,https://play-lh.googleusercontent.com/-1F78UPCdqM8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl10NuwOD5YXE9obGi_8azAqKapgA/photo.jpg,"Muito bom, da pra joga de boas, ótimo pra passar tempo, da pra fazer amigos e tals, parabéns pelo game, de vdd, só tem os cara que estraga o game dando scam, os cara consegue estraga um jogo bom desse Man, mas o game em si é ótimo",5,3,3.45,2020-11-06 14:04:28
3,Vitor Yung,https://play-lh.googleusercontent.com/a-/AOh14Ggr5XxpW2USQgTlvE-pfsGsTvDqcIrHU4B_n72K,"Jogo muito divertido, recomendo mt pra quem gosta de jogos onde a presença de pay to win é bem fraca, eventos e diversos items legais com o tempo você acaba adquirindo muita coisa legal,Suport do jogo tbm é bem presente para todos os tipos de problemas",5,27,3.43,2020-09-26 01:18:40
4,mago doidao,https://play-lh.googleusercontent.com/a-/AOh14GirOAAG20v9zM3Rsg7Fn8QR4dV0Ls63fLc_v8kxxb8,A única coisa que eu julgo nesse jogo é que ele não tá dando para apagar nada para mim então eu dou 4 estrelas,4,1,3.45,2020-10-25 17:52:51
5,Douglas Mitano,https://play-lh.googleusercontent.com/-dVxr8y7MPsk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckISTVqv58FhyqEsTpjwZ83FFP9CA/photo.jpg,Jogo muitos legal varias diversidades e capaz de fazer descobertas incríveis aprendi inglês graças a esse jogo Além de espanhol tenho um mundo de mini vends igaav e o nome dele dêem uma força brs,5,21,3.39,2020-08-17 19:55:42
6,el mito vds,https://play-lh.googleusercontent.com/-ssZEgLpSuFE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl6akmIbduX580rkGYjB1Z4FdSSkA/photo.jpg,"Vocês são um lixo so seus bados de amaldiçoados, seus arumbado perdir 3 mundo pq os outros players entrao e quebra tudo vocês deviao ter vergoia na cara e buta o menu de tira todos os players do seu mundo, eu so sei uma coisa numca mais jogo um jogo desses",1,4,3.39,2020-08-14 12:36:29
7,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,oi para todos venho falar que o growtopia e o melhor jogo que já joguei na minha vida já tive umas 5 contas mais perdi todas elas o que e triste a um mês atrás eu criei uma conta no grow de novo e agora ta dando todo ser to se tu querer ir ao meu mundo e 13kauanbr eu também tenho um Shop o nome e mrsaliba12 e é isso :-D,5,19,3.43,2020-09-29 04:14:48
8,Samurai growtopia,https://play-lh.googleusercontent.com/a-/AOh14GjUe7l0kFrUitWkVmsH4RSAvNzEToMNR0goX53Slw,Nos a este jogo e o melhor q já vi e unpouco pixelado e o gráfico bom pena q não da pra colocá nota infinito milhões pq esa e a minha nota q queria da 😊😊,5,2,3.39,2020-08-15 00:10:47
9,Alison Cazari,https://play-lh.googleusercontent.com/-9QYWOeWL-X4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnXw8y-m8Z0utXB5FYwoHW6FExVMQ/photo.jpg,Ent o jogo e legal mais eu nao gostei de ser hackeado agr tive q fazer outra conta e tmb queria mt ser moderator para ajuda o jogo eu jogo 5-6horas por dia joguei o jogo durante 1-2anos e esta mt dificil para consgueir as coisa,5,0,3.46,2020-11-01 06:19:35
10,Lucas Duarte,https://play-lh.googleusercontent.com/a-/AOh14GgJk11JuHgrNxpBYof15RJ_nX074UkEpxyDnrMf1g,"Tenho problemas ao entrar no jogo, que vocês não resolvem. É algo na minha conta, que impossibilita que eu entre no jogo. GrowID: Ureia",1,58,3.45,2020-10-01 17:20:05
11,Kenoch Yakussa,https://play-lh.googleusercontent.com/a-/AOh14Gh6bU_FlW87-GvR5mgfm5-2t2SxkEO-2I22Scv2mg,"Caramba Ubisoft mas todo dia tem que entrar no Twitter para poder jogar isso é chato assim podem acabar perdendo uma quantidade significativamente de usuários pois nem todo mundo tem ou usa o Twitter, todos os outros jogos permitem que seus players naveguem livremente pela comunidade nas redes sociais e poder jogar na hora que quiser !!!!!!!!",3,37,3.37,2020-07-01 08:44:02
12,OvoScelenTe,https://play-lh.googleusercontent.com/a-/AOh14Gign_DxhFeZhsJkPNysMWj0rd0UBJUA38tBgEceAQ,"O jogo tem suas qualidade, porém a falta de apoio aos brasileiros, ou jogadores de outros países, e gigante. Fui hackado ou roubado, não sei oque aconteceu, perdi 3 dl em intem e possívelmente mas 3 ém mundo, o apoio e muito ruim não consigo que ngm me ajude, tenho dados do possível player que me roubou e provas que meus intem sumiram de 1 dia pro outro, so quero o apoio que uma empresa realmente deveria dar aos seus usuários. Realmente triste investir tantos anos e perder tudo tão rápido...",3,46,3.38,2020-07-31 17:08:04
13,Nate Zuki,https://play-lh.googleusercontent.com/-RXcznecSlN4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn64G1EuW3K85IBXTCl9sP34Z86LA/photo.jpg,"Meu amigo JotaHD perdeu muitos itens caro sem explicação, os itens só sumiram da conta dele do nada sem ninguém ter pego ou hackeado só sumiu,_,",1,7,3.39,2020-08-17 15:27:02
14,Eloi Nuness,https://play-lh.googleusercontent.com/-OBPs8ldZBHk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclWQgsGdfcQ3enlX8XpVSQo_0yxDg/photo.jpg,"Growtopia eu estou bravo demais pois ontem eu tinha farmado mais de 4000 blocos mas quando eu volto no dia seguinte as 13:00 eu percebo q vcs estavam atualizando o servidor dps de ter esperado até as 14:07 eu entro e todo meu progresso foi pro lixo , isso é uma injustiça eu quero minhas coisas novamente , isso n aconteceu só comigo aconteceu com vários players. Quarta feira dia 1 de Julho",1,75,3.38,2020-07-01 15:05:13
15,Maniaco pb,https://play-lh.googleusercontent.com/a-/AOh14Gix6kgHuRvViQENxYkxpHaJySoMPwD9oR39BVb2,"Bom estou dando 1 star mas daria menos jogo esse jogo a muito tempo minha acc tem quase 2300 dias e estou com quase 3000 horas e agora estou passando por uma dificuldade para conseguir logar e tento logar minha conta ou qualquer outra e nao funciona fica carregando infinito e nao aparece nem um erro e quando loga eu jogo no maximo 30 minutos e tomo DC por favor vejam isso, estou disanimado",5,13,3.37,2020-06-08 13:08:02
16,Raquel Silva,https://play-lh.googleusercontent.com/-EOnU9HvNvh4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlAN7HrTVOuMxcVGqQAl49QmRIMg/photo.jpg,"O jogo é bom, mais a proposta não é clara. O seu objetivo é praticamente ter mais WL e DL, itens caros. E os mundos pode ser usado pra várias coisas como, Pixel Art, Jogos, Profit, Vend... E várias outras coisas... Se quiser me doar DLS vai no mundo 3JC9.",5,11,3.37,2020-06-22 15:20:14
17,VoltaIK,https://play-lh.googleusercontent.com/a-/AOh14Ggd-oMKkpX6vXK3nNpFGHJfWPA-clhaxnCAyzWycA,"Esse jogo é maravilhoso! Além de você se divertir no game você pode aprender novos idiomas! Porém cuidado com scammers, Sempre que você iniciar o game procure o world StartBrasileiro",5,21,3.37,2020-06-01 13:10:15
18,thiefer thieferbr,https://play-lh.googleusercontent.com/a-/AOh14GjnnfqRsPhzBXIQz22OXYwwQgML0v1gI2YAvAAK,Eu atualizei o jogo e o meu gorilla de 120 wls fico bugado ficou só com 1 lado do corpo,5,0,3.46,2020-11-01 13:50:38
19,DAVI FF,https://play-lh.googleusercontent.com/a-/AOh14GgKyeBmaQDbecH81ZPzJ4CHbpIHReIFc09es4Gm,Estou dando 1 estrela pq agr está com o bus de error conecting e estou a três dias com isso nao consigo jogar eu tinha muita coisa comecei a comprar as seeds de 500 gemas 1 ano perdido se alguem me ajudar a consertar esse bug eu agradeço,1,4,3.37,2020-06-11 12:31:56
20,Igor Gomes Custodio,https://play-lh.googleusercontent.com/a-/AOh14GhmkfsKuJ5LpGZpYD9ZIBF1iYxhJZQrJdxfqpoE,"Os desenvolvedores desse jogo são muito legais e eu amo todo o trabalho de vocês, parabéns ❤️",5,0,3.42,2020-09-19 22:47:26
21,Brenno Mignanelli,https://play-lh.googleusercontent.com/-Y8kvDJglkio/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_4sX_6FCxn-A3xE2MFyorwlM4Xg/photo.jpg,"Muito bom, pq vc tem q se esforçar para ganha a moeda do jogo (wls)",5,0,3.45,2020-11-02 01:44:42
22,INLEVI GT,https://play-lh.googleusercontent.com/-MCAhBysSMiQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnAODjJ6xs_hI0ZWN_kNCa5YyYJgg/photo.jpg,"O jogo onde você conhece pessoas,criam amigos até pode ser rico seja criativo e teja auto confiança cuidado com os acess alguns costumam falar mal do jogo pela capa mas o jogo é facinante",5,1,3.37,2020-06-20 21:18:29
23,MC KALLIL,https://play-lh.googleusercontent.com/a-/AOh14GgIWqsYP33_egEarSZ4SR9j-6P-XZPRr5NWdyIapw,O jogo tá com muito lag toda ves fica desconectando e não e a internet por que muitos jogadores estão reclamando disso também por favor growtopia corrija isso,2,2,3.38,2020-07-23 08:27:10
24,Sad Coringa,https://play-lh.googleusercontent.com/a-/AOh14Gj0OG-qrVslqqeaFG59MVhchzUhq69On7AKuruC,Aff o jogo era otimo ate q eu fiz um projeto de 12dls pra ir ate 30dls e condegui ai o jogo entro em atializaçao e do nada eu esperei quando entrei sumiu minhas coisas eu so joguei nao entrei em site algum e nd e fui robado assim tao facil,1,0,3.38,2020-07-10 01:15:44
25,Jotge Gdcn,https://play-lh.googleusercontent.com/a-/AOh14GiZFY7tGpTldqJnEZQQW-bnAqe8BO3-4gEVNo-w,Gostei mas eu sempre sou hackeado o jogo só sabe travar e da lag de+ se o tal do hamumu puder atualizar isso e tirar o bug o lag eu agradeço :3,5,0,3.37,2020-06-16 06:11:35
26,yago sandro,https://play-lh.googleusercontent.com/a-/AOh14GgNh9kaqMNfWboLp9WAm49LBCASoy8ygr32yT1nZg,Legal divertido e viciante,5,0,3.46,2020-11-01 23:49:23
27,Helvecio Jeremias,https://play-lh.googleusercontent.com/a-/AOh14Gi2eCCmhi4STw_Sq8h6inkVokOJ-W6M2e0ag4l7BUI,"Gostei mas só dei 3 porque um dia criei um mapa cheio de plantas indo com blocos até o céu eu não sabia como como não podia destruir então dois jogadores chegaram destruindo tudo é colocaram uma coisa que criou um campo que não podia destruir então me prenderam, sai e entrei de novo e destruiram tudo fiquei com muita raiva, e eu não sabia expulçar,😢😭",3,0,,2020-10-26 19:53:16
28,killerloser71,https://play-lh.googleusercontent.com/a-/AOh14Gjazyay8lrrdsxjkLonaAESN9N3E2ZyX4IQF3N2-Q,"O pior jogo do universo eu joguei o jogo 7 meses, e eu dei 30 reais para o jogo depois foi roubado no mundo laake1. Quando eu quis o meu dinheiro de volta o burro growtopia falou Não estou interessado, agora meu pai nunca vai comprar 30 gift cara Jogo orivel não recomendo installar",1,0,2.989,2020-10-19 17:36:21
29,Luciana Gomes,https://play-lh.googleusercontent.com/a-/AOh14Gi8FalxZtkvhzQ6BnLCvUDjqmLBXup2o95TTg9KqA,As pessoas tem q entender q quando baixam um jogo como esse vc faz uma conta e esse email ou gmail no qual usou tem q ser válido . Sempre tem q estar trocando senha e colocar mais difícil possível e n cair nessa de entrar em site em link pra ganhar coisas ganhar Dl isso n existe esse jogo n te da nd tudo vc tem q comprar ou falar muito . Eu jogo a 5 anos e nunca fui hackeada nunca entrei nessa de fazer coisas q pudesse ser banida. Joguem sem ganância isso é muito importante.,3,0,3.42,2020-09-01 12:11:38
30,A81 só o suco ff,https://play-lh.googleusercontent.com/a-/AOh14GjpfmMKtUqEqPmo30GaA7u0-53ldSImbzlGy8K4Bw,Muito ruim aparenta ser bom mais é 100 mb,1,0,3.45,2020-10-05 16:54:08
31,Bruno Radke,https://play-lh.googleusercontent.com/a-/AOh14Gg7-zMJhN85zBGDeFF0debxc_fnlrf975v_l-haeg,"Este jogo já foi ótimo e divertido, mas hoje em dia ele é repleto de Bugs e erros, o servidor é ruim, dias atrás aconteceu um negócio chamado Rollback onde eles tiveram que apagar os dados salvos do dia e muita gente perdeu itens que já tinham ganhado, e isso aconteceu por culpa de Hackers. E hoje em dia muita gente é hackeada, eu fui uma delas. Triste fim do melhor jogo online de Android que hoje em dia é horrível 💔",1,0,2.997,2020-09-06 09:22:11
32,Ale Andrade,https://play-lh.googleusercontent.com/a-/AOh14Gjvfxtp4jvH1wOovfK3ifP5tW_WauzhQaIktWg9hg,"Só dou 5 pq não tem em português, esse jogo já existe a ANOS e nunca modificaram isso",4,1,3.37,2020-06-05 15:09:02
33,pdralv,https://play-lh.googleusercontent.com/a-/AOh14GjWiwJxx9aUC9EnAo3hYOtjR9gC0q_2l2wDl8Hb,"Jogava faz 6 anos, 6 ANOS, no 4 ano, o jogo foi vendido para Ubisoft, o qual foi um erro gigantesco. O jogo caiu consideravelmente, Moderadores trocados, que fez o jogo ficar uma coisa de louco, cheio de ladrões, hackers, eu nunca tinha sido hackeado, nesses 5 anos nunca, mas como eu disse o jogo caiu muito, e muitos hackers tomaram conta dos servidores, eu tinha um sonho de ter 40dls, consegui e fui hackeado 5 vezes, comunidade tóxica, não percam tempo jogando esse jogo, por favor, não jogue!!",1,0,,2020-07-04 01:49:28
34,Guga Trinchão,https://play-lh.googleusercontent.com/a-/AOh14GgrOeZfeyB4UT-mTWsYZXvGtKgeNiTYxHLRm0ZGPA,"O jogo em si é muito bom, porém a quantidade de ladrões é absurda, chegando ao nível de eu desinstalar o jogo, hoje mesmo fui roubado 2 dls e 25 wls, praticamente tudo o que eu tinha, então peço que o jogo a preste mais atenção com as reportacões dos jogadores",3,0,2.22,2020-07-20 19:16:58
35,Cristiano Oliveira,https://play-lh.googleusercontent.com/-vYZP5tdYdBg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl5AqHIDvQsiThneNScH0KxTts5Lg/photo.jpg,"Otímo jogo, porém assim como muitos jogadores estou sofrendo problemas com o servidor Alguns intem meus sumiram com o rollback e infelizmente não voltaram, estou com o meu ut totalmente bugado. Espero que resolvam isso em breve ou serei obrigada a tomar certas atitudes que realmente eu não queria, como por exemplo Desistalar o jogo é não indica-lo 👀👏",1,0,,2020-07-06 12:43:20
36,Rinaldo Junior,https://play-lh.googleusercontent.com/a-/AOh14Gg8R3qepKa9BvTATHjMrSySRX78s915mZ-WmExxjA,"Mano estou muito triste velho acabei de leva ban por 2 anos sem eu ter feito nada,não sou hack nem scam podem resolver isso pelo amor de Deus o jogo e ótimo mais eu te levado ban sem ter feito nada e fod@ fui tomar banho e quando voltei tinha levado ban por 2 anos tmnc raiva da peste",1,0,,2020-10-22 20:59:16
37,Lucas santos Martins,https://play-lh.googleusercontent.com/-Ux6nCTWkHM0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3rubOEhUIHuDhmuMWvlboK5Lz-A/photo.jpg,Poxa ubisoft por que voces me baniram do growtopia eu nao fiz nada e levei ban por que? Se puderem resolver isso a minha conta e AutorX por favo resolvam logo sou viciado em growtopia eu tava ja com 1 BGL da minha outra conta e por isso acha que e hack poxa 1 BGL 2 DL 6 WL 1 PEGASUS GOLD UM LEGENDARY WING UM LEGENDARY SWORD fora meus mundo o que eu vo fazer se meus itens nao tiverem la ? Please resolvam o erra de vocês!!!,5,0,3.39,2020-08-12 04:49:34
38,João Carlos Dênis,https://play-lh.googleusercontent.com/-uCed1wbbdaY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZ-MbgzjYlUmP6hQYSG6669_3q9A/photo.jpg,O jogo é bom mas não quer atualizar a última versão são dois jogo sim ele também é muito bom,1,0,3.37,2020-07-04 10:54:25
39,Daniel Amud,https://play-lh.googleusercontent.com/-pRptxi77sWQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnd2TYQ2VPzqGP_rOCqrkQM06WCwA/photo.jpg,"Poderia depois terminar com os IOTM e adicionar um ticket na loja por 200k gems que seja trocavel, e com ele fazer tipo um parkour e no final usa-lo para ganhar um IOTM aleatório com chances diferentes pra cada IOTM, tipo razor wings comum e rayman fist lendario, isso estabilizaria os preços e adicionaria mais deles ao jogo, para que mais jogadores possam te-los",5,0,,2020-07-01 14:05:48
40,Gabrielle Ærangel,https://play-lh.googleusercontent.com/-HtNM0oacETc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmhXs9odr_2jbAKku4rZ5VBD80X1A/photo.jpg,"O game ficou horrível desde 2017-18 quando a Ubisoft colocou suas mãos nele. Nem percam o tempo de vocês baixando isso. O game tornou-se p2w, além de estar cheio de bots e hackers.",1,0,,2020-06-06 09:04:06
41,JHOZITO GG,https://play-lh.googleusercontent.com/a-/AOh14Gjx5NzDTHwta_ykCwUGfkeGwsFIQJ4Dieyi8Ywn,O jogo é muito bom mas não da pra jogar eu fico criando as coisa é chega alguém é quebra ou pega o meu mundo devia ter uma opção de ativar a tranca no mundo é destraca no início ai seria muito mais fácil :c,3,0,,2020-08-30 12:15:08
42,NescauGT,https://play-lh.googleusercontent.com/a-/AOh14GjBDIypWsntIZoMiY3C08-m8D5tAS2RVhExbFZBwA,Estou dando uma estrela pois o growtopia está com bugs e eu fui banido sem fazer nada eu entrei no mundo e fui banido por 60 dias : (,1,1,3.38,2020-07-25 09:25:42
43,Evandro Jhozer,https://play-lh.googleusercontent.com/a-/AOh14GjQXu-G2HGaEujAPoX2qV2IL9IIlGvHTbXOA3P4iQ,Ele me manda toda vez para o tutorial quando tento criar um mundo,1,2,3.37,2020-06-20 20:42:35
44,the Jet,https://play-lh.googleusercontent.com/a-/AOh14GhZxmm63xyFB_j15H3hUFYksr23z5yivf9ECm8vLg,"""O jogo consiste em fazer árvores misturadas"", isto era o que eu pensava no início. O jogo em si é um ""Simulador de trocas"", tudo é baseado em troca entre jogadores. A moeda de troca são os cadeados (sl, bl, hl, wl, etc...) Cada um com se valor definido torna-se uma moeda perfeita entre os jogadores e com isto vem a troca de itens, os preços são variados de acordo com o preço na loja ou quanto o vendedor quer pelo produto, e algumas coisas podem ser traiçoeiras e é necessário ser cauteloso. 5/5",5,56,3.30.2,2020-04-01 06:38:13
45,Marcio Roberto Grube 8 ano D,https://play-lh.googleusercontent.com/a-/AOh14GjjW4VQDid6pDc4jpnx-svGw5CCK-PONTZKvog0cg,"muito bom.Mas precisa ser melhorado em certos aspectos como por exemplo um deles é o servidor não sei se é minha internet mas entro no jogo não se passa uma hora e da disconnect outra coisa que odeio é os spammers (noobs que ficam falando certas frases que se repetem por um certo período de tempo) mas tirando esses dois aspectos e algumas coisinhas o jogo está ótimo. Com relação às pessoas que falam que foram ""scammeadas"" simplesmente vc deu ou sua senha pra alguma pessoa ou só precisa de atenção",5,60,2.993,2019-06-27 14:02:54
46,DK,https://play-lh.googleusercontent.com/a-/AOh14Gh7tqvwQtlnF1mczLS9yPrFKRbIqoVOYUtlFHliTA,"Jogo bom e divertido,me divertiu por 2 anos consecutivos jogando todo dia por mais de 5 horas,o jogo tem tantas coisa que mesmo jogando por tanto tempo ainda não aprendi tudo,jogo perfeito,divertido e justo.Mas nao confie em nimguem,as pessoas são horríveis,isso não é culpa do jogo,mas todos querem te roubar de qualquer maneira,aprendi isso desde o começo e agora sou solo player,não confio em nimguem converso,tenho colegas mas não empresto sequer 1 wl,se vc vai começar a jogar agora cuidado.",5,151,3.021,2020-03-23 10:13:12
