,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Adilson Silva,https://play-lh.googleusercontent.com/-3ZuttVMJwlQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclo6gRWEiYUvPmU7mk-fmzENECX9A/photo.jpg,"Ótimo jogo , porém, é bem barato pra construir no início do jogo mas cada vez que vc sobe de nível tudo fica mais caro, dps tenho que completar as tarefas para ganhar mais joias, mas tirando isso esse jogo é nota 100000000000000 recomendo muito esse jogo bye.",5,336,4.14.0,2020-11-03 12:40:14
1,Denison Silva,https://play-lh.googleusercontent.com/a-/AOh14GgDfgRvq3N3RTljYmgMzAXEI0MmqiiXqmgYKw-t4Q,"E incrível, gosto muito de sonic, esse jogo é espetacular com loops, velocidade, power ups, vários personagens, bastante eventos, e também muito viciante!! O gráfico e bom, vocês poderiam botar a chemical plant zone e a casino night ia ser demais, mas ele até agr tá MT bom",5,435,4.14.0,2020-11-02 11:58:15
2,Lucimar Rodrigues,https://play-lh.googleusercontent.com/-rrQAaVzb_a4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUrt4lRMgLvzsVIz0McAICVB7lRg/photo.jpg,O jogo é muito legal só que eu não consigo como eu posso dizer pular direito e né quando eu às vezes eu pulo né daí eu tenho que baixar eu não consigo fazer isso é muito rápido Tem que ser veloz eu não tenho novidade Luiz então é novidade né Eu não tenho a velocidade exata então né Eu até que gosto do jogo é bem legal eu amo esse jogo Meu pai disse para não desinstalar o jogo porque é muito bom eu amo,5,119,4.14.0,2020-11-08 12:11:06
3,Wesley Prower,https://play-lh.googleusercontent.com/a-/AOh14GjFSLkpLMer8Lw0ccAPAFYpYqW814H8DSvoKwYezjA,"O jogo continua incrível adorei a nova atualização q deu uma repaginada no lanyout do jogo, realmente eu sempre quis q aparecece na tela o progresso das missões e com esse novo contador de anéis eu fico no ar por mais tempo isso me dá uns pontos extras ;-)",5,151,4.14.0,2020-11-05 14:42:06
4,Arthur Martins,https://play-lh.googleusercontent.com/-Q23p32qkBUc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclH8_DZh6wL5q6O-tZh_7u0SFayLw/photo.jpg,"Eu adorei essa nova atualização, a jogatina ficou bem melhor assim, uma das coisas que mais me agradou é que eu não pressões mais pausar o jogo para ver quais os meus objetivos e pausar para ver se já concluí os meus objetivos.",5,126,4.14.0,2020-11-04 12:36:15
5,Kauã Silva,https://play-lh.googleusercontent.com/a-/AOh14GiIb780aTCd6g3w8tJP6dVX3w-GYKOAk6dnrHbNSg,"O jogo é muito bom, mas eu acho que não deveria limitar as missões, eu sei que isso é para fazer as pessoas esperarem mais e jogarem mais, só que cansa muito ter que ficar sempre esperando 2 horas para só uma missão.",4,154,4.14.0,2020-11-02 21:13:28
6,arthur arara jogos,https://play-lh.googleusercontent.com/-R9rqMnLtjOg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmZd1zdZ8IoHq657K5X1yvuL8HiaA/photo.jpg,este jogo é muito bom mesmo é um pouco dificil completar as zonas mais os chefes são faceis de derrotar e também já bati o recorde de 200k pontos muito facil então e isso galera obrigado por esse jogo sega,5,4,4.14.0,2020-11-05 13:57:50
7,Augusto The Skeleton Classico,https://play-lh.googleusercontent.com/a-/AOh14GhNtmb041zsGmbo4WgulZG3Kwd0A37i2HZzGf7_Sg,"É muito bom mas coloquem o evento do Sonic Classico pfr sega, não vou atrapalhar,eu gostei da nova Atualização colocando miras no Badniks terrestres e colocando o comando do Spin Dash apenas clicando na tela",5,7,4.14.0,2020-11-04 09:10:28
8,Nielson Nielson de Cristo Cruz,https://play-lh.googleusercontent.com/-0smJQ1-O5_M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8oYL_oSiqUKrNexOszueFQeT6rg/photo.jpg,"Esse jogo é muito bom nota10, eu gostei muito dos personagens irados, mais podia ter outras opções de personagens, mais e muito bom apesar de ser o único jogo que eu já dei sinco estrelas, bom de mais✨💯",5,111,4.14.0,2020-11-02 15:20:55
9,Rosmarli Meneses de Lima,https://play-lh.googleusercontent.com/-LxYMfVvDpQY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOWnVswVG5Q2EVpYW3kCaspVT8hA/photo.jpg,Obrigado 😃😃😃😃😃 eu n saio do celular só jogando kkkk eu nunca parei de jogar e já tenho todos o personagens do jogo kkkkkkkkkk adorei o jogo continuem assim kkkkkkkk podem aumentar o tempo do evento rouge bruxa e dos outros eventos??,5,5,4.14.0,2020-11-06 13:12:06
