,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,ლPürplë_ Pëärlシლ,https://play-lh.googleusercontent.com/a-/AOh14GhHK5x0HtIrrgd3ZyyASJ3NCVsoVEeeQYEG2EQCmQ,Cara eu tenho 10 anos e jogo isso eu acho desde de os 8 9 anos ent eu resolvi baixar de novo o jogo e ótimo mas eu acho que deveria ter mas coisas fora isso o jogo e bem fofiiis 🐼✨,5,271,8.48.00.01,2020-10-14 14:38:16
1,Pavao Franco,https://play-lh.googleusercontent.com/-OD6GCHuJCCw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZHZzrG9_MmDJqqSkJ8ZEPX9G2Bg/photo.jpg,E a primeira vez que eu jogo e é muito legal só que que se não tem nada pra fazer mas tirando isso e muito legal,4,204,8.48.00.01,2020-10-13 11:36:20
2,Espiga De Milho,https://play-lh.googleusercontent.com/-onarwZnf6Iw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9uBbRRarAEOaRVT3DA7uVrcPotQ/photo.jpg,Lover pandas amei esse jogo é o melhor jogo se não tem nada pra fazer vc pega o seu celular etc.. e joga ele vc se destrai muito é legal esse jogo eu acho que eu vou jogar até os meus 40 anos não sei né mais é muito bom e muito fofo amo panda acho que a Natacha panda e a luluca ia gosta nao sei mais acho que sim!,5,71,8.48.00.01,2020-10-31 17:26:13
3,Alanis Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14Gh4cEnAT6GXovpo-gu3u7efia9CDswMuehu3rrG3Q,Eu tenho 11 anos e ainda jogo isso kkkk eu adoro esse jogo so acho que deveria ter mais coisas para fazer mas tiarando isso e otimo e fofííííssimooo🐼,5,375,8.48.00.00,2020-09-17 20:23:53
4,Larissa Alves,https://play-lh.googleusercontent.com/-VK5MKN-Lv6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmCcnOYeuKtPIA_SWvE32yT68-og/photo.jpg,Amo esse jogo só que deveria ter mas opções de coisas pra fazer mas tirando isso o jogo tem uma avaliação muito boa,5,19,8.48.00.01,2020-10-14 23:41:09
5,Carina Carvalho,https://play-lh.googleusercontent.com/-TROrJ6nFJog/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldQWXmC0oNHxZSMBegIrPc2vhPVQ/photo.jpg,É muito nojento quando ele quer dar beijo deveria ter mais coisas para fazer nesse jogo é um pouco sem graça 😛😸,2,88,8.48.00.01,2020-10-09 16:46:53
6,Lilia Moreira,https://play-lh.googleusercontent.com/-RVLizrXhBl0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUrovvuGZaOPr_wCdWQV7rUyVLfw/photo.jpg,Jogo de cuidar do bebê e é muito educativo tem jogo é muito legal você cuidar nacapinha dar banho dá tudo que você pode brincar bora botar para dormir pode dar muito dá para brincar com ele dá para botar ele dá para botar ele para dormir dá para trocar fraldinha jogar no lixo para você também e também eu gostaria de ver todos vocês também baixar tá bom então então vou ver se consigo fazer 😀😀😀😀😀😃😃😃😃😃🙂🙂🙂🙂🙂🙂🙂🙂😃😃😃😃😃😃😃😃,5,14,8.48.00.01,2020-10-21 07:03:10
7,Joelma Goncalves Ortiz,https://play-lh.googleusercontent.com/-Tzjpg3GI7hM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmknOcJTnbsA2z4oGKEwLig9n4yZA/photo.jpg,Adorei o jogo este jogo não é só para bebês eu tenho 10 anos e nunca injoei algumas pessoas dizem que o jogo é ruim mais no fundo ela sabe que o jogo é bom,4,3,8.48.00.01,2020-10-24 15:24:29
8,wesleyd mello,https://play-lh.googleusercontent.com/-NS8ZsUIuH_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPbPYyJIAoVuPxbFeYpQ7JRhTiAQ/photo.jpg,Cara eu tenho 10 anos e jogo isso desde pequena kkkkkkk amo esse jogo o panda e muito fofo mas poderia ter mas coisas mas o jogo e bem legal 🐼,5,55,8.48.00.01,2020-10-10 12:50:32
9,Rafaella Farah,https://play-lh.googleusercontent.com/a-/AOh14GhHGRSsrbShrwzOuPdYPdo6KQLQcdaxqzkCpd98,Esse pandinha e muito fofo mais uma coisa que eu não gostei foi que eles mandan a gente bater no pé dele 🙄🍰🍥🍫🍭🍭🍭🍭🍨🍦🍭🍩🍫🍰🎂🍛🍝🍪🍜,5,213,8.48.00.00,2020-09-22 13:03:48
