,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Samyra Matias,https://play-lh.googleusercontent.com/-n5GzBqOz6Y4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmND8CNY_hsylu5e2-ryaiAuvUOgg/photo.jpg,Eu gostei muito desse jogo manda aquela saber por que quando os crente come sorvete fica tudo congelado e só dá pouco dinheiro tem as vezes que dá muito,5,4,8.48.00.01,2020-11-08 16:44:39
1,Maria clara Oliveira frança,https://play-lh.googleusercontent.com/-po4HZnp0bl4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclE-Qr-T41h_ZSO17loN4P30PztMQ/photo.jpg,Eu gostei muito desse jogo só que eu queria entender porque às vezes os clientes ficam congelados,5,83,8.48.00.01,2020-10-22 15:03:20
2,Karolly Rutiany Freitas,https://play-lh.googleusercontent.com/-0EvVv6PbeZE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVLxmlxJ8jld_x7fU-ZZwE-BezBA/photo.jpg,"Oi , me chamo Ana Clara , estou comentando isso para as pessoas que criaram os outros jogos melhorarem, eu gostei de todos os jogos mas tem um problema que eu quero que façam ...... tipo que criem uma cidade grande , tipo com casa , shopping , outras coisas bem legais , mas os jogos são ótimos.",1,275,8.47.00.00,2020-09-03 14:34:47
3,paloma talita,https://play-lh.googleusercontent.com/a-/AOh14GiR7IQp5DSK-pJz1DO4XHDZk7gZOYHyvzTnDbbvCA,Gostei muito parabéns pra quem fez mais tinha que ter mais coisas só tirando isso é ótimo,5,75,8.48.00.01,2020-10-04 13:39:19
4,Roberta Kalienny,https://play-lh.googleusercontent.com/-NDlwFIwJLJA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnITc-i4qNRNdNWjL-WuaUg8ZG95A/photo.jpg,"Gosto muitoooo dos jogos da babybus recomendo muitoooo para todos são muitooo legais🌟 , e a ser mais legal seu tivesse uma cidade tipo com casas ,shopping, prédios,parquinhos e ETC.💋",5,248,8.47.00.00,2020-09-07 15:33:43
5,Ricardo Trabuco,https://play-lh.googleusercontent.com/-P3tbtcE8Zk4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckB8Bchv3446pspFBAxu7Ms_dhhDg/photo.jpg,"Podia ter uma opção de poder atender o pedido dos clientes,mas o jogo é otimo parabéns",5,14,8.48.00.01,2020-10-26 18:38:43
6,Tarciana Teixeira de Lima,https://play-lh.googleusercontent.com/-OquU-HYEauc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlyvpxtcDyfeva732MJbUdDY2ZIw/photo.jpg,Jg mto bom mas tem um probleminha o bebê panda fala chá aí minha irmã pensar que e chá mas ele deveria fala ja,5,0,8.48.00.01,2020-11-08 22:22:55
7,elica dias,https://play-lh.googleusercontent.com/-6YGH-TNXMaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucloEmEQjnYU99r7s2A149ufF6PMpg/photo.jpg,"Esse jogo é ótimo, já tenho seis jogos do babybus contando esse, e super recomendo os jogos deles, obrigada.",5,376,8.47.00.00,2020-08-27 15:59:02
8,Pedro Sobrinho,https://play-lh.googleusercontent.com/-lZ0sBcU3ZCM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-TQqVFk5Ro2QUDTH2URIMJCNf0w/photo.jpg,Eu tenho 6 anos vou fazer 7 e no dia 22 de agosto como vai ser dia 22 de agosto então é muito bom esse jogo por isso que eu dou cinco estrelas então vocês são muito bons a sorveteria é tão bom Ai que vontade de tomar sorvete beijos da Anitta mas eu tô no celular do meu vô chamado Pedro Marcos sobrinho,5,125,8.47.00.00,2020-08-18 17:37:06
9,iiPikenaYsah :3,https://play-lh.googleusercontent.com/a-/AOh14GgYcPpS7jIOWWBKllvz-yyst4oCdUzRpn7KGMDxmg,"Olá Mimis fox!. Bem, o jogo babybus, como todos os criadores confirmam que sim! O jogo são para todas as idades, Basicamente crianças MENORES jogam o jogo. BABYBUS.",5,366,8.43.00.10,2020-05-22 01:54:04
10,Maria Cristina da Silva,https://play-lh.googleusercontent.com/a-/AOh14GhW_BkyHm4vvpUPqaE7YAK06YWmLdnfl5HFT2DcAEs,Eu sou criança e porque eu jogo no celular da minha mãe e porque tem a foto dela mas não e ela que joga e eu que joga.,5,159,8.43.00.10,2020-07-02 12:40:55
11,joel Pereira da Silva,https://play-lh.googleusercontent.com/a-/AOh14GgNWg2R47tqM-xTavcVC7PjdUQJDNzYfXl8X9df,Eu não gostei muito pq na hora do suco não dá pra escolher o copo daí fica chato 😦😧,2,6,8.48.00.01,2020-10-10 09:13:50
12,Edjane Caetano,https://play-lh.googleusercontent.com/-aUxItDYhMBw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZz2SjOuzM5x3uI0xLgClD0Qzr1g/photo.jpg,É muito legal esses jogos do bebê panda se vc gota bota que sim eu tenho 9 anos e vc bota aqui nos comentarios,5,125,8.47.00.00,2020-08-13 20:41:28
13,Luizze Eduarda,https://play-lh.googleusercontent.com/-Z7zGL5YdSFc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAvjxXA_L20PDY14Vbps0xSvb0Cw/photo.jpg,Esse app para mim não é só para bebês meu irmão ama jogar babybus e eu também ele distrai e passa o tempo muito bom esse jogo baixem,5,85,8.43.00.10,2020-05-17 13:14:52
14,Keline Araújo,https://play-lh.googleusercontent.com/-CSvl7p9NPPw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm1KIsFlxKSE3EdwM3ge8qz3aQHBQ/photo.jpg,Meu pai amado como demora para a baixar esse jogo parece ser muito legal já que eu ainda não sei como esse jogo é eu vou dar duas estrelas quando a baixar eu digo mais como e esse jogo caraca mais está demorando muito pra abaixar no de vcs de morava tanto assim 😠,2,8,,2020-08-17 13:57:27
