,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,AMANDA KIDS,https://play-lh.googleusercontent.com/a-/AOh14GiHpo7ng-TdCM96V6pH8W1O4flCo7Cbsyv3CnF0,"Eu amo esse jogo 😻 mas eu não recomendo para menores de 5 anos, por que eu não recomendo, é que tem uma reseita que a gente tem que tirar a cabeça do camarão é muito nojento, imaginem eu que tenho 8 anos acho muito nojento então imagina uma criança de 4. Mas tirando isso é tudo ótimo ☺️ então eu vou dar 5 estrelas 🌟🌟 🌟🌟🌟",5,216,8.48.00.01,2020-10-06 00:36:58
1,G3NER4L BR,https://play-lh.googleusercontent.com/a-/AOh14Gik9wL7h0hDG8gNJ-y0j2x4MWGApiwDMwh8gZct,Vou dar minha opinião humilde ..... o jogo é top tem varias coisas para fazer amei esse jogo eu ja tenho 10 anos mais jogo esses jogos do baby panda ou bebê panda como vc quiser então pode instalar é muito legal instalem tchau,5,306,8.47.00.01,2020-09-19 06:23:53
2,Maria Eduarda Nunes de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgfYs2YW6FHGhOD7WXL8ifKa86EkCoY9jvAMzzZ,Eu achei o jogo muito legal. É divertido e é bom pra passar o tempo. Eu acho que esse jogo é pra todas as idades eu tenho 12 anos e baixei ele pq gosto muito desses jogos de cozinhar.,5,239,8.48.00.00,2020-09-28 23:09:58
3,Mundo da Esther Jesus,https://play-lh.googleusercontent.com/a-/AOh14GgyipuKYLxpj2hROuvkkGzO4uqdfL2KgBXrYo0_,To 4 estrelas por que o jogo nao e todo desploqueado de que tem dinheiro da venda do restaurete pra desbloqear mas o jogo e bomm,4,85,8.47.00.01,2020-09-10 16:51:25
4,Nicolly Silva,https://play-lh.googleusercontent.com/a-/AOh14GjfwyGM65kOZVDBYWBniB4TLT-K3DOUA29oHmfF,Adoro muito os jogos do BabyBus🐼❤️ é muito bom divertido e vale a pena instalar. 🤗,5,13,8.48.00.01,2020-10-13 19:38:46
5,Naty 777,https://play-lh.googleusercontent.com/a-/AOh14GiQSjnxZGb40Aq0Ty29E9ORUsENeO3qM-aP0OiV,Eu acho que devia ter mais atualização pra chegar novas comidas para desbloquear com o dinheiro do jogo só acho essa e a minha opinião,4,131,8.47.00.01,2020-08-31 07:21:44
6,springtrap yt trufinha gamer games,https://play-lh.googleusercontent.com/a-/AOh14GiM7g-SGYCzJM66bFb-v6yO96Tf5HiGoiMzz6oIvQ,o jogo e otimo o ruim e que muitas coisas tem que pagar mais o jogo e otimo perfeito,5,41,8.48.00.01,2020-09-30 14:57:08
7,Manuella Peteira santos,https://play-lh.googleusercontent.com/a-/AOh14Gho7KF9kMM5_lHtjejjIcgfVnQ-LVbKGl4blzis,O jogo e muito mais muito bom mesmo um dos jogos so panda eu acho esse mas legal e eu estelei por gue eu achei fofo mas eu tenho 10 anos na cara mas eu so achei fofo ta beijos 😎😍😘😘🤗💞💗,5,8,8.48.00.01,2020-10-10 15:37:56
8,Cristina Santos,https://play-lh.googleusercontent.com/-bDzPoiIlgkQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrA_6BUESgJHyiZNgZyQRbj9qatA/photo.jpg,BRENNDA sobre André Nascimento moto Gostei muito desse jogo e você pode também ver as coisas né O jogo é legal é muito várias coisas é mas até que eu gostei né É por causa das outras pessoas não gosta Aí a coisa deles mesmo kkk quanto mais eu amei eu sou Brenda Nascimento Mota Então escreve isso na sua cabeça e que eu gosto muito desse jogo Tô baixando e Tô baixando Meu sobrinho e ele gosta muito desse jogo vou baixar,5,270,8.43.00.11,2020-07-03 17:21:28
9,Elisabete Castilho,https://play-lh.googleusercontent.com/-IrNzYSI4wPQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnruevp29ZaVPVnGVz1pM3_KqtaTg/photo.jpg,esse jogo é muito legal e fácil eu amei eu recomendo esse jogo é muito legal e fácil eu amei eu recomendo esse jogo é muito legal,5,65,8.47.00.01,2020-09-02 07:31:39
