,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Emilly queijo,https://play-lh.googleusercontent.com/-7G7tIJ7xuMM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8MR4nX7Dc90B4XjW6SPiyO0pQ6A/photo.jpg,Esse jogo é muito legal tenho 10 anos e o meu favorito e do supermeado rsrs o jogo é ótimo não dá lag não buga e tbm eu adora jogar baby bus quase todo dia jogo é é excelente o trabalho muito legal mesmo é tbm a minha parte favorita do jogo é quando eu pego o chocolate e gelatina nos biscoitos 🤗,5,441,8.48.00.00,2020-09-23 22:46:00
1,Luam Catarino,https://play-lh.googleusercontent.com/-5tk9UPfOjn4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckhB2k3DglpJovqZIujoarclIR-8w/photo.jpg,A minha filha amor muito gostoso divertido tem muita criatividade ela também falouque tem que pagar o dinheiro no caixa parece com tu de verdade também também disse que a compra as compras roupas muita coisa e você é lente tudo isso também falou que tem a mamãe que vai tem uma mãe vai com filhinho quero ver se eu troco as nossas obras e aí sim ela disse que amou muito parabéns daqui foi esse jogo eu muito 💗💗💗💕💞💞😍.....,5,475,8.48.00.00,2020-09-22 01:22:53
2,Lucio Ferreira,https://play-lh.googleusercontent.com/-R2REXW7mldI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclYR_FBEkkdJ92rHT_fOiZoQYULAg/photo.jpg,Adoro este jogo os gráficos são incríveis Dou cinco estrelas porque é fenomenal.,5,86,8.48.00.01,2020-10-27 16:38:19
3,Luna Larissa,https://play-lh.googleusercontent.com/-sGRWt6ezLuw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOAjMWdRMWkYaqXjhf6qbXzWynIA/photo.jpg,O jogo ele é ótimo o problema dele é de ficar passando muito comerciaiseu não gosto e tem vez que eu tentei sair do jogo e entrar no jogo de novo abaixa o jogo ele é muito bom ele não trava ❤️❤️❤️😍😍,5,308,8.48.00.01,2020-10-05 10:00:12
4,Jecival Costa,https://play-lh.googleusercontent.com/-dr7K1KeX_Tw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclWfUt1L-dgivRZvovkr1qZ6N_GAg/photo.jpg,Meu nome e larissa brone apesar de eu ter 10 anos sou fã dos jogos da babybus tenho jogo do surpe mercado cozinha robô tô baixando pequeno panda restaurante tenho da soverteria tenho quase todos muito recomendado são bem feitos não vejo nada de errado no jogo não trava mamae vai comprar um novo celular para mim um aiphone vou baixar tudo mesmo jogos tô viciada jogo também para passar o tempo tédio gosto muito muito muito muito desse jogo obrigado babybus façam mais jogos,5,0,8.48.00.01,2020-11-05 01:56:53
5,Sbastiao Pinhero Da Silva,https://play-lh.googleusercontent.com/-RDdhg1uKKj8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkK8MZNeg8Jeq-4SfID9JowQ13EA/photo.jpg,Tenho todos os jogos Babybus no meu tel adoro não trava não é igual aqueles jogos que que vc só compra esse não ele tem como vc pagar é ganha um presente amei parabéns,5,120,8.48.00.01,2020-10-16 15:27:24
6,Sophia Vitoria Nascimento,https://play-lh.googleusercontent.com/a-/AOh14Gg8UtQjImHRmkDeQI6ajAPf6MV12hNvK950gTme,Minha irmã tem 2 anos de idade e tá aprendendo MT coisa com o baby panda 🐼 eu já abaixei MTS jogos do baby e ela tá amando demais. Parabéns pelo os criadores,5,100,8.48.00.01,2020-10-02 09:33:23
7,Bianca de Lima Souza BIANCA de. lima sousa,https://play-lh.googleusercontent.com/-vHa0smw2yjg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnt3NtCec5O1OTrNpvS_mFPpS4_Tw/photo.jpg,"Adorei esse jogo muito bom voses tem que instalar dês de 6Anos que eu tenho ese jogo adore todo dia eu jogo ,¯\_( ͡° ͜ʖ ͡°)_/¯ muito bom ☞adoreiiii e se escreve no meu canal o nome dele e dia de brincadeiras se escreva se ese jogo e muita bom vases não vão se arrepende",5,52,8.48.00.00,2020-09-18 22:36:33
8,Camila Lopes,https://play-lh.googleusercontent.com/-NJ2UuBpRFfI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucky9KEsgos0Z2V-I1Eu18cbJU2gEw/photo.jpg,O jogo é ótimo e muito legal todo dia eu jogo eu tenho um munde de jogos do banda eu tenho 8 jogos dele é muito legal eu recomendo abaixar to apaixonada😻👧🐼❤❤❤,5,3,8.48.00.01,2020-10-16 13:26:51
9,Ana Selma Oliveira Nascimento,https://play-lh.googleusercontent.com/-fv0LCcw8D9E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclM-pybQktgLmG60PM-ylmBPoYJSA/photo.jpg,"Esse jogo é legal demais demais,vcs tem que baixar esse jogo ele é muito legal,eu espero que vcs baixem e goste muito bjs.",5,30,8.48.00.00,2020-09-16 22:12:20
10,RUTE REBECCA,https://play-lh.googleusercontent.com/a-/AOh14GjKAyh8EE778jvPFY4LpMttRkRcKd2SfQkCw935,Ela é uma princesa que não usa coroa ela usa boné boné bonénão precisa de salto ela para o baile só de tênis no pé ela é sapato vermelho para festa com queria saber,5,0,8.48.00.01,2020-11-02 20:26:59
11,Evellyn Carolayne,https://play-lh.googleusercontent.com/-d1YNZ3Vg368/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmhG8DWmFltFRjo3qlxMaITQ2JZ-A/photo.jpg,Amei esse jogo e super pratico e rapido,5,1,8.48.00.01,2020-10-27 13:21:19
12,Rosa Helena Da Costa,https://play-lh.googleusercontent.com/-4fksTmZHkzI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoipj9RVxdHhfoRsiDxqimnfmWdQ/photo.jpg,Gente eu tô mandando mensagem para quando esse jogo é muito bom gente vocês tem que ver gente esse é o melhor jogo da sua vida você joga joga jovem ganha maiseu que tô mandando essa mensagem eu adorei eu tô jogando agora nesse momento mas eu parei para mandar essa mensagem para vocês um abração para você antes de falar tchau esse jogo é muito muito fofinho gente beijos meus lindos,5,1,8.48.00.01,2020-10-23 23:14:25
13,Valquiria Campos sabino Matos,https://play-lh.googleusercontent.com/-v0pe-4A8GFo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBjWTVv5jfLVtSnkYeB9q8N3uwCg/photo.jpg,É muito legal eu assisto muito esse desenho !!!! Parabéns para quem o criou!!!! É super educativo!😊,5,0,8.48.00.01,2020-11-03 22:57:00
