,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ana Moreira,https://play-lh.googleusercontent.com/a-/AOh14GgSaiAaZTmydSNtlvNMNS-xHI1g8PGzzAp_TfFJqQ,"O jogo é simplesmente ótimo !! Os gráficos são íncriveis , motos íncriveis também , tudo naravilhoso !! Só faltou uma coisa , em questão do dinheiro e dos veículos , deveriam ser mais baratos , e também deveriam ter mais , ou seja , carros , caminhões , vans , e etc. (jogo muito bom , recomendo sério)😜☺",5,54,1.70,2020-11-08 17:49:00
1,Isabela ftn,https://play-lh.googleusercontent.com/a-/AOh14Gh-7iNwGeoJwoyIx4xXJvn8ijH7aR3AWYIDfGZ1,"O jogo tem gráficos muito bonitos, mais eu estou dando 3 estrelas pq eu acho que deveria ter como virar nas curvas e olhar no retrovisor, mais tirando isso eu super recomendo, tem gráficos lindos e modos de jogo super legais, obrigada pela compreensão, e espero que melhore nisso, tchau tchau❤",3,729,1.70,2020-10-30 12:51:55
2,Luan Lima,https://play-lh.googleusercontent.com/-f09CZlaZSvY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjHWeUhwbODjNTV2JPFMswAiecEA/photo.jpg,"Bem, até onde cheguei tá de boa, level 35, recorde 2,5 milhoes de pontos com uma moto que custa 140mil, o forte do jogo parece ser o modo sem fim, é bem mais interessante do que o modo carreira. Os gráficos são interessantes, a jogabilidade é ótima, não tenho problemas pra juntar dinheiro do jogo, nunca tive nem quando jogava antigamente... Bem, recomendo esse jogo, gostei muito. A e funciona sem internet tbm kk.",5,4013,1.70,2020-08-25 00:38:53
3,lov3music,https://play-lh.googleusercontent.com/a-/AOh14GhfWvQx2zliZvARlAAm0zFS8Lxlcbxv0Kgw7UaPUg,"Esse jogo me fez voltar no tempo, tive q instalar novamente e tive lembranças de quando eu era pequena e jogava esse jogo com meu pai, hoje em dia ele não joga comigo mas eu ainda sim amo esse jogo, a gente passava horas e horas jogando :(( Mas isso não interessa, não é mesmo? O jogo é muito bom, os gráficos são perfeitos e realista, não vi nenhum bug e nem nada do tipo, espero q vcs possam jogar, se divertir e afins, amo esse jogo 😻❤",5,224,1.70,2020-11-02 10:45:16
4,Diego Boaventura,https://play-lh.googleusercontent.com/-EfBCj5rN7ck/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclehgH174moOC2iTP6bcfgoycmEsw/photo.jpg,"Olá o jogo este pode mudar algumas motos ente 250 e 300cc.? Pode liberar algumas motos de potência,manejo e freios pq tem motos que não tem potencial pra vias fica difícil rodar com pouca vc!! Libera a mão dupla no nivel 19 #sai motos desatualizado e vem novas motos fala comigo pelo Instagram!!!",3,2,1.70,2020-11-07 20:00:21
5,Chocobacca Player,https://play-lh.googleusercontent.com/a-/AOh14GgsX2sU-oKO5Y-RUa4P_taR8MAhTcywQddRZHcj,"O jogo e incrível,várias motos para colecionar,da para pintar a moto,colocar alguns adesivos,tipos de luvas,muitos modos de corrida em diferentes tempos e tem bosina e da para empinar. Mas gostaria que desse para colocar outros adesivos mas... Parabéns aos desenvolvedores.",5,237,1.70,2020-10-27 18:33:03
6,Arlino Rocha,https://play-lh.googleusercontent.com/a-/AOh14GhctEtHeEAcTcrTWtisZ1zcnZMINkhCPCuIw-Uszg,"Gostei muito do jogo, mas chega um momento em que é impossível continuar se não pagar, o jogo deveria proporcionar aos dois perfis de jogadores, sendo eles pagantes e não pagantes, a possibilidade de evolução que consequente alcançaria muito mais jogares. Para os pagantes poderia ter mais possibilidades de aparências, mapas, roupas etc... Enfim estou desinstalando o jogo, pois o tipo de jogo que precisa pagar não me agrada, a não ser que seja apenas cosméticos.",1,1307,1.70,2020-08-24 15:14:46
7,Maria Aparecida da Silva,https://play-lh.googleusercontent.com/-6kmw6xBsyG8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjIqvyThg8L_tYGzYyuVlcRaOuew/photo.jpg,"Jogo bom e divertido, porem é nitido ver que os preços das motos sao em tese realistas, porem sao muito difíceis de alcançar, sendo necessário comprar dinheiro do jogo (algo caro e inviavel) por isso o jogo nao e 5 estrelas, mas sim 4( na minha opinião).",4,196,1.70,2020-10-15 15:51:40
8,Maycon Elias Vieira,https://play-lh.googleusercontent.com/-syyybgFzWKA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAcLrxCMJHQlEAa8hBejcrdHiA_Q/photo.jpg,"Melhor jogo de simulaçao do mundo graficos excelentes, jogabilidade muito boa e pratica, varias motos pra andar, e da pra ganha dinheiro sem precisar ser forçado a fazer o modo carreira o jogador e livre. Parabems aos criadores",5,17,1.70,2020-11-01 18:44:49
9,Lenir Pinheiro,https://play-lh.googleusercontent.com/-CDuf7YU1cqU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbD8Cw4-aDJ2vU7jcr9TOzjgXoig/photo.jpg,Muito bom bastante realista poderiam adicionar alguns modos como perseguição policial ou corridas offline ou até mesmo online as motos São bem maneiras os barulhos que elas fazem também mas poderiam abaixar um pouco os preços ou botarem algum objetivo para você completar e no final ganhar desconto espero que a Soner Kara veja isso recomendo muito o jogo.,5,239,1.70,2020-10-15 12:13:49
10,Liberdade e Economia BR,https://play-lh.googleusercontent.com/a-/AOh14Gi7IAD4BB35XcRAXAFGKKZNLSxAJT6OauS59QKbWw,"Jogo é ótimo, o melhor de moto, mas chega um ponto que os desenvolvedores estão fazendo a gente de trouxa, acho uma palhaçada isso do jogo proibir você fazer as missões caso sua moto não tenha a potência que ELES querem, outra palhaçada é a velocidade das motos de alta potência, não tem nada haver com as da vida real, passei um tempão pra comprar a VMAX, e não passa de 209 original, o preço pra mexer é absurdo, e nem da pra fazer as missões com ela original. TÁ CHATO ISSO.",2,900,1.70,2020-08-30 16:07:14
11,Rennara Almeida,https://play-lh.googleusercontent.com/a-/AOh14Ggjogrm7P5nutJSDHMQVeyUO52jVu-T8BFstmPqng,"Gosto muito jogo, bem realista e afins. Mais só não do a 5° estrela pq as vezes você bate em algum carro sem querer e perde MUITO tempo e isso não é legal, e as vezes está falando que a missão é fácil, você perde dinheiro para arrumar a moto e faz de tudo p conseguir, não erra e ainda não consegue cumprir a missão, o tempo passa mto rápido. Mais pra quem quiser jogar só por jogar, sem cumprir as missões ele é ótimo",4,2107,1.70,2020-09-09 12:37:18
12,Heloísa Barbosa,https://play-lh.googleusercontent.com/-y5YFy-dhvAw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn5gvus3766ySitGQVi8Jk7m02LYA/photo.jpg,Jogo muito bom mais queria que melhorasse a quantidade de carros pq do level 10 pra cima e muinto difícil não e muinto que dar pra passar mais tirando isso o jogo e maravilhoso eu adorei os gráficos são de ótima qualidade e um jogo que não tem erros.,5,9,1.70,2020-10-29 16:55:29
13,•ღDiamon-Chanღ•,https://play-lh.googleusercontent.com/a-/AOh14Gjmaz3mypdao4JbbDxVL07c12-M9NsuedZ-zjKJTg,"Amo o jogo,acho um bom passa-tempo ainda mais na quarentena. Bom vamos ao oque interressa. Vou começar com..... Avaliações:as notas avaliadas são péssimas,as pessoas criticam reclamam etc... O jogo é um simulador de veiculo:sim o jogo realmente é de veiculo. O jogo é um simulador medico:não. O jogo é divertido:sim,eu super recomendo a todos vcs. Bom é só isso que tenho para falar,apenas fui sincera,agradeço pela compreensão. Minha opinião:Adorei,só é dificl passar as fases.",5,2267,1.70,2020-10-10 05:03:21
14,Brawl Tutor,https://play-lh.googleusercontent.com/-vX6xFShCO5k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucki0PbnXNK38pilhqfpS7BOSoJ9vg/photo.jpg,"Dei 4 pq falta conteudo,sugestoes! Modo online para jogar com amigos em pistas diferentes modo racha e etc falta varias pistas cidades e vai chegando em um ponto que enjoa!,entao lançe varias atualizacoes com isso que seu jogo vai ficar famoso! e tbm angulos de camera seria otimo!",4,44,1.70,2020-11-05 23:41:03
15,Carlinhos,https://play-lh.googleusercontent.com/-0_DfrikFE4k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmZO7lDZVyGhSxpOMGjfQGu_IviQQ/photo.jpg,"O jogo até que é bom... Mas fica inpossivel de jogar sem ter que comprar dinheiro pra poder trocar a moto... O jogo nao libera pra jogarmos com as habilidades de cada jogador....... Fiz o teste. Em uma missao categorizada por impoasivel para aquela moto, aonde eu comprei uma no jogo e depois fui na fase com a moto q diziam ser impossivel... Consegui jogar...... O jogo ge obriga a gastar dinheiro",1,121,1.70,2020-11-05 14:45:06
16,Luis Sita Luemba,https://play-lh.googleusercontent.com/-UkJT4BK-rVw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXujnE8ZGFdmxrrfZgm8_Euv4_Hw/photo.jpg,"Dei 4 estrelas porque o jogo é muito bacana, sério gente é muito mais que divertido kkkk. Um gráfico legal, o jogo tem bons desafios! Mas daria 5 estrelas se o motoqueiro e a moto poderiam ser visíveis e uma carreira com identidade do jogador",4,4,1.70,2020-11-05 20:06:47
17,Gabriel Vinicius Civalli,https://play-lh.googleusercontent.com/a-/AOh14GgeTZW1OfFjMjrY_WTpAM225wRuMpDkc4snn2t61w,"Melhor jogo de moto da play store e me arrisco a dizer melhor jogo de corrida( pelo menos no meu estilo) muito bom na jogabilidade, controles, sistema de progressão no jogo ( onde vc vai adquirindo novas motos e evoluindo elas pintando etc, resumindo o jogo é bão ( tem como da grau )",5,13,1.70,2020-10-26 01:58:58
18,Gabriel Villar,https://play-lh.googleusercontent.com/-i7aWuGdUClg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTIOCQ_HeRufv6qyrWwpYO5oS-2A/photo.jpg,"jogo muito bom graficos super realista,muito divertido tem varios modos, tem o modo missao e tem o modo que vc so vai andando pela rua eu dei 5 estrelas porque todo ano eu comento,e tambem jogo o jogo faz bastabte tempo,entao eu recomendo MUITO!!!!",5,17,1.70,2020-10-25 22:58:53
19,Neli gomes de araújo cruz,https://play-lh.googleusercontent.com/a-/AOh14GiS0mXO3g5XOHUDY9_49SlFE_3-YTMnj2EV0vqscSY,"É o seguinte: As missões do jogo, as vezes, exige que você compre uma moto nova, e tipo, to com 500 de dinheiro pq acabei de comprar a moto, e do nada ele pede pra eu comprar outra moto, e ela custava 70 mil mano, corrige ae",5,14,1.70,2020-10-21 19:56:45
20,Alisson Morais,https://play-lh.googleusercontent.com/a-/AOh14GgBty88WpMnmNZDOoTCrZ3WTdSfMau1hccs-PP4,"Muito bom esse jogo, ele é muito divertido e tem gráficos muito realistas, iguais aos que mostram nas fotos, esse jogo é muito divertido, você começa a jogar e não dá vontade de parar de jogar!!! Parabéns aos criadores!!!",5,182,1.70,2020-10-01 11:18:19
21,OI SOU O DOLLYNHO SEU AMIGUINHO :D,https://play-lh.googleusercontent.com/a-/AOh14GgeV7saE1bTeNpHfH2jWB3_ZEf3SRaemaKcU2BM7Q,"Pelo que estou vendo, o jogo tem gráficos muito ruins. Mais mesmo assim o jogo é bom. A e mais uma coisa abaixem os preços das coisas, Virtuais, ou na vida real. {Eu instalei o jogo porque gosto de dirigir}. Sem tirar os anúncios :( Infelizmente Dou 1 estrela. E também fica travando. Jogo muito ruim.",1,103,1.70,2020-09-21 14:29:07
22,Flavia Rezende,https://play-lh.googleusercontent.com/-O-n8jTX3ro0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckizvzFmiLBHkw6UffB5zIA8P6fuA/photo.jpg,"Jogo incrível! Gráficos perfeitos, Jogabilidade ótima e meu celular roda Lizinho sem esquentar demais. Minha pontuação máxima foi 258, 91. Só achei os npcs um pouco burros, favor melhorar mas fora isso é um jogo incrível.",5,10,1.70,2020-10-27 14:26:28
23,Fatos do Mundo,https://play-lh.googleusercontent.com/a-/AOh14GimfS4q2hYjhMvi5i6EsZjwnbDxlb7lQy7J3YCYfw,"Jogo incrível, esse é um dos melhores jogos que eu já joguei!!! Sem palavras, vocês estão de parabéns!!!!!! Mas eu queria relatar um pequeno erro: Ao buzinar, o piloto não aperta na buzina, se vocês consertarem isso, eu fico mais feliz ainda. Jogo muito toooooooooopppppeeeee!!! Top das galáxias!!!!!! Incrível!!!! Sem palavras!!!!!",5,64,1.70,2020-08-26 20:39:15
