,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jubys Juju,https://play-lh.googleusercontent.com/a-/AOh14Gi5ApE8Uw2mjQ9hAQx2zGwauSST-pO1kwJfcDKY,"Realmente é muito bom!!! É muito divertido! Além de ser offline! Os desafios são ótimos!! O único problemas são os bugs! Mas isso não interfere tanto na jogabilidade!(pelo menos no meu caso!) Os anúncios também são chatinhos! Mas o tempo pro x aparecer,corre rapidinho! SUPER RECOMENDO! NÃO PERCA SEU TEMPO LENDO RESENHAS NEGATIVAS! INSTALE AGORA!!😊 ⭐⭐⭐⭐⭐",5,1514,1.6.4,2020-10-31 00:46:53
1,Vaninha _YT :3,https://play-lh.googleusercontent.com/a-/AOh14Gga3tCc5s9oGd6hLErg9jqBofnTmjfOksSVOkRtqNo,"Vou ser bem direta. Só falta uma estrela para os desenvolvedores deste jogo, porquê eles não coloca um desafio para poder ganhar um dinheiro mais rápido e também deixar uma boa parte para poder regressar, poxa 🥺. assim não vejo graça. Mas tirando isso, o jogo é Super legal. RECOMENDO.",4,1326,1.6.4,2020-10-24 10:08:54
2,Debora menezes,https://play-lh.googleusercontent.com/a-/AOh14GiumQ4V9tKY7VX4GpcibECG7hsUM_gYRkTm8lHh,"O jogo era muito bom ,mas depois da ultima atualização (12/10/2020) eu entro no jogo e ele volta não dá tempo nem de começar a corrida.Espero q melhore pois gostava muito desse jogo se não melhorar vou começar jogar um outro jogo , mas se vcs realmente se preocupam com os jogadores fiéis como eu , sei q vão ajeitar esse problema .😊😊 Obrigada",2,2120,1.6.4,2020-10-15 17:27:02
3,Elizabeth Maria Amorim,https://play-lh.googleusercontent.com/-b05L5Fq31RU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJqxPlQXjXfH2bvAyPMma-lKw72g/photo.jpg,"O jogo é até que legal, mas a cada vez que eu venço uma corrida vem um anúncio e sempre é o mesmo, além de que a cada clique que eu faço no jogo vem um anúncio de 15 ou 20 segundos, a hitbox do personagens também está meio ruim as vezes eu perco uma corrida pq a hitbox tá bugada, o personagem as vezes quando está escalando buga e fica dentro do bloco e tem que fazer toda a animação de subir a escada, acho o jogo bom, mas repetitivo, eu avaliaria 4 estrelas se não tivesse anúncios excessivos.",3,883,1.6.4,2020-10-27 20:14:02
4,Ka _,https://play-lh.googleusercontent.com/a-/AOh14Gi3xIkch8TMhzKvCTukIJnBM3M9CWuDObRQG6RfVao,"Eu já joguei esse game,e tirei, mais é incrível, muito bom!de graça,avatar em um bom preço e Etc...mais eu amei, recomendo e vou por dnv! Bjs,e gente,se alguém reclamar,não chingue, é a opinião,e foi ELA q teve o problema,n vc! Entendeu? Espero q sim,bjs,pelos menos eu gostei",5,291,1.6.4,2020-10-24 22:23:09
5,Aline Santana Rodrigues,https://play-lh.googleusercontent.com/-9giQJR-YPNM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnR19icqRKc1tk1ixbwGBCkmpWKYQ/photo.jpg,Esse jogo é muito bom eu adoro ele é super divertido jogar mais ele tem um problema que eu queria muito que os criadores do jogo arrumasse é quando ligamos os dados móveis ele começa a travar e quando desligamos ele volta ao normal tirando isso eu não tenho que reclamar pq é muito legal e top esse jogo parabéns irei ficar muito agradecida se puderem arrumar.....,1,396,1.6.4,2020-10-21 15:32:56
6,Rayla Witoria,https://play-lh.googleusercontent.com/a-/AOh14GiBej_B_wIrGL1Gm4McP7VVWrhwXTvtp9w3M51V,O Jogo é muito bom tem gente que fala que ele tem muitos anúncios mas se você desligar o Wi-Fi não aparece nenhum. E ainda o jogo ter seu MB muito pequeno vale a pena e você desempenha alguma coisa. Além de não ter coisas impróprias o jogo não é viciante.,5,1698,1.6.4,2020-10-13 12:28:30
7,로사플리 니오 P.R,https://play-lh.googleusercontent.com/-wQ_BoKRSmKY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqnC9xSBANzrYK_GB4WnlRNhpNiA/photo.jpg,"O jogo e legal, mais se torna chato e irritante por causa de muito anúncio, o problema não e ter anúncio e sim ter toda hora toda rodada, sempre repetitivo se torna inritante e fica chato. Não dá pra curti o jogo direito.",3,19,1.6.5,2020-11-02 21:30:55
8,Cris Araujo,https://play-lh.googleusercontent.com/-ST8pk2umSi8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckFBHGa8ti9XOR1ix4p9er_W5E6Ag/photo.jpg,Esse jogo tem muitoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo...s mapas legais e divertidos!!Mas vcs devem estar se perguntando então pq vc deu 4 estrelas e nâo 5? Pq esse jogos tem MUITOS anúncios e isso chega a ser I N S U P O R T A V E L vcs me entendem?? Mas no geral esse jogo é muito bom!!!,4,0,1.6.5,2020-11-08 19:16:28
9,Ana Cristina,https://play-lh.googleusercontent.com/a-/AOh14GjKm3fqU-MboLkWCY5vPNQrR5c9bENYnOWAI_q_tw,O jogo e muito bom mesmo mais os níveis se repepetem tem muitos anúncios mais e bom que o jogo e livre por isso do 5 estrelas. Os gráficos também são bons mais ele é offiline eu gostaria de jogar com jogadores online mais parabéns aos criadores👏👏👏. Resumindo eu só quero fazes novas. Mesmo assim amei o jogo.❤❤❤👏👏👏😄❤❤,5,564,1.6.4,2020-10-16 12:09:02
