,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ricardo Vasco,https://play-lh.googleusercontent.com/a-/AOh14GjjYUu_vEvNFrKph88jmWtbFxtVibdABkeY76gCoQ,É preciso dinheiro para tudo. Para se ter a melhor experiência de jogo preparem-se para desembolsar umas dezenas de euros. Sem dinheiro (gemas) haja paciência para evoluir no jogo. Entretem nos primeiros níveis mas depois é horrível de se continuar. Os herois que se convocam são sempre dos mais fracos....queres heróis bons!pagas por eles e não bufas. E muito mais se poderia dizer deste jogo. Que desperdício de tempo e vida!Darei sempre zero estrelas enquanto continuarem a fazer jogos como este.,1,17,32.1.2,2020-11-07 10:56:27
1,Lovelisttomb04,https://play-lh.googleusercontent.com/a-/AOh14GhEFq_Qv35s_5m8kbsKfS1uLTFrfWBtLxXOEHZXVw,"O jogo tem mecânicas bastante interessante para o gênero de jogo,e bastante legal e acaba tomando boa parte do tempo,mas devido a mecânica de energia acaba que você fica mais tempo fora do jogo do que dentro,os eventos presentes no jogo são bastante interessantes dando aos jogadores recursos mais facilmente porém a maioria dos eventos só beneficia mais quem está em níveis mais altos e com personagem fortes no jogo fazendo assim jogadores iniciantes ficar de fora da maioria dos eventos.",4,10,32.1.2,2020-11-08 07:29:24
2,Leonardo Watanabe,https://play-lh.googleusercontent.com/-0tyS9j4-l_c/AAAAAAAAAAI/AAAAAAAABpU/AMZuucld63f3VqxvS4UWGskei_kQvxs3Vg/photo.jpg,"É um BOM jogo, com um PÉSSIMO sistema de recompensa. Tudo é exageradamente caro e a chance de obter bons heróis é ridicula. Muito embora seja possível evoluir sem gastar, há de se ter muita PACIÊNCIA. Há mecanismos para diversão gratuita se você não se importar com uma evolução LENTA. Se quiser pagar, aviso: na grande maioria das vezes, você sentira que jogou dinheiro no lixo. EDIT: Zynga comprou o jogo e disse que a conta e tudo mais é dela, que apenas permite você jogar. DESRESPEITO!",2,377,32.1.2,2020-11-04 19:15:20
3,Vivian Pereira,https://play-lh.googleusercontent.com/a-/AOh14GhRrh5Plr4HFUh5HqQvs6HGC_IOXJ-h2I8dT85Q1Lg,"Houve melhoras desde minha última avaliação porém o tempo das construções continuam exasperantes , os valores das obras ainda muito caras, o valor das conquistas é muito baixo , sem incentivo , os desafios demorados , a pessoa joga semanas e nãoconsegue encontrar itens necessáriosao aprimoramento dos jogadores... se eu quisesse algo comparado a vida realeu não perderia meu tempo jogando. Iria viver... Esse está consumindo mais tempo que o esperado... Assim o interesse pelo jogo vai se esvaindo.",2,237,32.1.2,2020-10-28 04:51:59
4,Alexandre masd,https://play-lh.googleusercontent.com/a-/AOh14GjeBGKxF-GoARdwe3ohfFuRGGqK-B20tIlrZ-qk,"Após muito esforço e tempo, alcancei a cidadela nível 20 (com esperança de consegui um herói 5 estrelas), mas é frustante saber que mesmo tendo ""campo de treinamento 20"", não consegui herói 5 estrelas (só 3 estrelas). Quem está começando a jogar, terá esperança, mas após alguns meses a pessoa se frustará com o resultado, simples assim.",1,590,32.1.2,2020-11-07 09:45:08
5,Delta gm,https://play-lh.googleusercontent.com/-wpcUAkxBZKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmAS3jN79fuFm5LWdP-NSwyS1cUcQ/photo.jpg,"Diminui as estrelas de avaliação pelo motivo de o jogo está sendo desleal em vários aspectos, construções que demoram por demais lhe obrigando a gastar dinheiro ou aguardar 10 dias ou até mais para evoluir, a questão das investidas, também está deixando a desejar, pois o rival vem e leva 50 troféus e quando vc se vinga não recupera nem a metade doque perdeu, então ficamos no prejuízo até quando vingamos, se é para ser assim e melhor não dizer que é uma vingança pois não recuperamos os troféus.",1,73,32.1.2,2020-10-30 13:54:50
6,Luciano Rocha,https://play-lh.googleusercontent.com/-id5loJWLI1U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmWPVJgE34SQE212T5l-m76xzndg/photo.jpg,Infelismente ouvir um aumento abusivo. Espero que voces voltem ao preço antigo nesse momento de dificudade com essa pandemia nao era o momento de reajuste. Falta de humanidade com os jogadores que usar o jogo pra passar o tempo. Quem esta em casa e tambem que esta infelismente no leito de um hospital. Tenho consiencia respeite o momento dificil.,1,27,32.1.2,2020-11-04 17:26:30
7,Wellington Figueiredo,https://play-lh.googleusercontent.com/-4014Q7jevqM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjyqix9kSrjF733qyUKpwjDbT8xQ/photo.jpg,"Aumento abusivo de valores, já fiz algumas compras no aplicativo, e o preço atual não compro mais, não compensa pois o jogo é aleatório em premiações e convocações, as gemas para convocar são fixas e 98%das vezes são os mais fracos que vem. Por exemplo não deviam misturar heróis normais de convocação épica com heróis de convocação Atlântida, por ser sorteio aleatório que não beneficia em nada o cliente vem herói 3 estrela normal isso acontece em todas as convocações especiais de moedas especiais",1,26,32.1.0,2020-11-06 13:08:52
8,Veronice Haas,https://play-lh.googleusercontent.com/-EvoVeLU46m0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3vF0AVWXmPj2EliFiMa49cRHm5w/photo.jpg,"O jogo é bom , precisa ter paciência ,mas desenvolvedora do jogo SG aumentou demais os custos $$ e sem investir um pouco fica difícil liberarem itens grátis levando meses para deixar heróis Full ,embora aleguem a alta do dólar eu particularmente não acho justificável 40% de aumento em Nov/2020 ,pq jogo é diversão e não comércio.😡🤬",2,6,32.1.2,2020-11-03 21:48:18
9,Pedro Vasconcelos,https://play-lh.googleusercontent.com/a-/AOh14GgfS_LW3ViM7PXYTz1R--SSAALnLidHKjbuMsqGoQ,"Está chato jogar, zero novidades, evento ninja que passou foi ridículo, convocar 30 heróis usando diamantes a chance de receber só heróis 3 estrelas é muito grande, itens muito caro e se quiser evoluir tem que gastar muito dinheiro. E recentemente reajustaram os preços de forma absurda. Sei que vocês da SG estão cagando e rodando quanto a isso, mas estou fora, vou desistir do joguinho mercenário.",1,16,32.1.2,2020-11-03 20:07:03
