,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jucineide alves zuza Neide,https://play-lh.googleusercontent.com/-zRX425Vwuko/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmZDl5LygIGZGwbp_glQhGNNWXdPQ/photo.jpg,"Simplesmente muito bom,tem vários efeitos bonitos,legais e artísticos!gostei muito desse aplicativo,ele tem muitas coisas legais!então aprovo para muitas pessoas instalarem esse aplicativo,só coloco 5 estrelinhas porque tem,mas se fosse possível colocaria 1000!então é isso,eu amei o aplicativo!parabéns quem criou!😊",5,2770,11.3.5.66,2020-10-24 14:21:36
1,Bianca Regina,https://play-lh.googleusercontent.com/a-/AOh14GiAjNoDKDQfMo4PlN1fxdIBQLKI4pjZgMUghYa3CQ,"O aplicativo é muito bom,porém para fazer o login foi meio difícil por isso áchei que podiam fazer um sneppichat 2 mais renovado por exemplo o login podia ser mais fácil e podiam inventar mais filtros. Mais tirando isto o aplicativo é muito bom,a minha câmera do celular é péssima mais com esse aplicativo consegui tirar fotos mais boas entao eu não tenho mais reclamações o aplicativo e muito bom...😁😁",5,2439,11.3.5.66,2020-10-25 09:09:35
2,Raquel Silva,https://play-lh.googleusercontent.com/a-/AOh14GiLu2lu8Gao6dNQ0ofA7lVfLiUTQK3Z8qc61Icrwg,"O app é bom, mas estou com muita dificuldade de excluir a conta. Eu coloco meu email, o email não chega, tento com o número de celular para autenticá-lo para o novo número, diz que precisa da senha, e eu não me lembro. Acho que deveria melhor nisso, em questão de ajudar mesmo na hora do ""esqueci a senha"". Nas demais coisas o app é bom, só nanisso que esse app é RUIM DE MAIS.",1,426,11.4.1.64,2020-11-02 20:02:57
3,Davi Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Gg3fsAuGeGEOzViNhQ671bBye9USFLMKzs80_9GBQ,"Gosto muito do app, porém venho enfrentando um grande problema durante seu uso: estou sendo bloqueado a todo momento. Não sei o que está acontecendo mas simplesmente do nada sou bloqueado e forçado a esperar horas para poder acessa minha conta de novo, espero que possam me ajudar a resolver isto.",3,140,11.4.5.73,2020-11-07 20:30:39
4,Renata Ventura,https://play-lh.googleusercontent.com/a-/AOh14Ggjq4c6RezpeT-he8hWlEnOuChielvS6xz-tw-WG0c,"Eu acho o app incrível, tem vários filtros lindos, mas poderiam colocar modo escuro no snapchat, e também devia colocar a opção da pessoa colocar a própria foto ao perfil ao invés de bitmoji, pois nem sempre a gente consegue fazer um bitmoji parecido com a gente, então eu acho que deveria colocar uma opção da pessoa colocar uma foto dela no perfil, e deixar a opção do bitmoji... Mas no geral eu gosto muito do snapchat, é muito bom, tem filtros muito bons👏👏👏👏",4,275,11.3.5.66,2020-10-25 20:40:03
5,Ana Júlia Moraes De Freitas,https://play-lh.googleusercontent.com/a-/AOh14Ggnj4cAPGGnQrKRPflKsnuUkJni4JWsmFD4HtcZYQ,"Eu uso o app há uns anos já,os filtros são perfeitos,n vou dizer q n buga pq tem ss alguns bugs,porém isso a gnt releva. Eu tenho mt dor de cabeça,ent uso TDS os meus apps no modo escuro(os q tem a opção ou q ficam conforme o meu celular estiver no modo noturno),porém o Snapchat além d n ter essa opção tbm n fica no modo noturno (quando eu ativo o modo noturno do meu celular ),C vcs pudessem por a opção d modo escuro eu ficaria mt mt mt grata,pois eu uso dms o app,e qra mto essa função!❤️",4,1017,11.4.1.64,2020-10-28 22:14:59
6,Alexsandra Pereira,https://play-lh.googleusercontent.com/a-/AOh14Ghzw2XgPJI6CZGxq3X5BQyQiu_kse5-GfoN7tNuDw,"E bem legal mesmo esse APP mas eu estou tendo um probleminha com a conta do Gmail diz que a minha conta já está veiculada a outra mas mostra lá que foi salvo, e do nada quando eu volto volta a antiga conta do Gmail a primeira que eu abri a conta.... E uma coisa vocês deveriam ter consideração de responde as resenhas, tem muitos APP com mas publicidade e eles respondem todas a resenhas.",4,49,11.3.5.66,2020-10-26 00:23:47
7,Gabryela Winy,https://play-lh.googleusercontent.com/-qD-hcTVZxAs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucluvyJYKmMC_MQWHdXkPvdNd2zZMQ/photo.jpg,"Tinha esse App antes e não tinha gostado, pois não tinha muitas variedades de filtros. Ontem resolvi instalar novamente para ver se tinha mudado algo, e sinceramente adorei!!! Agora sim tem um imensa variedade de filtros, super recomendo instalar.",5,173,11.4.5.73,2020-11-06 10:45:06
8,Nick Nanda,https://play-lh.googleusercontent.com/a-/AOh14GiZyVluxVXVyRrb7r-hxDnGNxSzalIh0Cir1_GDBQ,O app é incrível uso há anos e dei 5 estrelas pois acho o app extraordinário. Tem gente que nem sabe usar e fica falando que o app é ruim!Mas não é o celular deles que devem estar com problemas ah o celular aqui é Android da Samsung e funciona perfeitamente!!!! Mas uma vez obrigado por criar este app.,5,53,11.3.5.66,2020-10-25 17:27:27
9,Luisa Brandão,https://play-lh.googleusercontent.com/-cEm4Rrbf05s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVECSIPf1g7Zzgea661w8JOrdFGQ/photo.jpg,"É bem legal, tem diversos efeitos, desde os mais engraçados até os mais charmosos.Mas eu acho que poderia ter uma opção de baixar os efeitos da minha escolha para usar off-line, porque os favoritos não funcionam sem internet. Se fosse assim eu daria 5 estrelas.",4,24,11.3.5.66,2020-10-26 15:30:31
10,Mari FF,https://play-lh.googleusercontent.com/a-/AOh14GgXxWijh42Ufklw63og0Of-uzIz1HR2lWxfY8GC,"Ele é um ótimo aplicativo, porém as pessoas ficam dizendo q é ruim e tal mais ele é bom tem muitos efeitos, o modo de entra ou seja fazer login é muito facil só é seguir as instruções.",5,1,11.4.5.73,2020-11-07 14:15:22
11,Priscila Santos,https://play-lh.googleusercontent.com/a-/AOh14Ggfnpj5KDwaB5Jy86f5rRxV9GKLhbOwrl9Gpc981A,"Só não dei 0 estrelas porque não tem essa opção aqui, porque fui colocar o meu número de telefone e o email, e nenhum dos dois entraram. Esse aplicativo tem que melhorar nessa questão, porque eu vi que algumas pessoas estão com o mesmo problema que o meu. Espero que Snapchat melhore e que eu consiga a minha conta de volta, porque não é possível uma coisa dessa não🙄.",1,227,11.3.5.66,2020-10-21 21:43:11
12,Bruna Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjHOHI8n_rGCQrEoYc17AVEjrR8KwHFbXeywIqCTA,"Na primeira vez que fui intalar no caso que foi hoje, toda foto que eu tirava ia para a informação do aplicativo e isso trava meu celular estou baixando de novo, nunca jogue o livro pela capa como diz o ditado, mas se der isso de novo eu vou reclamar por isso só vou dar três estrelas tomara que não aconteça de novo",3,248,11.3.5.66,2020-10-22 21:29:32
13,Gih Silva,https://play-lh.googleusercontent.com/a-/AOh14Gj4ANJ49xlJmm7SD8birlVO_FAswJ690NJr3SYTyw,Eu amoo esse app ele é muito bom..a única coisa que era ruim..era não poder salvar os efeitos todas vez tinha que ir lá e procura novamente Mas agora com essa atualização ficou ainda melhor E é isso! Ameii ❤️😌🤩,5,2,11.4.5.73,2020-11-06 14:50:22
14,Marisa Nogueira,https://play-lh.googleusercontent.com/a-/AOh14GjIxsn8CCXigkmfY4iKd8jFTlunrVOYJiWeiuYu3Q,Muito bom.. porém poderiamos conseguir ver as fotos várias vezes em vez de apenas uma ou duas. Gosto do facto de notificar se alguem tirou print da conversa pois prevalece a privacidade. Espero que consigam resolver o problema da repitiçao dos snaps,4,25,11.3.5.66,2020-10-27 10:48:00
15,Lavínia Marques,https://play-lh.googleusercontent.com/-WobwktGYoec/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJnR83Q2SgxPr02B6CFfI_0Pdh2Q/photo.jpg,o aplicativo é maravilhoso só que para salvar as fotos é uma dificuldade muito grande eu tô tentando aqui pesquisar no YouTube como salvar as fotos e tals e é isso que eu tenhoela para te dar o quatro mas como o aplicativo não é bom não tem nenhum defeito eu dei 5 ⭐⭐⭐⭐⭐,5,104,11.3.0.58,2020-10-19 13:04:01
16,#NICOLLY Sales,https://play-lh.googleusercontent.com/a-/AOh14GjmAQUw-ajQ7nV4_Anez4aRQmNxNJHny84sG0RQNVg,Aplicativo muito bom eu quero que vocês instalem muito esse aplicativo dá para fazer tudo que você quiser boomerang editar o vídeo eu acho 🤭🤭🤭 gostei muito desse aplicativo vem gente quero fazer estudar e muito muito muito mesmo 🤪🤪gente eu só só aquelas pessoas que gostam de escrever um textão para todo mundo ver então é isso só chega 🤭🤭 tchau 💖👋,5,1,11.4.5.73,2020-11-07 19:50:40
17,Matheus Nunes crash,https://play-lh.googleusercontent.com/a-/AOh14GjpSYRmUUHhALnDazJTM3xpFtI0UOSDux5KMWH2,"Manoooooo...... que aplicativo ruim, estressante para quem não sabe fazer algumas coisa é por cima de tudo bugado sério não recomendo eu passe 10 minutos tentando fazer um vídeo com um snap de óculos era para inclinar amigos cabeça que ele trocava de óculos mais eu inclinava é não funcionava..... só não vou desinstalar pois eu tenho amigos no snapcjat tirando isso já teria desinstalado até eles arrumarem esse bugo..... estou muito ingrato me respondam é arrumem esse bug",1,135,11.4.5.73,2020-11-05 17:52:48
18,Humberto Luís Bonde,https://play-lh.googleusercontent.com/-KffZp63nO8Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbyGFa6iJtG39xj_Absk_H6Sss3w/photo.jpg,"Está super top esse app gostei muito,as pra mim está sendo pouco difícil , como guardar na galeria de fotos, e como fazer um vídeo clipe.",5,18,11.4.1.64,2020-10-31 19:46:40
19,Rafael,https://play-lh.googleusercontent.com/a-/AOh14GhH7tvKRCpiYFG11y5DNyTAROsbzDuGQ3q24r5J4w,"O app é muito bacana, mas tenho um problema onde o modo escuro do celular deixa todas as letras do app em branco, só funciona no modo claro. É um detalhe que faz muita diferença, pois não da pra enxergar nada!",3,196,11.4.1.64,2020-10-28 01:26:50
20,Laudiceia Vitor,https://play-lh.googleusercontent.com/-PgLPr9wVH14/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknEkPDzot3GtUOl-w3c2pGy4U8oQ/photo.jpg,"O aplicativo: snapchat é incrivelmente legal... Portanto so coloquei 4 estrelas porque: Fiz uma ligação e os efeitos pra por não apareceram e eu fiquei muito dcepcionada com isso. Mas tem outra coisa, não pudi jogar minis jogos porque aparecia"" SEU APARELHO NÃO É COMPATIVEL PARA JOGAR ESSE MINI JOGO"" isso foi outra coisa que fiquei chateada pq meu aparelho(celular) é bem forte e potente não sei pq apareceu isso achei chato isso.Mais tirando esses 2 impecilios indesejaveis o aplicativo é bom!!!!",4,23,11.4.1.64,2020-10-27 20:23:05
