,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Silva Sampaio,https://play-lh.googleusercontent.com/a-/AOh14Gh060NCWD_hcLDBcZNhaDCwuvUuGaks-wQtmCvUAw,"Passei a utilizar esse apps recentemente e estou gostando pois, cá pra nós, é o melhor dentre inúmeros apps existentes portanto, super indico-o",5,1,2.432.0,2020-11-06 17:03:02
1,Vital Jose Carlos,https://play-lh.googleusercontent.com/a-/AOh14Gg0vbODIhlzcaGsmj_Isq4Ijc-1X1HRwPL4XsPk,"Muito bom pra descontrair e a cada nível superado sempre desafiando a bater um novo recorde de tempo ,jogadas ou pontuação",5,14,2.430.0,2020-09-29 23:39:53
2,Fabiano Maia Franco,https://play-lh.googleusercontent.com/a-/AOh14Gj-HAwsDSkjCG8fXXB_irm6mu4SAw7WbHKmZO4Rgw,"Apesar de haver propagandas, não são invasivas. Elas não atrapalham o jogo. Recomendo.",5,18,2.430.0,2020-08-31 12:36:03
3,Antonio Fernando Thomazi,https://play-lh.googleusercontent.com/-uB7ipbcQzNY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckxSxSJZ3_CGe8A8M6ah3cC7L4FQw/photo.jpg,Ótimo jogo para relaxar e distrair a mente ficando sempre ligado no descanso da mente.,5,10,2.430.0,2020-10-23 22:43:57
4,Ricardo Vagner Silveira Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjukXUQ7cU3k2Z-Z-sQbnGpobpYUuf51yVuiZyH,"Dinâmico! Envolvente e curioso, visto que estimula a continuar em desafiando as atividades competitivas!",5,2,2.430.0,2020-09-24 00:59:06
5,Kiara Vidal,https://play-lh.googleusercontent.com/a-/AOh14GgZtdzdNbZkYjjlvL5vQ8_8iHjWXmik4Q-E_pYbBDk,"Relembrando quando jogava no Pc,ótimo pra passar o tempo, parabéns pelo apk.",5,1,2.430.0,2020-09-14 21:56:56
6,Dorair De melo,https://play-lh.googleusercontent.com/-DRjqE_2hFvM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVYOTl9cZS-skuMcNfPqzV_2nspg/photo.jpg,"Muita propaganda e insistência para instalar outros, desisto, desinstalando!",2,7,2.430.0,2020-09-17 05:23:07
7,Pedro Bernardo,https://play-lh.googleusercontent.com/-bWt-nYWZtms/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKEAYT0O-vUGNA0ZfWQCsC9MIegA/photo.jpg,Acho as propagandas de jogos de poquer e vegas e tambem propagandas das coretoras muiyo grande e repetetivas,5,0,2.430.0,2020-10-19 14:09:13
8,Afonso Muzangui,https://play-lh.googleusercontent.com/-Pb4O8IQYTRg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_0s1_ArMpEQa80yblBD52sYTFHg/photo.jpg,Um processo razoável apesar da demora em processar.,2,5,2.430.0,2020-10-06 01:50:54
9,imaculada figueiredo,https://play-lh.googleusercontent.com/a-/AOh14GgsDglYYKOiRGsEzmLx1u1jCS8hN86wO7JIc8hoUas,"Ja estava acordada ha umas hioras. Resolvi tentar jogar um outro solitario. Sentia-me cansada do outro. O meu espanto; tem uma musica do fundo, suave, melodiiosa. O grafico esta bem conseguido. A publicidade so encontramos no fim do jogo. E relaxante,. Se todos os jogos forem como este, devo agradecer a Google, e a tidos qye inventaram a internet. Proporcionaram a todios um desenvolvimento de grandes ideias, novas invencoes e muitas informacoes.",5,61,2.424.0,2020-08-08 02:33:23
10,Eder Rolim,https://play-lh.googleusercontent.com/-IVuvmrfVZto/AAAAAAAAAAI/AAAAAAAAvv8/AMZuucmq1RUnjm2-0hg0BLMEtsUGPvvKCw/photo.jpg,Embaralhador e varinha mágica pararam de funcionar do nada. Rebaixando nota e desinstalando em 3... 2.... 1...,1,2,2.430.0,2020-08-31 22:47:53
11,Fransuar Gurgel,https://play-lh.googleusercontent.com/-ZBqJEdRKnQM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm52sKem3wUUj6HrkpZ6fg5PlvOug/photo.jpg,Jogo muito intuitivo e descontraído.,4,0,2.430.0,2020-09-01 21:38:52
12,oseias nunes,https://play-lh.googleusercontent.com/a-/AOh14Gh0mD0IYDCd-2D1VcXqvHrqBmIHIU1Ug0vtbUy4,Propagandas chatas e repetitivas.,3,2,2.430.0,2020-09-24 11:31:46
13,Antonio Taroco,https://play-lh.googleusercontent.com/-QbfIBW5yU5w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmSv2ojYhFr3XBGNfR27_eAOMkuOQ/photo.jpg,Acho um pouco lento s virada das cartas,5,1,2.430.0,2020-09-13 23:19:50
14,luiza de oliveira,https://play-lh.googleusercontent.com/-qgiNiSkfA9w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjqyYa1sUNo-4RX3gVnUw5irvt4Q/photo.jpg,Me desculpe pela primeira avaliação que fiz colocando uma estrela. Foi erro no momento de digitar. Gosto muito do jogo. Além de um passa tempo formidável é também para mim uma terapia.,5,79,2.420.0,2020-06-10 14:13:13
15,Catarina Iannuzzi,https://play-lh.googleusercontent.com/-n9AUp0FAN-Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmAa-VjpzvU_MbME2g57QLvjLJ4ug/photo.jpg,"O único problema é que gasta muita bateria, no mais é excelente.",5,46,2.420.0,2020-07-01 21:40:27
16,Angela Araujo,https://play-lh.googleusercontent.com/-NgHrQRXiSdU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclZ4FT0GzYXefznfn5ENwVCdz5bRQ/photo.jpg,"Falta mais acesso a varinha mágica,pfvr explique como fazer para ter acesso a varinha mágica.Estou em um tablet multi, e no Cel pega super bem?",4,21,2.420.0,2020-07-26 21:51:55
17,Iara Mury,https://play-lh.googleusercontent.com/a-/AOh14GjDPl9j_L_zjvLOqc1TmygCv7VALGgfi-wEMLBl,O jogo é muito bom. Alguns comerciais são muito chatos demorado.,4,0,2.430.0,2020-10-04 13:29:03
18,Antonio Fernando Thomazi,https://play-lh.googleusercontent.com/-WXEspS5Tjq4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_9OhrW8xk27WPTIPdf-b12SH_cQ/photo.jpg,Gosto muito deste jogo e utilizo todos os dias para me distrair.,5,24,2.420.0,2020-06-28 21:34:36
19,Maise Souza,https://play-lh.googleusercontent.com/a-/AOh14GjVZjjoBg-To519Rqsl2CgztR6eqqPSiKh6ReansQ,"Muito bom, ilustrações de fácil compreensão!",4,16,2.420.0,2020-06-17 22:42:02
20,Nuno Furtado,https://play-lh.googleusercontent.com/a-/AOh14Gi8pjV-7P4Ayuckq--jCKMX9qM_vLf4P1ytAJJy,"O jogo é bom, mas é só anúncios do princípio ao fim por isso vou desinstalar. Bom dia, eu também queria dar melhor classificação mas neste momento não é possível porque, antes e durante o jogo é só anúncios, torna-se quase impossível jogar um bom jogo.",1,0,,2020-11-08 08:23:26
21,Rafaums 88,https://play-lh.googleusercontent.com/a-/AOh14Gjg-nZvqPHoh2uNpkeejgNBEF6u-Yc_HWkvCnT9fA,"Viciante e muito bem desenhado! Para quem curte, é ideal!",5,1,2.424.0,2020-08-25 10:28:58
22,Oswaldo Guerra,https://play-lh.googleusercontent.com/-6GpzeWQqzX0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2knypKtZ_pP1n47ErMXB6tucYIw/photo.jpg,"Amo este jogo, nos meus 82 anos è pra mim uma feliz maravilha...Oswaldo Guerra ...luz e paz pra vcs",5,3,2.420.0,2020-07-26 21:08:43
23,Lurdes Rabaioolli,https://play-lh.googleusercontent.com/-0ioizjHibFo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0p0t6rvSklxm8vKQ17ZJdGQ928Q/photo.jpg,Sobre este jogo é maravilhoso distraí muito bom ajuda muito numa época de isolamento adorei,5,10,2.420.0,2020-06-25 16:40:31
24,Guarda Jesus Deusdedit,https://play-lh.googleusercontent.com/a-/AOh14GjvDDrsh1I9Nn29nD06S7USBOq5EcClgtd0a6imBQ,"Jogo relaxante, muito bom e não têm propagandas até o momento",5,12,2.420.0,2020-06-20 20:45:47
25,Jandira Ribeiro,https://play-lh.googleusercontent.com/-fVOJS7YYWYU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNMV4yAfym-TdFHLj_DWM_Ja95pA/photo.jpg,"Excelente,relaxa nesse tempo de crise que estamos passando,mas sei que tudo isso vai passar.",5,9,2.420.0,2020-06-14 07:40:39
26,malaquias pimenta,https://play-lh.googleusercontent.com/a-/AOh14GiR7x2S5qqKWLqYAQeYVrT9MtWPcJDlUic8frAAHg,"Gostando muito, o chato sao as propagandas toda hora.",5,7,2.420.0,2020-06-14 14:49:26
27,Suleide Jacques,https://play-lh.googleusercontent.com/a-/AOh14GiYv5_ltOaY7biOI6RkQ1zOCSL0ADjJ-G3T6Fkxnw,"Perfeito, sem propaganda e aumenta o nível",5,0,2.430.0,2020-09-05 22:09:36
28,Carlos Martino,https://play-lh.googleusercontent.com/-PsaWykMtJH4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnt87Sr6EQ1fdkJgyP43GEePvz3SA/photo.jpg,Divertido e um ótimo passatempo,5,9,2.424.0,2020-08-10 19:16:57
29,Eunice Bonventi,https://play-lh.googleusercontent.com/a-/AOh14GhrOPQFk6pL4IUomQ1UCZQamS0_KAmxOkPsUVuhGjI,muito bom esse app..gosto muito de jogar. É uma distração ótima! Boa noite!,5,6,2.424.0,2020-08-13 20:25:49
30,Marcelo Ribeiro De Paiva,https://play-lh.googleusercontent.com/a-/AOh14GgGaQn5zW5PLDbyCq5qHCp3GP2ElClM8fXatK4g6w,Bom para passar tempo.otimo para passar o tempo,5,1,2.424.0,2020-08-13 20:20:11
