,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,João Raphael,https://play-lh.googleusercontent.com/a-/AOh14GgoKIiX0Hn_VHJdRwspOsj5bjwqgln_DdiwNb1R,"O App é bom, mas o maior problema é que eles te obrigam a usar a conta Premium, o serviço gratuito é horrivel: só existe a opção de música aleatória, tem limite de vezes que se pode pular música, não da para voltar a uma que já passou, só pode ouvir online e ainda tem anúncios entre a músicas; a parte de ter anúncios é compreensível, a de só ouvir online é aceitavel, mas o resto deixa o Premium não como uma opção mas quase como uma obrigação.",3,202,8.5.83.1075,2020-11-08 16:16:25
1,Átara R. Silva,https://play-lh.googleusercontent.com/a-/AOh14Ghny4j-RTsk5XaJtSEnisPctUOs-RjZP5xIsHYOjg,"Desde a última atualização, o Spotfy não é mais o mesmo, sou usuário Premium, e estou quase desistindo e indo para a concorrência, pois, não consigo mais escutar minhas músicas, toda vez elas param na metade, e a música não torna a tocar novamente, tenho q fechar o App e abrir novamente, meus álbuns que baixei, SUMIRAM! Sinceramente não dá para usar um App nessas condições. Acho q seja aí algum erro relacionado a execução em 2° plano",1,297,8.5.83.1075,2020-11-07 15:39:18
2,Luan Campos,https://play-lh.googleusercontent.com/a-/AOh14Gh-3ohVKEHVfHfTaQjklmAQrS93Fg1LFozvspgFKw,"Se você não tiver Premium este aplicativo é simplesmente horrivel, você não consegue ouvir músicas anteriores, a cada 2 minutos tem anúncio se você quiser escutar uma música específica de uma playlist ou álbum não oficial do Spotify você terá q colocar ordem aleatória e ficar pulando até achar (isso tudo é só p celular)",1,244,8.5.83.1075,2020-11-07 06:14:46
3,Carolina Umeda,https://play-lh.googleusercontent.com/a-/AOh14GigcKkAHgyIYt3huQYBeLTVN0MDPDp4fMbHSv1I,"Amo demais. É um momento meu e de mimha filha juntos! Baixei para quando estou de folga, a gente canta junto, e isso ajudou muito no desenvolvimento da fala. Ela está em fase de alfabetização. Uso para me desestressar, limpo casa, arrumo tudo ouvindo Spotify... Ajudei até minhas amigas mais velhas que não conheciam. Elas amaram!",5,6,8.5.83.1075,2020-11-07 21:42:25
4,Joao Batista Neves,https://play-lh.googleusercontent.com/-OhZIHfkG7zE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKDSx62q4NnhV9tuIp-ItPBltdgQ/photo.jpg,"Essa atualização estragou o Spotify completamente, quando a gente clica no autoplay começa a uma música que não tem nada a ver com a música que eu pesquisei, o Spotify estava perfeito antes dessa atualização, e agente não consegui reiniciar a música e isso acabou com o spotify, isso é tudo que eu queria dizer.",2,1,8.5.83.1075,2020-11-08 18:24:07
5,Giovanna Santos,https://play-lh.googleusercontent.com/a-/AOh14GhSe4m9Ak5v62gor5fy3JYgWoy3g7-k-AGqqATaVA,"O aplicativo é bom se você pagar o premium, começaram a colocar musicas sugeridas em todas as playlists, até mesmo nas suas musicas curtidas, o que fez com que eu me afastasse do app, como dito anteriormente é um bom aplicativo, mas coisas como essas musicas sugeridas são super chatas.",2,4,8.5.83.1075,2020-11-08 12:18:27
6,waldomiro viana,https://play-lh.googleusercontent.com/a-/AOh14GhS3UBJpU4uyZsuQVSbPFYH11TUPmsyCozYmlFKVw,"Não consigo entrar no app de jeito nenhum, coloco na opção entrar sem senha para receber por email a validação e quando entro no link diz q ele não é mais valido, mas como se eu acabei de receber e ele tem uma validade de 4 horas. Acabei de comprar o premium do app e nem consigo acessar, estou muito desapontado, se não me ajudarem a resolver vou cancelar.",1,5,8.5.83.1075,2020-11-08 13:22:16
7,Rafael João,https://play-lh.googleusercontent.com/a-/AOh14GjYpqivcHbSVnAY4LYBClFd27yH12kl6AvTAouzbWQ,"O app é bom fora algumas falhas de conexão com a internet. Faltam coisas como busca por gênero e busca por idioma na biblioteca. Falta uma opção de buscar por artista no modo offline, poderia puxar todos os artistas que você já tem música baixada. No meu caso quando estou offline e tento buscar por artista aparecem apenas as músicas baixadas dele e pra ouvir todas eu tenho que adicionar uma a uma na fila. Deveria ter uma forma mais prática, como já existe online ""músicas curtidas desse artisa""",3,12,8.5.83.1075,2020-11-07 11:15:19
8,Iran Vicente França Reis,https://play-lh.googleusercontent.com/-iDQcKWcZn9Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclSrbgQNGawX9mZk_ixgZRa-jsavQ/photo.jpg,"Como as demais pessoas aqui, depois da última atualização o app não consegue transmitir para o Chromecast. Aparece mensagem que não está instalado. O app já foi muito bom porém ultimamente está ruim. Constantemente trava, necessitando resetar celular, Chromecast e modem. Sou Premium e dou uma estrela porque não tem menos. Tenho outros app de música que estou usando na TV que funcionam e saem muito mais em conta. Atualização: versão 8.5.83.1075 de 04/11/2020 corrigiu bugs.",1,162,8.5.83.1075,2020-11-06 10:15:10
9,André Vergara Fly Fishing,https://play-lh.googleusercontent.com/a-/AOh14Gg-I7nebJNd4uxYngxpm6wuQP7pKZ5PL4ljr1hmDg,"Aplicativo ultimamente está muito ruim. Pago o Premium e toda hora o aplicativo trava e para de tocar. Preciso parar o que estou fazendo, fechar o aplicativo e abrir novamente. As vezes dá certo, as vezes não. Já atualizei ele diversas vezes e o problema persiste. Este problema começou a aproximadamente 2 meses, sem motivo. E se eu desinstalar e reinstalar, perco todas as músicas baixadas",2,1682,8.5.80.1037,2020-10-20 17:50:41
10,Vitor Gabriel,https://play-lh.googleusercontent.com/-h9fFGs_yzd4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8ds6bIADCWPDlAMCdjNE7ZJUVHg/photo.jpg,"Parabéns 👏👏 vcs estragaram o app com essa nova atualização 👏👏 só pode trocar de música 6 vezes a cada 1 hora , parabéns mesmo , o app era muito bom , muito mesmo , mas depois dessa atualização nunca mais ser o mesmo , parabéns 👏👏 da pra arrumar ainda , mas vcs são burros demais , estragaram um app que era maravilhoso , seus troxas 👏👏",1,10,8.5.83.1075,2020-11-07 21:55:54
11,jeokevesson silva,https://play-lh.googleusercontent.com/a-/AOh14Ggck4g9rqpYyDlPrqJI_ZkWnYsI8aM-TsH8sP7_5Q,"O app não tem o design do Android, o que deixa ele meio feio com essas cores próprias, além de ser terrivelmente otimizado. As vezes ele simplesmente APAGA meus downloads, me obrigando a baixar gigas de músicas de novo. O algoritmo dele é o melhor, mas isso eu sei que é sobre quantidade de usuários. Não é milagre nenhum isso.",2,6,8.5.82.894,2020-11-06 21:12:56
