,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Seriedade e zoeira O canal de comunicação aberta,https://play-lh.googleusercontent.com/a-/AOh14GhWoVpiZFd_nTdqbju5Zq1ybaA7li8fqGlLbVj4,"Estou dando 4 estrelas, pois, mesmo que o jogo não esteja seguindo o ritmo da música selecionada, ainda assim é um bom jogo, mas a desenvolvedora podia melhorar essa questão citada anteriormente! Grato.",4,11,1.5.7,2020-08-26 21:58:44
1,Cassiano Paiva,https://play-lh.googleusercontent.com/a-/AOh14GgYEcE4Dlx5B81PfEpH2m_fOfiT-0i-uWVbQDeZYg,"O app usa as músicas do seu celular, mas mesmo assim, não fica muito condizente o ritmo da música e os quadradinhos pra tocar, e os quadradinhos são muito finos.",3,57,1.5.7,2019-08-25 10:08:55
2,Lucas Costa,https://play-lh.googleusercontent.com/a-/AOh14GhI6eDEKegWqWPnO9CXho_n64o6j0Y-Ecbr6kjqUg,muito bommm estou jogando muito bem e as minhas musicas combinam ai a jogabilidade fica otima parabens atualializem mais para melhorar os efeitos do jogo baixem aiii super recomendado😀😀😀😀,5,42,1.5.7,2019-08-02 11:24:33
3,paulo 300,https://play-lh.googleusercontent.com/a-/AOh14GiSdMN9lNWd_lZesY1LvlZa9OgBG7TXCYYWsQmb,Não recomendo. Não segue o ritmo da música escolhida...,1,24,,2020-04-07 12:02:39
4,Gustavo soares,https://play-lh.googleusercontent.com/a-/AOh14Ggg9soK_FYx4rfao3ECTaPX4pBQ4ywh890-f6rmoQ,"Meu deus q horror, eu joguei 2 vezes e ja acabou as vidas que demoram 30 min para carregar, a jogabilidade tambem é muito ruim",1,17,,2020-04-19 10:47:43
5,Sebastião Felipe,https://play-lh.googleusercontent.com/-xtBqMJ0IEbo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1fSe5a3_oF0qkxx6IhYVz-FMWqA/photo.jpg,Seria bom se ele fosse off-line também é que as notas ficasse tudo correto,1,19,,2019-06-09 09:25:48
6,Strigoi,https://play-lh.googleusercontent.com/a-/AOh14GjaFH_4_3lGpI4V2gMd3kbhuY2H_Gjx2V3skSN2WQ,Com certeza as teclas nao seguem o ritmo da músicas escolhida. É fake,1,8,1.5.7,2020-03-26 12:33:03
7,Raimunda Santos,https://play-lh.googleusercontent.com/-pn1sBWujBcg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDUj37buSgZ7JrD3WtmnPz8OxsYQ/photo.jpg,Eu acho o jogo orrivel deveria ter menos botoes orrivel orrivel!.,1,0,1.5.7,2020-07-17 17:00:46
8,Andrey Sousa Dos Santos Sousa,https://play-lh.googleusercontent.com/-WSYVxd21o2I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnInQrVcTUmWaeK-C4r5kENCLsOzA/photo.jpg,"Pelo que eu vi. O jogo parece bacana ,mas eu baixei e quando eu coloquei no jogo ñ entrou",2,0,,2020-10-04 00:41:09
9,Erick Gabriel Viegraff Gabriel marques,https://play-lh.googleusercontent.com/a-/AOh14GjQyyqUmDS2Df9p7XfH5-e5MnQpw75-2QzMCQ4J,Por favor coloca offline. Nós esperamos atualização.,2,11,1.5.7,2020-02-26 18:51:34
