,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,ბატონი ანონიმური,https://play-lh.googleusercontent.com/a-/AOh14GhrkbUp1MMFFH1LUalSr1wqFytBcfabEoGtgL5-,"O jogo em si é bom, os gráficos, a funcionabilidade, mas tem alguns fatos que gostaria que fossem corrigidos ou melhorados, como as tropas do navio de guerra não precisarem de tempo (igual ao que a Supercell, mesma empresa desse jogo fez na Base do Construtor no jogo Clash of Clans), e também é injusto o mapa de guerra, eu sou QG16, nível 47, e geralmente vem jogadores de nível 60 para cima, com defesas muito avançadas, resolvam esses fatos ok aí volto aqui e aumento para 5 estrelas.",3,17,43.87,2020-11-05 16:52:41
1,Ismael360 gameplays,https://play-lh.googleusercontent.com/a-/AOh14GjGr1tI28h0BmoQ8VvTlhv8P2qbt38DbOW5PGMoAg,"O grande problema desse jogo é a quantidade de construtores que tem pra tu usar...1 SÓ?!?SERIO?!?isso é muito injusto e ainda por cima demora um bocado de tempo pra melhorar as coisas😡😡e outra coisa...No caranguejo!!! A fase um é maió fácil e daí Fase 2:SUPER DIFICIL!!!não tem nem como pegar troféu de pedra de um jeito decente!!!aff não aguento eu não acredito que uma impresa como a Supercell que criou o brawl stars que é um ótimo jogo e é meu favorito,CRIOU UM JOGO DESSES COMO O BOOM BEACH.",1,25,43.87,2020-11-05 22:36:40
2,Kauã Batista,https://play-lh.googleusercontent.com/a-/AOh14GgzuDfcPJ_vps2rDe89jdbxDJMEq6ZYUYW_InIRYQ,"O jogo é bom, porém é muito roubado, como vocês dão a vitória ao adversário sendo que eu destruí as casa de máquinas do adversário primeiro? (Tenho print do histórico da batalha). E poderia colocar mais de um construtor, se não o jogo vai favorecer mais aqueles que tem condições e assim vocês vão perder jogadores.",2,33,43.87,2020-11-04 23:49:52
3,Eduardo Bernal,https://play-lh.googleusercontent.com/-9482KC8KiXY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvNARReAm0ObZWAoqrQDpzCd61Jw/photo.jpg,"O jogo é bom, você precisa ser bem estratégico para conseguir defender e atacar, só acho que é o momento de adicionarem pelo menos de 1 a 2 construtores no jogo, pois para zerar o jogo, leva anos para isso (se bem que no Clash of Clans isso é parecido) e você tem que fazer essas melhorias um por um (diferente do Clash of Clans). Podiam melhorar também a qualidade que o jogo recebe de wi-fi, minha internet é boa e esse jogo é o que tenho mais problema de wi-fi, no Clash, é difícil ter erros nisso",4,68,43.66,2020-10-24 15:34:45
4,Murilo Fernandes Nogueira,https://play-lh.googleusercontent.com/-NPfnfXrg6EE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqvKgFKHaQaS6Ow4z_c00StjsIDA/photo.jpg,O jogo é bom e divertido único problema é que resolve atacar um cara de nível muito mais alto e superior que o seu em dois segundos que passaram minha aldeia inteira estava destruída,3,0,43.87,2020-11-07 23:35:56
5,Paulo Henrique,https://play-lh.googleusercontent.com/a-/AOh14GhuL8UKRiDdMjHvXZ9OdJGJ2c0tSkCSPJKH1XNmS4g,"No navio de guerra, eu tenho três núcleos, aí do nada, eu vou atacar e aparece alguém com 4 núcleos, ajeitem isso",1,0,43.87,2020-11-08 14:28:43
6,Andre Morais,https://play-lh.googleusercontent.com/a-/AOh14Ggnjo-L6b9MTKSUdBEEu1dlO_3PThxsJk94SPKL,"Não merece mais que uma estrela. O motivo: esse jogo foi feito para quem tem condição de comprar ítens no jogo, a gente que não tem, chega um tempo que se obriga a desinstalar, porque os recursos são muito caros, difíceis de juntar. E é muito desigual, sou level 39 e só aparece de 50 pra cima, até 60. Não tem condição. O jogo é bom, mas por esses motivos vou deixar de jogar.",1,207,43.66,2020-10-15 13:37:30
7,Alexandre Couto,https://play-lh.googleusercontent.com/a-/AOh14GgxsJzzahY5QNFv8yKdIjz1DlN5fRH94pHmGba7i6M,"Porque nas ""temporadas""eu destruo as casas das máquinas mais rápido que o inimigo e mesmo assim ele vence? Isso está acontecendo sempre ou corrige ou me dê as vitórias que eu realmente venci. As vezes venço inimigos mais fortes com muita distância de tempo e mesmo assim eles me vence, isso está errado.",1,0,43.66,2020-11-05 06:41:04
8,Acrianinho,https://play-lh.googleusercontent.com/a-/AOh14GgiGAXWQ8CaaolydY-rmD4f3kMT39X5ZJU11KFjng,"O jogo é bom, bem construído e com boa dinâmica até em aparelhos de entrada, mas o tempo para as construções é o limite da quantidade por vez deixa o game desinteressante. Comecei ontem, estou em nível baixo e já percebi que tenho pouca coisa para fazer. Se está assim no início com 1 semana estarei entrando no jogo 2 ou 3 vezes por dia, no máximo. Sei que a ideia é aumentar a venda de redutores, etc, mas poderiam fazer isso sem deixar o jogo desinteressante para outros.",4,266,43.66,2020-09-11 14:54:23
9,Adriana Elias Da Costa,https://play-lh.googleusercontent.com/-I-t-iZTdwNc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnHIsWD6uDY8AJIWqS7AKokESB9gg/photo.jpg,Uma coisa que seria legal adicionar e quando vc jogase uma bomba de choque no gerador de escuro do inimigo desde tipo um curto circuito no gerador de escudo e dessativasse o escudo que ta no QG do inimigo e dependesse do tempo que sua bomba de choque tem por exemplo ( sua bomba de choque e nível 1 e 6 segundos que e desativado o escudo) queria que adicionacem isso no jogo ... jogo e muito bom.,5,1,43.66,2020-10-31 12:43:14
