,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gabyh :3,https://play-lh.googleusercontent.com/a-/AOh14GiBeoOAXzoUgcuKTbTF7v3lD_vXdkNNt8Ln5CE4hw,"Pessoal, não é culpa da Supercell o aumento das gemas! O dólar acabou aumentando, com isso os itens comprados com dinheiro real também aumentam, ou seja, isso não aconteceu só no Brawl, e sim em todos os jogos internacionais! Sim, isso é muito chato, mas não vamos culpar a empresa, não é culpa deles. Espero que entendam. :)",5,65,30.242,2020-11-07 20:06:35
1,Josias De Almeida Dmytryk,https://play-lh.googleusercontent.com/-ozCT1ryIcx0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbM33BJvo6R1dtN6BSzEL4JmN3YQ/photo.jpg,"O jogo tem gráficos bem empenhados e detalhados, cheio de cores vivas. A jogabilidade é muito boa, pois não é complexo cheio de botões, apenas 4 no máximo, a forma de combate dos brawlers entre si, são ágeis e precisos, tem brawlers que vencem outros facilmente e outros nem tanto, como se fosse um jogo de papel, pedra, tesoura. Resumidamente, o jogo é fantástico, bom para competir e se divertir.",5,1029,30.231,2020-10-22 12:00:31
2,eliude Laurentino,https://play-lh.googleusercontent.com/a-/AOh14GharlS3kZfFCWj2XdGDzjZJhOTKWwXdsySBKh2u0A,"Realmente um jogo muito bom, o problema é só a conexão que é muito ruim, o controle é bem estranho, depois dos 300 troféus o jogadores ficam muito fortes sem muito motivo, lootboxs bem caras e algumas vezes desnecessárias, skins bem um pouco feias, personagens raros só podem ser obtidos com dinheiro e etc, tirando essas coisas o jogo é bem legal",4,23,30.242,2020-11-07 07:08:52
3,Pedro Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gglm2ARGF5glOUAgWlsXFPu5gZ3I_6ETNMmFzkd,"Simplesmente incrível , jogabilidade simples porem complexas , partidas rápidas e emocionantes com no máximo 3 minutos , um jogo com muitos poucos hacks devido ao bom trabalho dos criadores , servidores que nunca me trouxeram nenhum problema . Além de tudo isso o jogo que pode ser jogado por F2P ( Que não colocam dinheiro no jogo) como eu , oferece um Passe de Batalha como um sistema de Progresso super divertido . Poucos jogos se igualam se ao nível de Brawl Stars . Super Recomendo .",5,519,30.242,2020-10-30 17:41:58
4,Eduardo Ortiz Lopes,https://play-lh.googleusercontent.com/a-/AOh14GiDpaZTjJzDGRaz5l0FEnKcjtcoZue4-MTS00WEjw,"O jogo é realmente ótimo, gráficos muitos bons, fácil jogabilidade, viciante, além de ser muito divertido, todavia, acho que deveriam aumentar o caminho de troféus, porque dessa maneira sempre teríamos mais objetivos a cumprir, mas no modo em que está agora, você fica a ficar meio perdido em relação ao que fazer, e consequentemente jogando menos. Outra coisa que poderia mudar é quando você chega ao último patamar, que poderia ser de graça para todos. Ainda assim, recomendo bastante o jogo.",1,1123,30.242,2020-10-26 07:28:28
5,GR00T G4M3R,https://play-lh.googleusercontent.com/a-/AOh14GgrAT0E-XeA-1LUWozP6OjhIdDSoUZDMpGYCSmp,"O jogo é muito bom, eu amei, tem bastante brawlers, e, ele é muito bom só isso kkkkk. Mas tem um problema, a internet aqui em casa tá muito boa, mas no mapa do robô chefão lá, quando a vida dele está no 60% fala que está sem internet, eu tava jogando de boa, mas só pq cheguei no veterano ele está assim, e não é a internet, pq, também aconteceu na casa da minha vó, e em ouros lugares. Mas tirando isso, tá muito bom, parabéns 🥳.",5,391,30.242,2020-10-25 23:44:29
6,Enzo Teófilo Moreira,https://play-lh.googleusercontent.com/-zuR_c7Rucek/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfpqc7cZuK6wUbz3AK4CpM15T3sw/photo.jpg,"Os gráficos são bem o que o jogo diz ser, os controles são muito bons, uma grande variedade de conteúdo para um jogo de celular, tem atualizações a todo momento, e o sistema de construção de mapas é bem real(segue as regras dos mapas do jogo)apenas não achei a mola para construir mas o jogo é incrivel me desse sem dúvidas uma estrela... tô brincando é claro que é 🌟🌟🌟🌟🌟 merece até mais que 5 mas não dá para por. Á, e não tem português(qual é supercell cadê o merecimento que os br merece)",5,352,30.242,2020-10-26 20:47:46
7,Lino LÆST,https://play-lh.googleusercontent.com/a-/AOh14GiovadBqdUKf0e4e4C-oM04768lh1DCf2NEY9nkLg,"Um jogo muito legal, divertido, interativo e competitivo... O único bug que ocorre para mim é quando a internet cai hahaha! Mas quanto ao resto tudo liso, gráficos lindos, skins lindas, poderes lindos tudo lindo! Baita jogo hein. Só acho que deveriam colocar um pouco mais de gemas no passe grátis, ou alguma outra forma de conseguir gemas. Mas isso não é tão importante. Mas em questão ao resto é 10/10 ótimo jogo parabéns. :D",5,526,30.242,2020-11-07 17:57:49
8,;L,https://play-lh.googleusercontent.com/a-/AOh14GgvHUGvfvfOLKphvZH4EV1Upvs9KWfa5eNsl2AEtg,"Eu amo esse jogo, de coração mesmo, mas tem um bug que meu Joystick (tanto de mira quando de andar) trava e fica por um tempinho assim. Isso atrapalha muito, principalmente no modo combate. E quando volta ao normal, o jogo trava (e até lá, eu já morri, claro). Estava tentando upar meus troféus hoje, mas isso estragou totalmente minha jogatina. Minha internet está normal, então eu acredito que seja um bug do jogo. Espero que resolvam isso logo.",3,405,30.242,2020-11-07 16:09:45
9,Cara da Colher,https://play-lh.googleusercontent.com/a-/AOh14GiypQFSJSEDR0s4bA3gDKgoF09nwmdjaNJ-eUxbMg,"Adorei o jogo, tem ótimos gráficos e uma excelente jogabilidade! Os criadores do jogo tem uma imensa criatividade! Cada brawler (personagem) tem suas habilidades, características e pontos negativos, eles são bem balanceados, deixando o jogo justo. Uma estratégia boa que garante a vitória (independente do modo de jogo) é o estudo de mapa e brawler, ou seja: Identificar se aquele brawler é adequado para o mapa de jogo, ver se o brawler tem o ataque longo ou curto para um mapa aberto ou fechado.",5,894,30.242,2020-10-28 12:18:55
