,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Pollyana Bitencourt,https://play-lh.googleusercontent.com/a-/AOh14Gi9KHlQ-2hnvxDRJb-8aJlHwKiHrnhm6We0XEny2A,"Gosto muito! Já jogo há algum tempo, mas tenho algumas considerações: primeiro o tempo para melhoria tanto das construções, como dos feitiços e melhoria de tropa é muito alto, fora que os recursos também são caros. Além disso, o valor do bilhete aumentou quase que 100% e os prêmios dessas últimas duas temporadas não foram tão bons. Se puderem prestar atenção nessas coisas. Agradeço.",4,282,13.576.9,2020-11-05 12:41:47
1,Hobert BR,https://play-lh.googleusercontent.com/a-/AOh14Gi0yr1hHyEGGDi4wusEQlmHIbzAuAYRpfOVXRgr,"Gosto muito deste jogo, no entanto, quando a tematica do dia das bruxas saiu da tela de carregamento inicial todas as tropas que aparecem na vila ficaram invisíveis exemplo: Barbaros, arqueiras, gigantes... Resumindo todas as tropas, inclusive a minha maquina de batalha da vila do construtor juntamente com todas as tropas desta mesma vila sem falar das moradoras de ambas as vilas. Já reinstalei diversas vezes o jogo, além de reiniciar o celular umas 4 ou 5 vezes, porém não adiantou. E agora? ;-;",3,167,13.576.9,2020-11-05 16:26:19
2,João Vitor,https://play-lh.googleusercontent.com/-bpW4AmXU-RY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyBiQ6z0HCYlqZRArxDH3u1oJQ0Q/photo.jpg,"Eu já jogava com o meu pai a muito tempo e agora nos estamos meio distânte mas quando vi esse jogo me lembrei dos bons tempos e tive que instalar, e quando olhei as resenhas tive que fazer a minha, e tenho umas observações: muitas pessoas falaram que demora muito pra construir, e oque eu tenho a dizer é que na vida real é pior, e olha que temos tecnologia e no tempo medieval não tinham, então acho que esse jogo é perfeito e realista, só isso que precisam saber.",5,8,13.576.9,2020-11-08 18:38:49
3,Trovão Games2020,https://play-lh.googleusercontent.com/a-/AOh14Gje_C83n4vh-pKWjzGu_p4JGvUoE0d03gGGmqtldTs,"Bom,o jogo ainda está evoluindo mas vou dar minhas opiniões.O jogo tem um problema que é quando atacamos alguma vila(na vila do construtor e na vila principal)as vezes pegamos jogadores upados e poderosos,poderiam adicionar uma defesa com relação a última fase da campanha dos goblins:A toca do Dragão.Tambem falando sobre goblins os goblins poderiam contra atacar mas não perderemos troféus e sim perder recursos(uma pequena quantidade) e por último uma tropa nova com relação a o Clash Royale!",2,14,13.576.9,2020-11-08 10:59:58
4,Kss Kauã,https://play-lh.googleusercontent.com/a-/AOh14Gh8awRO5rj_dVk1BYAcslOmKHOiiEenoXBlGpq_Cw,"O jogo é ótimo. É muito bem equilibrado etc... Eu só não dou 5 estrelas por que eu senti que faltou algu na forma de se comunicar com o clã, se eu quiser falar com o clã todo tem a opção então eu pensei que também tinha uma forma de eu conseguir falar com apenas um membro por vez, tipo um privado mais não tem. O jogo no geral é ótimo perfeito eu recomendo.",4,126,13.576.9,2020-11-04 10:18:33
5,bruno Bk,https://play-lh.googleusercontent.com/-u5rHvSKWWBo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_5JSn2aa5cqqlSk5yx5xIqj3s9Q/photo.jpg,"Jogo desde 2013, grande vacilo da supercell tirar o chat global, o novo modo de recrutamento é péssimo e não funciona, a interação com outros players ficou restrita somente aos membros do clã, o chat global movimentava o jogo pela interação que proporcionava e facilitava no recrutamento, além de manter os players mais tempo on....de resto continua um jogo muito legal, com certeza meu preferido",4,122,13.576.9,2020-11-06 18:49:25
6,Guilherme De paula,https://play-lh.googleusercontent.com/a-/AOh14Gg3h9aB34U3WnaczpfEsE4L_f5WXy9P5n_TeTA,"Mt bom mano recomendo muito que instale, pra mim foi bem desafiador o jogo, no começo eu tentava não gastar as gemas e foi o que eu fiz recomendo não gastar gemas no começo pois as gemas podem ser utilizadas para conseguir mais construtores, mas enfim é mt bom recomendo demais",5,2,13.576.9,2020-11-06 10:09:17
7,Diogo Sousa Medeiros,https://play-lh.googleusercontent.com/-QI5YAb0_aZA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclsQhvUHhxEVZZCUW9rKLc-RvKe2Q/photo.jpg,"O jogo é bom. Jogo ele a um tempo já, sempre espero de mês em mês pra comprar o bilhete dourado e evoluir mais rápido no jogo. Mas hoje eu me deparo com o aumento do preço do bilhete, e acho isso um absurdo. Aumentar o preço do bilhete em 9 reais é sacanagem, 2 bilhetes no preço atual (27,90) é quase o equivalente a 3 bilhetes no preço antigo (18,90). E sinceramente, os prêmios desse passe nem estão tão bom assim pra vir esse preço abusivo. Se vocês puderem me explicar o porquê disso eu agradeço",2,14,13.576.8,2020-11-01 08:53:21
8,M r J u r e g,https://play-lh.googleusercontent.com/a-/AOh14GhohGg623VxlL8UUunpOPzVM-PTxbwbAmUyfqFZsw,"O jogo é muito legal mas os Upgrades demoram demais,sem contar o desbalanceamento,quando termina o escudo da vila,várias pessoas com mais troféus que você e muito provavelmente cv maior,te atacarão e isso é muito injusto",1,1,13.576.9,2020-11-09 00:24:24
9,Leat SurgeYT ツ,https://play-lh.googleusercontent.com/a-/AOh14GgbNUZIewU1owMg7YT4er260x-GaTkAxbADTA9bsA,"Eu amo esse jogo, é o meu jogo favorito, só que quando os depósitos estão cheios, você não consegue coletar os recursos do passe, então, poderia ter a opção de colocar na torre do tesouro, iria ser bem legal e tenho uma sugestão: poder atacar sua própria vila para testar seus layouts, ia ser muito bom, porque nem sempre tem alguém do clã ou um amigo on-line, tirando esses dois pontos, o jogo é ótimo, só que seis podiam balancear um pouco mais na base do construtor. (Sou Cv level 10)",4,98,13.576.8,2020-10-30 18:57:04
