,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Eduardo Zago,https://play-lh.googleusercontent.com/a-/AOh14GgyMmaCGlJ5OhDoLg941g0g86SOHQZrv2e_CQ_P6Q,"Esse jogo já foi melhor, a ultima atualização da guerra de clãs é totalmente um fracasso, uma coisa que poderiam melhorar é o nível de cada jogador; pois se Vc é nível 8 e cair contra um 12 não vai ter nem graça. O jogo é bom, tem grandes qualidades, mas também tem grandes pontos a se melhorar na questão de jogabilidade, nível, baús e entre outros. Em demais questões a plataforma é ótima, por ser um jogo de estratégia ele é um pouco complexo mas fácil de jogar.",3,66,3.3.2,2020-11-08 15:47:53
1,João Victor,https://play-lh.googleusercontent.com/a-/AOh14GiFM8o4vmFmDs7e3yECetnV-DJe-D2ZYDRjLPrFfQ,"Jogo desde 2016 o jogo ja foi bom, mas hoje em dia não está tão bom, devia deixar o preço das gemas igual como estava antes, pois aumentar o pass royale também não dá né! Enfim. Desenvolvedores, quero relatar que na hora de jogar as cartas na arena, demoram entorno de uns 2 segundos, favor resolvam isso, pois perdi várias partidas por causa desse atraso na hora das cartas.",3,5,3.3.2,2020-11-09 00:07:48
2,EASY NiCo Munes,https://play-lh.googleusercontent.com/-x9uhLAyGVPo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3diP-JhUHDehhzra5lkJ5-2QMIg/photo.jpg,"O jogo é muito bom , simples , mas tem uma coisa que estraga aí a jogabilidade de muitas pessoas , eu peguei arena Lendária no nível 8 , eu não consigo subir mais pq só pego cara de nível mais alto q eu por exemplo: eu lv.8 enquanto o meu adversário tem lv. 11/12 pra cima , não dá pq além dele ter bem mais cartas q eu , ainda são mais upadas , e isso quebra na questão de balanceamento do jogo e por causa disso dei 3 estrelas ( por favor Supercell consertem isso!!!!)",3,70,3.3.2,2020-11-08 10:35:30
3,Eduardo Esdras,https://play-lh.googleusercontent.com/-rEgaKzyC1u8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckTY7Mc9k-JrJiGskiXnyVVmlXvAg/photo.jpg,"O jogo é muito injusto porque coloca adversários que tem uma vantagem absurda tanto em nível de cartas, nível de torre e também o famoso deck ""counter"" que vc vai estar jogando quase sempre para que o jogador perca de propósito e gaste dinheiro com o jogo para a Supercell facilitar a sua vida colocando contra adversários mais fracos, se não gastar dinheiro com o jogo, certamente os adversários que vem são bem mais difíceis.",1,63,3.3.2,2020-11-08 10:45:29
4,Thales Henrique,https://play-lh.googleusercontent.com/-vAdvkUasZ8Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9kP2Lk8MdPVmGVvUi8h8pEtRtKw/photo.jpg,"4 anos de jogo e não conseguem arrumar uma coisa simples, o matchmaking é totalmente desbalanceado, em vez de prolongaram o tempo de espera para achar partida pra q seja uma partida justa com número de troféus e NIVEL iguais, não, colocam somente o número de troféus igual e cai sempre com jogadores 3 - 4 níveis a cima de você, ridículo, totalmente sem nexo e pay2win",1,2,3.3.2,2020-11-09 01:10:02
5,Pedro Henrique,https://play-lh.googleusercontent.com/-8OU_HLtpy5A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhWElDyHEFS8K_g0hRgtCUo35JGw/photo.jpg,"O jogo é muito bugado mesmo se a internet for boa não adianta, os inimigos são mais fortes e de nível superior, jogo totalmente injusto ,as cartas demoram muito para serem lançadas no campo de batalha, eu nunca consegui ganhar uma vez siquer nesse jogo, totalmente injusto e apelado, não recomendo!!!!",1,7,3.3.2,2020-11-08 16:07:13
6,Lucas Camargo,https://play-lh.googleusercontent.com/-lLGPXgIq19E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmK3RVuw2Ro9Hju7yrnOwHxLPr0lQ/photo.jpg,"Bom jogo, que oferece um bom gráfico e bastante interatividade. Regularmente há novas atualizações, o que promove um incentivo nos jogadores para aquisição de novas cartas e um estímulo para se manter com o aplicativo instalado. No entanto, o jogo apresenta um favorecimento aos jogadores de nível mais alto. As batalhas e torneios, geralmente, apresentam um balenceamento entre competidores de níveis muito distintos, o que ocasiona na manutenção dos desníveis entre os jogadores.",3,191,3.3.0,2020-11-02 10:50:11
7,Douglas Alves Brasil,https://play-lh.googleusercontent.com/a-/AOh14Gg6GEppdQa-hv84hBxgrJhv2hJW_9UG_amNWrGr,"O jogo é ótimo, todos os meses tem atualizações, tanto de temporadas, quanto de balanceamento de cartas, onde melhoram ou pioram algumas cartas. A maior crítica que alguns players falam é que são nível baixo e jogam contra outros jogadores com um nível mais alto, porém eles não param para pensar que existem jogadores mais fortes na faixa de troféus deles, querem ganhar sempre, e ainda querem zerar o jogo com pouco tempo jogando.",5,150,3.3.2,2020-11-03 12:50:22
8,Keverson Lima,https://play-lh.googleusercontent.com/-5OZv2FifBBE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnnhYlErOKEHnvQNz22C5-nHo1TmQ/photo.jpg,"Jogo muito bom é claro , mas o jogo ja ta com menos hipe do que antes então vocês podiam diminuir o preço das gemas , e o desbaleciamemto é muito grande nivel 10 pegando nivel 13 , o jogo podia ser escalado pelo nivel da torre e nao por troféus , e o preço do pass royale muito caro 27, 90 sinceramente estou pensando em desistir do game .",4,2,3.3.2,2020-11-08 01:01:51
9,Ana Júlia,https://play-lh.googleusercontent.com/a-/AOh14GiMUT65Z3wtcc2FTBZX4Kf8ajGyNpFNm4BGyA031A,"O jogo é incrível, cheio de a criatividade e magia ! As batalhas são desafiadoras e com muita energia, nunca vi nada parecido... E ainda da para jogar com os amigos, o que fica ainda mais empolgante, podendo desafia-los e ver qual carta vão jogar para tentar proteger suas torres e atacar as suas ! Crie planos e estratégias para vencer ! Tá esperando o que ?",5,2,3.3.2,2020-11-08 18:46:20
