,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Luiz Tiago Da Silva Antunes,https://play-lh.googleusercontent.com/a-/AOh14GjjTN3vHxy0R3Y_d72Exbe7eAn4yRQwjYhki20ZKQ,"Melhorou bastante do ""era"", porém ainda deixa ""muuuuuito a desejar"". Tempos absurdos de produções de itens totalmente irreais, valores das máquinas ridiculamente caros, limitações na compra de itens de evolução diária, o jogo te priva de achar itens que falta no teu inventário (até você produzir desfalque, depois que produz, qualquer anúncio tem item que faltava).",2,6,1_47_97,2020-11-08 20:56:34
1,Bruna Zélia,https://play-lh.googleusercontent.com/a-/AOh14GjOeChCRUhmQ95DDeqGSe45k-NFBf6QIcFP4Wk,"Gente, eu amo esse jogo. Mas pelo amor de Deus. As máquinas são muitos caras. A pessoa passa 1 nível todo tentando juntar um dinheiro, e quando compra uma máquina acaba tudo. E pior é que já vou avançar 2 níveis, vai ter outra máquina pra comprar, e eu ainda não consegui comprar nem a do nível anterior! Poderiam abaixar o valor! É TUDO MUITO CARO! Isso desanima. No demais, o jogo é ótimo!",5,209,1_47_97,2020-11-03 14:51:50
2,anna Christina da Rosa Coelho,https://play-lh.googleusercontent.com/-AVbVoHOqEVE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmSfedi3CC1W5FDhtpXaiD_a9xLSA/photo.jpg,"Adoro o jogo, mas tem épocas que pára a cada 3, 4 minutos e o que vc tinha feito tem que fazer novamente, isso é muito chato. Na minha opinião deveria ter um modo mais fácil de comprarmos os materiais para expansão, porque no jornal quando vc abre já está tudo vendido. Acredito que se tivesse uma loja com todos os materiais, conseguiríamos expandir mais rápido, seria muito melhor e mais divertido, já fiquei na pagina do jornal esperando o que a pessoa estava colocando à venda e já apareceu vendi",3,464,1_47_97,2020-10-13 22:01:20
3,Ana François,https://play-lh.googleusercontent.com/a-/AOh14GhGa3x31qhZbYBC028AIkx6Hcy5DMF3207ABFLHhQ,"Eu amooo HD, jogo ele desde bem pequena, e ele melhorou muito. Óbvio que tem uns pontos ruins tipo: o tempo para renovar o jornal demora, depois que vc faz as coisas na fazenda não tem mais o que fazer[só se vc ficar bisbilhotando a fazenda dos outros e esperando tuas coisas ficarem prontas(embora não demore muito certas coisas)]. Mas mesmo tendo esses pequenos detalhes, eu gosto muito do jogo, pq em comparativo com outros esse não enjoa(para mim) e te distrai muitoo. Em fim, espero ter ajudado!",5,98,1_47_97,2020-11-02 21:52:08
4,Jacqueline F. F. S. Silva,https://play-lh.googleusercontent.com/-Y3u0Lti1mx8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAMV7fPk7IZj_iXhTOJCkbx76zHQ/photo.jpg,"Este jogo é muito bom!!!! Eu super recomendo, é demais! Vale a pena jogar. Mas seria bom se pudesse vender os itens de decoração, acho que eu ganharia uma grana vendendo. E as máquinas são extremamente caras, deveriam fazer a um preço mais acessível pq nem todas as pessoas tem dinheiro suficiente. E seria bom se pudesse deletar os animais, são muitos e eu quase não tenho ração para alimentá-los.",4,156,1_47_97,2020-10-17 16:16:56
5,halfstar,https://play-lh.googleusercontent.com/a-/AOh14GgQn5mts2HMh56drBf5_DFM-sLGPYEPqJW5jHMLXQ,"Jogava muito esse jogo quando era criança, e o jogo em si tem uma temática muito legal e divertida. Só que depois da atualização, ele simplesmente não funciona. Eu entro no jogo, e sempre que interajo com algo, ele simplesmente fecha. Isso não está acontecendo só comigo, mas com minha mãe também, e com outros usuários que relataram aqui nos comentários. Resolvam isso. É um erro gravíssimo, estou desinstalando por conta disso!",2,120,1_47_97,2020-10-24 12:06:15
6,Diana Aleixo,https://play-lh.googleusercontent.com/a-/AOh14Ghb63gpEUkMYFDhl3NfylPSQXQXUHAxyax0CQEVPA,Tudo muito caro! Ainda não temos os materiais necessários para fazer uma etapa é já está a pedir para a concluir. Se não temos dinheiro para comprar os materiais como vamos fazer as coisas para concluir a etapa? Impossível!!! Estou numa fase em que não vendo nada ao visitantes só para não ganha xp para ter dinheiro e puder comprar as coisas e não mudar de nível para assim não ser obrigada a comprar mais coisas com dinheiro que não tenho!!! O jornal também é pouco prático. Está sp tudo vendido!,2,55,1_47_97,2020-10-29 12:48:06
7,nicolas Miguel,https://play-lh.googleusercontent.com/a-/AOh14GixihosfEh6kB6-O7LoNlCuXOmaCz3QWRSRO2P39w,"Jogo muito bom!! Amo esse jogo,só que ter um problema ele fica saindo toda hora você so joga 3 minutos , ter vez que quando reiniciar o jogo eu tenho que faz tudo oque eu já fiz isso é muito chato Eu peço por favor arrume esse erro,vou dá 5 estrela quando arruma, hoje vou da só 3 estrela ,quando arruma eu dou 5 estrela tchau.....",3,3,1_47_97,2020-11-02 09:37:53
8,Simone Honorato,https://play-lh.googleusercontent.com/-Wm3QxrwXvg0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6neJehJZ40kgWTjzaheE7Rcr8iw/photo.jpg,"O jogo e muito bom e legal mais tem alguns problemas como conseguir diamantes , a questão de ter que derrubar as árvores sendo que o certo e vc poder mover elas de lugar , tbm o fato de ter que chegar a níveis super altos com 50 para poder conseguir coisas , e tbm o fato de quem não tem Facebook pois quem não tem fica meio que prejudicado , e tbm tem outras coisas . Mas tirando isso o jogo e muito bom e viciante ! Amei muito o jogo ,",4,16,1_47_97,2020-10-15 11:24:35
9,Kimberly Ladslainy,https://play-lh.googleusercontent.com/a-/AOh14Gjk1NIptbPdldOv9eGN_gcnSQ77O25WQwUytxCp,"Eu gosto muito desse jogo mas agora com esse problema de travar está muito difícil dar uma boa nota ,pois 4 ou 5 minutos depois ele acaba saindo sozinho é muito ruim de jogar assim .Na minha opinião e na opinião do público que gosta de jogar Hay Day esta atualização não serviu pra nada no lucro deste jogo.Estava muito bom do jeito que estava.",1,104,1_47_97,2020-10-20 20:30:27
10,Genival Junior,https://play-lh.googleusercontent.com/a-/AOh14GgEzQkKS6g5Y0YoTHgEu1X1YJz6naBc500AhWCtng,"Joguei por um bom tempo a ponto de acumular os diamantes e as moedas que permitem adquirir bens no jogo. Inicialmente sumiram aproximadamente 30 diamantes dos que eu havia conseguido acumular, estranhei porém achei que havia feito algo errado, porém, novamente ocorreu um problema no sistema e sumiu 1 milhão de moedas que eu havia acumulado. Parei de jogar devido a irritação gerada com esses dois problemas",1,65,1_47_97,2020-10-21 06:44:21
11,Maria Edna Matos,https://play-lh.googleusercontent.com/-AcmJQdGk5A8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPSfW0FMaw5NGnV6TFJRe4PvXreA/photo.jpg,"Até o momento estou gostando, só os graficos que acho que perdem um pouco. Mas acredito que vcs conseguem melhorar com o tempo. O jogo tem algumas falhas, muitas vezes, a cada dois minutos de jogo ele sai e volta pra tela inicial do jogo. As vezes a gente ganha um item de melhoria mas quando vai ver, ele não esta contabilizado.",4,44,1_47_97,2020-11-05 08:28:22
12,Firmino Fernandes da Costa Terceiro,https://play-lh.googleusercontent.com/a-/AOh14GghjrHjlJkr2SQrk3T4TKH-PpCBe1PMqNvCS8qa,"Um dos melhores jogos para celular, melhor jogo de Fazenda que já joguei, tudo coerente a dificuldade é justa, tudo perfeito, minha unica sugestão é ter como fazer propostas de compra exemplo, anunciar que tenho interesse em comprar rebites, e os vendedores fazerem propostas de quanto querem receber por eles, mas pra mim o jogo e perfeito!",5,7,1_47_97,2020-10-16 22:01:31
