,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Renan Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GgJ0yJVrNEWyJ24lFiZsc8B24M7uvUSp6dGexYeIg,"Se trata do jogo mais manipulador que existe, e nem adianta os programadores falarem que os dados são aleatórios, não somos idiotas. Péssima experiência de jogo, tentei buscar algo pra jogar e relaxar com minha namorada, só ganhamos stress na noite. Desejo profundamente que a equipe de vocês pegue Covid-19 e tenham problemas respiratórios, amém.",1,6,1.76.1,2020-11-08 19:46:32
1,Felipe Siures,https://play-lh.googleusercontent.com/a-/AOh14GgAZZeIFH7A3W0xGzmIurppiPnJEqtTzaBGtDJBsQ,"É um jogo que claramente te induz a gastar dinheiro com diamantes. Sem diamantes você não ganha partidas de alto valor. Em hipótese alguma. Não é mérito, não é estratégia, não são boa jogadas, é um roubo. Chega a um nível do jogo que ele começa a escolher quem vai ganhar... Não escreva abaixo suas mensagens prontas e ridículas. É um lixo de jogo que manipula os resultados e mostra que você precisa de diamantes para obter vitórias.",1,92,1.76.1,2020-10-25 04:16:43
2,Tatiane Vericio,https://play-lh.googleusercontent.com/-3vD54MZ_a58/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrc5u5lkYoluqGqWy2_BDoFyLVyw/photo.jpg,"O jogo trava com uma facilidade absurda e sempre em momentos decisivos. Quanto maior o nível do seu oponente mais ele trava e da uns bugs impedindo que você complete a jogando fazendo com que o automático seja ligado e assim sendo prejudicando. O chat deveria ser desativado por completo por que existem pessoas que são desrespeitosas. Na maior parte do tempo você não tem autonomia sobre seu jogo. Enfim, precisam melhorar!",2,24,1.76.1,2020-11-02 00:06:40
3,Luiza Maria R.T.Almeida,https://play-lh.googleusercontent.com/-k0EoJIyCVW4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclzwREehUk6NKU4quXlUJpkCerZXQ/photo.jpg,"Acho o Parchisi SENSACIONAL, Desde que conheci o aplicativo tenho jogado, dentro das minhas possibilidades de uma pessoa doente e, por isso mesmo, porque, ocupa minha mente afastando um pouco das dores. Infelizmente, tem um pequeno ""mas"". Sr. Desenvolvedor, o bloqueio causa muitos desagravos, pq muitos jogadores aproveitam-se para avançar com o jogo deles e os que estão atrás ficam acumulando e perdendo pedrinhas e o jogo. Caso seja possível mudar isso, o seu PARCHISI, será o MELHOR.",4,78,1.76.1,2020-10-18 20:50:09
4,Fabricio Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgDcOMrp_CtwEcsdTYOYwrYUbCW5GmZkz7D31xoHbI,"Jogo muito bom, leve, roda sem bug, boa conexão externa. No entanto dou uma estrela pelo fato de que TODA VEZ QUE LOGO os anúncios de eventos e compras abrem automáticos, se você loga apenas para abrir um baú os anúncios estão lá, obrigando você a ficar fechando e não dá opção de desativar! Recomendo mas que fique minha indignação!",1,29,1.76.1,2020-10-30 02:32:14
5,Luis G,https://play-lh.googleusercontent.com/a-/AOh14GgdF5HwK_DsO-4PSOhDkwYXry_Csy2t4gdXLTUNMQ,É incrivel como o jogo beneficia jogadores mais experientes e que gastam mais no jogo. Chega a ser uma piada como eles conseguem tirar apenas números uteis enquanto nós nao tiramos nenhum que a gente quer. Só serve pra passar raiva! Podre!,1,0,1.76.1,2020-11-06 18:26:08
6,Alessandra Dias,https://play-lh.googleusercontent.com/a-/AOh14GjMBiQmXKabtZ_MxhTykybSvCYA4cCzRb4RvKFNug,"O jogo é muito bom, mas tem alguns bugs péssimos que atrapalham em momentos decisivos. Não sei mais o que faço, não consigo mais utilizar algumas funções, quando entro no aplicativo meu celular trava, horrível!!! Se continuar dando bug e travando em momentos decisivos do jogo, é melhor desinstalar, não vale a pena o estresse.",1,199,1.72.2,2020-09-02 00:17:19
7,Rogerio Moura,https://play-lh.googleusercontent.com/-l303oW0Rmig/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnraoGuf9FOKlFfwUw2ie8oQJ5pxQ/photo.jpg,"Melhorem esse jogo, coisas caras pra compra, quando tem alguma coisa pra ganha dinheiro é uma dificuldade tremenda. Sem falar na demora que é Pra certos jogadores jogar. Coloquem um tipo de algum botão pra chamar a atenção quando houver demora.",1,1,1.76.1,2020-11-04 14:04:51
8,Albertt Araújo,https://play-lh.googleusercontent.com/a-/AOh14GjkKydFdOhWqvVdUqWmXdDVCW7kz6ZjEs35yOEa6dk,"Desinstalando já. Jogava bastante, mesmo com todos os erros e bugs, com os roubos e etc... Gostava muito do jogo, porém, agora a pouco estava jogando uma partida ao qual se colocarmos uma peça no centro venceriamos, ou seja, estava preste a entrar na área para ir ao centro, e simplesmente a peça deu a volta pro início, não entrou na área vermelha para ir ao centro, não entendi nada, fazendo com o que meu oponente pegasse essa minha peça e vencesse. Achei isso totalmente manipulador.",1,130,1.72.2,2020-08-31 07:30:28
9,Joao Chagas,https://play-lh.googleusercontent.com/-R340VLaK6bo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllWX8ZluGA72Tymra2puu7MSaNJQ/photo.jpg,E a vergonha contínua ... Que falta de ética .... Vergonhosos .... Cada jogo continua a saga de falta de caráter ... Um jogo tão bonito adulterado pelos criadores deste sistema .... Se ainda fosse 50/50 tudo de bom se perder mas 10/90 torna-se stressante .... Ridículo ... Não dá tesão de jogar,1,305,1.76.1,2020-11-03 13:42:56
10,João Guilherme Jerónimo,https://play-lh.googleusercontent.com/-ReIaQ_fEyPE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuDwSgxldEpepVeM36lrJnO8uToA/photo.jpg,"Jogo altamente manipulado, benefícia sempre os opositores com maior ranking. O jogo poderia ser bem melhor se fosse mais aleatório em vez de sair aos outros os dados que eles precisam para ganhar. Têm de fazer o jogo mais justo em vez de beneficiar quem tem maior ranking e a quem compra gemas ou moedas na aplicação.",1,67,1.73.1,2020-09-07 12:21:52
11,Jardson,https://play-lh.googleusercontent.com/a-/AOh14GgXWvNyCzMWO9z0hKFaZMK_iDBclrYunTl71aMGmg,"Jogo feito para roubar, há décadas esse lixo acumula milhões de moedas e não tem uma loja para gastar?! Apenas os pacotes, quem em sua sã consciência irá gastar dinheiro num jogo aonde você é ROUBADO?! Os dados param de uma maneira depois mudam eo adversário sem tem vantagem. Inúteis do crlh",1,87,1.76.1,2020-10-13 19:36:56
12,Marcelo Mandarino,https://play-lh.googleusercontent.com/-eHhT3B1_HG0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnLnQMv6pya7rY303EC5LwmKxv2Gw/photo.jpg,Claro ADM Esse Jogo melhorou muito com as apostas de 5M em Equipe o correto e atualizar e igualar todas as apostas não mudarei a nota enquanto não equiparassem o valor máximo das apostas em todas modalidades e um absurdo isso! Tem que ser justo e atualizar o de todos! #QueremosEquipe5M,1,18,1.75.1,2020-10-22 11:55:55
13,Laura Lunatica,https://play-lh.googleusercontent.com/a-/AOh14Gju89d59ALinYMMbO6bqzbH2oiJ13evmAYjeOc1gkE,"Bacana más as vezes nao permite mover o número que agente quer, entao ficamos expostos. Não tem sentido... Nao me permite ficar no mesmo recuadro do meu oponente, não me permite as vezes mover o número que eu quero e sim decide por mim, me deixando na mão do outro. Tem tanta logaritmo que já a gente sabe qual quando é o número que vai aparecer logo que a gente fica na mão do oponente o que gera desânimo e rotinas no jogo os pares de 4:4, 2:2 5:5 não aparecem no jogo de forma natural...",3,37,1.73.1,2020-09-11 00:35:57
14,Maria,https://play-lh.googleusercontent.com/-BEp5QBDGXgU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKk4NdwbM9niWN37lebREHkWm9EA/photo.jpg,"Acho que esse jogo foi criado no intuito de nos mostrar a verdadeira face das pessoas, mostrar com quem nos relacionamos e se realmente vale a pena todo o esforço para a desgraça vir com gracinha por causa de uma partida, minha amiga estava jogando com o amigo dela, o karma do encosto de quem ela gosta viu e surtiu, garoto de Chernobyl, tenho por mim que é uma obra do senhor na vida dela, mais um aviso e livramento",4,7,1.76.1,2020-10-26 23:03:49
15,Alessandra Passos,https://play-lh.googleusercontent.com/-7Z_oIos9nFM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmzw6HAY38gAUefA26FHpxzCBn-PQ/photo.jpg,"O jogo tem muitaaas falhas, mas o pior é que a ideia de ganhar ""dados"" é furada, porque a maioria dos eventos vc não ganha dado, estrada da sorte é uma piada, você precisa levar o token 15x pra ganhar um dado, humanamente impossível, num teste precisei de 9 dados para dar a primeira volta... Então não vale a pena. E ao invés de facilitar o ganho dos objetos dos eventos ou matando adversário ou levando o token até o destino, só dificultam cada vez mais. Só ignoro os eventos agora!",3,5,1.73.1,2020-09-10 17:18:08
16,andrea figueiredo,https://play-lh.googleusercontent.com/-r2zB7R8P6zo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1bdPCuleJolNs3H4NiWAjJv_DSg/photo.jpg,O jogo é uma farsa! Vc começa ganhando e depois não ganha mais! Ele beneficia o adversário com uma pontuação maior que a sua. Desinstalei e baixei o ludo. Não perco mais meu tempo! E não achem vcs que eu não ganho por capacidade mental. Sou bem estrategista!,1,14,1.73.1,2020-09-08 21:32:39
17,Thiago F,https://play-lh.googleusercontent.com/-mp7sdkqeS18/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2_hzFJQDuUgd2r9pXkRZ_YodA4A/photo.jpg,Engraçado como fiquei com muita má sorte depois que dei uma estrela no jogo. Nunca mais mudo a nota desse jogo manipulado. Se pudesse dava zero estrela. Vergonha dos desenvolvedores do jogo que não aceitam críticas.,1,10,1.76.1,2020-11-07 16:32:33
18,Bianca Amambahy,https://play-lh.googleusercontent.com/--vio3_xiVyM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1KaV1vNMVQFvOsqMQt8360ytdTQ/photo.jpg,"O jogo está péssimo, vocês ficam beneficiando os jogadores com maior redimento, e são roubos que o jogador adversário tira peças que na teoria seriam extremamente difícil de tirar, ajustem isso e criem alguma forma para não ter hackers na plataforma! LAMENTÁVEL",1,98,1.74.3,2020-09-26 00:00:50
19,Paula Cat,https://play-lh.googleusercontent.com/-47B0Y_KDIJc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUxTlY9C4L7Cx6P1_c-7cT75cK4Q/photo.jpg,"1 estrela pq não tem outro jeito. No começo eles te dão tudo, dps tiram. Dados muito manipuladores ELES decidem quem ganha. DESINSTALEI pq estressa 😠😠 A maior mentira é esse jogo. Chega a dar raiva de tanto roubo😤😤 JOGO LADRÃO 😡😡 Respondendo : Tenho provas do que digo, printei a tela de um jogo individual com 4 jogadores, sendo que 2 eram iguais. Como pode numa única mesa??? Mandei o e-mail e a prova.",1,0,1.75.1,2020-11-04 13:02:26
20,Condomínio Barao Serros,https://play-lh.googleusercontent.com/-ht85Au7BoQg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWNu3DD7TOg5Ojv8AxZDAfFbODFw/photo.jpg,Não mudo a nota para o jogo enquanto não igualar as apostas máximas para 1M ou 5M em todas as modalidades. Fico em desvantagem de disputar a liga com essa diferença grotesca no valor da aposta.,1,1,1.74.3,2020-10-22 11:17:54
21,Jefferson Sena,https://play-lh.googleusercontent.com/a-/AOh14GhhMcD-pBVVvZTmVOH-M1aZOsMLQOL-N85-dnvYew,"Acho que poderia ter um comando de voz no lugar do chat, ser mais rápido para ajudar o parceiro numa partida em equipe. Ao dizer onde jogar etc... O gemes ganhava mais quando via os vídeos bônus 😏",2,44,1.72.2,2020-08-31 16:48:22
22,Mayra Figueiredo,https://play-lh.googleusercontent.com/a-/AOh14GjrqM0ZkcGai2UAsGbZg8Hweva0Jgx7CT_2jZNhJg,"Uma farsa, manipulação pura!! Quando você está quase ganhando, o jogo manipula e da vantagem pro adversário que possui uma porcentagem maior que a sua.",1,7,1.73.1,2020-09-08 21:29:11
23,Kauanne Lima,https://play-lh.googleusercontent.com/-9Ln5qqcgLT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclMTHA3SbgDaH7IM5HdVmtSDWjuAQ/photo.jpg,"Trava muito. Eu tento entrar no app e quando consigo entrar ele sai, nao posso nem escolher a cor dos dadados para jogar, porque toda vez que eu tento trocar, o jogo buga e sai, porém é um jogo muito bom e que entretem varias pessoas. Obrigado!",2,65,1.74.2,2020-10-01 16:26:31
24,Lucas Andrade,https://play-lh.googleusercontent.com/-aKNIwCJnaeE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvaDfGIfji_69Zz8q6LC8FeAlihA/photo.jpg,"Esta precisando de concerto, em 99% das vezes a ajuda ao adversário é certeira, dê um jeito de consertar ou irão perder muitos jogadores, o jogo está horrível.",1,2,1.73.1,2020-09-10 21:37:49
25,Tayná Barreto,https://play-lh.googleusercontent.com/a-/AOh14GjMIxkEXwJHOlr4XTE7Q-O74IWte6PELhLIbZBinBc,"Eu estava com um índice de vitórias de 80% daí as joias acabaram e eu comecei a ter uma serie de azar (com 3 dados iguais consecutivos e peças matadas). Não relaxa, só estressa!",1,2,1.76.1,2020-10-29 19:14:39
26,Cícero Gomes,https://play-lh.googleusercontent.com/a-/AOh14GjG-v0l7FnVhK_zZbjnTL2YpM_Y6InMlvSXekye,"Eu não sei o que acontece com esse jogo, as vezes tô jogando aí fica mandando mensagem no chat pedindo número de WhatsApp do povo e tals sendo que não sou eu que tô fazendo isso! negócio muiito estranho. Eu tinha minha dúvidas se esse jogo era hackeado depois disso não tenho mais nenhuma dúvida 😡😡😡",1,44,1.74.3,2020-09-20 05:29:12
27,Sabrina Dayane,https://play-lh.googleusercontent.com/-CHgOhDJoNis/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucniwhlqZUJaU8f9zDdpxVma6aPBsg/photo.jpg,"O jogo as vezes mente muito. Sempre que aposta de 10k e 50k vc só perde. Agora quando aposta menos, só ganha. Deve ser alguma manobra que esse jogo tem. Mais tem muita mentira nos dados!",2,0,1.73.1,2020-09-13 23:27:15
28,Raniely Lima,https://play-lh.googleusercontent.com/a-/AOh14GjCZDmzZQ5E8AU-xWjOZqJdSvTvgcHrSn1oTwPn,"Esse jogo rouba, rouba.kkkkkkkk eu estou cansada de perder nesse jogo porque o adversário consegue rodar o dado 4 vezes eu só consegui jogar duas vezes. Mais fora isso, o jogo é legal. As pessoas conhece algumas pessoas legais❤🧚‍♂️🔥",3,13,1.74.2,2020-09-17 12:00:07
29,Maria Eduarda,https://play-lh.googleusercontent.com/-Z4jbGnlZVjY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlD7CBN0oNSjnyLQSEgo2GGPE_gQ/photo.jpg,"Eu gosto bantante do jogo, chamei todos aqui de casa para jogar, porém no celular deles tem a bruxinha no meu não, qria saber se aparece só em alguns? Fiquei super chateada pq vc ganha várias coisinhas e eu não tenho essa oportunidade de ganhar nenhuma. Já apaguei e baixei várias vezes pra ver se aparecia, e nada.",4,4,1.73.1,2020-09-06 14:06:33
30,Mechanical Butterflies,https://play-lh.googleusercontent.com/a-/AOh14Ghtk3KDtHbxmShACmZye2TznDrEL13JTCvlKbuTQQ,"O de rng esse jogo não tem nada. Tudo é pre calculado, o adversario sempre tem vantagem pra fazer vc perder mais tempo no jogo ou comprar alguma coisa. Isso me deixa puto",1,6,1.74.3,2020-09-25 00:47:49
31,Jainara Alencar,https://play-lh.googleusercontent.com/a-/AOh14GiRnjZoVTWAzFFJKLGewSQr8wqfyDSW2UhKfkrJdfw,"Com o tempo, o jogo falha, no meio da partida você clica e ele vai pra opção contraria. Infelizmente, não sei o que acontece mas é ruim demais.",2,1,1.76.1,2020-10-30 17:16:25
32,X GamesBox,https://play-lh.googleusercontent.com/a-/AOh14GjQT1ZKvJjJVCt1DzxD--_P7TSK3qvR87FVtyUg,"O pior ponto do jogo é a manipulação, o jogo não roda dados aleatórios, mas sim tendenciosos pra um dos lados. Sempre ajuda um ou outro, e assim, perde a graça.",1,17,1.72.2,2020-09-02 19:38:55
33,Alexandre Sampaio,https://play-lh.googleusercontent.com/a-/AOh14GgMRuAtpPKGb4UQ_fLwgHlG3aM8Zjcfx0pjp1Pte_g,"Esse jogo só rouba, sempre fazendo com que a pessoa perca. Sem falar que agr está bem caro usar as gemas.",1,16,1.76.1,2020-10-18 17:42:01
34,Eleniltom Borges,https://play-lh.googleusercontent.com/a-/AOh14GiWxFhHxcdKVbI7cjgb8Vjxg0pbh5fjXClzYvsktp8,"Os dados deveriam vim aleatórios, ao invés disso, sempre vem o que seu oponente quer, sempre vem os números certos para matar sua peça.",1,0,1.73.1,2020-09-13 15:22:24
35,Jéssika Medeiros,https://play-lh.googleusercontent.com/a-/AOh14GgC76zjPf4ZDv7Z7s9Nc7aH8IT5SlERCgkLCQQe6w,O jogo é bom porém. . Deveria ter um tradutor para podermos nos comunicar com os outros jogadores de outros países se puderem fazer isso darei 5 estrelas com certeza para o jogo em si é muito bom.,2,4,1.72.2,2020-09-04 16:44:39
36,Tomás Martins,https://play-lh.googleusercontent.com/a-/AOh14GhXWFnGfhjeZR_g0celUo-jcIKeZBmARJk5JLiGnw,"Parece qur o jogo está viciado. Será? Fico na dúvida :) Avancei uns níveis e parece que não! Mas há alturas estranhas, de muito azar :)) Recomendo vivamente.",5,2,1.73.1,2020-10-06 16:37:36
37,Andrei-pervert Hentai-boy,https://play-lh.googleusercontent.com/a-/AOh14GgJI_uXiHo1v3P4pQL6Hk1RxP3MowJsGmF0jbDi,"Jogo bom porém a comunidade é muito tóxica e as regras do jogo muitas vezes injustas, além de uma coincidência que quanto mais nível tenha mais chances de ganhar tem.. vejo uma boa intenção no jogo mas mal executada além do jogo não censurar ofensas e palavras abusivas um desrespeito",1,5,1.74.3,2020-09-20 19:39:23
38,Camila Amaral,https://play-lh.googleusercontent.com/a-/AOh14GiM-E0TraSlb8QQ9DLvF8Wfj7lb344fuf5ovqtOhA,Jogo ótimo . Mas deveria ter a opção de traduzir o que os amigos de outros países falam .e ter mais limite salvo de amigos no jogo.,5,10,1.74.3,2020-09-24 10:38:55
39,Marcella Smith,https://play-lh.googleusercontent.com/-neqwy2yM1u0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmgPdvpVq8yh6TaFwTSTcknxZTS7w/photo.jpg,"O jogo é muito bom,,, me divirto bastante com meus amigos,,, mas até hj,,,agora , enfim,,, ñ sei pra q serve aquele negócio lá q vem na caixinha de recompensa etc... 1hr, 10 hrs ... Pra q serve? Estou pobre estou sem gema,,,, 😪😭..... É isso,,,, 🤗😘💝",5,2,1.76.1,2020-10-24 07:22:53
