,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,_ DeFaLT _,https://play-lh.googleusercontent.com/a-/AOh14GiRy1fFvnpA0HRsl1Dyoo9qz7IBmMLWM_KUe1s6,"Fico bem fulo com as pessoas p*tas só porquê tem que pagar pelos episódios restantes. Gente, a galera trabalha duro e gasta com a produção e desenvolvimento do game, os dubladores, e etc. Ainda deram o primeiro episódio de graça e vocês querem mais? Sei que a Telltale mudou isso, e é um game de 2012. Sem contar que a tradução pode ser instalada, mas foi vacilo não legendar o game. Mas fora isso, é um ótimo game. Uma jogabilidade decente pra um Point and Click, e uma história fenomenal. Parabéns!",5,367,,2020-09-08 12:32:09
1,Evandro De Oliveira Moreira,https://play-lh.googleusercontent.com/a-/AOh14GhH8hiwCcJq4XpFHH92Y1YLB2ThAEoakxqgspYpxg,"Top de mais esse jogo. Jogabilidade gráfico trilha sonora rudo muito bom... o triste é que sao so 5 episodios e a historia juntamente com o Jogo acaba muito rápido, debería haver mais temporadas com mais episodios assim como nas series. Mais foi o melhor Jogo do género que ja joguei eu compro de boa",4,32,,2020-10-31 06:54:21
2,VOL_ SAD,https://play-lh.googleusercontent.com/a-/AOh14GhekSudwGJebIPJv4I9ZIYJtzQl-mDJKrUI-OSH5Q,Se o tw3 é em português..por que vocês não fizeram a tradução do tw1 e tw2 mó onda isso..tem gente que é louco por um jogo de modo história que leva horas para zerar..mas o que tá acabando com o jogo é a tradução dele arrumem isso gente faz isso pelo Brasil.. na moral..até agora a telltale tá se superando nos jogos de interação mas oq tá matando é só a parte da tradução brasileira..e o tw3 tá com problema de otimização e também não responde aos comandos viu,5,48,,2020-10-11 14:44:37
3,Maria Clara Silva,https://play-lh.googleusercontent.com/-04sVkG0XQYc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnR3MWveA74jkvw2uUKy0yZ7sQtgw/photo.jpg,"Só vou dar três estrelas porque o criador desse jogo é muito explorador e espertinho demais pro meu gosto . Quando a gente vai jogar os outros episódios , tem que comprar . A gente não é banco não tá meu querido , pra toda que vc quiser dinheiro , aparecer assim no ar . Se vc não deixar os episódios grátis , eu vou dar só uma estrela . Quanto mais vc explora , mais as estrelas vai diminuindo",3,401,,2020-08-13 14:57:07
4,Any- Galaxoo,https://play-lh.googleusercontent.com/a-/AOh14Ggvq642-2IljrW_TvczaoSCkaOGGI_YdHkCCTit,"Esse jogo eu já joguei mas num sabia que tinha para instalar hehe,me lembro que tem uma maneira de mudar a linguagem não sei(Se eu tiver errada me corrigem por favor 😅)eu tinha jogado esse jogo no computador/PC kk a história É ótima Obs:no PC eu acho que não precisa pagar para os episódios.Mas mesmo que você não tenha condições para pagar os próximos episódios recomendo que instale mesmo assim porque mesmo você não sabendo o que aconteceu pelo menos você vai saber da história bom só isso hihi",5,10,,2020-11-03 19:59:47
5,Jorge Leal,https://play-lh.googleusercontent.com/-Jx_eAEKdgP0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9jeMBTr_kd7czltz1sJvaudIU1w/photo.jpg,Mano sério melhor jogo que já joguei e também tem esse pessoas ai que querem todos os episódios de graça pessoal a galera da teuleite deve ter levado anos pra criar esse game fenomenal e eu comprei todos os episódios e o episódio (SPECIAL 400 DAYS) TELLATE MUITO OBG POR ESSE GAME MARAVILHOSO E EU COMPREI TODOS OS EPISÓDIOS E VALE A PENA COMPRAR,5,0,,2020-11-05 07:43:01
6,Alberto Pereira,https://play-lh.googleusercontent.com/a-/AOh14GhJCx4jfzylIF05D-79h8-cj1az7hY8Yev576FBow,"Adorei essa temática, jogo extremamente bom com uma bela história e até algumas referências a série, e isso nos faz ter uma grande afinidade com os personagens, Recomendo!",5,3,,2020-10-29 18:14:14
7,Gomaas,https://play-lh.googleusercontent.com/a-/AOh14Gjdu5rfi28tLP3-o2GL-QrXNT4W0sETKf5HAA8cZw,"Excelente! Amei esse jogo, tem ótimos gráficos, uma boa história, e depois de algum tempo jogando, o jogador fica relacionado com as personagens que está jogando, o que é muito legal. Coloquei 4 estrelas porque tem que se pagar todos os episódios menos o primeiro, o que é bem ruim, mais recomendo baixar, porque é uma ótima experiência.",5,932,1.20,2020-08-05 10:57:25
8,BIAGGI Films,https://play-lh.googleusercontent.com/a-/AOh14GiPI4o_Oy1I9b7CExCdgQz0CRibD0Q0PZE89dJjfA,"Muito bom o jogo, porém acredito que grandes jogos respeitam a linguagem quando entra na plataforma de algum país e isso não ocorre aqui no Brasil. E ter que recorrer a busca por legendas por outros aplicativos por fora é colocar em risco o aparelho.",2,111,1.20,2020-10-07 04:38:12
9,Guthetop,https://play-lh.googleusercontent.com/a-/AOh14GiastCyPqz0j0hRi1Gq2Divb3UDRfY0Zlp1SksRZA,Esse jogo é muito bom porém ele é muito bom ou seja todo mundo fica reclamando que tudo tá pago mas olha o todos os desenvolvedores estão precisando desse dinheiro para produzir grandes e maravilhosas jogos parabens a telltale games ou seja espero que consigam jogar todos os jogos deles porque vale a pena eu sou um apoiador da equipe do jogo e estou maratonando esse e todos os outros jogos do twd então respeitem a equipe de produção desses jogos obrigado,5,17,,2020-09-12 22:29:01
10,Mauber Montero,https://play-lh.googleusercontent.com/a-/AOh14Gj0x1ZuTWSLkD3-vDLhdT238dlMZd8QyVK-h3NO,"O jogo é bom, mais peça em duas coisas, uma é o valor de cada fase, o outro é não ter tradução para português ou espanhol, o que facilitaria o entendimento do jogo, já que ele é baseado em decisões do jogador, se tivesse a tradução até valeria a compra do jogo, mais o público brasileiro não foi uma preocupação do desenvolvedor.",3,578,1.20,2020-05-16 11:14:45
11,Vania Almeida,https://play-lh.googleusercontent.com/-uPO47dKd3C8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5nrV9pA9NaAIhHmH9YZ7tCO-tEA/photo.jpg,Gostei muito do jogo. Mas não dei 5 estrelas porque seria ótimo se tivesse versão também em português para entendermos o que estão falando e pra poder ver a resposta ou pergunta correta que devemos escolher.,4,0,,2020-10-12 13:39:16
