,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,ZaniniPÉ,https://play-lh.googleusercontent.com/a-/AOh14Gie5VhxcQ7_zNCdZPKO3FzFvdO2uZJifIxjJ1_hZQ,"A cada atualização um novo pesadelo, as att só estão deixando o jogo mais pesado e com mais bugs do que o normal. Consumo de bateria exagerado, travamento na hora dos confrontos, mau otimizado, cada dia topo com um hack diferente. Tá ficando difícil de jogar! Essa última atualização veio para detonar mesmo, com erros de renderização, falhas no touch, dentre outras coisas, e eu Jogo em um note 8 pro da xiaomi que não é um celular ruim mais parece que tô rodando num pocket!",2,1894,1.0.2,2020-10-23 12:12:24
1,Gabriel Pereira,https://play-lh.googleusercontent.com/-908Twy9uFi8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck99v749UVhxX5Bwzj7DOhNvxtV_w/photo.jpg,"Horrível. O comprometimento de vcs pelo visto não mudou. A cada atualização o jogo só piora. Nem vou citar os problemas aqui pois vcs já estão muito cientes disso. Por mim, o servidor daqui podia ser desligado afinal quase nem se tem mais movimentação de jogadores BR's (demora no pareamento) e vcs pouco se importam com a nossa insatisfação e reclamação dentro do game. Sempre visam o lucro em detrimento da boa jogabilidade. Aqui encerro minhas atividades no PUBG Mobile com grande insatisfação.",1,572,1.0.2,2020-11-05 22:56:45
2,Gustavo Cherulli,https://play-lh.googleusercontent.com/a-/AOh14Ghs3ss5pF64Mu01r55ILJE1QTFWByWJ1aX2Ed-Guw,"Jogo desde a primeira temporada. O jogo já foi o melhor. Mas hoje está deixando muito a desejar. Primeiro foi o problema da latência alta que estragou a patente dessa temporada e depois que ""arrumaram"" deram só uma caixa de pedido de desculpas. Agora o problema é a marca universal que no Android, ao marcar, a marcação não fica fixa, fica voando junto com a mira atrapalhando muito passar a call no jogo. Devs, por favor arrumem esse bug da marcação !",1,685,1.0.2,2020-10-31 20:10:46
3,CORVO BLUE,https://play-lh.googleusercontent.com/a-/AOh14Gh4q0Wh_6SgPkOIPpD3U4RLZY4Y10_pyJpJ831-,"O jogo tá com muitos hacks e muitos deles são de outros servidores, quase todas as partidas tem hack e isso e muito ruim e a maioria deles são de outros servidores é isso é uma coisa que muita raiva os jogadores de outros servidores saírem do servidores deles para vir usar hack aqui no servidor América do Sul, quase todo dia eu encontro um hack no jogo e denuncio mas não recebo nenhuma notificação de banimento de nenhum hack, além disso eu tenho que ficar 4 minutos no lobby esperando partida.",1,6,1.0.2,2020-11-07 10:12:48
4,DARK GAMER,https://play-lh.googleusercontent.com/a-/AOh14GitWuJGw1CtoQDv8dka-CzTaKcrnOt4MmMwViK8,"O Jogo é ótimo, mas os problemas de conexão estão demais, queria muito que voltasse a ser como era um pouco antes, sem problemas de conexão, um jogo quase perfeito, por favor consertem isso urgentemente. No começo achei que a minha rede que era o problema, mas chequei, e não era. Quero muito continuar jogando porque tirando isso o jogo é bom",3,413,1.0.2,2020-10-23 20:16:24
5,Gean Carlos,https://play-lh.googleusercontent.com/a-/AOh14GiUnFOralWVSoUdgjkfk8DIlyfJ0gfiFT-63LWS,"Jogo muito bom, mas porém cheio de bugs, mal otimizado, dentre várias e várias outras coisas, q se for citar todas, vai dois dias escrevendo. Pra encaixar com o jogo, vem a tencent, q acaba mais ainda com o jogo, e ao invés de melhorar o jogo, enche o game de bijuterias, coisas bobas, sem necessidade alguma, sem contar da loja, q deve pesar mais do q o jogo, e somente, pra ganhar um dinheiro nas nossas custas, desisto!!!!",1,179,1.0.2,2020-10-30 09:04:32
6,Jonathan Freitas,https://play-lh.googleusercontent.com/a-/AOh14GjDryPqSlP7-sQzFY66HurBthKK5RwysBpCxu2GAg,"A respeito da última atualização dos pacotes que só serviu para piorar o jogo, aumento nos lag, erro de marcação, auto excluimento do recursos internos tendo que baixar toda vez que inicia o jogo, a volta do erro de servidor, aumento do ms mesmo que tenha sido mascarado o marcador para que ele não passe de 20, o aumento é notável. PARABÉNS A ESSA MULTIMILIONÁRIA CHAMADA TENCENT PELO SERVIÇO LIXO.",2,176,1.0.2,2020-11-01 10:04:10
7,Arce Sousa,https://play-lh.googleusercontent.com/a-/AOh14Gg4kb5T4kDGdyjt_roAKh80AoeIInyha27u9IvWXA,"Eu tô por um fio de continuar nesse jogo o que me segura ainda são os mapas (Livik principalmente pq é rápido), nada contra quem quer comprar as centenas de skins inúteis, eu também tenho lá minhas 2 favoritas. Mas todo o tempo ficam empanturrando missões e eventos inúteis que o prêmio é uma mixaria. A homescreen é pura poluição visual, está visualmente porca, confusa... O jogo vem caindo no meu conceito, antes eu fazia questão de entrar todos os dias, hoje não dá nem tanta vontade de entrar assim.",2,221,1.0.2,2020-10-31 11:09:37
8,Rogerio Domingos,https://play-lh.googleusercontent.com/-KPlxR4W8_gI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmCe1vL3EFjdsnsVkAn6193sB4gA/photo.jpg,"Depois dessa atualização de hoje , o jogo vem dando muitos bugs , ex: não aparece mais o botão pra convite de equipe entre amigos, não mostra a localização exata da posição da opção ""localização marcada"" e ""inimigos a frente"", não aparece a pontuação no final da partida, jogo de armas, só vai até a segunda arma , depois não equipa a arma e ficamos sem armas, por favor verifiquem. Att. Rogério",5,282,1.0.2,2020-10-23 23:35:19
9,Renan Camargo,https://play-lh.googleusercontent.com/a-/AOh14GiCk0UnpHXpSCobxZaayWMnE39_ylQz_Bai0kxd,"Cada att um desespero diferente. Não existe motivação pra subir seu ranking no jogo, mesmo com vitórias a pontuação ganha é muito reduzida e na hora de perder pontos é sempre uma quantidade absurda. Os bugs são constantes e os hackers estão dominando o jogo. Só continuo jogando por causa da assinatura do prime, pq se não fosse isso eu já tinha largado faz tempo",1,149,1.0.2,2020-10-30 09:52:03
