,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,lucas000br,https://play-lh.googleusercontent.com/a-/AOh14GjpnBM0YEJmcAGp0DDIg7TPNlo1I8ot-Ktpghfodw,"O jogo esta com serios problemas esses dias. Muito bugs, como quando você inclina e vai mirar com a sniper (kar98) a mira simplesmente buga e não aparece. E também esta tendo muitos hackers nas partidas no modo arcade (squad vs squad) pelo simples fato de você não ter a opção de denunciar um jogador com hack no fim da partida. Por favor adicionem essa opcão.",1,8,0.19.0,2020-11-08 13:48:20
1,Gabriel Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gg0MQDkcIzie_3MXnYIti58j3sK7jU4RQ0gRKIMVQ,"O jogo ficou ridículo, tá muito ruim. Cheio de hackers, sem contar com os danos das armar q algumas pessoas modificam para aumentar o dano, vcs deveriam banir essas pessoas e os hackers q estão tomando conta do jogo, q era para ser uns dos melhores, mas infelizmente tá sendo uns dos piores jogos. Se querem q o jogo desenvolva e cresça, retirem essas pessoas q utilizam programas dentro do jogo e retirem os hackers, e consertem os danos das armas. O jogo a cada atualização tá ficando um lixo.",1,337,0.19.0,2020-10-14 15:23:44
2,Alastair,https://play-lh.googleusercontent.com/-MApT5CY0SBE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjngITS0JdtpJnbvXNc5WDiVInug/photo.jpg,"Cara, o jogo, mesmo estando em decadência, ainda tem chances de se reerguer, porém esse não é o objetivo da Tencent. Se esse jogo tivesse mais atenção (ou um mínimo, pelo menos) haveria enormes chances de até mesmo bater de frente como o Free Fire... Sendo bem sincero, a Tencent é muito burra!",1,104,0.19.0,2020-10-30 07:23:06
3,Alex Silva,https://play-lh.googleusercontent.com/a-/AOh14GjHT6Cfb6uvjtW-bB0MsdQKgdPFCOmL_YndsAJAalA,"O jogo ta péssimo ta lotado de hacks e a tecent n ta fazendo nada pra resolver , o servidor todo hora da umas congeladas ,e não compensa gastar dinheiro, que só ta ganhando itens temporário , vc abre varias caixas e so ganha item temporário 1 dia o 3 dias O jogo mais ladrão e resolve nada nenhum ploblema ou bug e muito menos hack So rouba o dinheiro da galera msm , e nerfa o rpg e a s12k porque toda hora play q n joga nada te mata com essas armas e estraga sua play bem feita ! Obrigado.",1,26,0.19.0,2020-11-04 20:04:10
4,Alexsander Kender Garcia Silva,https://play-lh.googleusercontent.com/a-/AOh14GiJ9NYMzd6vNxqOpZjbib-F8e99Ly-QQaDiTnKKnQ,"Olá ! Gostaria de tá dizendo pra voces tá dando mais atenção pro pubg lite , pq complica sabe varios hacks , temporadas que demoram quase 5 meses pra terminar roupas nao muito boas, algumas armas totalmente fora de si, varias vezes morro por pessoas alagadas e isso as vezes irrita sabe; tem muitas pessoas deixando de jogar o pubg lite por conta disso,jogo dês da 2° temporada... E faz quantos anos que voces prometeram para agente o Miramar... Varios dos meus amigos migraram para o ff logo eu tbm.",3,10,0.19.0,2020-10-17 14:33:12
5,José Philipe,https://play-lh.googleusercontent.com/a-/AOh14GjF97LXRY-1dd0ZD30rtm17uG0Tg9AAO6sOYN_llQ,"Basicamente está um lixo! Com todos os bugs, dano horrível das armas, ping alto (não é a internet), fps cai horrivelmente em confronto e a questão dos servidores está horrível, muda toda hora, assim não consigo subir de rank. Vocês querem que o Pubg mobile lite seja notado? Então deem mais atenção à ele. Arrumem os seus erros, essa atualização está pior que a anterior. Atualização geralmente é para melhorar, mas aqui isso é ao contrário. O jogo era para ser um dos melhores, mas está horrível!",1,439,0.19.0,2020-09-22 17:51:04
6,Jonathan Jansen,https://play-lh.googleusercontent.com/a-/AOh14Gjins3cDZbGYjXjB54EVG71_j361LSWeNxdjf_Qng,"Tá muito ruim, pra derrubar um cara tem q descarregar um pente inteiro de bala, bota o dano das armas normal, o jogo tá com muito lags, Fps alto bugs, O jogo era pra ser LITE. Já tá pesando quase 1Gb. Obs: Bota o mapa Erangen normal, pq TÁ muito Pequeno e muito abert., Eu Gosto muito do jogo , mas bota o mapa normal e pronto, não precisa ficar botando muita coisa!",1,213,0.19.0,2020-10-03 22:39:36
7,Jモ丹れm†wシ,https://play-lh.googleusercontent.com/-3FrWWP6sMaU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckal6F-K46vLoJtU1t4333FZ0Gvqw/photo.jpg,"*PUBG MOBILE LITE NAO PODE MORRER* BOM DIA A TODOS, Todos temos reclamações a fazer com relação aos jogo depois da última atualização. Penso que todos estão passando pelo mesmo problema de travamentos, picos de MS e número alto de hackers nas partidas... Fora a SK12 que ficou com dano absurdo nessa última atualização (antes estava melhor com dano baixo). Nem todos optam por essa arma, esta injusto o dano que ela dá... Convido a todos a tirar 5 minutos do tempo de vcs e reclamar no e-mail do",1,472,0.19.0,2020-09-22 11:46:21
8,Fabiano Batista,https://play-lh.googleusercontent.com/a-/AOh14GiXUhtiO8KyfLeImZ9J_yhC7aH5r9F5X10cXRvjmQ,"Ao invés de deixar o jogo mais otimizado e rodando em mais aparelhos, simplesmente agora ele não abre em um monte... Em outro celular que rodava o Pubg mobile também deu o mesmo problema após uma atualização onde supostamente era pra deixar o jogo ""mais leve""... Tencente pior desenvolvedora de jogos!",1,8,0.19.0,2020-10-25 19:46:35
9,KOELHÃO x1,https://play-lh.googleusercontent.com/a-/AOh14Gjp27R_JbaxewIS52bIVxxD6y2GLH5hqavV0ikG,"Que incrível né o jogo esta fechando todas as vezes que eu abro ele! É incrível como ele é compatível no meu dispositivo mas ele não quer abrir! Agora eu entendo por que eu fiquei um tempo longe desse jogo! E vou continuar parabéns! Nunca mais irei jogar novamente o PUBG MOBILE LITE, por que ele não quer funcionar!!!!!!!",1,85,0.19.0,2020-09-29 11:30:49
