,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ricardo Aguiar,https://play-lh.googleusercontent.com/-1ZMAj3AHvnU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8r8x-TrzeJWp3xShOdHnnjhH1CQ/photo.jpg,"Embora o jogo esteja muito bem concebido os elementos pay to win do jogo levam o jogador casual a se sentir defraudado. Um jogo para gamers ricos ganhar sem esforço e para gamers verdadeiros serem roubados por rotina. Compreendo a necessidade de fazer dinheiro, mas é demais. Não existe desportivismo. Além de o jogo estar desenhado para ser pay to win é suspeito o lag e os bugs de interface... mais uma ajuda para os jogadores pagantes, a sabotagem dos que jogam sem pagar? É pena, o jogo é imoral.",3,119,1.0.125,2020-10-29 05:56:13
1,Vinicius Dos santos,https://play-lh.googleusercontent.com/a-/AOh14GjSzsnb4rpeEM8Km3FqkPHh-pgxUar8xUQKgoCB,"Bom jogabilidade e gráficos são excelentes!!! Vou dar 3 estrelas se eu gostar darei 5 posteriormente!!! Mudei de idéia estou dando 1 estrela pq os desenvolvedores desse jogo só pensam em dinheiro e se vc não gasta na loja fictícia deles, vc entra em duelo eles começam a travar bugam o seu celular, ultimamente eles inventam q tá dando erro reeniciam ou melhor a gente tem q reeniciar. Isso é falta de profissionalismo e honestidade da parte deles. Na vdd o jogo é ótimo merecia até 5 estrelas.",1,128,1.0.125,2020-10-21 11:50:58
2,Raphael Gruber,https://play-lh.googleusercontent.com/-Q6ItFxDvrjo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm9pvK-ML_jxKhiN2DQNZ4IYpaEAA/photo.jpg,"Gosto muito do jogo,mas a minha atual experiência tem sido realmente decepcionante,l. O jogo tem está com muitos bugs,instável,trava constantemente e o desequilíbrio em duelos é enorme,acho que não deveria ser feito pela quantidade de troféus que você tem e sim pelo seu nível no jogo, evitando assim que como aconteceu comigo,com uma conta nível 100,tive um duelo contra outra já no nível 184,tornando assim praticamente impossível vencer. Além disso o jogo se tornou apenas um caça níquel.",5,93,1.0.125,2020-10-27 08:48:05
3,Tiago Souza,https://play-lh.googleusercontent.com/a-/AOh14GjP_kaO5P4wJhKZQKYTgQ25-FQ9ValLYpHAqLFs,"Jogo péssimo não orienta ninguém,tive que mandar meu celular pra assistência e ele voltou do zero, inclusive minha conta nesse jogo que eu não sabia que tinha que habilitar para que o jogo salvasse meu progresso, resultado perdi minha conta e a vontade de jogar,estava no nível 72 e inclusive gastei grana nele,como pode um absurdo assim para um jogo mundial!",1,18,1.0.126,2020-11-03 20:53:14
4,Douglas Ferreira,https://play-lh.googleusercontent.com/-S-AvjCswU50/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn12CxnFUcTz8G70aLj-xL7TIZakA/photo.jpg,"Quem nunca baixou o jogo nem perca seu tempo, este jogo só é viável para quem gasta muito, você vai sofrer com bugs, travamentos e não será ressarcido, só ganhará eventos se gastar, e não é pouco, suporte do desenvolvedor é de péssima qualidade, pode reclamar que eles mal respondem. No início foi um bom jogo, era divertido, mas hoje deixa muito a desejar! O jogo é totalmente ""pay to win""!",1,64,1.0.125,2020-10-27 10:27:28
5,Roberto Marinho Jordão,https://play-lh.googleusercontent.com/a-/AOh14GhOGN1etIlR2-5mLpXn8aUJ6nhH2vDqaTLsJ_9nDw,"Jogo não deixa a pessoa vencer, só vence se tiver perolas ou pontenciadores e isto custa dinheiro. Ou seja não tem como ganhar, com isso o jogo fica horrivel. Sem contar quando a pessoanão sabe como fazer upgrades nas varas e acaba upando as varas erradas. Uma vara deveria servir para todos os tipos de peixe. Mas a pessoa tem que ter varias varas e para upar as caracteristica (potenciadores) tem que gastar perolas, que é super dificil de adquerir a não ser se for pago.",1,33,1.0.125,2020-10-23 14:07:32
6,eduardo roque,https://play-lh.googleusercontent.com/a-/AOh14Gif40vDIHLOoFnMWGRGCPHPq9nRn-D3icLjzOm_,"Os duelos chegam a ser ridículos uma pessoa está a ganhar e nos últimos segundos ele vai buscar pontos não sei onde, já as batalhas devem de ser sempre prós mesmos é quase impossível. Já agora sou pescador a muitos anos e nunca perdi um peixe como os perco aqui, ridículo. Bons gráficos mas só isso não chega. Parece que os duelos são uma grande treta como este jogo, aliás este jogo começa a ser uma grande batota.",1,9,1.0.125,2020-10-24 22:52:49
7,Ericson Ebert,https://play-lh.googleusercontent.com/a-/AOh14GhsYm3Q01OjwsJuR-gjuRLmzbojedTyfl0ALpu9slk,"Ótimo game, mecânica que funciona bem e é um ótimo passa tempo,sem falar nos gráficos que são muito bonitos e agradáveis! Muito bom!!! edit1: após um tempo acabei trocando de despositivo e não consegui reconectar a minha antiga conta e com isso perdi todo o meu progresso,e tbm não estou conseguindo entrar no game os devs devem resolver isso o mais rápido possível. 3 estrelas mas merecia 5. edit2: o jogo só trava e não funciona,mal otmizado e abandonado pelos devs. Vou desinstalar imediatamente",1,4,1.0.125,2020-10-26 09:28:34
8,Cledson Silva TM,https://play-lh.googleusercontent.com/a-/AOh14GgCoLmkTKnXIS8Q-GeP41_KVZPNJ4ZhjrNFw_rUIA,"O jogo é bom. O único problema são os intens da loja q tem um preço um pouco acima do normal. E outra coisa, os eventos só ganham PREMIAÇÃO se gastar bastante. O jogo perdi o prazer nesse sentido.",3,17,1.0.125,2020-10-26 18:53:36
9,Juliano Halabura Talaveras De Torres,https://play-lh.googleusercontent.com/a-/AOh14Gh6BsDwj9PutjPefO6m_-xR272gKyLEpN0ifgXEpOM,"Após a atualização de hoje 19/10/2020, não consigo mais entrar no jogo, só dá erro e diz estar sem conexão com o servidor, espero que venha uma compensação tão boa quanto o preço de seus produtos na loja do jogo!!!!!",1,22,1.0.125,2020-10-19 17:43:48
