,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Patrick Bastos,https://play-lh.googleusercontent.com/a-/AOh14Gjsrk4aR3IJ4RQQCFA4GZmHotV1vc8FGULMcua91YU,"Joguei bastante, mas quando vc avança muito sem gastar o jogo começa a travar. Uma pena, tudo pra ser um daqueles bons games pra se recordar, mas parece que hoje em dia o importante e tirar o máximo de dinheiro possível de quem joga. Saudades da época sega\nintendo heuheuehu Por fim, achei perda de tempo. Atraente a primeira vista mas não entrega o que promete até o final. Duas estrelas só por causa do gráfico e organização do game. Até nunca mais, Castle Crush!😉",2,126,4.5.7,2020-10-28 21:40:22
1,Bernardo Oliveira,https://play-lh.googleusercontent.com/-Aj5oFUGcLK8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWKQYafVKqhYBiz0iWwjm_tFGWbg/photo.jpg,"O jogo e muito bom,só que as vezes o jogo não te dá o pontuação correta. E tem dias que vc só perde ,não importa o quanto vc evolua o sem deck. vc gasta as gemas e não adianta. Vamos melhorar isso por favor. Os hackers estão acabando com o jogo e o jogo favorece os adversários eles carregando cartas épicas do nada isso e sacanagem.",5,144,4.5.6,2020-10-27 11:47:44
2,Paola Lopes,https://play-lh.googleusercontent.com/a-/AOh14GgC60hJUf0Z2t1b5Nl_cFMdJsfDFpSZkS48mePa5g,"Comecei a jogar e achei monótono demais. Não tem muito o que fazer, é sempre a mesma coisa. Poderiam inovar mais. E quero destacar mais uma coisa, tem muitos hackers nesse jogo. Joguei várias partidas onde a maioria delas, os jogadores mudavam os avatares de lugar depois de enviá-los para atacar, o que é injusto. Arrumem isso, se voces puderem banir contas como essa seria gratificante ou adicionacem no final de cada partida um icone para denunciar contas. Por ora, vou desintalar.",1,2,4.5.7,2020-11-06 13:43:17
3,Edvaldo Edvaldo,https://play-lh.googleusercontent.com/-ldkgxAS1HHg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-9PSjYvv_QOKdkNiBHwEMUX36SA/photo.jpg,"Demora muito para conseguir as cartas, perdi ""muito porque eles tinham cartas melhores que a min' eu passei de face muito' e nem consegui, nem um personagem. tá face que eu passei, até agora eu não consegui chegar a a mil e duzentos por causa das minhascartas, porque sempre que eu chegava eles tinham carratas muito!! melhores! que as minhas e sempre que tinha um baú de ouro com cartas raras e épicas nunca tinha uma carta novas! . podia melhorar banhar mais cartas novas no baú.😠😠😠👍",3,15,4.5.7,2020-11-06 15:37:27
4,Rychard Leandder,https://play-lh.googleusercontent.com/-CzefYnJTHzQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8n4hh8G6yMdF0n9-5ViwIHHF8PA/photo.jpg,"Para falar a verdade eu odeio esse game esse jogo näo presta! Näo me leve a mal criadores mas esse jogo esta pessimo. Estou persebendo a alguns dias que o app esta cheio de bugs e hackes na partida, o tempo que carrega 2 cartas comuns para mim, eu perçebo que carrega 1 carta épica e 1 carta rara para o oponente e isso é errado, pois deveria demorar para carregar aquelas cartas. E outro fato é que a carta épica e a carta rara não estão sendo substituidas na loja elas são: Guerreiro Orc e Démonio",1,138,4.5.6,2020-10-22 20:25:26
5,Luciano Paiva,https://play-lh.googleusercontent.com/a-/AOh14GiR1zKAWslpngPaat9lhPq1up38x7TW_kLOcxugPA,"O jogo interfere muito na jogabilidade. Segura cartas essenciais pra ajudar o adversário, a internet começa a cair constantemente e se seu adversário usar a bandeira dos EUA aí é que lasca tudo, o jogo interfere mais ainda.",1,619,4.5.6,2020-10-23 21:39:09
6,Josué Cristóvão,https://play-lh.googleusercontent.com/-yPHt4YomPCk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmEqBmXqzH_CnMQNV6d-IVB-m5ag/photo.jpg,"A conexão do servidor do jogo cai toda hora, principalmente no campeonato, então não convém pagar. Já perdi vários cristais por causa dessas quedas constantes de conexão, e a minha internet é boa, de 100mega.",1,38,4.5.7,2020-10-31 12:38:54
7,Rodrigo Del chiaro,https://play-lh.googleusercontent.com/-8GCuYjSPjNw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvW1qOE3Ofk8s-PtwCdPQ3_YQTgw/photo.jpg,Esse jogo é legal só que ele é injusto de mais pois quando ganho uma batalha sempre vem menos de 30 troféus e quando perco eu sempre perco mais de 30 troféus pois o jogo que escolhe o vencedor a cada batalha pois também não consigo subir de Castelo mas acho jogo interessante,3,23,4.5.6,2020-10-27 14:01:17
8,Lucas Rasabone Garcia,https://play-lh.googleusercontent.com/-wQMkMfduLX8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5JVpONpPVog6zndpBSlqQCcYrzg/photo.jpg,"Típico jogo q vc só vai conseguir se divertir se gastar dinheiro pra conseguir recurso suficiente pra bater d frente cm os mais fortes. D resto, o jogo é razoável caso vc n tenha mais nada pra fazer.",1,8,4.5.6,2020-10-24 12:04:48
9,Matheus Lopes,https://play-lh.googleusercontent.com/a-/AOh14GgLq3I_eXsCYyVrMxtXI8SXwM3kvNyqfU0l1yb0,"O jogo e muto bom muito bom msm,só dou 4 estrelas pq o jogo tem um problema quando vc começa a subir muito de castelos,os player com lvl muito alto e tropas de outros castelos ent eu queria que mudaçe algo,quando alguém sobe de castelos não vc não e reibaixado mas as ligas não preçisa mudar com isso o jogo vai ficar mais de boas e não muito difícil",4,80,4.5.5,2020-10-22 22:17:37
10,Matheus Teixeira,https://play-lh.googleusercontent.com/-2sJ2uoMWlg0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldKnGe2rI3z3vK6cEd8eUWfrRxrw/photo.jpg,"Estava jogandoa a tarde e tinha em média 5300 troféus. Quando fui abrir o jogo umas 3h depois, tinha pouco mais de 4600. Perdi pouco mais de 700 troféus!!! Além de travar, cair sinal de wi-fi e vc perder a partida por conta disso. Se a partida sair só, vc tbm perde troféu. É viciante, mas é muito mal feito e estressa vc sendo roubado direto pelo próprio jogo!!",1,51,4.5.5,2020-10-19 18:06:49
11,blecke goku Android,https://play-lh.googleusercontent.com/a-/AOh14GhlMkXGsE4RsoY7U6cUKjlMeeqUit0zGCKixG-H,Esse jogo é ótimo ele é muito top os personagens vi pode jogo com outras pessoas mais 3 broblemas 1 é que vc presisa esperar 12 horas pra abrir as caixas já o cleche royale já abre direto 2 o próximo é por vc demora pra subir o castelo então nem tm graça de jogar 3 vc demora muito pra consigui os personagens mais é muito legal,5,36,4.5.6,2020-10-21 11:47:08
12,Bernardo Praes,https://play-lh.googleusercontent.com/-WW-ANa8DlNc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoJyWbHV-91H2om4gYfUkdti4Hkw/photo.jpg,"Eu gostei muito desse jogo. Os adversários são bons, a dinâmica do jogo è boa, as carta são forte ex: o cavaleiro negro,demônio,mago Etc. Só uma coisa que poderia mudar, como: ter outros castelos o 10,11,12 Etc e ter mais cartas . Mas o jogo è espetacular parabéns fun games for free!!!",1,80,4.5.5,2020-10-12 09:58:03
13,Walter Cartacho,https://play-lh.googleusercontent.com/-a7M1mg7WqVY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclS8oLian2pLIssPaSI0CgZDU0jqw/photo.jpg,"Não entendo porque deixam os rackers bagunçar o jogo. Estou no nivel 9 e não tenho as cartas boas que alguns de nivel 4 tem. Sem falar que para eu colocar uma carta de 6 cristais demora tanto quanto uma carta de 12 cristais do adversário. Assim não da né, para o jogo ficar ruim precisa melhorar muito. Pode reparar os outros comentários. Atenção aí, mas talvez o mais grave é que o jogo escolhe quem vai ganhar fazendo você demorar para colocar as criaturas influenciando a dinâmica. Desestimulante.",1,729,4.5.5,2020-10-04 22:25:06
14,Volnei Hoffmann,https://play-lh.googleusercontent.com/-vdWPiUORH1Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbiKYXJcnXrAbEOsprk9tcRd1Ctg/photo.jpg,Jogo é um lixo vc não joga vc fica só esperando o tempo passar para abrir baús ou se quiser tocar dinheiro no lixo para acelerar o tempo....,1,2,4.5.7,2020-10-29 22:33:24
