,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Pedro Giacomet,https://play-lh.googleusercontent.com/a-/AOh14GiwKDPOZnGCJDAOWNTxTlJBmU1oiWBvci2ogKs7pQ,"Jogo muito bom e divertido, eu só estou colocando uma estrela com dor no coração, por conta dos bugs... O jogo não entra, fica trancando na tela de carregamento e não entra. O minimo é entrar no game e nem isso vocês conseguem fazer, arrumem isso, porque o rival de vocês ta grande... Aquele dos simpsons, todo mundo ta jogando.",1,34,3.3.3,2020-08-27 15:42:26
1,Frederico Moura,https://play-lh.googleusercontent.com/-ndN_AfVjHWg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclq71_HaZOYSsq9c_--S44bfc8hvw/photo.jpg,Eh muito ruim... Quando vc chega num determinado ponto vc nao consegue mais entrar... Tenho outros jogos do mesmo fabricante e nao tenho problemas mas este eh horrível...,1,17,3.4.1,2020-10-12 21:12:15
2,Samira Lopes,https://play-lh.googleusercontent.com/-1eIS32QC8SQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmT8nZ_WH40hzVH02fzqNS-70Vo8g/photo.jpg,"O jogo não abre mais,de verdade gostaria que corrigissem esse erro porque o jogo é muito bom,e seria uma pena desinstalar",1,4,3.4.1,2020-10-18 16:20:47
3,anavalerio82,https://play-lh.googleusercontent.com/a-/AOh14Ggv140K12O8_sHYlTQmnlRJm8rM-t-8tIaYLI-9uQ,já jogo já muito tempo e o jogo é super bom e viciante e dou 5 estrelas porque já resolveram o problema e consigo jogar de novo .,5,43,3.4.5,2020-11-03 21:15:34
4,Valt Zera,https://play-lh.googleusercontent.com/a-/AOh14GgwY3K51Godo0JRYvDBSjZWUNwVKHTuNf7lm_vvKw,Esta toda hora fechando! Tem um clone do Cleveland bugando o jogo e sem contar que o game demora 5 minutos pra mais para abrir e simplismente fechar depois! Ja ta chato!!!,1,9,3.4.1,2020-10-05 19:59:34
5,Jorge Rodrigues,https://play-lh.googleusercontent.com/-sRWcLeGYeug/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckls1rQslI7yurG_3IDJCWr9-Yrbw/photo.jpg,Adoro o jogo e a animação é demais mesmo. A única coisa mal é que demora muito a carregar o jogo,5,1,3.4.1,2020-10-03 14:20:47
6,Paulo1 Black,https://play-lh.googleusercontent.com/a-/AOh14Gisp15qNVbrVIUoJVKu41GLIfoDLNeeY-xVdwrE4Q,"Jogo muito viciante, divertido e engraçado, como esperamos de algo relacionado à ""Family Guy"". Mas poderia ter a possibilidade de girar os prédios em 360°, é muito difícil arquitetar uma cidade sem ter liberdade para rotacionar os prédios..",4,16,3.2.0,2020-08-15 22:21:09
7,Mrasilv Art e etc,https://play-lh.googleusercontent.com/a-/AOh14GjTWI0aA-5JPLBAC61VEpxR4CqKaVnx5LB89qZ6xYk,"o jogo eh bom mas tem personagens pagos que sao inuteis apos compra, itens uteis soh no evento e soh os personagens principais que fazem missoes.o resto fica pra cata moeda apos acabar suas quests ou no hotel e com novos eventos limita a linguagem em portugues. ignoraram as outras versoes que sao mas rapidas para focar na de mobile mas ainda falta muito. botar todos os personagens pra catar moedas eh uma tortura e os mundos novos soh serve para os predios de evento apenas.",4,16,3.2.0,2020-08-06 09:34:27
8,Guilherme Valgas,https://play-lh.googleusercontent.com/a-/AOh14GhKGICWFClnEKOAD3hMcNc74Ty-Z9iZMw-mD4eVXw,"Gostava dms desse jogo, mas com esses eventos que só tomam tempo e a demora p carregar, ta insuportável jogar. Obs: os eventos deveriam ser opcionais.",1,23,3.0.1,2020-06-25 03:29:42
9,Joao Diniz,https://play-lh.googleusercontent.com/a-/AOh14GjP6clil7cmyrd6sBcU0IZErbyqtvpkRHXognFI,"Jogo muito bom,eu percebi que vcs não respondem os comentários, infelizmente. Eu jogo a muitos anos ,sempre crio uma conta nova , e depois de 3 dias o jogo não carrega mais . Eu gostaria de saber o que fazer .",5,15,3.0.1,2020-07-07 09:34:11
10,Over Games,https://play-lh.googleusercontent.com/a-/AOh14Gj9kE0ZmhF2J9DPZpLzXX3pw1yzGJiobeaWlWQrug,nao consigo logar na minha conta ja faz muito tempo sempre que inicio o jogo ele fica travado na tela de carregamento se puderem consertar seria bom,3,3,3.1.1,2020-08-06 04:39:51
