,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Caiooo Val,https://play-lh.googleusercontent.com/a-/AOh14Gi-1O-WywSzQhmZt1bKlt_gWHzzzROpptqut4nwv1g,"O jogo é incrivel, no entanto, tem o problema com o tempo que carrega as energias, que temos que esperar pelas missões, os criadores tentaram dar uma impressão de tempo em real, mas não está funcionando MT bem, todo mundo reclama, tanto pela quantidade de energias quanto pelo longo tempo de carregamento. O jogo ficaria muito melhor se o espaço para as energias fosse maior, e o tempo para elas carregarem em vez de 4 min, fosse 2 ou 1 minutos, fica mais decente. Eu darei 5 estrelas quando melhorar",4,92,3.0.0,2020-11-07 11:40:07
1,Leonardo Santos,https://play-lh.googleusercontent.com/a-/AOh14GiqBmaVAv_AQaHu51TmrS0ZFRTZMMUBly0R7Piz-w,"O jogo é maravilhoso o único problema são as energias (aqueles negócios que precisa pra compretar as missões) eles acabam muito rápido e além disso ganha muito pouco,sem falar no fato de ter que esperar quase 1 hora pra ganhar um ,isso tá estragando o jogo meu amigos já desistiram de jogar por causa disso. Seria bom se vocês arrumacem isso,e também colocar os móveis do quarto pra compra com dinheiro.",2,66,3.0.0,2020-11-07 14:13:53
2,Sara Araujo,https://play-lh.googleusercontent.com/a-/AOh14GjsXfmoWGivjDH39xRJWvC9G_nHjZCoO7eHm4k49g,"Gosto bastante, o jogo tem um bom conceito e boa historia. A unica coisa que se torna mai chato é a energia acabar rapifo e demorar a repor. Ficar dependente da energia para fazer aulas torna-se chato. Não era má ideia permitir multiplayer para se poder jogar com amigos na mesma equipa, seria uma grande actualização e acredito que mais pessoas se juntacem ao jogo. So por esses dois defeitos nao dou 5 estrelas. Fora isso, ta muito bom.",4,156,3.0.0,2020-11-05 13:51:05
3,Esther Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhQkqnUq_3tY3cH3WyXbb-5BuWe8B1vzK1lJaPe4w,"O jogo é muito bom e a história é interessante. Porém as energias são um grande problema, acabam muito rápido e demora muito pra recarregar. Quando estamos no ápice do jogo temos que esperar recarregar, e isso faz perder o interesse no jogo. Por favor, disponibilizem mais energias ou façam carregar energia mais rápido por favor.",4,5,3.0.0,2020-11-06 15:49:20
4,Lucas Lima,https://play-lh.googleusercontent.com/-_OTy4hLku_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknKOLY9Dynt3AkGpVtoI_Lh6OJUw/photo.jpg,"Só n dei 5 estrelas porque o jogo é bom e interessante o único problema é a energia que demora muito tempo pra recarregar, e isso deixa o jogo muito limitado para jogar o quanto quiser, tem q esperar muito pra carregar mais pra gastar e rápido. Se a energia recarregasse mais rápido o jogo ficaria perfeito porque não tenho nada mais a reclamar do jogo!",4,11,3.0.0,2020-11-05 22:49:59
5,nayara martins,https://play-lh.googleusercontent.com/-l8n3m4VqHd4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckL2DhW1kpgnxa2kUfRK_dfpmn-Fw/photo.jpg,"O jogo é muito bom mas estressa porque ele tem vários artifícios que te impedem de jogar. O sistema de energia é bizarro, demora uma vida pra carregar e tudo que você faz no jogo precisa de MUITA energia então tu fica travado. Além disso as Missões são travadas, tudo tem que esperar horas pra liberar, parece que eles não querem que você jogue já que dificultam tanto.",3,4,3.0.0,2020-11-06 04:34:50
6,Dinana Banana,https://play-lh.googleusercontent.com/a-/AOh14GhMhaUF_fWE7eaAYHWTgZZSptN7HHFEAblmzNbi,"O jogo é bom com história e jogabilidade muito bons, mas quero ressaltar 2 problemas: A energia acaba muito rapido, e mesmo ganhando 150 algumas vezws você ainda não tem o suficiente para completar certas missôes, além a que você já tem acabar rapido e levar horas de você esperando pra conseguir avançar. O Save do jogo ta muito, muito bugado, muitas vezes eu tetmino uma missão difícil ou até uma luta, saio pra deixar a energua carregando e quando volto eu tenho que refazer tudo.",2,3,3.0.0,2020-11-06 11:43:56
7,hugo feitosa,https://play-lh.googleusercontent.com/-Ew6mpzbsJt8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckx5FhN2l1gVI6ePwljcqDyYoxMBQ/photo.jpg,"Jogo otimo, tanto na jogabilidade quanto no desenvolver da história, mas peca bastante nas energias que acabam impossibilitando de jogar por muito tempo por isso 3 estrelas. Estou tendo uns problemas na questão de salvar o jogo, muitas vezes faço a missão e ganho as estrelas e saio do jogo e depois quando volto perco o progresso pq o jogo não salvou.",3,51,3.0.0,2020-11-03 23:19:47
8,Priscila Moura De Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Ghxr3g93lpAtdZ3ekARpTFUKE-6ABbBFPFnYYUY-A,"Eu amei o jogo é tem uma jogabilidade ótima e um enredo super interessante. Porém a questão das energias e do tempo é algo que realmente me faz querer desinstalar pois primeiro, 28 energias não é o suficiente nem mesmo para terminar uma só aula e segundo o tempo de espera em tudo precisa ser diminuído pois ter que esperar 7horas para por duelar novamente, ter que esperar 4 min para conseguir 1 ponto de energia e ter que esperar 3 ou 4 horas para continuar as tarefas da história é horrível !!!",4,33,3.0.0,2020-10-27 11:51:43
9,Amanda Marques,https://play-lh.googleusercontent.com/-SZd7-Kf1C3I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPXHHQLxcA3mhgeOI7caWEMxa-hQ/photo.jpg,"quase perfeito, o único ponto que deixa a desejar são as energias, pra cada missão que você tem você gasta muito mais que as 28 energias disponíveis e recupera a energia de 4 em 4 minutos é muito tempo pra pouca energia aí muitas vezes o tempo da missão acaba porque eu não tem energias para terminar, mas esse é o único problema na minha opinião, mas ainda sim dei 5 estrelas pq de resto nada deixa a desejar.",5,518,3.0.0,2020-10-25 09:09:17
