,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Priscila Camargo,https://play-lh.googleusercontent.com/--7Q_cpblzmo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclF3_SwGvpcHNq9EH_WoMeGNnSNVw/photo.jpg,Incrível não trava toca boca e marca incrível melhor jogo que eu vi 5 estrelas 3 personagems o problema que o toca kitchen monsters desapareceu e nem encontro o maravilhoso toca kitchen 2 toca live word e o toca sushi que e pago mas meu dinheiro vai chegar logo no toca kitchen 2 eu faço bebida de cenoura melancia laranja morango e também faço pão com limão 😋 melhor jogo que já joguei 🥇🥇🥇e presto atenção para não ficar repetitivo,5,1362,1.2.3-play,2020-10-29 12:55:35
1,irmãs panda vi e ju,https://play-lh.googleusercontent.com/a-/AOh14Gg6g9UV0SYWMK_XCPz40sz6DvfHbbKZCoqAQwBrkg,Legal muito da pra fazer a própria comida incrível o problema tem que ter mais intens tipo panela no fundo vários coisas mais personagem é pesado e só isso o jogo taria muito bom ia fala pra minha todas amigas na vdd minha irmã q me mostro gostei do jogo! 🙂 só melhora isso q falei,4,553,1.2.3-play,2020-11-04 19:32:17
2,Isabelle Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhqOfOozh4E5loW-yUso2_wiwV62COsV0kVH2krfw,"Amo esse jogo demais! Quero dizer...adoro os jogos que vocês fazem! Já tenho quase todos os jogos do toca no meu celular, é incrível como vocês fazem os jogos, é tão bom ter jogos assim,pois não são enjoativos :)",5,169,1.2.3-play,2020-11-07 13:54:46
3,andreia padilha,https://play-lh.googleusercontent.com/-hG9m4i88HSM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckPo6xBTSGoTQnEbVVXQDInAwbc1g/photo.jpg,ele é muito bom mas podia lançar novos personagens novas comidas novas coisas para fazer comidas e esse daí é da empresa mas começou a empresa então eles colocam um preço tudo depois a bateria toca Life world city é acho que é a mesma coisa do toque word só que com umas coisas e acho que é um roubo né mas nada contra estes jogos são muito bons e esse tbm meu segundo favorito,4,0,1.2.3-play,2020-11-08 21:42:38
4,isa ʕ•ᴥ•ʔ,https://play-lh.googleusercontent.com/a-/AOh14GhC3HKtE-rpEmZMIumMpkdkQ5WG9IcGgqBlnpnttA,"O jogo é bom, o que muda é que ele é repetitivo e enjooa rápido, tirando isso recomendo",3,1003,1.2.3-play,2020-10-30 18:41:04
5,fabio gamer1432,https://play-lh.googleusercontent.com/a-/AOh14Gj-9byTgzD8Zv7Js3avhZZgVjmZUHA-cZtmku9pig,Esse jogo enjoa rapido deveria ter mais coisa so tem tres personagens vamos dizer o free fire tem muitos personagens tem pouca coisa na geladeira por isso dou 3 estrelas,3,203,1.2.3-play,2020-11-03 23:24:20
6,Valentina mine blox,https://play-lh.googleusercontent.com/a-/AOh14GjE6Pp1FeEDIJXpkzM7uNbYd3nu4jaEe01uioqQKA,"o jogo e muito legal!, mas ele enjoua então parei de jogar um pouco mas mesmo assim o JOGO E INCRÍVEL!!!!!",5,1,1.2.3-play,2020-11-08 09:51:23
7,Natalia Arnold,https://play-lh.googleusercontent.com/-fyiq2ukhcA8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUCNMc6rrQtQchqWRLFcEJFS4ThQ/photo.jpg,O jogo é otimo mas tem pouca coisa na jeladeira e pouca coisa para fazer com a comida.🍓🥕 e depois de um tempo os clientes começão a fazer a mesma coisa ai o joga fica enjoativo,3,724,1.2.3-play,2020-10-28 15:01:58
8,Lucia De Fatima Martins Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gi0_W9oRXCrwNX1sutW_tAEP2nx1BuxMVeHMbEd6Q,"Amei o jogo, simplesmente incrivel! Não trava nem nos celulares mais fracos, o jogo é maravilhoso",5,472,1.2.3-play,2020-10-30 23:38:20
9,Evelly Cris Ferreira Santos,https://play-lh.googleusercontent.com/a-/AOh14GiB39o3R5II_zo9BN9yv70E3HhoezhPnXqma7Y5,"Jogo muito bom gráficos ótimos não trava nem um pouco o celular e ótimo que não tenha anúncio,o único problema é que o jogo poderia ter mais perssonagens de gostos diferentes como os que já tem e poderia ter mais coisas pra fazer como bolo,doces,pizza e etc... mas fora isso é muito bom!!!!!",5,17,1.2.3-play,2020-11-04 20:26:20
10,José Henrique Ferreira Souza,https://play-lh.googleusercontent.com/a-/AOh14GjxVI3ncS5g2gxWjTeH9Eo_LYk4D4CkRMfPpNVa9g,"Esse jogo é bom,o problema é que depois de um tempo,o jogo fica meio repetitivo,só fazendo a mesma coisa,e também eu acho que devia ter mais clientes,alguns objetos pra decorar o restaurante,ter mais algumas comidas,e também ter como fazer um sanduíche,eu vi muitas pessoas reclamando que não dava pra fazer um sanduíche nesse jogo,e elas estão certas !!!!! Então coloquem tudo oque eu falei pra se tornar um jogo maravilhoso 😄",3,1135,1.2.3-play,2020-10-23 10:47:35
11,Marliany Do Nascimento Pinel Vescovi,https://play-lh.googleusercontent.com/a-/AOh14GjtzD1K3KrDLkZwTtirL3FZYG2igVWaT_h0oCQh,"Só não dou 5 estrelinhas, pois o jogo é muito repetitivo, são muito legais os jogos do Toca Boca, mas assim, além da maioria ser pago, eles são muito repetitivos, no começo, É muito legal, mas depois, vc enjoa, e quer desinstalar, então façam um jogo viciante, pois assim teram mais renda, mais tirando isso, o jogo é totalmente maravilhoso. Obrigado pela compreensão de todos, desde já, agradeço.",4,2902,1.2.3-play,2020-10-06 16:09:23
