,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Julia Torres,https://play-lh.googleusercontent.com/-fTVNznxEnI4/AAAAAAAAAAI/AAAAAAAAABE/AMZuucm0oviI4UZWxg8AbvXNgqr77wlrJA/photo.jpg,"Esse jogo é maravilhoso porem deve pagar para ter mais personagens porem já vem com 3, personalizáveis do teu gosto . Tenque pagar também para ter outras casas mas já vem uma incluída. Mas tem várias outras coisas tipo loja de roupas ,mercado,cabeleleiro , ETC. Bom ... A conclusão é que esse jogo é muito BOM, pode baixar .",5,266,1.26.2,2020-11-08 14:34:35
1,Loren Viola,https://play-lh.googleusercontent.com/-gJQ8eFDohtY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmakKH_BVekanzuIpsu2otA3i1h5Q/photo.jpg,"Amo esse jogo ele é um jogo de classificação livre. (para todas as idades).ele também e ótimo porque as coisas para comprar tem um preço muito mais muito acessível,3,50 para ser mais específica. Esses dias teve uma atualização e não gostei muito dela porque havia alguns problemas mais um dia depois já arrumaram, por isso agradeço muito por me ouvirem administradores do toca life.tenho 11 anos para quem fala que é para criançinhas ele não é !!! Recomendo muito . Muito obrigado quem leu.🙂",5,12361,1.26.1,2020-10-15 17:35:27
2,Luísa Fonseca Mendes de Jesus,https://play-lh.googleusercontent.com/-wHavutJTCtM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm7gbMG3MGarYl_wo9hzGElVsyStA/photo.jpg,"Esse jogo é muito maravilhoso , mas o problema é que praticamente vc tem que pagar várias coisas como: ter duas casas , ter 300 personagens, ter mais roupinhas,etc.vcs tinham que colocar pelo Menos 3 mundos grátis obviamente com loja,etc. Também eu acho que vcs tinham que faser assim :quando a pessoa comprase o um novo lugar que já viesse com tudo ! Mas tirando isso o jogo é muito muito muito muito bom mesmo.",4,2335,1.26.2,2020-11-01 16:40:17
3,EMILLY SILVA,https://play-lh.googleusercontent.com/-R_ly1G476dY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPDqLdfcOAC-P4ixenXAKGdgUf1g/photo.jpg,"Adorei esse jogo! O jogo perfeito para passar o tempo, sem nenhum defeito, só tem 2 probleminhas. O primeiro é que o jogo não tem um objetivo, por exemplo : as pessoas não ficam com fome ou sujas. Eu não sei se tem um objetivo ainda, eu comecei a jogar a poucos dias, mas o segundo problema é que eu não sei como mudar de casa, nem se tem que jogar com internet por que meu tablet trava muito, então, eu jogo com a Internet desligada, mas tirando isso o jogo é perfeito!😍😘",5,2367,1.26.2,2020-10-24 10:18:19
4,Alice Rabelo,https://play-lh.googleusercontent.com/-4IIvM-j0uIw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXF2kgNsBekTfkwUB946KAwM24Dw/photo.jpg,"Eu amoooo esse jogo, mas a última atualização de pintar a parede e o chão trouxe vários bugs na casinha pra decorar vc mesmo, pfv consertem esses bugs, e outra coisa, poderiam adicionar outra casa de graça pra gente decorar , o que me leva a terceira coisa, o jogo é bom , mas muita coisa tem que pagar e tem gente que n pode , por isso n dou 5 estrelas , mas o jogo é bom, parabéns aos criadores, só peço que ajeitem essas coisas aí, tipo colocar mais coisas de graça ok ? Obrigada pela atenção!",4,1221,1.26.1,2020-10-16 16:01:29
5,꧁ Summer Sun ꧂,https://play-lh.googleusercontent.com/a-/AOh14GjqqY1a4PqNdzXI3M6drU69_hEwxBd2L4lu8sfvdg,"E um ótimo jogo,com varias fontes e partes para se explorar... porém! A uns dias que tive o jogo em mãos,fiz uma decoração complicada de casa,apos umas horas que havia saido do jogo,a decoração havia SUMIDO, sem explicações,espero wue arrumem isto,pois isso acaba com toda a visão do jogo,e acaba fazendo que tenha varias criticas.... tirando isso,o jogo e bem interessante e interativo, o que ajuda bastante em varios critérios do jogo, são os pequenos objetos adicionados ao jogo.",4,848,1.26.2,2020-11-01 22:00:36
6,Milena Martins Costa Nunes,https://play-lh.googleusercontent.com/a-/AOh14GhCppyoni_HYSF4t0x5gvc0oXbezwDc2gYbCZLZ3A,"Eu gostei muito do jogo, mas tem um problema! claro que vocês tem que ganhar dinheiro com o jogo mas não é todo mundo que pode pagar R$160,00 em um jogo para ter todos os lugares ou ter cartão de credito para isso, mas tirando isso o jogo é ótimo, eu gostaria muito que vocês abaixassem o preço, quando isso acontecer darei 5 estrelas. Mas também o jogo não devia devolver as coisas de pois que pegas, pois isso é chato, ficar procurando os objetos ou roupas no mundo várias vezes, mais tudo élindo",4,649,1.26.2,2020-10-27 09:36:48
7,Carla Lizott,https://play-lh.googleusercontent.com/-DWAJfqPa9VY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkw6I5suLa_enVWrcbZrGec6S1Qg/photo.jpg,O jogo é de mais mas tem três problemas 1)Tem coisas de comprar e sim o presso é bom e tal mas tem crianças que não tem condissoes de comprar. 2)O jogo (TOCA BOCA)é o melhor e isso não é um defeito . 3) Os perssonagens não ficão sujos não semtem fome e etc. Mas esse é o melhor jogo do UNIVERSSOOOOOOO,5,21,1.26.2,2020-11-05 19:39:53
8,Marcia Medeiros,https://play-lh.googleusercontent.com/-uyDn5LqkupU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1y8b_f-ZHSRf4A8Dq6tHA5yBXTg/photo.jpg,"O único, único problema nesse jogo é que a maioria dos móveis, casas, vidades etc são para comprar... Mas eu comprei uma casa e valeu apena! R$6,90 a casa, muito espaço, tem picina, tem quintal, tem móveis, etc! Muito bom! Continuem atualizando esse jogo e trazendo novas novidades! 😆😄😁 Muito bom esse jogo!!!!!",5,789,1.26.1,2020-10-17 22:20:26
9,Macarron Doce,https://play-lh.googleusercontent.com/-dglNn9ZXeGw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnF4PwJ9wA640uMc5qUU8KhHpUuQA/photo.jpg,"Muito legal o jogo, mas poderia dar de mover, mexer e ter interatividade com mais coisas, e deveria dar de mover as coisas que você pode interagir, tipo: rádio, Tv, máquinas e etc. E também, deveria dar de construir casas na sua cidade, as coisas são pagas, assim é chato, seria melhor se desse de ver um anúncio, aí você recebia essa coisa, grátis, pois muitos não tem dinheiro, Fora isso o jogo é perfeito",4,1822,1.26.2,2020-10-25 10:40:05
10,Maria panda,https://play-lh.googleusercontent.com/a-/AOh14GiNyjaLdBM5ptVPCQM1J2visK4KAM1Ax-r3I-Cs4w,O jogo é ótimo! Mas nn deveria ter essas coisas pagas! Pq tipo... Os Youtubers pessoas ricas e tals compram mas as crianças nn podem!! Isso é injusto! Mas o resto do jogo é muito bom e tals mas poderia ter pelo menos 3 mapas grátis e poder fazer mais de uma casa sem pagar né? E os bonecos. Fala q dá pra fazer mais de 300 mais nn fala q tem q pagar pra fazer mais de 300 pq na real só dá 3. Mas tirando isso eu amei d+ o jogo : ),3,687,1.26.2,2020-10-30 18:55:25
11,Lara Costa de Mattos Leão Hernandes,https://play-lh.googleusercontent.com/--srznzlf9Xg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmTboCBuybmR66iTfK5mxCofCvqTg/photo.jpg,"O jogo é muito legal mas tem 3 problemas, primeiro não tem muitos lugares sem ter que pagar com dinheiro de verdade segundo, tudo é muito caro com dinheiro de verdade para esse jogo terceiro, só tem três personagens para criar. Isso o torna o jogo um pouco chato eu espero que a empresa toca boca melhore isso. É por causa desses problemas que eu acho isso, porém o jogo ainda é legal mas se continuar assim vou parar de jogar e muitas outras pessoas também.",2,887,1.26.2,2020-11-04 10:29:04
12,Anna Katharina - diversões e brincadeiras,https://play-lh.googleusercontent.com/a-/AOh14Gh6ipecnsM8LCVjijG6CLZFm7dYaVXakOIDlbQN,"O jogo é muito, muito bom mesmo! Mas praticamente tudo é pago! Isso é péssimo mesmo sendo barato algumas pessoas não podem comprar. Gostaria que nós pudéssemos fazer mais personagens ,casas e que pudéssemos desbloquear mais algumas coisas grátis. Mas fora isso o jogo é muito bom. Jogo todos os dias!❤",4,733,1.26.2,2020-10-24 15:20:53
13,Beatriz PinhinhooM,https://play-lh.googleusercontent.com/a-/AOh14Gj_NSmVSNZowHiS4mNr8_uTCLxCxbB7Mokqz1ciEA,"Adorei o jogo, e foi muito bem feito!👏Mas o jogo no total é muito caro claro que vocês tem que ganhar dinheiro, mas pelo menos alguma coisa de graça , por exemplo: - Algumas outras casas objetos e mais 1 ou 2 personagens para fazer. Claro vocês vão fazer mais utilizações no jogo mas pronto eu dei a minha opinião. Parabéns por terem feito um jogo divertido! Se não tivesse tanta coisa apagar, era o meu jogo preferido.",4,694,1.26.2,2020-10-26 17:54:21
14,Music Box 0.1,https://play-lh.googleusercontent.com/a-/AOh14GgFQSfzvXtx_yC8a-Y7HMaXdExJjS764T90eAiY,"Esse jogo é excelente! Não tenho palavras pra descrever, porém pra liberar algumas coisas é preciso gastar dinheiro de verdade. Mas vale muito apena comprar porque libera coisas incríveis e lugares secretos também! Então não faz mal gastar um pouco certo? Mas usar hack não dá muito certo porque eu usei e deu certo mas depois... Eu não conseguia mais entrar no jogo 😞",4,750,1.26.2,2020-10-23 10:51:54
15,Renata Silva,https://play-lh.googleusercontent.com/a-/AOh14GiNhrIY5G96_iAhjUXYjToVbV2n4Q-wL8V6tc4K4w,Também pode construir a CASA DE CAMPO MÍSTICA na Decoração de Casas. A casa tem um pequeno jardim e está recheada de mobílias e decorações. Está na hora de acender a velha lareira! O pacote da CASA DE CAMPO MÍSTICA para a Decoração de Casas já está disponível na loja!,5,19,1.26.2,2020-11-04 00:25:13
16,Eva Barros Miranda,https://play-lh.googleusercontent.com/a-/AOh14GjPrBRBx8nu55BsfkQrmLBVNj5zkJcgXTV4YRQcWQ,"O jogo em si é ótimo, o problema é a quantidade de coisas pagas quase tudo do jogo é pago ,poucas coisas são gratuitas, e isso estraga o jogo .E as vezes as crianças as crianças vão e clicam para pagar. Por favor me respondam . Também espero que coloquem um sistema de moedas assim ficaria melhor, quem já comprou os lugares ñ precisam conseguir as moedas .",4,82,1.26.1,2020-10-25 20:03:21
17,Brincando com a Berê,https://play-lh.googleusercontent.com/a-/AOh14GgYcQam5EFyXeCvLLI5OE0Qhe0oSoKayKVk9Z9O,"Comprei o item de criar personagens no mapa e esta com bug, parou de aceitar o uso dos bonequinhos MENORES na casinha, só da para usar 1 boneco menor na casinha e os adultos aparecem normal, menos os bebês!! Outro bug foi que sumiram os itens da casinha que decorei até os cristais recolhidos voltaram para o lugar de origem tive que pegar tudo novamente. Aconteceu o mesmo na faculdade. Preciso que vejam esses bugs!!! Principalmente a criação de personagens onde não conseguimos colocar para uso!",3,594,1.26.1,2020-11-02 11:02:29
18,Jojo kawaii,https://play-lh.googleusercontent.com/a-/AOh14GispT5SJv0y-5KjL1lNknsno2SLkiu0dB9NjAeO,"O jogo em si é mto legal mas tem uns defeitos... Começando: ele é gratis mas não tem mto lugar pra explorar, apenas pagando para ter assesso. Falam que são 300 personagens que da pra criar, mas tem que pagar para fazer 300, gratuito, só 3 personagens. Se o jogo é gratuito não devia ter que pagar pra ter mais opções no jogo. Bom é oq eu penso",3,230,1.26.2,2020-11-05 00:07:14
19,Laura's Magic place,https://play-lh.googleusercontent.com/a-/AOh14GheW1hJw26NrJfbz2_XPLYIYa5Ya-ywy6KeFdXkHA,"Minha nota é dez ele nunca travou é muito simples, apesar de algumas coisas serem pagas o jogo é incrível! Mais esses dias ouve um problema na verdade 2 1 eu peguei algumas roupas e móveis das lojas e elas sumiram de repente 2 eu instalei o toca scholl no samsung internet , mais o toca Word e na play store e ele não moveu pra lá! Oque devo fazer?",5,4,1.26.2,2020-11-08 17:29:42
20,Juliana Maria Santos Rodrigues,https://play-lh.googleusercontent.com/-6toRMc4mwVw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmARNeZtgbc54WjHG2oRYO_NJo3bw/photo.jpg,"O jogo e perfeito tem várias cidades, mais a maioria tem que pagar ;-; ,tem gente que não tem condições de pagar como eu U^U,mais o jogo já vem cidades e personagens,tem muita opção de personagens! ^-^ Parabéns para o dono,mais pelo menos poderia tirar algumas cidades de comprar! Tomara que possam consertar!",5,1092,1.26.1,2020-10-18 16:12:34
21,fillie forever,https://play-lh.googleusercontent.com/a-/AOh14GjObVnCbiJ5aMq_8hy4J2plKJh3t2VxdHLYqoty1ag,"Eu amo o jogo, graficos otimos! Mas quase tudo não è gratuito eu acho que isso poderia melhorar fora isso, o jogo è simplesmente maravilhoso ! E acho tambem que vocês poderiam dechar mais moveis para as casas e tambem mais detalies como poder colocar sapato na skin, comidas mais trabalhadas e etc. Em fim parabenlizo quem fez o jogo mas sempre tem algo a melhorar!",4,204,1.26.2,2020-10-30 18:21:12
22,Ana Clara,https://play-lh.googleusercontent.com/a-/AOh14Gh8ecnd-NhmbO8pFD3PtkKJXOFgvsHhTrX59qRz,"O jogo é muito legal o único problema é que eu nao consigo entrar no mercado, quando eu tento a tela fica preta e depois o app se fecha sozinho 😡😡😡😡arrumem isso por Favor e também fazem mais coisas e os modelos das casas e novos móveis deveriam ser com o dinheiro que a gente acha no jogo não de verdade...",2,5,1.26.2,2020-11-06 12:48:25
23,IZABELLA Bella,https://play-lh.googleusercontent.com/a-/AOh14GggY9sphlb2d4BMjcFCwgwNc26Uad-DzhD-AIomtA,"O toca é muito bom mais o único problema é que as casas etc tem que pagar e não e não é todo mundo quê tem dinheiro os gráficos Tudo são ótimos bom eu não sei se é com todo mundo mais o meu toca. Estás a bugar muito também se resolverem tudo isso eu estarei a dar 5 Estrelas,",4,9,1.26.2,2020-11-04 14:48:01
24,Sofia Camargo,https://play-lh.googleusercontent.com/-hJKHf6FQe3w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmR51Vg1JQHqmn5165gFsUuS0Txnw/photo.jpg,"O jogo é muito bom e legal! Porém,ele começa a ficar chato pq começa a ficar sem coisas para fazer.E o mais chato,é que dá pra ter mais coisa pra fazer,só que tem que pagar!Olha,só não dou cinco estrelas por dos dois motivos,1-pq tem que pagar para fazer mais coisas,2-pq não funciona em todos os despositivos,ex: esses dias eu fui instalar o jogo no meu cll,e toda a vez que eu tento entrar no jogo pelo meu cll,o jogo sai automáticamente,eu só consigo jogar pelo meu tablet. Bom é isso 🙂😁😃 🤗😆",4,5,1.26.2,2020-11-05 20:42:48
