,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Josi Moreira,https://play-lh.googleusercontent.com/-qzFmvbBRYBs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnN2A6XJtlO2UFjrmO8Lg7an9dtkA/photo.jpg,Esse jogo é muito bom tem que passar muitas fases diferentes e legais e cada vez que passa de fase vai ficando mais difícil.....eu amei esse jogo e não me arrependo de ter instalado esse jogo...,4,1517,7.9.4,2020-08-13 21:07:46
1,receitas do silas,https://play-lh.googleusercontent.com/a-/AOh14GhiNVExI2i9C71tcTfYtvAUZOAueLa88NkZQKECmFQ,"Oi e muito legal esse jogo!!! Mais eu deixei três estrelas porque o jogo podia ter a opção do volante, a maioria dos jogos de moto e carro é assim. Então essa foi a minha opinião.!!!!",3,1109,7.9.4,2020-08-23 17:31:37
2,Misael Pedroso,https://play-lh.googleusercontent.com/a-/AOh14Ggq7-cGURMDU1aULEnIa5xTlJgNkQ_wuzUwFTBz,"E bom jogo, da pra passar o tempo jogando,mas já desinstalei pq está td escrito em inglês tu joga mas quando bate e ruim.Mas parabéns jogo legal",5,153,7.9.4,2020-08-18 17:12:36
3,Seto Kaiba,https://play-lh.googleusercontent.com/a-/AOh14Giw_RIW_yrnheXw7hvY-oAuLi0ncLDwFqKCiG2N,"Mano o jogo é legal, mais não vai me entreter tanto e também é muito difícil eu baixei porque parecia legal mais não é tão bom desculpa produtor mas.... você pode fazer melhor eu tenho certeza não fique magoado mas seu jogo não é tão bom",1,373,7.9.4,2020-10-07 01:36:28
4,Ana Paula,https://play-lh.googleusercontent.com/-A9ECbVRSpLI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklun_SG5GHeUqZfPdKesiliJ_FnQ/photo.jpg,O jogo muito bom para passar o tempo até parei de assistir tv no meio da série que eu mais gosto recomendo para quem está no tédio da pandemia então o jogo é bem desafiador e tem muitas fases legais e muito mais desafios,5,1654,7.9.4,2020-07-19 15:05:51
5,Filipe Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GjKKS4ikVwzIiwJft3oSpdB3s7UqVrYqkNj2R9V,Jogava este jogo à 5 anos. Instalei agora acho engraçado... Provavelmente amanhã já o vou desinstalar.,5,10,7.9.4,2020-10-24 18:48:52
6,canal top 10,https://play-lh.googleusercontent.com/a-/AOh14GhRBBjitU9VENzeSkSr-eAnwnNATMeYYCTl5d0a,Muito que só tem uma parte que é ruim que é a parte que só mostra quando é para você jogar aí aparece lá que só mostra ensina uma vez mas era para ensinar mais vezes,4,43,7.9.4,2020-09-13 23:16:37
7,Maria matocheck,https://play-lh.googleusercontent.com/-Wsf4UOX_rYI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnALjEgiG-_pfskkWQfG386YFl-bA/photo.jpg,"É muito legal e interessante esse jogo, conheci esse jogo pelo um anúncio no YouTube,desses desse dia eu não parei de joga mais.",5,747,7.9.4,2020-07-28 13:11:51
8,Konsenso de Liras e Lemba,https://play-lh.googleusercontent.com/a-/AOh14Giovatj1ovQoC9heR8wued_NJIbW0TYdFaHYN8,"Ainda estou experimentando, mas dá prá ver que é um jogo divertido.",3,37,7.9.4,2020-08-12 20:42:21
9,Guto Maahs,https://play-lh.googleusercontent.com/a-/AOh14GgUOsStXhXkf3Meua_MvKqx0e046gFIZvIlEpDw1hc,Eu conheço esse jogo desde 2016 eu adorei esse jogo da pra fazer skip DE GRAÇA! não precisa ver anúncios ė muito legal esse jogo parabéns para quem criou esse jogo tchau tchau,5,667,7.9.4,2020-07-22 12:19:35
10,lucs duard,https://play-lh.googleusercontent.com/-uZQSgQQzWjc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfyeyyiVc3N1pzYa0MuaxMJjRNhQ/photo.jpg,O jogo é muito bom os movimentos são ótimos o game é bem funcional e várias motos para descobrir,5,201,7.9.4,2020-07-23 07:26:01
11,LamarPlay BR,https://play-lh.googleusercontent.com/a-/AOh14GhQgnPNW1ntAxxLTOzyfIQwllOHCGOthcTjk-t4fA,"Jogo muito bom, a tempos que procuro um jogo bom assim. Porém, tem umas fases que você não consegue ter 3 estrelas por erros vindo do mapa... Eles fazem uma descida com um ângulo ruim, ou simplesmente uma fase onde você precisa ter uma moto mais potente e veloz, sendo bem difícil de conseguir uma. Tirando essa crítica, o jogo é ótimo. Parabéns equipe e desenvolvedores!!",4,9,7.9.3,2020-10-12 15:30:21
12,ķëvīņ Łïmā,https://play-lh.googleusercontent.com/a-/AOh14GjiTnrZHYMPviHYMgJ6vCbsNw2pag_h5kkchDLk6g,"Gente o jogo é ótimo mas os criadores do jogo só querem dinheiro. você não pode passar de certas fases,só com as motos compradas e as fases avançadas nem com as motos compradas você consegue passar eu estava quase zerando o jogo mas eu fiquei preso em uma fase onde não tinha como você passar,a passagem para a bandeira não funcionava,ela não chega na bandeira,mesmo com a velocidade máxima a moto não chega no local da bandeira. Parece que os criadores não testaram as fases.",1,1,,2020-11-03 19:47:41
13,Bruno Gabriel,https://play-lh.googleusercontent.com/a-/AOh14GgczulTHMTS6aUgXyBm1oQyLQ4Xyd4ZgPWCKPUCYQ,Adorei! Jogabilidade simples mas que é capaz de te prender por horas. Ao mesmo tempo que é fácil aprender a jogar é desafiador pegar 3 estrelas na fase. O melhor de tudo é que é de uma desenvolvedora BR.,5,8,7.9.3,2020-10-20 15:44:18
14,Lilian fc,https://play-lh.googleusercontent.com/-9BB5CJzASf0/AAAAAAAAAAI/AAAAAAAABBc/AMZuucklCBqMRefb1zrDoNlvZOitcGBsxg/photo.jpg,"Jogo muito bom ! Mas o que mais me decepcionou quando comecei a jogar*(de graça-free)*foi quando queria comprar umas.skins(com o dinheiro do jogo) e vi que era tudo pago com dinheiro real. Não sei porque, mas acho bem mais divertido vc poder personalizar o seu personagem com skins, é muito legal, mas não queria gastar dinheiro de verdade. Enfim o jogo é ótimo, os obstáculos são o que mais me animam.",4,8,,2020-08-19 20:09:00
15,Gabriel Torres,https://play-lh.googleusercontent.com/a-/AOh14Gj6YK4PvpLTKXK2MZ3KIJ9rSEcsVwDW0i0COrruxQ,"Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooorivelllll O jogo só trapaceia os controles muito ruim e o pior ele bota 2 1 ou 0 estrelas quando você faz perfeito às motos e tudo ruim e as pistas eles bota impossível para você não se divertir.Se você estiver lendo isso já sabe não instale nuuuuuuuuuuuuuuunca só botei uma estrela porque se não da para ""AVALIAR""",5,7,,2020-10-14 14:27:33
16,Noah gamer Albuquerque,https://play-lh.googleusercontent.com/a-/AOh14GjzJOLx_EARD2IXxim-ybJFNU6e7vb8cLGgFeNB,Eu dei 5 estrelas por que... gostei muito do modo de assistir anúncios por que...ganha um carro por um tempo!!! E sei de um bug de tempo infinito joga as fases sem sair do menu de fases,5,4,7.7.10,2020-10-18 18:38:49
17,joce mendes,https://play-lh.googleusercontent.com/-_GDv0S_r9lU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckC1IF35cn8Rxb966B271R_zIT16Q/photo.jpg,Gosto muito desse jogo ainda mais por que meu celular tem pouca memória 😔 mas o jogo e muito bom mesmo mas só dei quatro estrelas por que pra vc ter outras motos vc tem que comprar o VIP e eu não tenho dinheiro pra comprar... Deixem as motos serem ganhas em fases quando vc termina por exemplo: vc terminou a do deserto e vai pra de gelo daí vc consegue uma moto quando terminou a do deserto,4,3,,2020-10-27 07:27:05
18,Andrew Cesário,https://play-lh.googleusercontent.com/-VQQb7Lb_CPE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUl0qVKyUc5fSbkWaGG7sfTdGqQA/photo.jpg,"O jogo é muito nostalgico hj tenho 13 anos quando eu tinha 6 eu jogava ainda lembro como se fosse hj o tempo passa rapido um dos melhores jogos de moto na minha opinião melhor jogo de moto vários niveis diferentes recomendo muito pra quem gosta de moto,muito muito muito bom o jogo o melhor em toda minha vida obrigado Top Free Games...",5,279,7.9.3,2020-08-18 17:14:33
19,Games David,https://play-lh.googleusercontent.com/a-/AOh14GjhjbKRViL-DihUpKLOuBRcUpMG1nEntVC2FYUnMQ,"Muito legal esse jogo, é bom pra passar o tempo, mas, tem uma coisa que eu não gosto no game, é que você tem que mexer o celular e eles poderiam colocar dois botões de ir para frente e ir para trás (como se fosso empinar) mas de resto, é um game legalzinho até.",4,231,7.9.3,2020-08-14 00:47:06
