,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alexeiyeah,https://play-lh.googleusercontent.com/a-/AOh14GhmTTbT1ebywoHWC_A9lnPiWhk2Nu_F6Yvvy6AoZw,"Primeiro, não dá para desafiar pessoas específicas online, entao se a pessoa estiver em outro ambiente, voce tem que sair e voltar ao sistema online até, talvez, encontrar a pessoa certa. Segundo, se voce não é VIP, voce paga 100 moedas em musica, sendo que voce gsnha 100 por dia. Se voce escolher a musica, pagar, mas der problema de conexao, se ferrou, porque o jogo chupou suas moedas e nao poderá mais jogar no dia, até assinar VIP! Entendo quererem pessoas no vip, mas isso é uma SACANAGEM.",1,96,4.2.0,2020-11-03 18:10:11
1,Edilson Francisco da silva,https://play-lh.googleusercontent.com/-cjETFy6NRdM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckK3dAVaSGsLp04GwpX2hREH0Zesg/photo.jpg,"Olha jogo ótimo, ótima iniciativa mas vc só pode jogar uma vez no dia , tá certo q vcs precisam q o jogo renda e por isso tem q pagar para jogar mais vezes, mas sério vcs já recebem pelo dawlound e vcs vão acabar sendo prejudicados com isso, só tem isso de ruim no jogo o resto tudo ótimo todas as músicas bem legal ,mas arrumem isso o mais rápido possível por favorrrr",3,22,4.2.0,2020-11-07 15:06:50
2,• Moonlight •,https://play-lh.googleusercontent.com/a-/AOh14GglzGG7S83FKUpy2RN5_vAuBXWhWPkQ34aoAT37wg,"Amo esse jogo! Comprei o vip e realmente vale a pena, mas às vezes as músicas travam no meio! Isso é muito ruim! E com certeza não é problema da TV, ela é nova, compramos recentemente e é de muitíssima qualidade, é um bug do jogo :/ e esses bugs nos desanimam bastante, fica algo enjoativo e repetido, queremos dançar a música sem interrupções! Tirando isso o jogo é ótimo, eu amo, só peço que resolvam isso, tirando isso é um jogo muito bom, continuem assim que terão muito sucesso!",5,47,4.2.0,2020-11-05 15:45:33
3,min wolfhard,https://play-lh.googleusercontent.com/a-/AOh14GgOLR5ampV82mT1XyIvih83-fnFfBDV3pylC-HDOg,"O jogo em si é maravilhoso, é bom para se divertir, brincar com os amigos, ou até mesmo fazer exercício. Porém, a quantidade máxima de moedas pra quem não tem o recurso Premium é muito curta! E o tempo de espera é muito longo, com isso as pessoas vão querer desinstalar. Então por favor mudem isso, ou coloquem uma quantidade maxima de moedas maior ou pelo amor de Deus, diminuam o tempo de espera!",3,50,4.2.0,2020-11-05 22:01:24
4,Fábio Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GhWFHDSlfh662H0P--pxcRUJJZG_uBzeiAyAo9cXw,Olá Ubisoft! Eu sou um grande fã de just dance. E além do mais eu sou vip por 1 dia. Mas depois disso eu vou dançar uma música. Mas eu vou ter que esperar 24 horas para dançar de novo. Você poda abaixar o tempo para uma hora? Se você deixar tudo bem. Ah! E mais uma coisa. Você pode abaixar os preços de vip para menos? Legal!,5,0,4.2.0,2020-11-07 15:55:37
5,João Vitor /Josa,https://play-lh.googleusercontent.com/a-/AOh14Gh4XL9eRl6dSD-_j-myHeJ3JJdnVI4ZNkdF65VRqw,"O jogo é bom,porém o que acaba gerando uma certa frustração é o fato de meio que forçar uma assinatura vip,já que se a pessoa não tem condições e opta jogar pelo modo grátis,só tem o direito a 2 músicas (Já que as músicas vale 100 e se a pessoa não jogar por dois dias tem esse direito) ou apenas uma,já que tem que esperar 24 horas pra jogar novamente,preferia antes disso quando pagava a música e a música podia ser jogada quantas vezes a pessoa quisesse.Sdds do antigo just dance😔😔",1,49,4.2.0,2020-11-02 17:52:56
6,Tammy Hard,https://play-lh.googleusercontent.com/a-/AOh14GidBeMMvN_O5wUyF8mrUfTbPXrUEDrV77cV1x7Ccw,"Péssimo. Joguei as 2 primeiras músicas, esperei o período de 24 horas para receber mais moedas e agora toda vez aparece que o número da sala não existe e eu não consigo mais jogar. Tenho medo de pagar pela assinatura VIP e esse erro persistir. Não vou assinar enquanto não consertarem esse erro.",1,0,4.2.0,2020-11-06 19:24:13
7,parachutesx,https://play-lh.googleusercontent.com/a-/AOh14Ggc3DbhrbCy--oFspVG2j6ZB4aRwGnGdjd5_GqwTA,"não consigo entrar numa sala com mais jogadores, pois coloco o código e diz que não tem salas com esse número. há sempre a mensagem de que não foi possível conectar ao servidor antes mesmo d'eu colocar o código. acredito que seja um erro no app mas enfim estraga toda a diversão e magia da coisa. não é minha internet e não sei se é por jogar conectado no Chromecast. uma pena.",1,39,4.2.0,2020-10-29 19:07:36
8,bella Martins,https://play-lh.googleusercontent.com/a-/AOh14Gj7HX6wUbeusdL-dvdeeXYQxwjDo1jX8DmsSmQPSw,"O jogo em si é muito bom, mais tem muito pouca moeda, deveria atualizar e diminuir o valor das danças e almentar a quantidade de dinheiro que ganha, estou 23h esperando faltam 30 minutos e só vou ganhar 100 moedas, só da para uma dança mas o jogo é bom",4,0,4.2.0,2020-11-08 18:04:52
9,Camila Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gi2QNUEWpUowGaVC1IHeo4azqG3miAvMCCsu_dXBw,"É um app maravilhoso porque proporciona o jogo em si para quem não tem condições de ter, porém é chato esperar 24hrs pra jogar apenas 1 vez porque só dá apenas 100 moedas que é o preço das danças... Vocês bem que poderiam deixar os jogadores mais felizes disponibilizando mais moedas pelo menos ou deixando mais baratas as danças.",3,193,4.2.0,2020-10-30 12:36:27
10,Akira Uchiha,https://play-lh.googleusercontent.com/a-/AOh14GjXVIUFgP2JaTziXkkEDBz2AGF398pjLhGkMJnxsQ,O jogo é muito bom! Mais eu queria reclamar com o tempo de ganha moedas e a quantidade de moedas que a gente pode ter! Sem ofensas mais o tempo n é muito adequado e a quantidade maxima de moeda tbm n! Sem querer ofender! Se ofendir desculpa! Era so isso mesmo. Mais o jogo é muito bom sim! Bom trabalho para os produtores!,5,114,4.2.0,2020-10-31 09:27:37
11,Germana Bertaglia,https://play-lh.googleusercontent.com/-A-hqw-s2v_w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnfbAVSVz6zuPzgrbFTsbiDuete2w/photo.jpg,"Em questão de design do jogo é muito bom, qualidade do jogo é otimo mas nem só de bonitesa vive um jogo e esse é o caso do Just dance ele falta é mais musicas e o pior criterio que fez eu dar essa nota foi que o sistema de moedas é horrível contando só com 200 moedas sendo que cada vídeo gasta 100 moedas por cada vídeo e esperamos depois para recaregar mais moedas 24 horas para recarregar diferente de outros jogos que se podem recuperar jogando o proprio jogo ou até mesmo assistindo vídeos.",1,56,4.2.0,2020-10-28 18:19:32
12,David Souzza,https://play-lh.googleusercontent.com/a-/AOh14Gi55bhOSES8Y5CM-r1YsgFzqaaVAtAl9mPf1ggG9g,"O jogo é ótimo mas as danças é tudo paga e quando vc começa o jogo tem só 200 moedas e jogando 2 vezes já perde as moedas e demora mais de 24 hrs para entrar só 100 moedas. Vcs bem que podia abaixar o preço das dança para 10 moedas a 20,ou dar mais moedas pra quem começar o jogo mais de mil moedas. Obs:(se vcs consertarem isso eu juro que eu do 5 estrelas e compartilho para meus amigos Pfvr abaixa o preço das dançar e dar menos de 24 hrs para chegar mais moedas Mês de 6 hrs",3,37,4.2.0,2020-10-31 11:23:33
13,Dayse Dulfes,https://play-lh.googleusercontent.com/a-/AOh14Ggw-DNy6UYLY7n17ivd4M-85NwW-w27-Ff-zzjKfQ,"Novamente tento entrar no jogo e aparece que não tenho assinatura, sou vip e não consigo acessar estou tentando recuperar senha na Ubisoft e não consigo pois peço recuperação de e-mail e não consigo nem receber o emaisl pra recuperação, muito chato isso pois pago já a quase um ano e não uso o jogo quando preciso usar entro c o e-mail correto e não sou vip? Dificil",1,1,4.2.0,2020-11-01 11:57:31
14,Everton soar,https://play-lh.googleusercontent.com/a-/AOh14GjqJzr1cg5HBxMl3XU44uiIki77AhRv6X7tp3SjjQ,Muito bom gostei bastante mais é meu chato espera 24h para jogar nova mente esse poderiam diminuir esse tempo e também não e toda hora que a pessoa vai tá disponível pra jogar e quando tever e não ter moedas aí e ruim poder abaixar as horas ou as quantidades de modas para jogar se não fose por isso eu dava cinco estrelas mais o jogo fociona bem.,4,3,4.2.0,2020-10-28 10:48:48
15,dark the hedgehog,https://play-lh.googleusercontent.com/a-/AOh14Ggv_X5O5U-yZ-37WX_DTjBsoY_Ht_n5gAF1JXXtiQ,"Amo esse jogo,mais quem não tem o recurso vip fica muito chato,pq vc tem que espera passa um dia pra ganhar só 100 moedas,e vc gasta 100 moedas pra joga, então deixe tudo desbloqueado,que pode joga avontade,tenho uma ótima ideia,pq vcs só n deixa o vip pra músicas exclusivas",3,0,4.2.0,2020-11-08 09:42:52
16,manu top games,https://play-lh.googleusercontent.com/a-/AOh14GjhetigYaLnHB5r77MAi1U63mOhuv5ovcAdtUo4,Esse e o melhor jogo de todos porém ele demora muito para conseguir moedas oq atrapalha muito e se caso vc destila e instala vc perde sua conta as moedas por ser pouca dificulta por poder jogar só uma ou duas vezes por dia ele demora 23:59 para recarregar e consegui 100 moedas e atrapalha por que dá para comprar só uma dança que e 100 então recomendo muito mais né a parte das moedas ... Eu desestalo e instalo para conseguir mais 200 moedas só queria falar isso tchau,4,2,4.2.0,2020-10-30 14:23:00
17,Miriam Lima,https://play-lh.googleusercontent.com/a-/AOh14Gg47i7Z-OiWsPKXHNMiJbbJuaRvOXnnOLUWOXo-bg,Horrível cheigwi a desistalar meu insta por causa disso não dá para jogar eu boto a tela apaga se fosse para fala TODOS os motivos que eu não gostei desse jogo eu não tinha com pq a avaliação só pode 500 letras e mesmo assim se podesse escrever mais de 500 letras que ia escrever era meu bisneto por que aos demorar tanto tempo e olhe que eu nem tenho filho ainda,1,2,4.2.0,2020-10-31 22:21:51
18,Guli0102,https://play-lh.googleusercontent.com/-pP7WQ8sCiNs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmo2PeYj5oi2RMMtHy0c95p7dZaOw/photo.jpg,"A ideia é muito inteligente e boa, além de funcionar muito bem, porém a questão das moedas estraga parte da experiência, creio que o certo era no mínimo aumentar as moedas ganhas ou diminuir o tempo para recarregar.",4,0,4.2.0,2020-10-29 12:03:13
19,Sofia Fernandes,https://play-lh.googleusercontent.com/-aS-T4P2Qz80/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKcFiSy7uqptmZzWQ8pKblVyXRPw/photo.jpg,"Muito bom eu gostei....mas eu não dei 5 estrelas porque só dá pra jogar duas vezes e dps que gasta essas duas vezes tem que esperar MT tempo pra ir de novo e só dá pra juntar 200 moedas podia juntar tipo uns 400 pelo menos e pq cada dança pra poder ir e 100 então eu só queria que mudasse isso mas tirando isso, eu amei esse aplicativo e recomendo...",4,2,4.2.0,2020-11-04 03:12:55
20,Geh e Juh Moreira,https://play-lh.googleusercontent.com/a-/AOh14GhksO5viJuiBqEif8u7eTD0mwTusEnqAYsQtEif,O aplicativo é muito legal mais tem que libera moedas para jogar denovo e demora muito e também fica disendo toda hora que a memoria ta ruim só por isso vou dar 2 estrelas para o jogo eu espero que melhore o jogo e se não melhora eu vou parar de jogar esse jogo,2,0,4.2.0,2020-10-27 11:16:25
21,Ismael Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GieVbyVwlN7lvSgt-of9a0Km5B3UEy990HOqWU,Ubisoft por favor faça alguma coisa para as pessoas terem como jogar o Just dance 2020 para Kinect alguma promoção nas lojas ou deixar ele de graça pois o aplicativo Just dance now piora cada vez mais ou seja deixem o aplicativo Just dance now com muitas moedas ou faça uma promoção nas lojas. ok Ubisoft mas não consigo entrar fica dando uma mensagem para liberar espaço 😔 por favor me respondam se tiver tempo,1,16,4.2.0,2020-10-28 11:14:24
22,Rozimara Tavares,https://play-lh.googleusercontent.com/--4PRsZiBXQ0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn6VFbEYWDvzLACAJA8bfZn2_N1Dw/photo.jpg,O jogo é bom mas quando vou jogar aparece a tela preta só aparecendo a letra da música às vezes consigo jogar mas só as músicas que eu não quero a músicas que eu quero jogar eu não consigo mas aqui não quero eu consigo dançar às vezes só consigo dançar uma música sem contar que as músicas custam r$ 100 moedas minha mãe comprou o vip o mês todo e mesmo assim dá problema e conseguimos dançar só algumas músicas por favor conserta isso e deixe as músicas mais baratas,4,8,4.2.0,2020-10-29 18:13:28
23,Dyanna Araujo,https://play-lh.googleusercontent.com/-9Z8yUNMVMHk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7Y8_G5nhoGAQpTRaTTwyxAgoSPA/photo.jpg,"Eu simplesmente amo o jogo, mas vocês não colocam músicas novas, ele funciona perfeitamente mas as opções de dança são antigas, eu fico aguardando a entrada de músicas novas e quando tem são de 2015, 2016. Por favor, liberem músicas recentes.",4,22,4.2.0,2020-10-27 09:41:05
24,Epidemic_ MusicYT,https://play-lh.googleusercontent.com/a-/AOh14GjrOhspDHOuJxo0u8ibnyhW1HppTwyq3gJKtMes,"Muito bom o jogo e muito legal as coreografias já até decorei, MAS NO ENTANTO fiquei triste decepcionado quando vi que não tinha algumas músicas que eu desejaria, se vocês em alguma atualização colocassem mais músicas exemplos; Timber, Disturbia, Badguy Extreme, bagarang Extreme, Dark Horse e tivesse mas avatares em algumas coreografias, exemplo; MI MI MI, Watch me, That power, Swish Swish CONCERTEZA O JOGO FICARIA MIL VEZES MELHOR PORQUE TERIA MAIS OPÇÕES DE DANÇA E AVATARES, POR FAVOR!!!!!!!!",2,14,4.2.0,2020-10-28 09:25:00
25,Anna,https://play-lh.googleusercontent.com/a-/AOh14Gh8Tm9C0zG-_QVtC6fxxFIN_sSq4RpWgR-5qnqTMg,"o aplicativo em si é bom, mas a primeira dança é obrigatória e nem são as músicas que queremos, além disso GASTA 100 DAS SUAS MOEDAS! Deveria ter músicas sem ter que gastar, a cada 24 horas pelo menos 400 moedas, o sistema até é bom, mas as moedas estragam.",2,27,4.2.0,2020-10-27 14:32:49
