,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,BELLA mix,https://play-lh.googleusercontent.com/a-/AOh14GhqN7KDsrJY18LkAn962Og1YbvABz5rn5XoNxnx,oi eu gostei muito desse jogo só que tem muito anuncio mas eu dei um jeito que é só colocar no modo avião eai pronto sem anuncios!!! se precisar de comprar mas lâmpadas liga só a internet e depois de assistir o anúncio desliga eu sei que é um pouquinho chato fazer isso mais pelo menos não vai ficar toda hora aparecendo anúncios! bjs😙😙,5,77,2.696,2020-11-07 15:15:40
1,Gabriel Robert,https://play-lh.googleusercontent.com/a-/AOh14GgBJc9xcJheiRkSt9cd79SRpoCWV5yFinzJ4HQ-1Q,"O jogo é legal, porém são muitos anúncios. sei que é a maneira da produtora do jogo lucrar, porém acho que ainda assim está bastante exagerado o nível dos anúncios, a cada nível que completamos é um anúncio, se deixasse a cada 4 níveis seria bem bacana e a empresa lucraria msm assim",3,23,2.696,2020-11-08 14:06:04
2,Rodrigo Oliveira Nobre,https://play-lh.googleusercontent.com/a-/AOh14GjTh1MAPB7596Dvz4YmAsoFQUJgOUJ8ZeGDZ3uP,"Não estou recebendo as atualizações a partir da ""semana 13"". O jogo atualiza, porém, não aparecem os novos desafios. Como assim ""estão a caminho"", quando abro, fala que tem ""semana 18 disponível"" e não passa da 13 tem 5 semanas, já. Edit: ja está na 20 semana e nada de aparecer as semanas 14-20... Todo bugado",1,187,2.696,2020-10-31 05:01:17
3,"Pri, Bra e Gi Pereira",https://play-lh.googleusercontent.com/a-/AOh14Gj2spG6llp41mFTzm5IPgy4_pRpO2XLPzm8PSqx,"Jogo pra lá de ruim. Além da quantidade de anúncios ser absurdamente grande, a jogabilidade é prejudicada pelas falhas de interface. Pra mim, não dá e vou desinstalar. Procuro algo para me distrair, não para me estressar.",1,1,2.696,2020-11-07 20:15:41
4,Jefferson Almeida,https://play-lh.googleusercontent.com/-Dms1yLXZn_k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclNc7RqVzQ25RnIVPvPKkbfKM6LWg/photo.jpg,"O jogo è muito bom!!! Mas oque acontece è muito anuncios, isso prejudics quem quer jogar por que, nao faz 10 minutos que eu instalei mas ja vi 12 anuncios quase, bom eu recomendo so galta tirar um pouco de anuncios, espero que tirem por favor e minha nota foi essa!!!",4,154,2.696,2020-11-04 10:46:27
5,Nicolly _cham,https://play-lh.googleusercontent.com/a-/AOh14GhrkAE5qzqTCCN3T9yXh7pmPA1GTQ5Ze87Cq5fP5oA,"Esse jogo é ótimo pra mim, ele é muito legal e tal mais quem diz que não é tá errado pq ele é demais,mais tem um ploblema pra mim é pq é muito fácil e eu gosto de coisa difícil mais enfim,eu amei ele quem gostou da 5 ⭐ ♥️♥️♥️",5,3,2.696,2020-11-07 19:03:22
6,Rosapera,https://play-lh.googleusercontent.com/a-/AOh14GhK4dqSiVnKreRf7msxCbcHDJRl_ZUI-unIqWH6aA,"O jogo é legal, mas tem MUITA propaganda, e também vi um vídeo para ganhar o dinheiro lá das lâmpadas e não deu. Tive que assistir novamente, e o jogo crashou, e quando voltei não ganhei o dinheiro. Arrumem isso!!",2,8,2.696,2020-11-02 12:40:44
7,Marcela maia maia,https://play-lh.googleusercontent.com/-y_sfTo6gbnA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklswd1YrTb5R4jF_J7Qm-SUMRO9g/photo.jpg,"Vou dar as 5 estrelas,pois não mim importo com anúncios,muitas pessoas estão reclamando dos anúncios,baixei já faz uma semana tem bastante anúncios mesmo, mais não mim importo com isso,pq o anúncio não atrapalha nada, pois o importante é se divertir com o jogo,eu queria parabenizar o trabalho de vocês,quem fez esse jogo é muito inteligente pq eu estou vendo bastante anúncios pra ganhar lâmpadas 😅 amei muito o jogo parabéns para VCS q fizeram o jogo 👏👏👏👏👏👏👏",5,15,2.696,2020-10-30 13:40:35
8,Giovanna Carvalho,https://play-lh.googleusercontent.com/-lzQroVk8WTA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCCP5v3NY_0higQLEdFkCbbGaqMA/photo.jpg,"Sim o jogo é incrível mais poderia diminuir o tanto de anúncios,são muitos anunciados e tem compras... O preço de dicas deveria diminuir nem todas as pessoas tem dinheiro para comprar.",3,45,2.696,2020-11-02 16:26:49
9,Jussara Silva Dos Santos,https://play-lh.googleusercontent.com/-w_6fTplIK4s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5njShWpmZ89Y46-ww9FaLH4ezUQ/photo.jpg,"O jogo provavelmente é bom, mas os anúncios extremamente excessivos não me dão a oportunidade de jogar. Faz 5min que baixei, e assisti mais anúncios do que joguei. Além disso, o anúncio não tinha opção de fechar, e quando eu clicava pra voltar ele me direcionada para baixar o app. Sei que eu poderia ter reiniciado o jogo, mas se repetiria. Não recomendo.",3,659,2.689,2020-10-21 17:47:00
