,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mendigo,https://play-lh.googleusercontent.com/a-/AOh14GhZUW-q-HGH6_aAEim1EMqjvsRrY7QqOn4uZWCO3g,"O jogo é ótimo! Os gráficos são impecáveis, a jogabilidade excelente, nada a reclamar! Ps: gente, vcs reclamam muito que o jogo tem anúncios, joguem com o WI-FI/ Dados móveis desativados para a experiência ser melhor...",5,290,0.133,2020-11-02 17:59:35
1,Kalana Vasco,https://play-lh.googleusercontent.com/-VBvYD_G8k5w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmV_-jDo6jZSbxTsl8uPTRx6zGUPQ/photo.jpg,"Esse jogo é o melhor de todos, ñ tenho nenhuma reclamação! N q eu goste dos anúncios, ksks , mas isso n me incomoda. Só me incomoda ñ ter a parte dois do Andersson e seus amigos!! Amooo demaiiis. Tbm quero parte 3 do joe e souza! E parte dois do solo do Souza! Resumindo, quero mais de tudo!! Kkk muito bom esse jogo ksks",5,120,0.133,2020-11-05 15:01:33
2,Leticia Almeida lima,https://play-lh.googleusercontent.com/-iq7rpT-U448/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclg-KaLhHu-HAFYXNncFL8jU-GyIg/photo.jpg,"Muito bom! Gosto muito do jogo o único problema é que tem que ficar vendo anúncios e tals mas, fora isso o jogo é ótimo Vale super a pena instalar!",5,50,0.133,2020-11-06 23:46:39
3,gyselle christinne,https://play-lh.googleusercontent.com/-NTs6SrTLLaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_hmYr2vbObRtnBhzgoDmrFzx2Qg/photo.jpg,"Incrível, este jogo e desafiador e genial, as tarefas são confusas e loucas, quase não dá pra acreditar nas suas possibilidades,tem horas que a gente tenta de tudo pra saber o que c errou aí vai usar uma dica,e a resposta era tão óbvia que faz a gnt parecer burro kkkk Porém adorei o jogo só acho que no início a gnt poderia iniciar com mais dinheiro caso precise de dicas,as vezes acaba sendo um pouquinho injusto... Mas e ótimo e recomendo a todos que gostam de ser desafiados,esse é o jogo certo!",5,313,0.119,2020-10-19 17:07:27
4,Thiago Eduardo,https://play-lh.googleusercontent.com/-9mN3qbTCevo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmG04kQCchwOGF6rA0JtuxsgRPP5Q/photo.jpg,O jogo é ótimo a jogabilidade dele é extrema adorei ele porque ele tem muitas perguntas interrogações bem legal isso que deixa o jogo com graça deixa ele mais legal adorei o jogo se eu fosse o criador do jogo eu ia colocar muitas coisas mas esse jogo é máximo ele é um máximo,5,133,0.133,2020-10-29 11:56:14
5,Maria laiza Fernanda,https://play-lh.googleusercontent.com/-NfpGgNVIKcE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucme2TTcdmCRKQgX2moHhmctFLcAuA/photo.jpg,"Amei! O jogo é perfeito não tem defeitos, não tem anúncios. Ele é simplesmente PERFEITO!",5,3,0.133,2020-11-04 21:49:59
6,Nerlei jose Pereira,https://play-lh.googleusercontent.com/-tUvUX1ek-BE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUGxWq5iuGOHKg9rxy8IFzX7zoBw/photo.jpg,"Ótimo jogo muito bom, bem criativo e passatempo recomendo. E pra quem fica reclamando dos anúncios é só deixar no modo avião e pronto e os anúncios da pra pular sim .",5,66,0.133,2020-11-02 12:07:47
7,Geiziane Reis,https://play-lh.googleusercontent.com/a-/AOh14GhWPUW1_OSQGCE3TezMY3p53kI_RJP2eC5Wk4evuA,"O jogo e incrível, amei. O problema e que para iniciantes e difícil, mas esse jogo e otimo, no primeiro jogo eu cheguei level 256, esse jogo e genial parabéns ❤️❤️❤️",4,3,0.133,2020-11-04 17:11:56
8,Arthur Martins Lopes,https://play-lh.googleusercontent.com/a-/AOh14GiZmqpt9_xiMPlhgcJvYDw1WmR7L6Z61UZquiiK,Esse jogo é um dos melhores que ja instalei...Porem tem muitos anúncios então tira essas porcarias de anúcios!!!!!!!!!!!!!!!!!...É so ai vai ficar bom entenderam,5,83,0.133,2020-11-03 16:20:36
9,Clara Ratis Dias,https://play-lh.googleusercontent.com/-IImJEkpPCsY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclnrFRezON-EYMzcf096dSBouopEg/photo.jpg,O jogo é ótimo os gráficos são perfeitos não trava e quase não tem anúncios me divirto muito com ele ajuda tirar o tédio e passa muito rápido o tempo,5,70,0.133,2020-10-29 13:18:17
10,MC E BOM DEMAIS,https://play-lh.googleusercontent.com/a-/AOh14GjfC1OIFsBoVpki4zA2-ALMWnMj5nxY1P_vuEP4pRk,Ótimo mas só tem um problema se os outros episódios fossem grátis daria 5 🌟 mas como e só para vips do só 4 🌟 mas o jogo e ótimo tirando isso e ótimo ssisimoooooooooo,4,3,0.133,2020-11-02 17:23:23
11,Canal Adoreiaj,https://play-lh.googleusercontent.com/a-/AOh14GiNWBTtMTylMzYAZbMAHHztLOEZC85EPzbNsR5RObQ,"Tem gente que acho que milita demais, o jogo é para passar o tempo, há outros de raciocínio. Concordo que tem muitos anúncios, mas quem puder que desligue o WiFi ou ative o modo avião. Sobre outras aventuras... Ainda estão trabalhando nisso, calma ai também né gente? Eles não são máquinas, já viram a data em que o jogo foi lançado? '-' Edit: Okay... Agr teve uma atualização dizendo q tem novos nvls e n tem... 2/10",4,2392,0.119,2020-10-02 15:03:27
12,Jéssica Ávila,https://play-lh.googleusercontent.com/-_U_fvp_0ofc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckdTfBpsZcgTGhxzBV7bqelHk1QPg/photo.jpg,adorei tem poucos anuncios oque deixa o jogo melhor ainda soque e meio louco e ñ faz sentido angul mais eu dou 5 estrelas e muito bome a jogabilidade controles graficos são perfeitos,5,1,0.133,2020-11-06 10:48:12
13,Rayane Oliveira Reis,https://play-lh.googleusercontent.com/-SYWxaR9Ptns/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxmYhPjdRRiu1lDkZdC9sfRlUlzA/photo.jpg,"É um.ótimo jogo, buga um pouco o cérebro de gente mas eh top kklkkk eu só dou 4 estrelas pq ele tem mtos anúncios eu acho que ñ tem necessidade de tantos anúncios repetidos já que a maioria dos apps tem os mesmos anúncios que este.Se eliminar esses anúncios o jogo fica melhor só acho",4,79,0.133,2020-11-01 18:25:27
14,{.Idiot.caramelo UwU.},https://play-lh.googleusercontent.com/a-/AOh14GjH6dIMNbmv4DB4TZoVJ2-97YAJr_dWUDRKcdKM6D4,"Bem.. lhe faz pensar em coisas boas e lógicas mais sem as ajudas da pra saber oque precisa fazer , é fácil?. SIM,porém difícil as vezes, pense em como você fará em alguma situação com coisas que tem por aí:3",5,19,0.133,2020-11-01 15:50:52
