,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Miro Jr,https://play-lh.googleusercontent.com/a-/AOh14GiUDjnaRpY39N4y_-oyKgK5V0uzNdVe05AiIMTTLBw,"Devido a popularidade do mensageiro é um dos mais usados e baixados, porém deixa a desejar em funções e usabilidade comparado à seus concorrentes. Vocês poderiam colocar a mesma opção que tem no iPhone e, também, a que o concorrente disponibiliza no Android: ""quando segura na foto do contato, aparece a prévia das conversas"". Outra opção,também, como personalizar o modo noturno, deixando mais escuro para aproveitar os benefícios das telas Amoled. Enfim, tem muitas coisas para aperfeiçoar.",3,453,2.20.202.21,2020-11-08 15:10:36
1,Brasil TV,https://play-lh.googleusercontent.com/-njN1W319NhM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9eF5LhX8WcW65dv5S2wACY5GDiw/photo.jpg,"Há um problema já ""antigo"" no WhatsApp para Android que é o bug do sensor de proximidade ao ouvir um áudio. Sabemos que o sensor tem a função de apagar a tela ao perceber a aproximação do ouvido do usuário. No entanto, em diversas ocasiões aleatoriamente o aplicativo apaga a tela, mesmo que o usuário não tenha se aproximado do sensor. É um problema que acontece com aparelhos de diversas marcas (ou mesmo todas), como Xiaomi, Redmi, Samsung, Motorola e etc. Esperamos que resolvam este bug logo.",2,117,2.20.202.21,2020-11-08 21:18:30
2,Fábio D'Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GilTcKHR9mVBRK4suRB7WPmoZdH2ZzaLaQMzXAJmA,"Bloquear conversas pra sempre? Sério mesmo que isso é um recurso útil? Se é pra bloquear pra sempre, então, não seria mais fácil excluir e bloquear de vez o contato indesejado? Enquanto os desenvolvedores atualizam o app com recursos inúteis, aqueles que são realmente necessários e úteis estão começando a travar, como é o caso do WhatsApp Web que escaneia o QRcode e aparece no celular que está conectado, tudo certinho. Mas na tela do computador o WhatsApp não aparece nada!",2,380,2.20.202.21,2020-11-07 22:06:07
3,Gabriel Silva,https://play-lh.googleusercontent.com/a-/AOh14GhS-eqtSmNa2y288KkVlzqOHLtXKG6v9wMIMVn0Pg,"Me sinto na obrigação de dizer, os desenvolvedores não dão suporte algum, troquei de celular a dois dias e não consigo utilizar o whatsapp pois na hora pedir o código, sempre diz que foi enviado mais não chega nada, nem notificação nem sms, Agora estou sem poder trabalhar porque preciso extremamente do Whatsapp e não tenho suporte algum...",3,343,2.20.202.21,2020-11-08 10:01:42
4,Maria Monteiro,https://play-lh.googleusercontent.com/a-/AOh14Gh8anuxi6tTnu0ikkyHaEB_Q7b3wm7ephzmrmnJlg,"Esse é um dos melhores apps que eu já tive. Claro que trava as vezes, algumas mensagens demoram á cair, porém é muito conveniente. A operadora que eu uso (vivo) permite que eu use o WhatsApp de forma ilimitada, o que é ótimo já que com o app eu consiga falar com todos meus amigos, seja de que estado ou país for, de forma rápida e segura.",4,1658,2.20.202.21,2020-11-08 00:36:26
5,Robson Argôlo,https://play-lh.googleusercontent.com/a-/AOh14GjvjBwl8_QaEeqnchzvEhSvGEBrwWx1cZhtywnBkQ,"Oi cadê a bolinha verde do contato online na tela inicial de conversas, porque as imagens de boa qualidade fica horrível no whatsapp quando postada numa conversa ou no status,tira os 30 segundo dos status deixa ilimitado para a gente mesmo escolher o nosso tempo do vídeo não tem graça coloca os pedaços do vídeo em cada 30s e ainda fica sem a colagem certa do vídeo.Quero ver as atualizações,todo mundo deve gostar da minha opinião.",4,19,2.20.202.21,2020-11-08 13:12:12
6,Marquiriam Alves,https://play-lh.googleusercontent.com/-B0IKLaG4O2s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7KYyvuH6QkOgi43OAyx2oFXuOpw/photo.jpg,Acho que o aplicativo deveria ter a opção de apagar as mensagens mesmo depois de vizualizadas as vezes queremos dizer algo que não queremos que fique registrado pela outra pessoa então apagamos somente no nosso aparelho por isso penso que o app poderia tambem apagar o registro da outra pessoa que enviamos mesmo depois de vizualizada.,2,15,2.20.202.21,2020-11-08 14:06:15
7,Malú Barroso,https://play-lh.googleusercontent.com/-L1zZe77rhSE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucluH4dDcRphKAE90BmTwtreU_YVhA/photo.jpg,"Um APP que nivelou todas as pessoas, possibilitando pessoas que tem e as que não tem um grande poder aquisitivo, a se comunicar, divertir, estar com as pessoas, mesmo sem sair de casa, sentir se segura apesar de viver só, e unindo as pessoas, como nunca aconteceu antes, imensamente agradecida ao criador deste querido APP. Whatsapp.",5,71,2.20.202.18,2020-11-07 15:06:49
8,Nicolle Silva,https://play-lh.googleusercontent.com/a-/AOh14Gif8k3Cucp8bIJ3mUJDeLRVpj4bRpojfYYhEDyJxQ,"Venho aqui deixar uma reclamação, achei totalmente desnecessária a última atualização, mexeram nas configurações do armazenamento, agora não é mais possível visualizar o total de mensagens trocadas. Estou totalmente desapontada com a atualização😔",2,21,2.20.202.21,2020-11-08 17:31:26
9,Insane flow,https://play-lh.googleusercontent.com/a-/AOh14Ggux9ZAtkmYQ1oxsm-MaVLqORXeM2G9M0fZspYG,"Gostaria de dar uma ideia aos desenvolvedores; que colocassem no Whatsapp a opção de acelerar a velocidade de reprodução dos áudios (parecido com o que tem no YouTube — pra acelerar os vídeos) porque minha namorada fala se arrastando, com preguiça, parece que vai morrer, e demora 50s pra dizer uma frase que normalmente levaria 10s. Obrigado! Continuem o excelente trabalho.",5,2458,2.20.202.18,2020-11-05 17:41:09
