,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,jovelina gonçalves,https://play-lh.googleusercontent.com/-CQ16MiCTgEc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmr33Zp4v6K2L4AxdlL51zpvzaKvw/photo.jpg,"É um jogo muito completo e emocionante , é perfeito e dá muitos bobos.",5,3,25.09.00,2020-07-23 15:44:06
1,Akex Inacio,https://play-lh.googleusercontent.com/-nKjQgf-MHGQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnl4LCWeoH7DWiN8nAIJkCJNNjbDA/photo.jpg,"É bom em termos de gráficos. Os jogos, muitos deles são idênticos aos dos casinos reais. O problema é que, no bónus diário, não dá hipótese a conseguir valores superiores a 1000 ou 1500, tendo na roda valores que vão aos 5000. Podiam rever esta situação. Obrigado. De resto, muito bom.",3,11,25.7.1,2020-05-28 21:17:01
2,Paulo Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhLsbzZQ3DLME9dF54MWOP0kgbeG_I3FjeI3xRGXA,"👍 Sim, gostei. Tem máquinas iguais aos casinos, só os valores e linhas são diferentes. 👍",5,20,24.18.00,2019-08-06 21:19:32
3,Natalia Naty,https://play-lh.googleusercontent.com/-wR1qzBAdO-A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclyX27S3I5OYipvYpMy2nRCjiRYdg/photo.jpg,Um dos melhores jogos que já joguei estão de parabéns.,5,2,25.09.00,2020-07-02 17:17:35
4,Carina Caca,https://play-lh.googleusercontent.com/-GPvOIlKGlEA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZfzvY9JgR8U-6UvoYeP_nSqDkHg/photo.jpg,"É perfeito animado,mas deveria ter mais bonos.",5,10,25.7.1,2020-06-12 23:11:19
5,Ana julia Naju,https://play-lh.googleusercontent.com/-J_11TrPWzDU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZrA0JOufXBqn7FanAclBwFMVr6w/photo.jpg,Esse jogo é ótimo mas infelizmente há poucos bobos os créditos acabam logo.,5,2,25.7.1,2020-06-09 14:44:45
6,Catalyn Caty,https://play-lh.googleusercontent.com/-nMUtmYqSipw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxY5GQmVa-KgFxldLm7QW1PF4uNg/photo.jpg,"Sou maluca nesse jogo, só falta mais créditos, só emoção",5,3,25.7.1,2020-06-18 06:16:49
7,Katiane Kaka,https://play-lh.googleusercontent.com/-x9wWxtUpMqw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckupkwe-D6nN1cMB36MWSh-WDozwA/photo.jpg,Eu sou viciada nesse jogo é animado só precisa mais bonos.,5,1,25.7.1,2020-06-14 19:00:25
8,Antonio Costa,https://play-lh.googleusercontent.com/-fztsr6MmiyM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclSTAnIpGNxSJqfJSXvXWWDkUOCrQ/photo.jpg,Vc entra para jogar e não aparece o spin que jogo difícil de entender eu não falo inglês,2,4,,2019-12-05 23:21:05
9,Margarida Ramos,https://play-lh.googleusercontent.com/-aslm-Y_kXX8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZbRgFeC5jk13eLDBxYqM0HMLIPg/photo.jpg,já tive que desinstalar e voltar a instalar e retirou-me todas as fichas 😔,1,4,24.16.00,2019-06-20 12:55:53
