,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alessander Raker Stehling,https://play-lh.googleusercontent.com/a-/AOh14GiIFgzROTVK8RmrEsDpwCWGnkG5dalQE3SZ7AR2zDY,"Excelente passatempo. Porém muito mercenário. Quando você está em level alto, o jogo parece que não te favorece mais. Daí você não ganha mto dinheiro nas mesas. Gosto do jogo mas ele está muito mercenário.",2,48,5017.01,2020-11-05 14:51:26
1,Alge Souza,https://play-lh.googleusercontent.com/a-/AOh14Gi8WMOlkPinAXV8gLklid5LfBZ-K-weerL1eRiPRQ,"É eu acabei de baixar para as gemas de um jogo para robux,mas o ruim parece ter que ficar bastante horas para ta no level 100🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔 Nossa, eu tô mandando essas carinha porque precisa de 500 letras então... desculpa🤖🤖🤖🤖🧐🧐🧐🧐🧐🧐🧐🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔",3,32,5017.01,2020-09-27 17:27:27
2,canal de games #Linda,https://play-lh.googleusercontent.com/a-/AOh14GhrLzzSxEoDpxWtrnIofeWZF5wq_bMYpd17r-_Fkw,Eu achei muito muito maneiro e eu gostei do conteúdo do jogo me apaixonei com esse jogo Eu amo muito eu jogo todos os dias é serio eu não tô brincando eu fico até 03:00 da manhã jogando é muito top,5,19,5017.01,2020-10-15 01:51:13
3,Fernanda Franco,https://play-lh.googleusercontent.com/a-/AOh14GjbALTGmShQ6ZZHx7_WZLALNlQKvmIMuEUF7XbJbA,"Gráfico legal. Deixam bem claro que o objetivo principal é te fazer gastar dinheiro, comprando fichas com seu cartão de crédito; sua diversão fica em segundo lugar. Pena que não verão a cor do meu dinheiro... :)",1,34,5016.02,2020-09-01 02:19:56
4,caveira viva,https://play-lh.googleusercontent.com/a-/AOh14GgPqRgWIsPfvHfSp4pkk03csifMR6mrs469v_L8,Um bug após a ultima atualização no mail box que não abre,5,0,5017.01,2020-10-28 11:19:33
5,Adailton Costa,https://play-lh.googleusercontent.com/a-/AOh14GiXvCmEdCjF6QuetfKx5zP8U51NsLflb0TAhrLHQQ,O pior jogo de casino que já vi. Tô no nivel 32 e tá todos os spins muito caro. Os bônus são baixíssimos pra um spin tão caro,1,11,5016.02,2020-08-29 21:09:10
6,Catia Silva,https://play-lh.googleusercontent.com/-1dZ5hC6N6iw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclnT-gdooTJQfHWDRVgpOapcY5UUw/photo.jpg,Grandes emoções nesse jogocomprei crédito hoje e não os recebi que roubo é esse jogo,5,6,5017.01,2020-09-24 11:50:12
7,Lolly Leite,https://play-lh.googleusercontent.com/a-/AOh14GhgPBrKh6ixbkP3HAvMlnYGqmL0aQFxJOUeqnL8ic0,"Estou viciada. O jogo da muita possibilidades de ganho, mas só aceita uma combinação por vez e as vezes pula as combinações feitas. Desleal.",2,27,5016.01,2020-06-30 07:19:07
8,Nordestina Com orgulho,https://play-lh.googleusercontent.com/a-/AOh14Gjhu53EOTc7R45n9nBmNt2eU7gALPjkLVbM4JZgdns,"Muito bom, preciso de moedas tenho que chegar no nível 100 para cumprir uma tarefa em um App.",5,13,5016.02,2020-08-08 21:03:39
9,Thaissa,https://play-lh.googleusercontent.com/a-/AOh14GjUMnB8Smfs9RyK-NvFh3Zuzgxb593_g-3IVtO6kg,"Se a sua intuição no jogo é atingir um nível pra completar oferta, não faça. Independente q vc chegue ao nível mil vc não vai receber. E eles n dão nenhuma assistência e relatório pelo email. Não perca seu tempo e procure outra oferta ☺️",1,0,,2020-10-28 11:47:35
