,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,ana maria leitao,https://play-lh.googleusercontent.com/-ZaVINv5Mtp8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmb1ivtKq5iSq-kpF7RXmL7G-oUNw/photo.jpg,"É divertido. Só algo irritante quando de vez em quando a única opção é uma palavra que não existe! O valor descontado por uma única letra é excessivo. Irritante também a publicidade quase obrigatória mas, enfim, é compreensível. Muitas das palavras repetem-se vezes sem conta ainda que em diferentes quadros. Acho que deveriam refrescar com as alternativas certas e possíveis encontradas por todos os jogadores. Mas é um bom passatempo!",4,1246,3.1021.288,2020-10-27 16:24:07
1,Luísa Fragoso,https://play-lh.googleusercontent.com/a-/AOh14GgojqAEwitgz4UTA38lh0MquuIcsdVd__gUSQcnaQ,"O jogo é muito interessante e didáctico, promove a concentração, desenvolve o intelecto e adquire - se um maior conhecimento de vocábulos . Porém, têm demasiados anúncios desinteressantes. Continuo a adorar o jogo, uma óptima terapia para o stress e enriquecimento vocabular. Embora o grau de dificuldade seja positivo, não concordo com as palavras em Inglês, uma vez que é um jogo bem português. Tem também o facto de algumas palavras não fazerem sentido, serem desconhecidas do dicionário.",5,1155,3.1021.288,2020-10-27 21:52:50
2,Anabela Pinto,https://play-lh.googleusercontent.com/-IgOGsrlDNBY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmt7iaTq9L-VY7N1Pb-HnwiNLSg7w/photo.jpg,Bom jogo faz pensar Ensina a escrever corretamente. Mas tem um senão a partir do nível 1000 existem muitas palavras brasileiras. Muito importante o jogo deve ser apresentado segundo a língua que está a ser utilizada no software de suporte. Não podemos esquecer que português de Portugal é muito diferente de português do Brasil.,4,93,3.1021.288,2020-11-04 18:27:11
3,isabel silva,https://play-lh.googleusercontent.com/a-/AOh14GjMiRQHPgfaO9_7hTaP5tGXDUQwvvj-ZV-UOnNe,"O jogo é muito bom. O problema está nas palavras que nem existem em nosso vocabulário. Não é uma questão de saber. Tem que ficar chutando combinações que nem têm sentido. Pode melhorar. Palavras em inglês, chinês e outros idiomas dificultam o desempenho. Meus netos querem jogar mas tem fases que não fazem nenhum sentido. Sugiro opções de idioma nas configurações.",5,134,3.1021.288,2020-11-03 17:34:39
4,Caio Mello,https://play-lh.googleusercontent.com/a-/AOh14GgDaeW2oZVNYd2d1cjiVDFs6_rKB_GKtTj7BkuRCg,"O jogo é interessante, mas a quantidade e a duração das propagandas irritam profundamente. Estou desinstalando pois não aguento mais assistir um vídeo a cada jogada. Sem exagero: é uma jogada, um filminho chato. Se a ganância fosse mais leve, seria ótimo. Lamentável...",1,8,3.1021.288,2020-11-06 16:11:04
5,Orlando Erico Lima,https://play-lh.googleusercontent.com/a-/AOh14GgOL5jG62ASyGaii_lTx0GD3ZYInUvMgBxgGxW8,"Este jogo é a minha ferramenta para controle do stress. Exercita e alivia a mente. Muito bom! E ainda tem a disputa por selos que é muito estimulante, principalmente se jogada sem comprar pontos!!!! Imperdível Juntar pontos é como ver um investimento crescer! Já estou milionário com mais de 80.000 pontos batalhados!!!",5,584,3.1021.288,2020-11-06 04:36:08
6,Fernando Bonazzi,https://play-lh.googleusercontent.com/a-/AOh14GgbY5t5FSkdWdD35M8ef4YFDt-GLeYSj9oZgfDp,"show de passatempo podem baixar nota 10. Muito bom já uso há 1 ano. Bom treinamento também para a memória. Vale a pena. É muito bom . O problema é que tem muito comercial. Continuo jogando. É meio viciante. Continua bom ! Show mas muito comercial .continua show. Reafirmando, o jogo é muito bom .",5,116,3.1021.288,2020-10-30 15:28:30
7,Manuela Silva,https://play-lh.googleusercontent.com/-LHLX_qf39VU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMbgAf3drZyga48jykI96BQEvbqA/photo.jpg,"É um jogo que ajuda a memória. Só que por vezes o jogador precisa de pontos, mesmo depois das 24 horas já é outro dia e não deixam ver filmes. Mas, isto acontece mais quando á jogadores com grandes pontuações. Agradeço que revejam está regra Adoro o jogo. Mas, têm que ser parciais e dar hipótese de todos jogarem. Á semana passada não me foi possível ver mais que meia dúzia de vídeos. Mas, tirando isso para mim é o melhor jogo. Obrigada",4,917,3.1021.288,2020-11-04 04:57:27
8,FÁBIO LIMA,https://play-lh.googleusercontent.com/a-/AOh14GiEOVeIBDoVJexjANQYhgi32qGA-MY1CNCO02uFFA,Pensa num jogo massa ... Pra passar tempo mesmo. É esse aqui .. Você não vai se arrepender. Ainda mais se fizer parte do meu time. Brasil na Alta. A melhor equipe disparada do Brasil. Temos ficado em primeiro lugar ... Porque está equipe é formada por pessoas unidas ecampeãs. Venha fazer parte. Um convite do Líder da BRASIL NA ALTA.,5,31,3.1021.288,2020-10-27 23:30:59
9,Maria Cecília,https://play-lh.googleusercontent.com/-O7iEXCJKCS8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndMU4bveOZHKJqZA3_ByswXb3vgg/photo.jpg,Por vezes aparecem palavras muito difíceis para descobrir mas leva mais tempo do que devia. Mas gosto. Obrigada. Ultimamente embora tenham aparecido palavras estrangeiras o que em Português não se justifica tenho gostado mas algumas dão - me que pensar e por vezes fico aborrecida por não ter conseguido logo há primeira. Continuo a gostar imenso deste jogo de palavras. Muito obrigada pela atenção dispensada!!! Continuo a gostar muito de jogar mas continuam a aparecer muitas palavras estrangeiras.,4,829,3.1021.288,2020-10-24 16:28:01
10,Maria Madalena De Moura Moura,https://play-lh.googleusercontent.com/a-/AOh14Giso4A3aBDv2Z8QcNpbperr5NkNaYCJTCYrMU1mww,"Muito legal parabéns,muito bom pra passar o tempo,estou curtindo muito esse jogo ,criativo,é bom pra mente,e agora sem poder sair de casa tô jogando muito,divertido,mas atualmente está ficando difícil tinha ganhado vário bônus, porém já perdi quase todos,voltei a ganhar meus bônus ,amo esse jogo não me canso de jogar,muito bom",5,669,3.1021.288,2020-10-27 00:17:01
11,Rita De cassia,https://play-lh.googleusercontent.com/a-/AOh14Gh4MNxcT2AF6GXPJO7UegsGxGIv1ie06t9d9PvlCw,"Tem palavras que não são usuais.Palavras técnicas de medicina, em inglês, de plantas ( nomes que nem todo mundo conhece) tudo isso para tentar forçar a comprar bônus. Tem palavras com acento errado. Impossível descobrir qual é a palavra. Ou invés de ser um bom passatempo, interessante..passa a ser algo que dá raiva !!! Não vale a pena",1,21,3.1021.288,2020-11-06 00:40:02
12,ANA PAULA F L COMASSETTO,https://play-lh.googleusercontent.com/-97smsOfiAvk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnYLETnoHPFXXPYf1x2RxB4guKfbw/photo.jpg,"O jogo é ótimo, o ruim são os anúncios. Cada rodada que vc termina, tem anúncio, alguns de 30 seg. Isso é bem chato. E tem umas palavras que a gente não faz ideia do que seja, e outras do nosso vocabulário ele não entende nem aceita.",3,0,3.1021.288,2020-11-08 14:46:35
13,Nando do Cavaco,https://play-lh.googleusercontent.com/a-/AOh14GhITR4J8_3tMxWoS00R6MAsrC8Ey_YKzh1stnSV_YE,"Jogo interessante, mas teria que haver um banco de dados maior ... Existem palavras, extremamente, comuns que não existem por lá. Grato! 👏 Muitas palavras corriqueiras do nosso vocabulário, não são aceitas no jogo e isso frustra o jogador com um repertório mais amplo.",5,60,3.1021.288,2020-11-04 16:31:28
14,Sonia Cristina Miranda,https://play-lh.googleusercontent.com/a-/AOh14GjrGCzsghkIeS8ysLop9PmENJntxRvBOP4LNrGn,O problema é o tempo de duração dos comerciais pra conseguirmos uma ficha. É necessário assistir a vários comerciais de 30 segundos para ter uma ficha e isso é enfadonho. Além disso há palavras que não existem e daí ou compra fichas ou assiste comerciais pra adivinhar as letras que compõem essas palavras estranhas,3,45,3.1021.288,2020-10-25 21:36:40
15,Quica Melo,https://play-lh.googleusercontent.com/a-/AOh14Gj3ULq18Mp5u9sjEaJ5Phgin3AoEVzftn_2H6OWNg,"Continua a ser um desafio,sempre. Bom para passar algum tempo a puxar pela cabeça. No entanto cada vez mais aparecem palavras que não são portuguesas e isso baralha o jogo todo. Se o idioma é português, não deviam aparecer palavras de outro idioma. Mas jogar-se com vontade",5,16,3.1021.288,2020-10-23 15:55:44
16,Claudia Heloisa Marques Alavarse,https://play-lh.googleusercontent.com/-NFK90HJ7WzU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuf1hhZ1u2vUU6wWcFVT81YA6j9g/photo.jpg,"Acho que deveria ser um pouco menos comerciais. Mais tirando isso é excelente para a memória Gosto pois exército minha mente. Tem palavras que estão corretas, mais não aceita. Acho estranho. E ah algumas palavras que nunca vi nem no dicionário. Mais está valendo",4,3,3.1021.288,2020-10-26 18:05:28
