,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vera Maria Feliciano Alves,https://play-lh.googleusercontent.com/-cS6nxVWR3JM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAhzX3VWezAY3su9vK0CJe_bgwyQ/photo.jpg,Excelente! Distrai bastante e exercita a mente. Estou viciada nesse jogo! É o melhor e organizado de todos!,5,12,1.2.5,2020-10-17 06:51:01
1,luiz otavio,https://play-lh.googleusercontent.com/a-/AOh14Gg-3vUmXSJpDy8sA3cs1eu6_mssC-rCj2xhU8GCvA,"Esse jogo é muito fácil coisa de pré mais eu gostei muito obrigada por té fei to esse jogo eu estou com 9 anos ano que vem eu fasó 10 anos, abaixar esse jogo que ele é muito bom mesmo!",3,1,1.2.5,2020-11-03 20:49:33
2,Silvana Rocha,https://play-lh.googleusercontent.com/-THs_x4OCOLc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckGJS8ORqj_yTABGXAKRfhZgyNr4A/photo.jpg,"Gostaria que tivesse as opções fácil, médio e difícil. Também com diversos temas.",1,10,1.2.5,2020-10-20 22:30:44
3,Italo David,https://play-lh.googleusercontent.com/-1piwjTrg6GI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKx8nLCtDFXUZNsGTGperGQW7tfQ/photo.jpg,"Eu adorei esse jogo, o único problema dele é que tem anúncio,dá para tirar só que tem que gastar dinheiro para tirar os anúncios;fora isso legal!!!",5,139,1.2.5,2020-06-07 14:38:07
4,Waleska Mota,https://play-lh.googleusercontent.com/-P36bR_4ESTE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwig0x_RfoU0zwAgWp3RcHPmD0xg/photo.jpg,"Jogo incrível,adorei super recomendo esse jogo ele é ótimo para passar o tempo e é bom para exercitar a mente!Esse jogo me ajudou bastante com minha escola,consigo rasicionar mais rápido!Parabéns ao desenvolvedor do jogo,vc fez um jogo incrível e ele me ajudou bastante,parabéns!",5,110,1.2.5,2020-07-31 23:03:51
5,Chamimy Amade,https://play-lh.googleusercontent.com/-pMqirbmqlig/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3VrENhVNMxbWn2lLMaB2Y3gwBCQ/photo.jpg,"Gostei muito do jogo, na verdade eu sou apaixonada por games, são para mim um bom passatempo.",4,5,1.2.5,2020-09-14 13:22:48
6,Geovana Sousa,https://play-lh.googleusercontent.com/-3-cMXZKdBNg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmgv8KaPmzUBL5MUUff0PL4rshBIw/photo.jpg,Gostei muito mas fica dificio depois de um tempo tirando isso ele e muito bom pode colocar varias lingagens diferentes amei E INCRIVEU !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,89,1.1.5,2019-07-29 06:31:01
7,Rick Valle,https://play-lh.googleusercontent.com/-EQDFHE5SORA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmrT78t3KhRsX1uMI_gpYP0Rrim6Q/photo.jpg,"Muito bom. A medida que você avança, o nível de dificuldade aumenta, isso faz com que cada vez mais você queira cumprir as etapas. É um jogo que prende realmente a sua atenção.",5,47,1.1.5,2019-08-20 17:10:54
8,Aparecida Simionato,https://play-lh.googleusercontent.com/a-/AOh14GjmYtRAbkkHCHqxtcOO5fr3I320xF-3qg9eu3l2,"Muito bom, instigante, você para, mas sem perceber volta a abrir o jogo e continua até acabar a bateria do celular, Gostaria que fosse mais desafiador tipo tempo para achar as palavras",5,101,1.1.5,2019-05-04 21:15:41
9,Maria Aparecida Matos Pereira,https://play-lh.googleusercontent.com/-QGyh8U1c69o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoOyOu5nTyjlvfN6EwcyLJ_CfG_A/photo.jpg,"É muito facíl achar as palavras, é quando agente demora achar as palavras as letras fica piscando facilitando para você achar, então se torna facíl... Por isso eu não vou dar cinco estrelas para o jogo",3,15,1.1.5,2019-08-11 17:33:48
