,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,꧁mundo dos Jogos꧂,https://play-lh.googleusercontent.com/a-/AOh14Gj-Jfo4o_94oxhxkt3-JXW1Zv5-odAGfgsxdpV1,Voltei depois de ano e não mudou nada por favor deixa mais igual clone hiro colocar quitarra mesmo embaixo botões colocar botões jogo preto colocar efeito espécie. Em qual clone hiro não têm nada disso a inda pelo amor Deus deichar melhor sei que e possível não e possível não arrumaram sicronisaçao música e o efeito espécial preno 2021 meu deus fora de contesto isso arrumar isso atualizem última atualização 2019 não bondonen jogo continuem povo gosta,5,1,2.3,2020-11-03 22:31:11
1,Pedro Manauara,https://play-lh.googleusercontent.com/a-/AOh14GhhOl8MvD0re2lnhqOS9sUo2jkn0DGF16zGqAVC,O jogo é bom tem muito coisa boa tem muito que mostrar ao pessoal. Única coisa é colocar uma opção ou não do quarto botão é uma sincronização boa da música das bibliotecas kkkkkk taquei uma eletrônica no level hard que três botões não dá é bom quatro mesmo kkkkkkk ótimo app também. Eu espero que tenha na próxima atualização 👍.,5,32,,2020-06-21 19:20:02
2,Lucas Cassio,https://play-lh.googleusercontent.com/-qx7nB7nCgME/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDdp331eKfhPNy1Fi845icXK9OUw/photo.jpg,"Não ha como dizer, ele aceita a mimha musica no meu dispositivo! Gostei! So falta aficionar o nivel mestre e dificil... Mas em fim, eu gostei deste jogo.",5,26,2.3,2020-06-08 23:36:40
3,Mary Su,https://play-lh.googleusercontent.com/a-/AOh14GisK3B4f6XiHxRgvKVflyEjbfA6zk_IvHhYLtx8xg,"Já joguei e reinstalei tantas vezes que perdeu a graça de contar. É simples e ótimo para poder curtir sua música favorita. O que precisa é melhorar a inteligência do jogo, para que ele possa tornar o jogo melhor. Musiverse faz isso muito bem.",5,15,,2018-09-24 11:47:10
4,Anderson Mach,https://play-lh.googleusercontent.com/--Dzo4EQ6eM4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDv9zFnZ05UNYWIJQefyyk0n91ag/photo.jpg,Já não jogo faz tempo que não jogo daí resolvi baixar em outro celular pois o meu quebrou só que esse celular só funciona a metade de baixo e o play e as configurações são muito altos(as) e eu não consigo virar a tela!,5,22,2.3,2019-10-08 20:16:47
5,Felipe A.M.V'S,https://play-lh.googleusercontent.com/a-/AOh14GjSBig3UtRIbTwuMoCNTQZsnhV9mIvuP1QRjn71Cg,"Muito bom o jogo, leve, pega em quase todos os aparelhos, e muito fácil de usar/jogar!Recomendo.Mas talvez os desenvolvedores desse jogo poderiam adicionar o Rank de melhor pontuação online no jogo.",5,26,,2020-03-24 16:20:57
6,Saulov,https://play-lh.googleusercontent.com/a-/AOh14GjPeC_A8_So-Ag3UuNJ52aMh87Z6dno6s9ZnoTN-w,"Cara esse jogo é maravilhoso amei cara se vocês poderem colocar uma animação no jogo ia ser bem bacana e colocar umas cores mais escuras pois colorido ficou bem mas eu poderia dizer,ficou um pouco difícil de ver fora isso o jogo ficou perfeito👍👍👌",5,8,2.3,2019-06-01 22:13:42
7,Akira C.,https://play-lh.googleusercontent.com/a-/AOh14GgLy9NdG8dJuCbcV_w8HzKvloIEaC12rnnf8xp6PIY,"Bom varias pessoas tao dizendo que as musicas nao tem sincronia com o jogo e bla bla mas vc sabia que no modo custom do guitar hero as musicas ficam totalmente sincronizadas,isso no jogo me icomodou bastante,tirando isso o jogo é bom",3,16,2.1,2018-12-21 03:49:17
8,silvanio omena,https://play-lh.googleusercontent.com/a-/AOh14Ghy0wf5BQCVmnhs-DHq6CmE_J-OpTXPTpt9Y-gaxQ,Este jogo é massa ótimo mas ele poderia fazer assim quando a pessoa erra a nota a música para é quando acerta de novo a música continuar a tocar fica a dica aí dono do App mas fora isso está td ótimo e tira tbm o anúncio ....,5,38,2.1,2018-10-23 11:28:54
9,Luã Volpe,https://play-lh.googleusercontent.com/a-/AOh14GiTQnC9mf2ijDKWro8NZxBfRRaviJS0-bOkRHgdVA,"Achei interessante o jogo disponibilizar a sua galeria de musicas para jogasr, mas ná hora de tocar os dicos ficam pulando sei lá e atrapalha muito para saber qual a hora de tocar.",2,2,2.1,2019-03-19 19:07:46
