,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sergio das Dores,https://play-lh.googleusercontent.com/-xdyJVE7gS3Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBKl6miU6I4CKpG014MgYYdw5DnQ/photo.jpg,"Eu gostei muito do jogo, tem logotipos faceis e outros dificieis, achei o maior desafio foi o X-treme que os logotipos ficam embalharados, mas eu consegui zerar.",5,4,9.5.0g,2020-09-28 11:54:48
1,Reinaldo Chagas,https://play-lh.googleusercontent.com/a-/AOh14GhVXX8YhuB1_5Jdj2Fi0xRUyuhRpoSK36CDU7bMLto,É ótimo mas é muito difícil os logos,4,2,9.5.0g,2020-10-07 20:46:25
2,Roberto juca Santos jr,https://play-lh.googleusercontent.com/-6zUJxlid8vw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckziN7A2UNgHkQuAZCsF4EP06kyaA/photo.jpg,Gostei muito é jogo bem legal e a dificuldade dele aumenta a cada nível,5,5,8.0.2g,2020-09-20 19:35:06
3,Edson Melo,https://play-lh.googleusercontent.com/a-/AOh14GjvbmcqMmMMh6Vf2sLHaGxfPCCiHR8hbt3-tw6yug,Muito bom esse jogo. Não dá vontade de parar. Alem de ser um estímulo para a memória.,5,69,9.4.2g,2020-03-05 15:56:34
4,Júlia Feitosa Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gh93ez652J1TOgK37V7jAi8Dwxr0FM4E2XsyVZx9w,"O melhor da categoria, mto bom msm, joga sem internet, ñ tem anúncio. Amei.",5,61,7.1.0g,2020-04-07 10:46:07
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Muito legal,vai proporcionar muitas horas de diversão! :)",5,50,8.3.0g,2018-12-10 17:02:00
6,Izabel Cristina,https://play-lh.googleusercontent.com/-0sQOHMdtMeA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckaCM2m0a0jmnzZXzifLGQQmEeMwA/photo.jpg,O melhor jogo que eu achei até agora. Tô me divertindo muito,5,2,9.5.0g,2020-09-28 21:10:23
7,Água Seca,https://play-lh.googleusercontent.com/a-/AOh14Gh9OysXwcB15FcwVhJaVWOtZN0sUMvW_nUB3zZa,Muito legal!me deu 30 pontos de graça só por avaliar o ar,5,28,8.2.0g,2018-11-28 15:29:35
8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jogos Que Gosto Logo Quiz (by bubble) Quiz Jogo De Logotipo Picture Quiz Logotipos Fast Logo Quiz Logo Quiz Brasil Logos que gosto Todos Playlists do YouTube que gosto best animated logos,5,12,,2019-02-09 10:02:43
9,Gustavo Casagrande,https://play-lh.googleusercontent.com/-JmjcBqlk5lA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXqwq-lwufNvG-GR4LDnILPQE8-g/photo.jpg,Eu Gosto De Logotipos Desse Jogo E Rede Globo,5,2,7.1.0g,2020-07-03 11:58:46
