,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,andreza gandolfi,https://play-lh.googleusercontent.com/a-/AOh14GhUl4gvcKwta9ZMTI23zrRRoF8MIdCn2U7-cWK3t1I,"Inexplicavelmente maravilhoso não tenho dique reclamar ao contrário só elogios aos desenvolvedores meus parabéns jogo 100%na minha opinião É pq eu achei muito bacana sao as perguntas sobre o corpo humano,uma vez que faço faculdade de enfermagem fica top pra eu exercitar continuem assim por isso deu 5 estrelas se for possível coloquem mais perguntas gerais sobre o corpo humano ex...fisiologia,bioquímica,anatomia etc..",5,2,1.5.008,2020-11-08 22:12:19
1,amadeu rodrigues,https://play-lh.googleusercontent.com/-zIx-UBpD0Qk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3l8KhqoN5jt1UNq3NBfv-QOaYyg/photo.jpg,"O jogo é bom, tem perguntas sempre a variar mas há um problema, eu a partir do nível 8 que tenho muito pouco tempo para jogar, não consigo completar os níveis, ando a fazer muito rápido, e se eu recusar os mini jogos que aparecem para fazer o jogo acaba logo, mas se eu jogar o mini jogo acaba também, por isso não tem lógica nenhuma. Enquanto isso não mudar não dou as 5 estrelas, porque de resto o jogo é muito divertido, é muito culto e bom para passar o tempo.",4,626,1.5.008,2020-08-19 15:25:05
2,My Trova,https://play-lh.googleusercontent.com/a-/AOh14GgIWOzHj3Rxs_Z7kL9XQhAdQTdN7MpEceDV-dCqXA,Melhor App de peguntas e respostas.. Vários temas tem a explicação da pergunta amei.. Só poderia ser melhor se tivesse a opção de escolher o tipo de assunto tipo assim. Sou da área da saúde então amo pergunta de ciências. . Mas por outro lado é maravilhoso pois aprendo muito com outros tipos de assuntos.. e as perguntas são espetaculares as x acerto no chute kkk... as x acerto comparando a pergunta com a resposta... enfim 2 dias q instalei e já tô no nível 29 kk viciante kkk,5,1,1.5.008,2020-11-08 20:29:26
3,Eide Saraiva,https://play-lh.googleusercontent.com/a-/AOh14GivCaHcLEEr0IHXGNS69fIVI9lZPKVcwiGMdi4sXg0,"É maravilhoso, ótimo mesmo, um dos melhores q já joguei desse tipo, mas cheguei na 18a fase e simplesmente não carrega, mesmo aguardando um tempão. Uma pena. Tive q desinstalar. Se corrigirem isso (vi nos comentários q não foi só comigo isso dele travar), volto a instalar.",5,40,1.5.008,2020-10-20 16:17:38
4,Alissn Dias,https://play-lh.googleusercontent.com/-OHgouXJaLDE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllpUR5AliX-jpDyucvYjuU5E4Mww/photo.jpg,Ola perfeito o jogo e com explicações perfeitas obr. Mais uma coisa que ficaria muito bom e deixaria o jogo mós popular seria colocar na imagen de fundo onde tem aqueles planetas lá atrás coloca os planetas 3d o sol a terra galáxias tudo e se movendo isso deixaria o jogo muito mais chamativo e bonito e tem tudo a vê tambm buraco negro tudo ficaria top aquelas imagens estão ótima mais uma 3d ficaria melhor e se movendo tambm como se fosse ao vivo obr e bom trabalho parabens aos desenvolvedores.,5,32,1.5.008,2020-11-05 10:15:32
5,Thais Duarte,https://play-lh.googleusercontent.com/-TmGTFxYbgKw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmUl1DNKuRlrchPFpGdsFJpRgPnQ/photo.jpg,"Estou começando, conhecendo o app!! Estou gostando muito!!! Esclarecedor, você aprende bastante!! Mas tive uma surpresa quando eu cheguei na fase 465 não pude entrar não pude mais jogar!!! Vinha um anuncio dizendo que eu já tinha respondido todas as perguntas e que tinha que aguardar!! Sei lá não entendi muito bem!!! Mandei uma mensagem pedindo ajuda pedindo esclarecimentos sobre esse assunto até o momento ninguém me respondeu nada!!! Como eu gosto muito do jogo tive que zerar tudo!!!",4,274,1.5.008,2020-09-12 08:11:33
6,Railda Cerqueira Rosendo,https://play-lh.googleusercontent.com/-y1dWzV1Dx0U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-G7v7WkrWMUWarLf4Ej2B10nSMg/photo.jpg,O jogo oferece bônus duplos só que quando a pessoa opta por essa opção o video nunca está pronto passa horas sem o video ficar pronto. O jogo vem com várias palavras em inglês e não é pré requisito para ser jogado saber outra língua. Espero que resolvam isso rápido . Por favor corrigir erros ortográficos que algumas vezes o jogo tem.,3,167,1.5.008,2020-08-25 11:43:15
7,Edinei Rodrigues Chaves,https://play-lh.googleusercontent.com/a-/AOh14GjQXB_DoA2vU3wOe4v6t2x138U5HNmpzIT2lVpExg,"Sem sentido vocês colocarem tempo de resposta pra definir o quanto de estrelas ou pontos ganham, pois em uma pergunta longa perco tempo lendo e consequentemente perco estrelas ou pontos. Jogabilidade Ruim neste caso em específico. Sugestão: Poderiam adicionar um delay conforme o tamanho(quantidade de caracteres) da pergunta.",3,76,1.5.008,2020-10-02 07:57:38
8,Emanuel Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GiEgma3BwAlyPgdPcdqLYdBWtu3klMJkEV6-vGMgw,"Gostei demais do aplicativo mas desistalei, por que depois que atualizou eu perdi meu histórico.. tava no nivel 50 ja, e voltou pro 1. Fiquei bem chateado. Mas recomendo é um jogo de conhecimentos gerais com conteúdo, e da pra se aprender bastante com ele.",4,21,1.5.008,2020-11-04 06:03:59
9,Alex Gimenez,https://play-lh.googleusercontent.com/-iUiHJR76hs4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucltQ9Odsx7PnrCVsDtq57HU_b77Mg/photo.jpg,"Bom dia, Seria possível soltar alguma atualização? Pois como eu havia explicado no meio do jogo recebo uma mensagem dizendo que acabou as perguntas, onde tenho que sair e entrar novamente no jogo ai volto a jogar novamente porém perco todo o progresso do jogo e isso volta a acontecer, não consigo sair do mesmo nível, conseguem me ajudar?",3,0,1.5.008,2020-10-31 01:34:56
